nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
18,Dezvoltarea Strategică a comunei Ormeniş,"Consiliul Local Ormeniş, judeţul Braşov",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,230.690,35.201,5.509,0,271.400,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
19,"Document Strategic cu Scenarii de Dezvoltare Socio-Economică şi Demografică a teritoriului judeţului Ialomiţa, pe perioada 2009-2013, cu orizont 2013-2020 - ""Realizarea Strategiei de dezvoltare a judeţului Ialomiţa""",Consiliul Judeţean Ialomiţa,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,822.721,125.828,19.358,0,967.907,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
20,"Dezvoltarea strategică, o cale către bunăstare","Consiliul Local Lisa, Judeţul Braşov",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,228.650,34.889,5.461,900,269.900,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
21,"Intarirea capacităţii administraţiei publice locale a comunei Pausesti Maglasi, judetul Valcea, pe principiile dezvoltarii durabile, in concordanta cu nevoile si aspiratiile comunitatii","Consiliul Local al comunei Pausesti Maglasi, judeţul Vâlcea",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,556.218,85.069,13.087,0,654.374,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
22,Strategia de dezvoltare a judeţului Braşov - orizonturi 2013- 2020- 2030,Agenţia de Dezvoltare Durabilă a judeţului Braşov,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,695.753,106.409,16.371,0,818.533,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
23,Dezvoltarea capacităţii instituţionale de formulare a politicilor publice şi planificare strategică în domeniul migraţiei forţei de muncă,"Ministerul Muncii, Familiei şi Egalităţii de Şanse",Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,2.567.235,0,453.041,0,3.020.276,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
24,"Elaborarea ""Strategiei de dezvoltare a oraşului Predeal, perioada 2009 2020""",Consiliul Local al oraşului Predeal,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,564.408,86.321,13.280,0,664.009,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
25,Strategia de dezvoltare socială a localităţilor membre în Asociaţia Intercomunitară de Dezvoltare Alba Iulia - AIDA,Asociaţia Intercomunitară de Dezvoltare Alba Iulia,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,680.438,104.067,16.010,0,800.515,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
26,"Scrierea strategiei de dezvoltare locală a municipiului Feteşti, judeţul Ialomiţa",Primăria Municipiului Feteşti,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,313.680,47.975,7.381,11.071,380.107,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
27,"COMPAS 20 - Concepţii şi Orientare Modernă, Planificare Armonioasă şi Strategică până în 2020",Consiliul Judeţean Satu Mare,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,390.095,59.662,9.179,9.000,467.936,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
28,Strategia de dezvoltare durabilă a judeţului Teleorman 2008 2013,Consiliul Judeţean Teleorman,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,374.255,57.239,8.806,0,440.300,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
29,Crearea Strategiie de Dezvoltare Durabilă a Oraşului Turceni,Consiliul Local al oraşului Turceni,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,513.540,78.541,12.083,0,604.164,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
30,Strategia de dezvoltare durabilă a Asociaţiei Intercomunitare de Dezvoltare Alba Iulia,Asociaţia Intercomunitară de Dezvoltare Alba Iulia,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,954.733,140.402,28.080,0,1.123.215,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
31,Sistem informatic integrat pentru suportul decizional şi organizaţional privind dezvoltarea capacităţii administrative a IGPR - (SIISDODCA),Inspectoratul General al Poliţiei Române,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,11.865.150,0,2.093.850,0,13.959.000,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
32,Elaborarea strategiei de dezvoltare pentru Zona Metropolitană Tîrgu- Mureş,Asociaţia Zona Metropolitană Tîrgu Mureş,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,237.618,36.342,5.591,0,279.551,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
33,Procesul de dezvoltare strategică a municipiului Bârlad,Consiliul Local municipal Bârlad,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,536.375,82.034,12.621,0,631.030,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
34,ACT Acţiuni de cooperare teritorială; Iniţiative de dezvoltare locală integrată pentru administraţiile publice în judeţul Alba,Consiliul Judeţean Alba,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,1.298.759,198.634,30.559,8.000,1.535.952,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
35,Someş - Sud - strategic spre Europa,Asociaţia Microregională Someş-Sud,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,348.925,53.365,8.210,0,410.500,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
36,Ne dezvoltăm împreună,Asociaţia pentru Educaţie şi Dezvoltare Comunitară,Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,413.828,61.831,11.198,0,486.857,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
37,"Strategia de dezvoltare durabilă a unităţii administrativ teritoriale a comunei Cazasu, judeţul Brăila",Unitatea administrativ teritorială a comunei Cazasu (Consiliul Local Cazasu),Axa Prioritară 1/ DMI 1.1. Îmbunătăţirea procesului de luare a deciziilor la nivel politico-administrativ,197.693,27.886,7.001,0,232.580,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
38,Realizarea arhitecturii sistemului informaţional şi a structurii bazei de date economico-financiare ale unităţilor administraţiei publice locale - DBAPL,MAI - DPFPL,Axa Prioritară 1/ DMI 1.2. Creşterea responsabilizării administraţiei publice,3.181.550,0,561.450,0,3.743.000,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
39,Evaluarea barierelor administrative de natură legislativă cu care se confruntă mediul de afaceri şi construirea unui sistem durabil pentru monitorizare şi evaluare ulterioară,"Ministerul Întreprinderilor Mici şi Mijlocii, Comerţului şi Mediului de Afaceri",Axa Prioritară 1/ DMI 1.2. Creşterea responsabilizării administraţiei publice,2.609.537,0,460.507,0,3.070.044,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
40,Dezvoltarea capacităţii de monitorizare şi evaluare de programe la nivelul Ministerului Internelor şi Reformei Administrative - Sistem Informatic de Management al Activităţii de Audit Intern,M.A.I.- D.G.A.I.,Axa Prioritară 1/ DMI 1.2. Creşterea responsabilizării administraţiei publice,4.968.094,0,876.722,1.108.065,6.952.881,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
41,"Creşterea nivelului de pregătire profesională a angajaţilor Primăriei Odobeşti, judeţul Vrancea",Consiliul Local Odobeşti,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,303.718,46.451,7.146,0,357.315,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
42,"Investind în oameni, investim în viitorul oraşului nostru",Municipiul Adjud,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,288.003,44.047,6.776,0,338.826,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
43,Îmbunătăţirea calităţii serviciilor în administraţia publică locală din judeţul Bacău,Consiliul Judeţean Bacău,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,1.302.936,199.272,30.657,0,1.532.865,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
44,Administraţie Europeană,Municipiul Constanţa,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,198.033,30.287,4.660,15.766,248.746,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
45,Instruirea personalului din cadrul a nouă autorităţi ale administraţiei publice locale din judeţul Bihor,Oraşul Săcueni,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,386.733,59.148,9.100,0,454.981,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
46,Managementul eficient al serviciilor administrative în judeţul Giurgiu (M.E.S.A.J. Giurgiu),Judeţul Giurgiu,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,413.291,62.917,10.017,0,486.225,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
47,Reţea manageri de proiecte în unităţile administrativ teritoriale din judeţul Vrancea,Instituţia Prefectului judeţul Vrancea,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,403.136,0,71.142,0,474.278,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
48,"Management performant, eficienţă bugetară şi formare continuă în administraţia publică locală din regiunea Dobrogea",Asociaţia de Dezvoltare Durabilă a judeţului Tulcea,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,972.703,148.766,22.887,14.300,1.158.656,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
49,Reţea comunitară interactivă în cadrul Sistemului Urban Baia Mare - Urban_Network,ADI Sistemul Urban Baia Mare,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,297.500,45.500,7.000,25.000,375.000,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
50,Promovarea achiziţiilor publice ecologice prin crearea unui cadru favorabil pentru instruirea achizitorilor publici,Ministerul Mediului şi Dezvoltării Durabile,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,682.942,0,120.519,0,803.461,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
51,Administraţia Publică în slujba cetăţeanului,Ministerul Tineretului şi Sportului,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,1.513.000,0,267.000,0,1.780.000,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
52,Program postuniversitar în Managementul Administraţiei Publice,"Universitatea Babeş- Bolyai, Facultatea de Ştiinţe Politice, Administrative şi ale Comunicării, Departamentul de Administraţie Publică",Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,1.135.257,173.627,26.712,0,1.335.596,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
53,Reforma începe cu investiţia în oameni,Instituţia Prefectului- Judeţul Brăila,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,303.535,0,53.565,0,357.100,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
54,Program de formare continuă pentru cariera managerială a personalului de conducere din administraţia publică în vederea dezvoltării capacităţii administrative şi sporirii eficacităţii organizaţionale,"Universitatea ""Alexandru Ioan Cuza"" Iaşi",Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,732.174,111.980,17.226,0,861.380,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
55,TEAM - Training pentru Eficinetizarea AdMinistraţiei,Consiliul Judeţean Harghita,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,1.159.256,177.298,27.277,0,1.363.831,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
56,Îmbunătăţirea abilităţilor ale funcţionarilor din cadrul Agenţiei Naţionale de Administrare Fiscală prin instruire şi certificare ECDL Start,Agenţia Naţională de Administrare Fiscală,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,1.460.904,0,257.806,5.600,1.724.310,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
57,Programe de pregătire postuniversitară adaptate la nevoile din administraţia publică românească,Academia de Studii Economice (Facultatea de Management - Catedra de administraţie şi management public),Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,1.078.362,164.927,25.373,3.000,1.271.662,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
58,Mecanisme moderne pentru o administraţie eficientă,MAI - UCRAP,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,4.279.630,0,755.229,127.854,5.162.713,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
59,Dezvoltare competenţe şi abilităţi profesionale ale personalului din Primăria Municipiului Bistriţa,Municipiul Bistrita,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,171.307,26.200,4.031,26.015,227.553,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
60,Formare personalizată pentru o administraţie publică modernă,Consiliul Judetean Calarasi,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,941.192,143.948,22.146,0,1.107.286,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
61,Specializarea personalului implicat în furnizarea şi managementul serviciilor sociale din cadrul Consiliului Judeţean Argeş şi primăriilor din judeţul Argeş,Consiliul Judetean Arges,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,577.146,88.269,13.580,0,678.995,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
62,"Perfecţionare continuă a personalului APL a municipiului Paşcani, judeţul Iaşi",Consiliul Local al Municipiului Paşcani,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,333.285,50.815,8.000,0,392.100,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
63,Introducerea de instrumente şi proceduri moderne de management în cadrul Consiliului Judeţean bacău pentru gestionarea cheltuielilor sociale şi îmbunătăţirea calităţilor serviciilor,Consiliul Judeţean Bacău,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,839.405,128.380,19.751,0,987.536,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
64,Modernizarea actului administrativ prin eficienţă şi profesionalism,Consiliul Local Şendreni,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,190.232,29.094,4.477,0,223.803,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
65,Îmbunătăţirea eficacităţii organizaţionale în Primăria Municipiului Drăgăşani,Municipiul Drăgăşani,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,247.546,37.860,5.824,0,291.230,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
66,Standarde Europene în Utilizarea Tehnologiei Informaţiei în Administraţia publică - Program Naţional de Certificare al Funcţionarilor Publici,M.A.I.- Agenţia Naţională a Funcţionarilor Publici (ANFP),Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,11.450.632,0,2.020.700,0,13.471.332,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
67,Administraţie pentru cetăţeni - program de formare pentru angajaţii administraţiei locale din Găneşti,Consiliul Local Găneşti,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,328.525,50.245,7.730,0,386.500,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
68,Administratorul public - factor de succes pentru un management eficient la nivel local,M.A.I.- U.C.R.A.P.,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,2.155.068,0,380.305,0,2.535.373,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
69,Permisul european de conducere a computerului - program de instruire şi certificare a aptitudinilor de operare pe calculator a funcţioanrilor publici din cadrul Autorităţii de Sănătate Publică Dolj,Autoritatea de Sănătate Publică Dolj,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,252.629,0,44.581,0,297.210,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
70,Dezvoltarea capacităţii instituţionale de formulare a politicilor publice şi planificare strategică în domeniul migraţiei forţei de muncă,Municipiul Alba Iulia,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,536.739,63.145,31.573,6.682,638.139,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
71,Dezvoltarea capacităţii de acţiune a Asociaţiei Oraşelor din România prin îmbunătăţirea eficacităţii organizaţionale proprii şi a membrilor,Asociaţia Oraşelor din România,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,3.021.073,462.046,71.084,40.675,3.594.878,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
72,Programe de instruire ECDL pentru administraţia publică a judeţului Satu Mare,Consiliul Judeţean Satu Mare,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,236.167,36.120,5.557,0,277.844,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
73,Modernizarea administraţiei publice a judeţului Constanţa - reţea judeţeană de modernizatori,Instituţia Prefectului - judeţul Constanţa,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,500.969,0,88.406,34.947,624.322,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
74,Formare profesională pentru eficacitate organizaţională,Asociaţia PRODEZVOLTARE Valea Oltului,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,206.635,31.603,4.862,0,243.100,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
75,"Module de pregătire în domeniile Fonduri Strcuturale, managementul proiectelor, achiziţii publice şi ECDL pentru personalul primăriei oraşului Avrig",Primăria oraşului Avrig,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,365.060,55.833,8.590,18.400,447.883,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
76,Program de instruire pentru elaborare participativă de politici publice locale pentru funcţionari publici,Asociaţia Centrul pentru Politici Publice,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,224.817,34.383,5.290,4.350,268.840,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
77,Sistemul Naţional de Raportare a Incidentelor (SNRI),Inspectoratul General al Poliţiei Române,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,8.200.800,0,1.447.200,0,9.648.000,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
78,Dezvoltarea capacităţii instituţionale a autorităţilor administraţiei publice locale (comune) şi a asociaţiei acestora (A.Co.R) în vederea susţinerii dezvoltării durabile a spaţiului rural,M.A.I.- DGCLZAASPSA,Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,3.562.291,0,628.640,6.000,4.196.931,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
79,Modernizare şi Performanţă în Administraţia Publică Locală,"Universitatea din Craiova, Facultatea de Istorie, Filozofie, Geografie, Departamentul de Proiecte şi Cercetare",Axa Prioritară 1/ DMI 1.3. Îmbunătăţirea eficacităţii organizaţionale,685.404,104.021,16.934,0,806.359,LEI,http://localhost:9999/Lista_contractate_PO_DCA_30_aprilie_2010.pdf
