nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
26,"Reabilitarea şi modernizare străzi în municipiul Orşova, B-dul 1 Decembrie 1918, B-dul Porţile de Fier, Str. Coramnic, Str. Herculane, Municipiul Orşova, Judeţul Mehedinţi",UAT Mun. Orşova,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,6.776.163,900.877,156.674,1.488.406,9.322.121,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
27,"Reabilitarea DJ 670 Negoiesti-Floresti (DJ67) KM 64+180-89-890, Judetul Mehedinti",UAT Jud. Mehedinti,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,38.842.139,5.163.984,898.084,8.746.299,53.650.506,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
28,"Reabilitare si modernizare drum judetean DJ 604, Km 36+717-74+749, judetul Olt",UAT Jud Olt,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,20.733.427,2.756.467,479.386,4.580.913,28.550.193,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
29,Reabilitarea si modernizarea drumului judetean DJ 142C,UAT Jud. Mures,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,16.143.480,2.146.243,373.260,4.426.693,23.089.675,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
30,Reabilitarea si modernizarea zonei industriale est din municipiul Tulcea,Tulcea,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,22.398.346,2.977.815,517.881,6.664.391,32.558.433,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
31,"MODERNIZAREA STRĂZILOR 1 DECEMBRIE 1918 CONTINUATĂ CU STRADA CETATEA NEAMŢULUI, CARE VA ASIGURA LEGATURA MUNICIPIULUI PIATRA NEAMT CU VIITOAREA AUTOSTRADĂ EST - VEST",UAT Mun. Piatra Neamt,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,20.165.786,2.681.000,466.261,4.337.699,27.650.746,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
32,"MODERNIZARE DJ 208 S, DOLHASCA - PROBOTA, KM 0+000 - 8+000",UAT Jud. Suceava,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,4.122.307,548.052,95.313,905.459,5.671.131,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
33,Reabilitare si modernizare DJ205R Coteşti - Poiana Cristei,UAT Jud. Vrancea,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,7.663.611,982.404,213.651,2.078.945,10.938.611,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
34,Reabilitare şi modernizare DJ 204E Mărăşeşti - Panciu km 24+200-43+050,UAT Jud. Vrancea,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,30.657.621,3.903.653,881.062,7.476.051,42.918.387,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
35,"Moderinizare si consolidare DJ 670 Marga (DJ607B)- Baia de Arama (DN 67D) Km 21+350- 56+650, Judetul Mehedinti",UAT Jud. Mehedinti,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,30.533.713,4.060.794,706.225,8.785.975,44.086.707,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
36,"Reabilitare si modernizare drum judetean DJ 648, limita judeţ Vâlcea - Vitomireşti",UAT Jud. Olt,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,4.380.689,582.404,101.288,977.226,6.041.606,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
37,Modernizare Strada Basarabiei intre Piata Energiei si Bulevardul George Cosbuc,UAT Mun.Galati,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,9.630.834,1.280.399,222.679,2.135.778,13.269.690,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
38,Imbracaminte bituminoasa pe DJ 235 Km 18+436 - Km 29+800 Cudalbi - Baleni jud. Galati,"Consiliul Judetean Galati Consiliul Local Cudalbi, Consiliul Local Baleni",Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,11.351.543,1.470.048,301.580,2.460.042,15.583.213,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
39,"MODERNIZARE DJ 290, KM 0+000 - 13+000, KM 17+000 - 22+225 SALCEA - VERESTI - ROSCANI, JUDETUL SUCEAVA",UAT Jud. Suceava,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,10.062.304,1.337.763,232.654,2.193.225,13.825.946,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
40,Reabilitarea si dezvoltarea infrastructurii generale si de turism în arealul turistic Marginimea Sibiului – Valea Sebesului (Judetele Sibiu si Alba) - Modernizarea drumului de interes turistic DJ 106E pe tronsonul Jina - Şugatag/ Valea Sebeşului/ DN 67,UAT Jud Sibiu,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,15.422.783,2.050.428,356.596,4.296.378,22.126.185,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
41,Reabilitarea şi modernizarea străzi urbane în municipiul Botoşani,UAT Botoşani,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,30.868.270,4.103.874,713.717,7.980.175,43.666.036,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
42,Reabilitarea şi modernizarea reţea de străzi urbane în municipiul Fălticeni,"UAT Mun, Fălticeni",Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,13.360.188,1.776.210,308.906,4.191.801,19.637.106,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
43,"MODERNIZARE DJ209D, DARMANESTI - CALAFINDESTI - SIRET, KM 21+500-48+340, JUDETUL SUCEAVA",CONSILIUL JUDETEAN SUCEAVA,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,19.344.688,2.571.837,447.276,4.233.893,26.597.694,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
44,"MODERNIZARE DJ 175B (RECLASAT DIN DC 90 A , IN BAZA H-G- NR- 540/2000), KM 0+000 - 15+800, POJORATA - RARAU",CONSILIUL JUDETEAN SUCEAVA,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,22.687.218,3.016.220,524.560,4.952.790,31.180.788,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
45,"MODERNIZARE DJ 291 B LOZNA - DERSCA - MIHAILENI, KM 7+900 - 20+750",CONSILIUL JUDETEAN BOTOSANI,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,28.336.276,3.767.251,665.174,6.231.897,39.000.597,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
46,"MODERNIZARE DJ 294 MIHALASENI - DN 24C, KM 22+100 - 29+160",CONSILIUL JUDETEAN BOTOSANI,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,13.054.109,1.735.517,301.829,2.919.203,18.010.659,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
47,"PASAJ RUTIER SUBTERAN OITUZ - STEFAN GUSE, MUNICIPIUL BACAU, JUDETUL BACAU",UAT Mun. BACAU,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,21.709.154,2.886.188,501.946,5.667.885,30.765.173,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
48,REABILITAREA ARTEREI PRINCIPALE : DRUM CATRE ACCELERAREA PULSULUI ECONOMIC BUHUSEAN,UAT Mun. BUHUSI,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,6.452.391,857.832,149.188,1.430.304,8.889.716,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
49,"Reabilitarea DJ 701, limita jud Dambovita – Gratia - Poieni – Silistea – Scurtu Mare – Slavesti – Ciolanesti – Zambreasca - Dobrotesti, km 44+240-104+890 (55,450 km)",UAT Jud Teleorman,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,85.494.724,11.366.351,1.976.757,21.067.582,119.905.413,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
50,"Ranfosarea si modernizarea drumurilor judetene 701, DJ 401A si DJ 711A pe traseul Dobra – Cornatelu – Branistea – Titu – Salcuta– Odobesti – Potlogi – Corbii Mari",UAT Jud Dambovita,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,47.635.443,6.333.036,1.101.398,11.824.960,66.894.836,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
51,REABILITARE SI MODERNIZARE DRUM JUDETEAN DJ 244 B CRETESTII DE SUS - MURGENI KM 0 + 000 - KM 55 + 780,UAT Jud. Vaslui,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,69.652.718,9.260.188,1.610.467,15.145.281,95.668.654,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
52,"REPARATII CAPITALE (REABILITARE SI MODERNIZARE) PE DJ 116, TARGU OCNA - OITUZ KM 15+800 - 26+700, JUDETUL BACAU",UAT Jud BACAU,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,14.665.619,1.949.764,339.089,3.197.639,20.152.112,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
53,"REABILITAREA DRUMULUI JUDETEAN 119F, CAIUTI - PRALEA KM 0+000 - 14+300, JUDETUL BACAU",UAT Jud. Bacau,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,10.809.233,1.437.066,249.924,2.345.602,14.841.825,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
54,Modernizarea infrastructurii drumurilor judetene în judetul Satu Mare - DJ109 L Negresti Oas-Turt,UAT Jud Satu Mare,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,42.629.517,5.667.508,985.654,11.291.908,60.574.586,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
55,Centura Nord-Vest de ocolire a oraşului Buziaş L=4.3km,Buziaş,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,13.872.477,1.844.318,320.751,4.102.462,20.140.008,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
56,"MODERNIZARE DJ 174, VATRA DORNEI - SARU DORNEI - PANACI, KM- 0+000 - 22+000",CONSILIUL JUDETEAN SUCEAVA,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,28.187.286,3.747.443,651.729,6.133.620,38.720.078,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
57,Reabilitare traseu de drum judetean Baia Sprie(DN18)-Cavnic(DJ184)-Ocna Sugatag(DJ109F)-Calinesti(DJ185)- Bârsana(DJ185),Consiliul Judetean Maramures,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,67.535.904,8.978.762,1.561.524,14.870.176,92.946.366,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
58,Modernizarea infrastructurii de acces la zonele turistice cu potential demonstrate ale judetului Buzau,Consiliul Judetean Buzau si UAT Merei,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,67.436.788,8.965.584,1.559.232,19.110.517,97.072.121,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
59,"Modernizarea şi reabilitarea drumului judeţean DJ301 tronsonul Fundeni – Budeşti, km 13+000 – km 36+578",Consiliul judetean Calarasi,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,31.834.723,4.195.425,773.000,6.992.598,43.795.746,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
60,Reabilitarea si modernizarea Str- Grivita in Municipiul Braila,Consiliul Local Municipal Braila,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,17.935.948,2.384.548,414.704,3.960.392,24.695.592,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
61,Modernizarea strazi in Municipiul Targu Mures,Municipiul Targu Mures,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,43.286.872,5.754.902,1.000.853,12.307.273,62.349.900,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
62,"Modernizare DJ734: Voinesti (DN 73) – Leresti – Voina în vederea îmbunătăţirii şi dezvoltării infrastructurii de turism, km 0+000 – 19+840, L=19,840 km",Consiliul judetean Arges,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,36.499.404,4.852.522,843.917,8.946.736,51.142.578,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
63,"Modernizare DJ730: Podul Dâmboviţei (DN 73) – Dâmbovicioara – Ciocanu – limita jud. Braşov în vederea îmbunătăţirii şi dezvoltării infrastructurii de turism, km 0+000 – 9+550, L=9,550 km",Consiliul judetean Arges,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,11.027.123,1.466.034,254.962,2.992.462,15.740.581,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
64,Reabilitare DJ 151 km 45+810-126+712 limita de judeţ Mureş -Bistriţa Năsăud judeţul Bistriţa Năsăud,Consiliul Judetean Bistrita Nasaud,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,90.514.863,9.145.664,4.980.933,21.968.590,126.610.050,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
65,"Reabilitare DJ101G Tătărani (DJ 101D) – Brazi – Tinosu – Sirna – Habud – Crivăţu (DN 1A) km 0+000 – km 24+020, judeţul Prahova, km 24+020 – km 30+120, judeţul Dâmboviţa",Consiliul judetean Prahova,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,33.229.951,4.417.855,768.323,7.385.960,45.802.088,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
66,Varianta de ocolire a Municipiului Brasov - Faza 1,Primaria Municipiului Brasov,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,19.638.799,2.606.398,458.617,59.058.159,81.761.973,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
67,"Reabilitarea si modernizarea retelei de strazi urbane, oras Mizil",UAT Orasul Mizil,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,7.598.510,1.004.936,180.959,1.719.444,10.503.848,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
68,"Modernizare DJ703I: Muşăteşti (DN 73C) – Brăduleţ – Brădetu – Poienile Vâlsanului în vederea îmbunătăţirii şi dezvoltării infrastructurii de turism, km 28+822 – 53+600, L=24,778 km",Consiliul judetean Arges,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,32.806.121,4.361.507,758.523,8.094.322,46.020.474,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
69,"Modernizare sistem rutier pe DJ 301B, DN3 - Manastirea Pasarea - Cozieni, km 0+000 - km 4+ 500",Consiliul Judetean Ilfov,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,6.310.760,839.003,145.914,1.386.178,8.681.854,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
70,"Modernizare sistem rutier pe DJ 100, tronson VI, Branesti - limita de judet Calarasi, km 28 + 700 - km 35 + 000",Consiliul Judetean Ilfov,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,8.748.398,1.163.082,202.275,1.921.613,12.035.368,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
71,"Reabilitarea si modernizarea DJ 561, tronsonul Segarcea - Carna (Dunareni), judetul Dolj",Consiliul Judetean Dolj,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,31.773.261,4.224.191,734.642,8.762.913,45.495.007,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
72,"Imbunatatirea accesului la reteaua rutiera europeana de transport TEN-T7 in judetul Calarasi, prin reabilitarea si modernizarea DJ201B, km 19+000 - km 39+950 pe traseul limita judet Ialomita - Valea A",UAT Jud Calarasi,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,32.669.633,4.304.729,794.000,7.175.989,44.944.351,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
73,"REABILITAREA SI MODERNIZAREA DRUMULUI JUDETEAN DJ 156 A , KM 43+700 - 56+640, JUDETUL NEAMT",CONSILIUL JUDETEAN NEAMT,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,21.698.998,2.884.838,501.711,4.792.196,29.877.742,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
74,Reabilitare si modernizare DJ 251 intre municipiile Tecuci si Galati sector Km 24+000- 53+350,Consiliul Judetean Galati,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,50.899.909,6.765.908,1.178.009,11.101.213,69.945.039,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
75,Modernizare (ranforsare) Strada Republicii - Cimpa din orasul Petrila,Consiliul Local al Orasului Petrila,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,16.664.965,2.215.573,385.317,3.874.570,23.140.426,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
76,Modernizare DJ 582 Valiug - Slatina Timis,CJ caras Severin,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,78.596.001,10.449.179,1.817.249,30.275.233,121.137.662,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
77,"""Reabilitare trama stradala in municipiul Medgidia, judetul Constanta""",Primaria Municipiului Medgidia,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,22.412.799,2.979.735,518.216,4.923.043,30.833.793,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
78,Modernizarea Bulevardul Dorobantilor,Consiliul Local Municipal Braila,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,84.110.000,0,20.579.760,20.365.927,125.055.687,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
79,"Modernizare sistem rutier pe DJ 101, DN 1 - Buftea, km 0+ 000 - km 12 + 000",Consiliul Judetean Ilfov,Axa Prioritară 2/ DMI 2.1. Drumuri judeţene/ străzi urbane,16.269.201,2.162.957,376.166,3.573.582,22.381.906,LEI,http://localhost:9999/Lista_contractate_POR_30_aprilie_2010.pdf
