"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"CENTRUL           DE           STUDII           AVANSATE, FUNDAMENTALE        SI        CLINICO-IMAGISTICE, PENTRU   CORELAREA   PE    TERMEN   LUNG   A PARAMETRILOR               DE               DEZVOLTARE INTRAUTERINA   CU   STATUSUL   NEURO-PSIHO-MOTOR, PE PARCURSUL DEZVOLTARE PANA LA V�RSTA ADULTA","SPITALUL CLINIC JUDE?EAN DE URGENTA CLUJ","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",34487700,4512300,0,9360000,48360000
"Extinderea ?i modernizarea infrastructurii de cercetare in vederea   cre?terii   competitivit??ii   in   domeniul   bolilor cardiovasculare, diabet si obezitate","Institutul de Biologie si Patologie Celulara Nicolae Simionescu Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",33629687,10216059,0,7010866,50856612
"Centru Euro-Regional de Studii al Materialelor Avansate, al Suprafe?elor si Interfe?elor","INCD FIZICA MATERIALELOR Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",32968903,10015325,20367,8052194,51056789
"INSTITUTUL         DE         CERCET?RI         PENTRU AGRICULTURA SI MEDIU","UNIVERSITATEA DE ?TIIN?E AGRICOLE ?I MEDICIN? VETERINAR? JONIONESCU DE LA BRAD"" IA?I","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",30950500,4049500,0,7860000,42860000
"DEZVOLTAREA           INFRASTRUCTURII           DE CERCETARE,      EDUCA?IE      ?I      SERVICII      �N DOMENIILE       MEDICINEI       VETERINARE       ?I TEHNOLOGIILOR INOVATIVE PENTRU RO 05","UNIVERSITATEA DE ?TIIN?E AGRICOLE ?I MEDICIN? VETERINAR? A BANATULUI, Timi?oara","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",28391204,8624707,0,6935790,43951701
"Construirea unei centrale de produc?ie prin cogenerare de energie electric? ?i termic? din biogaz","S.C. AGRO NEW ENERGY SA","Axa Prioritar? 4/ DMI 4.2. RES",28238460,3850699,13752497,18329357,64171013
"Institutul de cercet?ri avansate de mediu","Universitatea de Vest din Timi?oara","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",27413300,3586700,5200000,8542540,44742540
"Laborator energii regenerabile-fotovoltaic","INSTITUTUL NATIONAL DE CERCETARE- DEZVOLTARE PENTRU ELECTROCHIMIE SI MATERIE CONDENSATA - INCEMC- TIMI?OARA","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",26529000,3471000,0,6922000,36922000
"Dezvoltarea    infrastructurii    IBB    pentru     �nt?ririrea capacit??ii de investigare a biodiversit??ii, �n contextul schimb?rilor climatice globale","Institutul de Biologie Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",25874785,7860267,0,5439158,39174210
"Modernizarea     infrastructurii     destinata     promov?rii poten?ialului de cercetare in inginerie electrica pentru aplica?ii   in   ariile   tematice   economice   prioritare   ale Rom�niei ca tara membra UE","INCDIEICPE-CA Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",25476285,7739210,0,6009033,39224528
"DEZVOLTAREA           INFRASTRUCTURII           DE CERCETARE      A      INCD      ECOIND      PENTRU EXTINDEREA                SI                DIVERSIFICAREA CERCET?RILOR     IN     DOMENIUL     ECOLOGIEI INDUSTRIALE","INCD pt. ECOLOGIE INDUSTRIALA - INCD ECOIND","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",25193198,7653214,0,5866722,38713134
"MODERNIZAREA          INFRASTRUCTURII          DE CERCETARE     -     DEZVOLTARE     IN     CADRUL INSTITUTULUI      DE      CHIMIE      FIZIC?      JLIE MURGULESCU'      AL      ACADEMIEI      ROM�NE PENTRU           EXTINDEREA           CERCET?RILOR INTERDISCIPLINARE              IN              DOMENIUL NANOMATERIALELOR SI NANOTEHNOLOGELOR","Institutul de Chimie Fizica ,Jlie Murgulescu"" Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",25117962,7630359,0,6038215,38786536
"CRE?TEREA    CALIT??II    SI    COMPETITIVIT??II ACTIVIT??II    DE    C-D    A    INSTITUTULUI    DE BIORESURSE ALIMENTARE","INSTITUTUL DE BIORESURSE ALIMENTARE Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",24140822,7333522,0,5625813,37100157
"CENTRU   INTEGRAT    DE    STUDII    IN    ?TIIN?A MEDIULUI PENTRU REGIUNEA DE DEZVOLTARE NORD-EST","Universitatea Alexandru Ioan Cuza Ia?i","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",22991800,3008200,0,6009409,32009409
"Centru   regional   de   determinare   a   performantelor   si monitorizare a st?rii tehnice a materialului tubular utilizat in industria petroliera","Universitatea Petrol-Gaze din Ploie?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",22107500,2892500,0,5472600,30472600
"Dezvoltarea infrastructurii de cercetare a Institutului de Biochimie    in    vederea    cre?terii    competitivit??ii    in domeniul proteomicii biomedicale","Institutul de Biochimie Bucure?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",20338900,2661100,0,5448000,28448000
"CENTRALA    ELECTRIC?    EOLIAN?    de    9    MW ORAVL?AJud. Cara?-Severin","SC LC Business SRL","Axa Prioritar? 4/ DMI 4.2. RES",18294549,2494711,13859510,15101930,49750700
"SERVICE ON-LINE (DE E-GUVERNARE) OFERITE DE ONRC PENTRU COMUNITATEA DE AFACERI PRIN INTERMEDIUL UNUI PORTAL DEDICAT","Oficiul National al Registrului Comer?ului","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.1       Sus?inerea implement?rii   de   solu?ii   de   e-guvernare   ?i asigurarea conexiunii la broadband, acolo unde este necesar",17547224,3951458,34429211,12180678,68108571
"PORTAL WEB PENTRU PRELUAREA ON-LINE A DATELOR STATISTICE","Institutul National de Statistica","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.1       Sus?inerea implement?rii   de   solu?ii   de   e-guvernare   ?i asigurarea conexiunii la broadband, acolo unde este necesar",17484993,3937444,0,4138003,25560440
"SISTEM INFORMATIC INTEGRAT PENTRU CASA DE   PENSII   DIN   CADRUL   MINISTERULUI   DE INTERNE SI REFORMEI ADMINISTRATIVE","Casa de Pensii a Mnisterului Internelor si Reformei Administrative","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.1       Sus?inerea implement?rii   de   solu?ii   de   e-guvernare   ?i asigurarea conexiunii la broadband, acolo unde este necesar",17322395,3900828,0,4032481,25255704
"CENTRU      EUROREGIONAL      DE      CERCET?RI AVANSATE PENTRU SENZORI SI SISTEME DE SENZORI PE BAZA DE MICRO SI NANOMATERIALE MAGNETICE","Institutul National de Cercetare-Dezvoltare pentru Fizica Tehnica - IFT Ia?i","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",17243850,2256150,0,4595670,24095670
"eScoala","MEMISTERUL EDUCATffil, CERCETARE SI TINERETULUI","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.3       Sus?inerea implement?rii de aplica?ii de e-Learning",17153014,3862686,0,3839872,24855572
"Sprijinirea   sistemului   educa?ional   special   prin   portal educa?ional specializat","MINISTERUL EDUCATffil, CERCETARE SI TINERETULUI","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.3       Sus?inerea implement?rii de aplica?ii de e-Learning",16776521,3777903,0,3680406,24234830
"CENTRUL          DE          CERCETARE          PENTRU NANOTEHNOLOGU      DEDICATE      SISTEMELOR INTEGRATE SI NANOMATERIALE AVANSATE PE BAZA DE CARBON","Institutul National Cerecetare Dezvoltare Microtehnologie Bucure?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",16600000,3400000,1279632,4955788,26235420
"Amenajare hidroenergetic? pe r�ul Prahova - Etapa I, Captare Breaza, CHEMP Cornu","S.C. ELSID SA.","Axa Prioritar? 4/ DMI 4.2. RES",16291653,2221589,20425746,15666932,54605920
"Implementarea  unui   sistem  de  tip   E-learning   pentru instruirea    si    perfec?ionarea    continua    a    angaja?ilor Jandarmeriei Rom�ne","Unitatea Militar? 0251 Bucure?ti","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.3       Sus?inerea implement?rii de aplica?ii de e-Learning",15952284,3592293,0,3713470,23258048
"Laborator   aeropurtat   pentru   cercet?ri   atmosferice   de mediu","Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - INCA?                 Bucure?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",15917400,2082600,0,754704,18754704
"Dezvoltarea infrastructurii de cercetare in microbiologie, imunologie si biotehnologie in scopul cre?terii capacit??ii de investigare a bolilor cu impact major asupra s?n?t??ii publice","Institutul National de Cercetare Dezvoltare pentru Microbiologie si Imunologie ""Cantacuzino""       Bucure?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",15917400,2082600,263785,4355663,22619448
"Modernizarea  si  dezvoltarea  liniei  tehnologice  pentru fabricarea h�rtiei","SC VRANCART SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15910000,2590000,18500000,14832011,51832011
"Modernizarea   fluxului   tehnologic   si   introducerea   de tehnologii  noi  cu  scopul  cre?terii  productivit??ii   si  a competitivit??ii pe pia?a interna si externa a SC POPECI UTILAJ GREU","SC POPECI UTILAJ GREU SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15865710,2582790,18448500,7908559,44805559
"Extinderea durabila si pe termen lung a VOESTALPESJE SERVICE      CENTER     in     Europa      de      Sud-Est","SC VOESTALPLNE STEEL SERVICE CENTER ROM�NIA SRL","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15822280,2575720,36943000,3189000,58530000
"Cre?terea   capacit??ii    de   asigurare   a   serviciilor   in domeniul construc?iilor","SC COMINCO SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15558217,2532733,18090950,9762713,45944613
"Extinderea   capacit??ii    si   eficientei    productive   prin achizi?ia   de   utilaje   si   echipamente   specifice   pentru construc?ii de drumuri la S.C. ASTALROM SA.","SC ASTALROM SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15451194,2515311,17966504,7668472,43601481
"Modernizarea activit??ii de produc?ie la SC I.A.M.U SA Blaj","SC I.A.M.U SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15323864,2494582,18545730,776565,37140741
"Modernizarea   societ??ii   NAPOMAR   prin   dezvoltarea capacit??ilor   de   produc?ie   si   cre?terea   capabilitatilor acestora","SC NAPOMAR SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15254617,2483310,18461925,2315059,38514911
"Achizi?ia de utilaje si tehnologii pentru lansarea unui produs nou: h�rtia m?tase","SC SOME? SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",15114500,2460500,17575000,19215085,54365085
"PLATFORMA PENTRU INTEGRAREA SERVICIILOR DE  E-GUVERNARE  �N   SISTEMUL   ELECTRONIC NATIONAL","AGEN?IA PENTRU SERVICIILE SOCIETATE INFORMA?IONALE","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.1       Sus?inerea implement?rii   de   solu?ii   de   e-guvernare   ?i asigurarea conexiunii la broadband, acolo unde este necesar",13341485,3004368,333589,3169818,19849259
"Extinderea si Modernizarea unui Centru de Cercetare a Tratamentului Invaziv al   Fibrila/,iei   Atriale,   ca   metoda   de   preven?ie   a insuficientei cardiace, prin dezvoltarea infrastructurii  de  cercetare-dezvoltare  la Institutul  De Boli Cardiovasculare /, Prof.Dr.GI.M.Georgescu/, Ia/,i""","Institutul de Boli Cardiovasculare ﾄProf Dr. G I. M. Georgescu"" Ia?i","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",13264500,1735500,0,3409505,18409505
"Centrale hidroelectrice de mic? putere (CHEMP) situate �n bazinul r�ului Sebe? (Zona Muntele Mic)","S.C. BALKAN HYDROENERGY S.RL.","Axa Prioritar? 4/ DMI 4.2. RES",13031084,1776966,9872030,15739420,40419500
"CERCETAREA,      DEZVOLTAREAJESTAREA      SI INTRODUCEREA   IN  PRODUC?IE  A   UNUI  NOU MODEL DE STRUNG CARUSEL DE TIP SC 70 CNC","S.C. REM Ma?ini Unelte S.RL.Bac?u","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",12406390,2541068,11028138,6962414,32938010
"IMPLEMENTAREA          EM         PRODUC?IE         A TEHNOLOGIEI   PRODUSELOR  DE   PANOFICATIE PRECOAPTE SI CONGELATE","S.C. ISIS S.R.L.CRAIOVA","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",12161861,2490983,10107424,10269471,35029739
"BEIU?        ORA?UL        GEOTER-MAL        extindere, modernizare, securizare a sistemului de �nc?lzire cu ap? geotermal �n Municipiul Beiu?","Prim?ria Municipiului Beiu?","Axa Prioritar? 4/ DMI 4.2. RES",12091770,1648878,281949,2664293,16686890
"Centru de cercet?ri avansate pentru bionanoconjugate si biopolimeri","Institutul de Chimie Macromoleculara�Petru Poni"" Ia?i","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",12010141,3648452,0,2629009,18287602
"Asistent? Tehnic? pentru Organismul Intermediar pentru Cercetare (ANCS)","ANCS",,11839757,3946586,0,2994109,18780451
"Dezvoltarea, modernizarea si protec?ia mediului la grupul de microhidrocentrale din bazinul r�ului Doftana","SC LUXTEN LIGHTING COMPANY SA","Axa Prioritar? 4/ DMI 4.2. RES DMI   5.1    -   Sprijin   pentru   managementul, implementarea, monitorizarea ?i controlul POS- CCE DMI   5.1    -   Sprijin   pentru   managementul, implementarea, monitorizarea ?i controlul POS- CCE DMI   5.1    -   Sprijin   pentru   managementul, implementarea, monitorizarea ?i controlul POS- CCE DMI   5.1    -   Sprijin   pentru   managementul, implementarea, monitorizarea ?i controlul POS- CCE DMI   5.1    -   Sprijin   pentru   managementul, implementarea, monitorizarea ?i controlul POS- CCE",11454486,1561975,13016460,20948260,46981181
"CENTRU  NATIONAL   DE   CERCETARE   UTILAJE INDUSTRIA ALIMENTARA","HELCO SRL","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",11291445,2312706,5830351,3946482,23380984
"Dezvoltarea infrastructurii de c-d fizica radia?iei uv-vis-ir x din SC Optoeelctronica-2001 SA","SC OPTOELECTRONICA-2001 SA M?gurele","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",10283984,2106358,8272458,4937522,25600322
"Modernizarea societ??ii SC Ramira SA prin achizi?ia de echipamente ?i instala?ii �nalt tehnologizate","SC RAMIRA SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",10104936,1644990,11749925,4527537,28027387
"MODERNIZAREA   LABORATORULUI   DE   MARE PUTERE      PENTRU     ATINGEREA      NIVELULUI TEHNIC       SI      CALITATIV      CORESPUNZ?TOR CERIN?ELOR UNIUNII EUROPENE","INCD si �ncerc?ri pentru Electrotehnica Craiova","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",9964727,3027095,0,2419743,15411565
"Uzina  de   biogaz   cu   cogenerare   energie   electric?   ?i termic? capacitate 716 kWe","S.C. UNICOM 3N 2000 S.RL.","""Sprijinirea   investi?iilor   �n   modernizarea   ?i realizarea  de  noi   capacit??i   de  producere  a energiei electrice ?i termice, prin valorificarea resurselor energetice regenerabile: a biomasei, a resurselor hidroenergetice (�n unit??i cu putere instalat? mai mic? sau egal? cu 10 MW), solare, eoliene,   a   biocombustibilului,   a    resurselor geotermale ?i a altor resurse regenerabile de energie""",9277374,1265097,7028314,6165983,23736768
"Decizie de finan?are DMI 1 - AMPOSCCE","AM POS CCE",,9186711,3062237,0,2327300,14576248
"Extinderea ?i modernizarea capacit??ii de produc?ie a SC EROPREFABRICATE","SC EROPREFABRICATE","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",9021797,1468665,10490462,7607744,28588668
"IMPLEMENTAREA   �N   SISTEM  E-LEARNTNG  DE PROGRAME     DE     FORMARE     �N     DOMENIUL ADMINISTRATEI PUBLICE PENTRU SPRIJINIREA DEZVOLTARE SOCIETATE INFORMA?IONALE","Agen?ia Na?ionala a Func?ionarilor Publici","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.3       Sus?inerea implement?rii de aplica?ii de e-Learning",8955703,2016734,0,2084763,13057200
"Dezvoltarea Unui Centru De Excelenta Pentru Cercetare In Domeniul Taurinelor","STA?IUNEA DE C-D PT CRE?TEREA BOVINELOR Ia?i","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",8924648,2711138,0,2171605,13807391
"Centrul   de   cercet?ri   pentru   studiul   si   intensificarea proceselor metalurgice la presiuni si temperaturi ridicate","Institutul National de Cercetare Dezvoltare pentru Metale Neferoase si Rare Bucure?ti","Axa    Prioritara    2/    O    2.2.1:    Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare) - Apel 2",8843000,1157000,133375,2334894,12468269
"Construirea unei centrale de produc?ie prin cogenerare de energie electrica si termica din biogaz","S.C. Comcereal SA. Vaslui","Axa Prioritar? 4/ DMI 4.2. RES",8115821,1106703,9222524,6978018,25423066
"Sistem de achizi?ie, prelucrare si stocare date geo-spatiale ob?inute prin senzori aeropurta?i","S.C. BLOM ROM�NIA S.R.L. Targoviste","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",7348008,1505014,8853022,3777757,21483801
"DEZVOLTAREA  SISTEMELOR INFORMATICE PE PLATFORMA     SISTEMULUI     NA?IONAL     UNIC PENTRU     APELURI     DE     URGEN??     PENTRU AGENTELE      DE      URGEN??      LA      NIVELUL MUNICIPIILOR, ALTELE DEC�T RE?EDIN?ELE DE JUDE?","Serviciul de Telecomunica?ii Speciale- UM 0572 Bucure?ti","DMI  3.2  Dezvoltarea  ?i   cre?terea  eficien?ei serviciilor publice  electronice  moderne  3.2.2 Implementarea   de    sisteme    TIC   �n   scopul cre?terii          interoperabilit??ii          sistemelor informatice",7232348,1628652,0,2589689,11450689
