nr_crt,titlu_proiect,nume_beneficiar,nume_operatiune,fonduri_ue,buget_national,contributie_beneficiar,cheltuieli_neeligibile,total_valoare_proiect,currency,uri
11,Extinderea şi modernizarea infrastructurii de apă şi apă uzată în judeţul Bistriţa-Năsăud,SC AQUABIS SA Bistriţa,Axa Prioritară 1 / DMI 1 /,265.021.293,40.532.668,6.235.793,97.130.953,408.920.707,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
12,Reabilitarea şi modernizarea sistemelor de apă şi apă uzată în judeţul Vrancea,SC Compania de Utilităţi Publice SA Focşani,Axa Prioritară 1 / DMI 1 /,341.888.814,52.288.876,8.044.446,123.134.314,525.356.450,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
13,Sistem de management integrat al deşeurilor solide în judeţul Bistriţa-Năsăud,Consiliul Judeţean Bistriţa- Năsăud,Axa Prioritară 2/ DMI 1/ Dezvoltarea sistemelor integrate de management al deşeurilor şi extinderea infrastructurii de management al deşeurilor,113.367.882,25.507.773,2.834.195,42.838.956,184.548.806,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
14,Sistem de management integrat al deşeurilor solide în judeţul Vrancea,Consiliul Judeţean Vrancea,Axa Prioritară 2/ DMI 1/ Dezvoltarea sistemelor integrate de management al deşeurilor şi extinderea infrastructurii de management al deşeurilor,113.938.732,25.636.215,2.848.468,39.732.283,182.155.698,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
15,Sistem de management integrat al deşeurilor solide în judeţul Giurgiu,Consiliul Judeţean Giurgiu,Axa Prioritară 2/ DMI 1/ Dezvoltarea sistemelor integrate de management al deşeurilor şi extinderea infrastructurii de management al deşeurilor,82.923.449,18.657.776,2.073.086,30.632.778,134.287.089,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
16,Sistem de management integrat al deşeurilor solide în judeţul Arad,Consiliul Judeţean Arad,Axa Prioritară 2/ DMI 1/ Dezvoltarea sistemelor integrate de management al deşeurilor şi extinderea infrastructurii de management al deşeurilor,90.324.607,20.323.043,2.258.115,32.735.278,145.641.043,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
17,Reabilitarea sistemului de termoficare din municipiul Iaşi în vederea conformării cu standardele de mediu privmd emisiile poluante în atmosferă şi pentru creşterea eficienţei energetice în alimentarea cu căldură urbană,Municipiul Iaşi,Axa prioritară 3/ DMI 1 / Reabilitarea sistemelor urbane de încălzire în zonele fierbinţi (hot-spot),126.639.588,113.975.630,12.663.959,48.123.044,301.402.221,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
18,"Elaborarea strategiilor de conservare, a planurilor de monitorizare şi dezvoltare durabilă pentru SCI Defileul Mureşului Inferior","Universitatea de Vest ""Vasile Goldiş""",Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,667.080,166.770,0,159.466,993.316,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
19,Conservarea biodiversităţii şi informarea publicului. Diagnoză şi intervenţie!,Asociaţia ECOVAS Vaslui,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,206.320,51.580,0,63.019,320.919,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
20,Reconstrucţia Ecologică a Bălţii Comana - jud.Giurgiu,Consiliul Judeţean Giurgiu,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,4.994.008,1.248.502,0,1.167.498,7.410.008,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
21,"Elaborarea unui suport cartografic digital de rezoluţie înaltă necesar implementării planurilor, strategiilor şi a schemelor de management în Rezervaţia Biosferei Delta Dunării",INCDD Tulcea,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,3.377.470,844.367,0,897.688,5.119.525,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
22,Pregătirea documentelor suport în vederea implementării procesului de menţinere şi îmbunătăţire a stadiului de conservare a Rezervaţiei Naturale Dunele marine de la Agigea,"Universitatea ""Alexandru Ioan Cuza2 Iaşi, Staţiunea Biologică Marină ""Prof. Dr.Ioan Borcea"" Agigea",Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,422.046,105.511,0,120.073,647.630,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
23,"Îmbunătăţirea stării de conservare a biodiversităţii marine din zona costieră românească, în special a delfinilor",ONG Nare Nostrum Constanţa,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,440.038,110.009,0,119.883,669.930,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
24,Evaluarea stării de conservare a habitatelor de interes comunitar din ROSCI0017 Caian în vederea elaborării unui management conservativ şi durabil specific siturilor Natura 2000,Institutul de cercetări biologice Cluj-Napoca,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,649.129,162.282,0,168.273,979.684,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
25,Activităţi de informare a populaţiei locale şi a turiştilor cu privire la 3 arii protejate din Depresiunea Trascăului,Asociaţia Biounivers,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,208.144,52.036,0,54.985,315.165,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
26,Plan de management pentru situl Natura 2000: lacurile de acumulare Buhuşi-Bacău-Bereşti şi campanie de conştientizare a publicului,APM Bacău,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,327.110,81.777,0,103.204,512.091,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
27,Măsuri pentru managementul speciilor de păsări de interes comunitar din Parcul Natural Vânători-Neamţ prin implicarea comunităţilor locale din comuna Vânători-Neamţ,Consiliul Local al comunei Vânători Neamţ,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,990.962,247.741,0,255.611,1.494.314,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
28,Management integrat al reţelei de situri marine Natura 2000 (SCI) de la litoralul românesc,Universitatea de Ştiinţe Agronomice şi Medicină Veterinară Bucureşti,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,3.061.891,765.473,0,773.079,4.600.443,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
29,Sistem informatic integrat - suport pentru managementul ARBDD în vederea îmbunătăţirii stării de conservare a ecosistemelor,Administraţia Rezervaţiei Biosferei Delta Dunării,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,15.797.425,3.949.356,0,3.773.446,23.520.227,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
30,Aria naturală protejată Gruia-Gârla Mare. Conservarea biodiversităţii în perspectiva dezvoltării durabile,Asociaţia PRO Mehedinţi,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,1.085.240,271.310,0,325.871,1.682.421,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
31,Managementul conservativ şi participativ al sitului ROSCI0229 SIRIU,Consiliul Judeţean Buzău,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,826.118,206.530,0,283.850,1.316.498,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
32,Managementul conservativ şi participativ al sitului ROSCI0190 PENTELEU,Consiliul Judeţean Buzău,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,956.852,239.213,0,314.899,1.510.963,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
33,Măsuri de eficientizare a managementului conservativ şi participativ în zona Munţilor Măcinului,Centrul Naţional de Dezvoltare Durabilă Romania,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,1.925.690,481.423,0,433.614,2.840.727,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
34,Gestionarea durabilă a patrimoniului natural din Aria Naturală Protejată Răcaş-Hida - Sit de Interes Comunitar,Agenţia pentru Protecţia Mediului Sălaj,Axa Prioritară 4/ DMI 1/ Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2000,751.635,187.909,0,148.761,1.088.305,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
35,Măsuri de management conservativ al biodiversităţii Parcului Naţional Munţii Rodnei,RNP Romsilva Administraţia Parcului Naţional Munţii Rodnei,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,1.169.040,292.260,0,738.700,2.200.000,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
36,Imbunătăţirea statutului de conservare a speciei zimbru în Parcul Natural Vânători Neamţ,RNP Romsilva Administraţia Parcului Natural Vânători Neamţ,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,784.154,196.039,0,484.928,1.465.121,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
37,Îmbunătăţirea statutului de conservare a speciei Tetrao tetrix (cocoşul de mesteacăn) în Parcul Naţional Călimani,RNP Romsilva Administraţia Parcului National Calimani,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,546.373,136.593,0,173.744,856.710,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
38,Managementul speciei de urs brun şi diminuarea conflictelor directe om-urs în Parcul Natural Bucegi ca zonă model şi pentru alte arii protejate,RNP Romsilva Administraţia Parcului Natural Bucegi,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,493.220,123.305,0,133.100,749.625,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
39,Studii şi cercetări ale avifaunei din Defileul Oltului şi conştientizarea factorilor de interes pentru un management protectiv al acesteia,RNP Romsilva Administraţia Parcului Naţional Cozia,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,101.945,25.486,0,24.212,151.644,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
40,Revizuirea planului de management al Parcului Naţional Buila- Vânturariţa şi strategia de monitorizare a conservării habitatelor şi speciilor de interes comunitar,RNP Romsilva Administraţia Parcului Naţional Buila- Vânturariţa,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,739.872,184.968,0,175.720,1.100.560,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
41,Măsuri de îmbunătăţire a managementului siturilor NATURA 2000 în Parcul Natural Porţile de Fier,RNP Romsilva Administraţia Parcului Natural Porţile de Fier,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,209.916,52.479,0,89.855,352.250,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
42,Măsuri de îmbunătăţire a managementului şi conştientizare publică în Parcul Naţional Defileul Jiului,RNP Romsilva Administraţia Parcului Naţional Defileul Jiului,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,836.292,209.073,0,198.619,1.243.984,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
43,"Elaborarea strategiilor de conservare, a planurilor de monitorizare şi actiunilor de comunicare pentru Parcul Naţional Semenic-Cheile Caraşului",RNP Romsilva Administraţia Parcului Naţional Semenic - Cheile Caraşului,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,209.998,52.500,0,49.875,312.373,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
44,Elaborarea măsurilor de conservare şi monitorizare în vederea revizuirii Planului de Management al Parcului Natural Gradiştea Muncelului-Cioclovina,RNP Romsilva Administraţia Parcului Natural Grădiştea Muncelului- Cioclovina,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,687.441,171.860,0,200.873,1.060.174,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
45,Elaborarea studiilor preliminare măsurilor de management conservativ al Parcului Natural Lunca Mureşului,RNP Romsilva Administraţia Parcului Natural Lunca Mureşului,Axa Prioritară 4 / DMI 1 / Dezvoltarea infrastructurii şi a planurilor de management în vederea protejării biodiversităţii şi Natura 2001,1.003.346,250.837,0,610.264,1.864.447,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
46,Asistenţă tehnică pentru AM şi OI POS Mediu (2008),AM POS Mediu + 8 OI POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,12.374.099,4.124.700,0,3.134.772,19.633.571,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
47,Sprijin pentru AM şi OI POS Mediu prin dotarea cu echipamente necesare derulării activităţii (2008),AM POS Mediu + 8 OI POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,4.218.487,1.406.162,0,1.068.683,6.693.332,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
48,"Organizare seminarii ""Sprijin pentru implementarea POS Mediu prin organizarea de acţiuni pe teme specifice"" (2008)",AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,132.844,44.281,0,33.654,210.779,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
49,Sprijin pentru pregătirea întâlnirilor Comitetului de Monitorizare POS Mediu (2008),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,146.085,48.695,0,37.008,231.788,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
50,Misiuni de consolidare a sistemului de management al POS Mediu (2008),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,139.500,46.500,0,35.340,221.340,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
51,Sprijin în derularea activităţii AM şi OI POS Mediu (2008),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,205.445,68.482,0,52.046,325.973,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
52,Cheltuieli generale de administraţie pentru AM şi OI POS Mediu (2008),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,2.666.682,888.894,0,675.559,4.231.135,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
53,Asistenţă tehnică pentru AM şi OI POS Mediu (2009),AM POS Mediu + 8 OI POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,10.379.655,3.459.885,0,2.629.513,16.469.053,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
54,Organizare Seminarii/ Instruiri pe teme specifice (2009),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,657.979,219.326,0,166.688,1.043.993,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
55,Organizarea întâlnirilor Comitetului de Monitorizare POS Mediu (2009),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,186.615,62.205,0,47.276,296.096,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
56,Misiuni de Consolidare a sistemului de management al POS Mediu (2009),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,324.453,108.152,0,82.195,514.800,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
57,Sprijin în derularea activităţii AM şi OI POS Mediu (2009),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,740.025,246.675,0,187.473,1.174.173,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
58,Cheltuieli generale de administraţie pentru AM şi OI POS Mediu (2009),AM POS Mediu,Axa Prioritară 6/ DMI 1/ Sprijin pentru managementul şi evaluarea POS,4.672.454,1.557.485,0,1.183.689,7.413.628,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
59,2010-Asistenţă juridică pentru POS Mediu,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,482.625,160.875,0,122.265,765.765,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
60,2010-Sprijinirea activităţii Comitetului de Monitorizare POS Mediu pentru 2010,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,128.700,42.900,0,32.604,204.204,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
61,2010-Elaborarea politicii naţionale de gestionare a nămolurilor de epurare,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,6.435.000,2.145.000,0,1.630.200,10.210.200,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
62,2010 - Sprijinirea procesului de schimb de informaţii/experienţă între România şi statele membre în contextul implementării POS Mediu,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,162.226,54.075,0,41.097,257.399,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
63,"2010 - Sprijin privind managementul fondurilor structurale şi de coeziune prin calificări relevante în domeniul financiar-contabil, schimburi şi abordare integrată de bune practici",DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,916.988,305.663,0,232.304,1.454.954,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
64,2010 - Achiziţionarea unui serviciu de monitorizare a sistemelor de alarmă pentru 6 sedii OI POS Mediu,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,24.131,8.044,0,6.113,38.288,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
65,"2010 - Achiziţionarea de servicii de certificare, semnătură electronică",DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,16.088,5.363,0,4.076,25.526,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
66,"2010 - Întreţinere şi reparare echipamente informatice, de comunicaţii şi periferice de calcul, întreţinere, actualizare şi dezvoltare aplicaţii informatice contractate",DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,1.621.555,540.519,0,410.794,2.572.868,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
67,2010 - Achiziţie aplicaţie IT pentru asigurarea funcţionalităţii resurselor informatice ale AM şi OI POS Mediu,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,321.750,107.250,0,81.510,510.510,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
68,"2010 - Achiziţionarea de publicaţii, cărţi şi reviste de specialitate",DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,31.853,10.618,0,8.070,50.541,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
69,2010 - Misiuni de consolidare a sistemului de management al AM şi OI-urilor în vederea implementării POS Mediu,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,162.226,54.075,0,41.097,257.399,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
70,2010 - Asigurarea chiriilor spaţiilor AM şi OI,DG AM POS Mediu,Axa Prioritară 6 / DMI 1 /,2.252.250,750.750,0,570.570,3.573.570,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
71,Sprijin pentru publicitatea POS Mediu (2008),AM POS Mediu,Axa Prioritară 6/ DMI 2/ Sprijin pentru informare şi publicitate,5.633.302,1.877.767,0,1.427.102,8.938.171,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
72,Informarea şi publicitatea POS Mediu (2009),AM POS Mediu,Axa Prioritară 6/ DMI 2/ Sprijin pentru informare şi publicitate,2.088.158,696.053,0,529.000,3.313.211,LEI,http://localhost:9999/Lista_contractate_POS_Mediu_30_aprilie_2010.pdf
