ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
43,Aptive Software Group GmbH,"Umstrukturierung und Umsetzung eines neuen Marketing- und
Vertriebskonzeptes",2008,2009,,"10,000.00"
44,Aquarienbau Klaus-Jürgen Schwarz,"Konzeptionierung, Vorbereitung und Begleitung des
Unternehmensve rkaufs",2009,,"6,400.00",
45,Arbeitsgemeinschaft Ferienresort Bad Bentheim,"Projektenbtwicklung und Betrieb der Ferienresortanlage mit
Gastronomie sowie Freizeitbereich in Bad Bentheim",2008,,"1,736,600.00",
48,Architekt Torsten Warnecke,"Herstellung eines einheitlichen Erscheinungbildes zum
nachhaltigen Imageaufbau",2008,2008,,"2,000.00"
49,Architektengruppe Schweitzer + Partner GbR,"Erstellung eines umfassenden Marketing und Vertriebskonzeptes
sowie eines projektbezogenes Vertriebscontolling",2008,,"7,200.00",
50,arcutronix GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
51,arcutronix GmbH,"FCX10G - Überwachter Repeater für optische
Nachrichtenübertragung",2008,,"82,300.00",
52,Artec Technologies AG,Verbesserung der Fremdfinanzierungsfähigkeit,2009,,"10,000.00",
53,Artemis Kautschuk und Kunststoff- Technik GmbH,Nichtmagnetischer Hochleistungs-Mud-Motor in Kompaktbauweise,2009,,"208,300.00",
54,Artur Betten Bauunternehmen GmbH,Neuausrichtung und Kompetenzentwicklung,2007,2008,,"4,000.00"
55,AS Solar GmbH,"Entwicklung und Umsetzung eines neuen Marketing- und
Vertriebskonzeptes",2008,2008,,"10,000.00"
56,"aserto Kommunikationsanalyse und Beratung GmbH & Co.
KG",Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
57,"aserto Kommunikationsanalyse und Beratung GmbH & Co.
KG",Einstellung eines Hochschulabsolventen,2008,,"4,275.00",
58,ASM Dimatec GmbH,"Entwicklung und Umsetzung einer Maketing- und Vertriebs-
strategie",2008,2009,,"10,000.00"
59,Atelier für Architektur & Design,Entwicklung von Marketingstrategien für den Markteintritt in Pol en,2009,,"4,000.00",
60,Atelier Metall ART,Gründung und Aufbau des Unternehmens Atelier Metall ART,2009,,"18,000.00",
61,atka Kunststoffverarbeitung GmbH,"Innovatives Stallsystem zur energiesparenden, tiergerechten und
gesundheitsfördernden Haltung von Mastschweinen",2008,,"100,000.00",
62,ATL Anlagentechnik Luhden GmbH,Erweiterung einer Betriebsstätte,2007,2009,,"21,100.00"
63,Auto Jacobsen,"Betriebliche Bestandsaufnahme und Erstellung eines
Marketingkonzeptes",2009,,"8,000.00",
64,Auto Jacobsen,"Strukturelle Konzeptionsentwicklung und Coaching im Rahmen der
Vorbereitungsphase zur Nachfolgeregelung",2008,2008,,"10,000.00"
65,Auto Schuder Inhaber Karl Schuder,Erarbeitung eines Nachfolgekonzeptes und Umsetzung,2008,2009,,"9,600.00"
79,Auto-Import Jelken,"Vorbereitug und Begleitung der Nachfolgeregelung im Rahmen der
angestrebten Unternehmensübergabe",2007,2008,,"6,000.00"
66,AutoGasCentrum Hannover GmbH,Entwicklung eines neuen Marketingkonzeptes,2009,,"10,000.00",
67,AutoGasCentrum Hannover GmbH,"Entwicklung und Umsetzung eines neuen Marketing- und
Vertriebskonzeptes",2008,2008,,"10,000.00"
68,Autohaus am Tannenkamp GmbH,"Entwicklung einer neuen Marketingstruktur, Stärkung der Vertrieb
sleistung, Coaching",2007,2008,,"10,000.00"
71,Autohaus Beuermann,Strukturierung und Planung der Unternehmensnachfolge,2009,,"3,600.00",
72,Autohaus Eihusen & Wilken GmbH & Co. KG,"Strategische Neuausrichtung, Erhöung der Marktanteile,
Prozessoptimierung",2008,2009,,"10,000.00"
73,Autohaus Fehrmann,"Konzeptionelle und begleitende Beratung zu Maßnahmen,
Planungs- und Umsetzungsgesprächen der
Beteiligungskapitalsuche",2008,2008,,"8,000.00"
74,Autohaus Halm GmbH,Umfassende Beratung hinsichtlich der Marketingkonzeption,2008,2008,,"10,000.00"
75,Autohaus Heyna GmbH,Erstellung und Umsetzung eines neuen Marketingkonzeptes,2008,2008,,"10,000.00"
76,Autohaus Hild & Comp. GmbH,Aufbau eines zentralen Marketingsystems,2009,,"4,250.00",
77,Autohaus Peters GmbH,"Erhalt bzw. Ausbau von Arbeitsplätzen im Autohaus Peters durch
Marketingberatung",2008,2009,,"10,000.00"
78,Autohaus Wolfgang Mock GmbH & Co. KG Ingomar Mock,Entwicklung einer Marketingstrategie und eines Marketingplanes,2008,2008,,"10,000.00"
80,Autoimport Jelken GmbH,"Neuausrichtung und Kompetenzentwicklung zur
Marketingstrategie",2008,2008,,"10,000.00"
81,Averes Bürotechnik,Einstellung eines Hochschulabsolventen,2008,,"12,000.00",
82,AWesA GmbH,Entwicklung eines vermarktungsfähigen Konzeptes,2008,,"9,700.00",
83,AWUKO ABRASIVES Wandmacher GmbH & Co. KG,Erweiterung/Modernisierung der Betriebsstätte,2007,,"1,060,000.00",
84,axanta AG,"Erhöhung des Bekanntheitsgrades, Ausbau des Vertriebs und des
Marketings",2007,2008,,"6,000.00"
85,"Ayse Akcan, Friseurbetrieb","Erhöhung der Auslastung der Kapazitäten durch Erstellung eines
M arketingkonzeptes",2009,,"4,500.00",
86,B. Neteler,Erstellung eines Übergabemodells,2008,2008,,"2,100.00"
87,Bäcker Wolf GmbH,"Organisation, Moderation und Auswertung einer Kundenbefragung",2008,,"2,800.00",
88,Bäckerei & Konditorei Friedrich Göing,Erstellung eines Marketingkonzeptes,2008,,"4,400.00",
89,Bäckerei H. Meyer & Sohn GmbH,"Aufbau einer Netzwerkgemeinschaft von Kunden als Testimonials
im ""MMM""-Marketing",2009,,"10,000.00",
90,Bäckerei H. Meyer & Sohn GmbH,"Ausloten von Marketingkonzeptionellen Varianten im Bereich
""Event"" und ""Crossmarke""",2008,2008,,"10,000.00"
91,Bäckerei Karl Biel GmbH & Co. KG,Erfolgreiche Positionierung im Wettbewerbsumfeld,2009,,"3,600.00",
94,Bäckerei Otten Ulrich Otten,Optimierung der Marketingstrategie und -kompetenz,2009,2009,,"6,000.00"
95,Bäckerei Zimmermann,Erarbeitung einer Marketingkonzeption,2008,,"10,000.00",
96,backslash-n GmbH & Co. KG,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
97,Bahlsen GmbH & Co. KG,"Entwicklung einer IT-gestützten Rückverfolgbarkeitslösung für
Produktionslinien unter Berücksichtigung von Chargen",2008,,"171,958.00",
98,Bahlsen GmbH & Co. KG,"Entwicklung eines neuartigen Snacking Produktes Bahlsen
Hannover",2008,,"502,051.00",
99,Bahlsen GmbH & Co. KG,Entwicklung neuartiger Füllungen für kombinierte Süßwaren,2008,,"259,453.00",
100,Bahlsen GmbH & Co. KG,Entwickung eines neuartigen Keks-Müsli-Produktes,2008,,"511,147.00",
101,Baron-Well GmbH,Errichtung einer Betriebsstätte,2007,,"87,000.00",
102,Barthauer Software GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
103,Barthauer Software GmbH,"Unterstützung bei der Entwicklung und Umsetzung einer
Marketingstrategie zur Erweiterung des Absatzmarktes",2008,,"8,000.00",
104,Bau Universum,"Entwicklung einer langfristigen Strategie zur Verbesserung des M
arkenauftritts",2008,,"2,000.00",
105,Bauindustrieverband Niedersachsen-Bremen e.V.,"Modernisierung der Internate I und II im Bau-ABC Rostrup in Bad
Zwischenahn",2007,,"2,529,744.00",
106,Bauunternehmen Drechsel,Entwicklung der langfristigen Strategie und des Marktauftrittes,2007,2008,,"1,600.00"
107,Bauzentrum W. Schierholz GmbH,Einwerbung von Beteiligungskapital um Eigenkapital zu stärken,2008,,"10,000.00",
108,Beatrix Huesmann,Vorbereitung der Übergabe des Betriebes,2009,,"10,000.00",
109,Becker' s Bier- und Kegelstuben Ralf Schulte,Marketingkonzept,2008,,"3,400.00",
110,Beckmann Verlag GmbH & Co. KG,Verbesserung- und Aufbau von Alleinstellungsmerkmalen,2008,2009,,"2,800.00"
111,Beinsen Transporte GmbH,Planung und Durchführung der Unternehmensberatung,2008,,"6,400.00",
112,BeMo GmbH & Co.KG,Erweiterung einer Betriebsstätte,2007,,"67,600.00",
113,Benzinger Feinwerktechnik,Marketing und Werbung für Neukunden,2008,2009,,"3,500.00"
114,"Beratungs-und Koordinierungsstelle Frau und Beruf VHS BS
gGmbH",Beratungs-und Koordinierungsstelle Frau und Beruf,2007,2009,,"116,088.24"
115,"Beratungs-und Koordinierungsstelle Frau und Beruf VHS BS
gGmbH",Koordinierungsstelle Frauen und Wirtschaft,2008,,"114,435.13",
116,Bergmann Maschinenbau GmbH & Co. KG,Konzeptionelle Beratung beim Re-Design der Dumper-Serie 2000,2008,2008,,"10,000.00"
119,Bergstadt Clausthal-Zellerfeld,Einzelhandelskonzept für das Mittelzentrum Clausthal-Zellerfeld,2009,,"20,000.00",
120,Bernh. Harmdierks GmbH,"Begleitende und konzeptionelle Marketingberatung mit dem
Schwerpunkt Online-Marketing",2008,2008,,"5,200.00"
121,Bernh. Harmdierks GmbH,"Begleitenden und konzeptionelle Marketingberatung mit dem
Schwerpunkt Online Marketing",2008,2009,,"4,800.00"
122,Bernhard Poll Schornsteintechnik GmbH,Entwicklung eines Rußgasfilters,2008,,"52,500.00",
123,"Berufsbildungs- und Technologiezentrum des Handwerks
GmbH",Modernisierung BTZ in Lingen,2009,,"867,990.00",
124,"Berufsbildungs- und Technologiezentrum des Handwerks
GmbH",Modernisierung BTZ Meppen,2009,,"283,173.00",
125,"Berufsbildungs- und Technologiezentrum des Handwerks
GmbH",Modernisierung BTZ Nordhorn,2009,,"985,381.60",
126,Beton-Werk Wegener GmbH,"Anpassung des Produktportfolios an die Kundennachfrage und
Ent- wicklung eines Marketingkonzeptes",2008,2008,,"4,700.00"
127,Betten Gersmann GmbH,"Marketingkonzept, Refreshing des Unternehmens",2008,,"3,200.00",
128,BFK Bildungsforum Kraftverkehr GmbH,Beratung zum Corporate Design,2009,,"2,800.00",
129,BFK Bildungsforum Kraftverkehr GmbH,Erstellung eines Marketingkonzeptes zur Existenzgründung,2009,,"2,800.00",
130,"Bildungsvereinigung Arbeit und Leben Nds. Mitte
gemeinnützige GmbH","Interkulturelle Kompetenzaneignung im Prozess des selbst gesteu
erten Lernens",2008,,"122,360.00",
131,"Bildungsvereinigung Arbeit und Leben Nds. Ost
gemeinnützige GmbH",Koordinierungsstelle Frau und Wirtschaft Wolfsburg-Gifhorn,2007,2009,,"122,463.82"
132,"Bildungsvereinigung Arbeit und Leben Nds. Ost
gemeinnützige GmbH",Koordinierungsstelle Frau und Wirtschaft Wolfsburg-Gifhorn,2008,,"125,008.12",
133,Bildungswerk des Lingener Handwerks e.V.,Modernisierung der Werkstätten Elektro und Metall,2009,,"373,749.00",
134,Binner IMS GmbH,"Semantische Pfad-Navigatorenentwicklung für das Themenfeld
""Organisationale Wissensbasis""",2007,,"150,000.00",
135,Bley Fleisch- und Wurstwaren GmbH,"Erweiterung und Umstellund oder grundlegende Rationalisierung
einer Betriebsstätte",2007,2009,,"300,517.95"
136,Blowfill,"Entwicklung einer langfristigen Marketingstratgegie und des
Marktauftrittes des Unternehmens",2008,2009,,"1,031.25"
137,BMF Beteiligung GmbH,Entwicklung eines strategischen Marketingkonzeptes,2009,,"4,800.00",
144,bo-tech GmbH & Co. KG,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
138,Borkowski Schwertransport- Logistik,"Erstellung eines Marketing- und Vertriebskonzeptes zur Image-
und Verkaufsförderung",2008,,"10,000.00",
141,Bormann Elektrobau GmbH,"Erstellung eines Planungs- und Umsetzungssystems für die
Raumautomation",2008,,"50,100.00",
142,Bosch & Partner GmbH,"Herleitung von Zielen und Überarbeitung des vorhandenen Ge-
schäftskonzepts",2007,2008,,"10,000.00"
143,"BOSNA Bodenbeläge Service + Handel GmbH & Co. KG
Martin Wilhelm","Businessplanerstellung sowie Investitions- und Finanzierungs-
planung für die Geschäftsausweitung um ein logistisches",2008,2009,,"10,000.00"
145,Brauerei Herrenhausen GmbH & Co. KG,"Erstellung/ Umsetzung eines neuen Marketingkonzeptes zu
Verkaufs förderung der Produkte bzw. Imageförderung",2008,,"10,000.00",
146,Braunschweiger Informatik- und Technologie-Zentrum GmbH,"Informations- und Kommunikationstechnologie für ein Gesundheits
netzwerk in der Region Braunschweig",2009,,"829,008.00",
147,Brille24 GmbH,Errichtung einer Betriebsstätte,2007,,"111,000.00",
148,Brille24 GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
149,Brilliant Brautmoden,Entwicklung einer Corporate Identity,2008,2009,,"8,404.03"
150,Brunne Werbetechnik,Konzeptioneller Neuaufbau des gesamten Werbekonzeptes,2008,2008,,"8,350.00"
151,"Brunnenkopp Wilhelm Kopp, Inhaber Horst Kopp","Erhöhung der betriebswirtschaftlichen Tranparenz für
Führungsentscheidungen im Nachfolgeprozess",2008,2009,,"6,800.00"
152,Bruno der Oldenbäcker GmbH  Stefan Tönnies,"Erarbeitung praxisnaher Maßnnahmeninhalte im Rahmen des
Marketing-Mix für Bäckereibetriebe",2008,2009,,"2,651.04"
153,BS Rotor Technik GmbH & Co. KG,Entwicklung eines strategischen Marketinginstruments,2008,,"6,000.00",
154,BS Rotor Technik GmbH & Co. KG,Erweiterung einer Betriebsstätte,2008,,"110,900.00",
155,BTC Braunschweiger Tank Cleaning GmbH,"Entwicklung und Umsetzung eines umfassenden
Marketingkonzeptes",2008,,"7,200.00",
156,BTC Braunschweiger Tankcleaning Detlef Beyer,"Gewinnung von Finanzierungspartnern, Gewinnung von
Beteiligungsinvestoren",2008,2008,,"7,400.00"
157,BTool,Erstellung und Umsetzung eines neuen Marketingkonzeptes,2008,,"10,000.00",
158,"Bundesfachschule für Betriebswirtschaft im
Kraftfahrzeuggewerbe e.V.",Erweiterung des Schulgebäudes in Northeim,2008,,"599,728.00",
159,"Bundestechnologiezentrum für Elektro- und
Infomationstechnik e.V.","Ergänzung und Modernisierung der Ausstattung für Werkstätten
und Unterrichtsräume im Bundestechnologiezentrum Oldenburg",2009,,"412,073.00",
160,Büppelmann Transport Ralf Büppelmann,Beratung zur Durchführung der Unternehmensübergabe,2007,2008,,"4,000.00"
161,Büro-Albers GmbH & Co. KG,Entwicklung eines Marketingkonzeptes,2008,2009,,"4,000.00"
164,BVE Holding SE,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
165,Cadera GmbH & Co KG,"Erarbeitung des Alleinstellungsmerkmales im Wettbewerbsumfeld;
Ausarbeitung eines Kommunikationskonzeptes",2008,,"2,800.00",
166,Cafeserie GmbH,Optimierung des Marketingkonzeptes,2009,,"10,000.00",
167,Cardiopep Pharma GmbH,"Beteiligungsberatung zur Einwerbung von Kapital zum Zweck der
Fi nanzierung und Durchführung der Phase III-Studien",2009,,"10,000.00",
168,Carl v. Ossietzky Universität Oldenburg,Automatisiertes Dokumentationssystem in der Chirurgie,2008,,"208,215.20",
169,Carl v. Ossietzky Universität Oldenburg,"Bedarfs- und Machbarkeitsstudie zum elektronischen Energiezertif
ikat",2008,,"22,140.57",
170,Carl v. Ossietzky Universität Oldenburg,EduKult 3,2008,,"886,625.10",
171,Carl v. Ossietzky Universität Oldenburg,"Entwicklung einer chalkopyritbasierten Photovoltaiktechnologie f ür
industriell gefertigte Dünnschicht-Solarzellen",2008,,"245,861.00",
172,Carl v. Ossietzky Universität Oldenburg,"Entwicklung eines  Solvency II-kompatiblen
Risikomanagementsyste ms für kleine VVaG",2008,,"180,815.79",
173,Carl v. Ossietzky Universität Oldenburg,"Erhöhung der Wettbewerbsfähigkeit durch ein Master-Programm
Inno vationsmanagement im Netzwerk aus Wirtschaft und
Universität",2008,,"727,262.00",
174,Carl v. Ossietzky Universität Oldenburg,Gründercampus,2008,,"159,615.00",
175,Carl v. Ossietzky Universität Oldenburg,HistEx,2008,,"264,886.35",
176,Carl v. Ossietzky Universität Oldenburg,"Netzwerk für multilinguale Hör- und Sprachverständlichkeits- Dia
gnostik (HurDig)",2008,,"2,136,250.07",
177,Carl v. Ossietzky Universität Oldenburg,PACO - Pool-Antrag der Carl von Ossietzky Universität Oldenburg,2008,,"215,000.00",
178,Carnehl KG,"Erstellung eines Marketingplanes;Neuausrichtung
Reparaturbereich",2008,2009,,"8,400.00"
179,CEMAG Anlagenbau GmbH,Neubau Bürogebäude und Schulungscenter,2007,,"913,800.00",
180,Christian Keindorf,Gründung und Aufbau des Unternehmens SKI,2009,,"18,000.00",
181,christmann informationstechnik+medien GmbH & Co. KG,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
182,Cinogy GmbH,Erweiterung der Betriebsstätte,2007,,"17,700.00",
183,Cinogy GmbH,"Neuartiges Verfahren zur Detektion und Analyse von
Laserstrahlen im Infrarotbereich",2008,,"45,340.00",
184,Civilserve GmbH,Erstellung eines Marketingkonzeptes,2008,2009,,"10,000.00"
187,Claasen Haustechnik GmbH,"Erarbeitung von Marketingmaßnahmen, Aufbau eines Marketing-
Controllings, Unterstützung bei der Umsetzung",2008,2009,,"10,000.00"
188,Claus Lüttmann Tischlerei,Entwicklung eines strategischen Marketingkonzeptes,2008,,"6,000.00",
189,ClinTrio Limited,"Entwicklung einer langfristigen Marketingstrategie des
Unternehmens",2008,2009,,"10,000.00"
190,ColorGATE Digital Output Solutions GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
191,Computerhandel und Service Rainer Erxleben,Entwicklung einer Marketingkonzeption,2008,2009,,"4,800.00"
192,Confettisportswear GmbH,"Marketingberatung zum Zweck der Analysierung von Chancen und
Her ausforderungen",2009,,"10,000.00",
193,Consieco GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2008,,"10,000.00"
194,Continental Teves Ag & Co. OHG,Elektrische Maschine und Reducer Compactclass-EMR,2009,,"1,556,100.00",
195,Conversion Studio GbR,Gründung und Aufbau des Unternehmens Conversion Studio GbR,2009,,"18,000.00",
196,"Cosh Jewellry, Herr Jörg Buss",Entwicklung u.a. eines Markennamens und der Imagewebsite,2008,,"5,000.00",
197,CPS Programmier-Service GmbH,Betriebsverlagerung mit Erweiterung,2007,,"106,400.00",
198,Crone Wärmetechnik GmbH,"Weiterentwicklung eines thermischen Abgasreinigungssystems
mittels neuartiger Gasbrennertechnologie",2008,,"85,400.00",
199,Culture Communication Irka Fuerle,Beratung im Hinblick auf wirtschaftliche Marktpositionierung,2008,2008,,"4,000.00"
200,CUTEC-Institut GmbH,"Entwicklung und Erprobung einer Brennertechnologie zum Einsatz
i n thermischen Nachverbrennungsanlagen mit katalytischer Stufe",2008,,"251,368.00",
201,Cutting Edge Coatings GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
202,Dagmar Bolz,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2008,,"10,000.00"
203,Dämmstoff Vertrieb Rüdiger Brüling GmbH,Erstellung einer Konzeption zur Unternehmensnachfolge,2008,2009,,"2,100.00"
204,Data Assessment Solutions GmbH,"Erstellung eines Marketingkonzeptes zur Image- und
Verkaufsförde rung",2009,,"10,000.00",
205,DBL Eggers Textilpflege GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2008,,"6,000.00"
206,dbr Consult Ingeniergesellschaft,Marketingberatung zur Existenzsicherung des UNternehmens,2007,2008,,"8,000.00"
207,DC Gesellschaft für dentritic-cell- Therapie mbH,"Entwicklung immunkompetenter DC für die Tumortherapie durch
die Verwendung von Toll like Rezeptoren Agonisten",2008,,"190,600.00",
208,Delphi Consulting GmbH,"Erstellung eines Marketingskonzeptes und begleitende
Unterstützung bei der Einführung und Umsetzung",2009,,"10,000.00",
211,DELPHI FUBA Delphi Delco Electronics Europe GmbH,"Integrierte Multifunktionsantennen als konforme Metallstrukturen in
Gehäuseteilen",2007,,"216,000.00",
212,Der City Bäcker Abeln  Bernd Abeln jr.,"Erarbeitung praxisnaher Maßnahmeninhalte im Rahmen des
Marketing Mix, begleitende konzeptionelle Beratung auf
Führungsebene",2008,2009,,"2,653.50"
213,Der neue Klapprodt,"Begleitende und konzeptionelle Beratung für ein neues
Marketingkonzept",2008,2009,,"2,800.00"
214,Der Welskeller,"Ausbau der Marktposition des Unternehmens durch Stärkung der
Wet tbewerbsfähigkeit",2009,,"6,000.00",
215,Desmold GmbH i.G.,Errichtung einer Betriebsstätte,2007,,"177,600.00",
216,Deutsches Institut für Kautschuktechnologie,Investitionen Nano Projekte,2008,,"740,000.00",
