name_des_begunstigten,bezeichnung_des_vorhabens,"jahr_der_bewilligung
",jahr_der_abschliessenden_restzahlung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
Visseler Pflegedienst Inh. Heike Rathmann,"Aufbau eines Marketings für den Pflegedienst; Bekanntmachung
des Pflegedienstes als lokale Marke",2008,2009,,4800
Vital Apotheke Klaus-Peter Körber,Entwicklung einer Marketingstrategie für die Vital Apotheke,2008,2009,,6400
Volkshochschule Heidekreis gGmbH,"Koordinierungsstelle und KoordinierungsstellePlus Frau und Beruf
Heidekreis",2007,2009,,124467.38
Wasser- und Bodenverband Biederden- Bollen-Uphusen,"Herstellung des Deichverteidigungsweges im Bereich der
Kläranlage Achim",2007,2009,,156907.51
Wasser- und Bodenverband Grauwall-Gebiet,Neubau des Spitzenschöpfwerkes Misselwarden,2007,2009,,773540.23
Wellness-Schlösschen Bötzelberg,"Konzeptentwicklung der Website und Beratung zum Corporate
Design",2008,2009,,3000
Wolfgang Krajewski GmbH & Co. KG,Erweiterung einer Betriebsstätte,2007,2009,,52582
81 fünf hightech & holzbau AG,"Konzeptionelle Entwicklung und Gestaltung von
Marketingmaßnahmen Marktrecherche",2008,2009,,7280
Bahnhof Creativ OHG,"Marketingkonzeption zur Stabilisierung des Unternehmens am
Markt",2008,2008,,4000
Bestattungsinstitut Gerd Herzog (Nachfolger) KG,"Entwicklung eines Marketingkonzeptes mit der Zielsetzung:
Stärkung der Marktposition; Erhöhung des Bekanntheitsgrades",2008,2008,,1500
Campingplatz zum Oertzewinkel,"Inhaltiche und funktionelle Erweiterung der Internetpräsenz zur
spezifischen Ansprache der Zielgruppen",2008,2008,,2016
DestoClean,Erarbeitung von Marketingkonzepten und deren Umsetzung,2007,2008,,3600
DF Holzbau,Erarbeitung einer Marketingstrategie,2008,2008,,10000
Elektro Ginkowski Inh. Detlef Ginkowski,"Aufbau eines umfassenden Marketingkonzeptes , Internet &
Coporat",2008,2008,,2500
Enserv EIS (Energy Industry Services) GmbH,"Beratung zur Entwicklung, Konstruktion und Fertigungsplanung
von seperaten Vorkammern für die Erhöhung von Standzeiten und",2008,2008,,8000
eudent Zahntechnik GmbH,Begleitende und konzeptionelle Marketingberatung,2008,2008,,3600
flair-dent GmbH,"Begleitende und konzeptionelle Beratung mit dem Schwerpunkt
Online-Marketing",2008,2008,,5200
Fleischerei Bernd Zimmermann GmbH,"Produkt- und Leistungsentwicklung:adäquate Vermarktung für
ernährungsbewusste Verbraucher",2008,2008,,10000
Frye und Partner GbR,"Positionierungsanalyse des Unternehmensmarketings und ggfs.
Neupositionierung",2008,2008,,6000
Gemeinde Lauenbrück,Bau eines Hochwasserdamms im Tal der Fintau,2007,2008,,30000
Getränkepartner Inh. Elke Kleint,"Erstellung eines Strategiekonzeptes zur Optimierung der Betriebs
mittelfinanzierung",2007,2008,,4000
Hansedesign Scheeßel,"Marketingberatung und Coaching mit dem Schwerpunkt Online-
Marke- ting und INternet-Branding für Hansedesign",2007,2008,,8000
Human Medical GmbH,"Marketingkonzept und Marktforschung zu Aufbauarbeit für eine
Praxiskette",2008,2008,,10000
IBV Ingenieurbüro Voss Inh. Roman Wehrs,Herstellung eines zeitgemäßen + schlüssigen Gesamtmarkt-auftrittes + Erarbeitung eines Marketingplans,2008,2008,,6000
Knape & Partner,Erstellung um Umsetzung eines komplexen Marketingkonzeptes,2007,2008,,6200
Lehmann Rollstuhlrampen und Hebelifte,"Erstellung um Umsetzung eines komplexen Marketingkonzeptes
für die Wachstumsphase",2007,2008,,2800
M & M Automobile GmbH,Erhöhung der Kundenbindung,2007,2008,,10000
Malereibetrieb Andreas Tiebe GmbH,"Kundenbindung und Neukundengewinn durch Neugestaltung des
Firmenauftrittes",2008,2008,,4150
Mittelweserverband,"Verbesserung der Deichsicherheit am linken Weserufer zwischen
Hoya und Bremen",2007,2008,,570000
Modehaus Wilkens KG,"Marketingkonzeption - Entwickeln einer nachhaltigen Perspektive
für das Haus Wilkens und die Sicherung der Umsetzung",2008,2008,,6400
Molkerei Lünzener Käseschmiede,"Erweiterung einer Betriebsstätte zur Herstellung von
Milchprodukten",2007,2008,,23400
Müller Bus Touristik,"Erarbeitung eines auf das Unternehmen zugeschnittenes Direkt-
marketingkonzeptes",2008,2008,,10000
Orchideen Zentrum Wichmann GmbH,"Marketingberatung zur Erhöhung der Kundenzufriedenheit,
Kunden- bindung und Umsatzsteigerung",2008,2008,,6000
Sartissohn GmbH,Erweiterung einer Betriebsstätte,2007,2008,,171604.82
Stedorfer Deichverband,"Hochwasserschutz innerhalb des Stedorfer Deichverbandes, Pla-
nungsabschnitt II, Deichverstärkung von Station 3+900 bis 4+400",2007,2008,,249994.26
Stelljes Team Heizungs- & Sanitärinstallations GmbH,"Erarbeitung und Umsetzung eines umfassenden
Marketingkonzeptes zur Umsatzausweitung und Gewinnung von
Neukunden",2008,2008,,4000
Verein Naturschutzpark e.V.,Naturspeicher Wilsede,2007,2008,,10859.2
Verein zur Förderung von Naturerlebnissen e.V,Natur und Technik an der Oste,2007,2008,,7962.53
ViSiTec Video-Sicherheit-Technik GmbH,"Optimierung des Online-Marketings und des Marketing-
Controllings",2008,2008,,2800
W. Marwitz Textilpflege GmbH,"Begleitende und konzeptionelle Beratung zur Erstellung und
Umsetzung eines Marketingkonzeptes",2008,2008,,10000
Wassenaar living home GmbH,"Entwicklung eines marktfähigen Markenzeichens mit entsprechend
effizienter Kommunikationsstrategie",2008,2008,,6000
Wasser & Behrens GmbH,Erstellung & Umsetzung eines komplexen Marketingkonzeptes,2007,2008,,6800
Westener Deichverband,"Verbesserung der Deichsicherheit zwischen Westen und Barnstedt
Station 5+460 bis 8+300",2007,2008,,28000
Zentrum Kreativ,"Bildung eines Brands, zielgruppenorientierte Marketingplanung u.
Konzeption f.d. Bereich Print, Internet, Suchmaschinen...",2007,2008,,4800
"7 Seeds Service development & management Inh. Robert
Siegers","eigenständige Trainingsangebote entwickeln und vermarkten, Auf-
träge unter eigenen Namen generieren",2007,2008,,3600
Malereibetrieb Kordes GmbH,Steigerung des Bekanntheitsgrades in der Region,2009,,750,
"Dr. Karin Arjes, Tierärztin","Bekanntmachung der neuen Behandlungsmethoden und
Rückgewinnung d es verlorengegangenen Klientels",2009,,1000,
EBS Systemtechnik GmbH,Steigerung des Bekanntheitsgrades in der Region,2009,,1060,
Zahnarztpraxis Dr. Rainer Köpsell,"Eröffnung neuer Geschäftsfelder; Umsetzungspläne unter Einbe-
ziehung von Marketingmaßnahmen erarbeiten und begleiten",2008,,1450,
W. Rübke GmbH & Co. Bauunternehmen,Neupositionierung am Markt,2009,,1500,
Architektenbüro Prickner & Ampting GBR,Entwurf einer Marketingstrategie,2008,,2000,
"JR international - Innovative Healthproducts e.K. Inh. Jörg
Reeh",Marketingkonzept und Vertriebeserweiterung,2008,,2000,
Hans Schlüter Handelsvertreter,Weiterentwicklung des CD,2009,,2450
DVG Decken-Vertriebs-Gesellschaft Tramm mbH,Intensivierung des Corporate Designs,2009,,2500
Getränkevertrieb Mahlstedt und Krombacher Hof,Steigerung des Bekanntheitsgrades in der Region,2009,,2580
Institut für Geopathologie und Elektrosm og,Marketingberatung zur Steigerung der Bonität,2009,,2800
Tanzschule & Dance GmbH,Erhöhung des Marktanteils und Preispolitik,2008,,2800
Wolf Objekt- und Inneneinrichtung,Ausarbeitung einer Marketingstrategie,2008,,3200
ABL Assekuranz Büro Lüneburg,Strategische Marketingüberlegung und Eruierung neuer Zielmärkte,2008,,4000
BRUNNENSTUDIO Ina Wißmann,"Gewinnmaximierung durch Erstellung von möglichen
Marketingstrate gien",2009,,4000
Fun & Active,"Herstellung eines zeitgemäßen und schlüssigen
Gesamtmarkenauftri tts",2009,,4000
Fun & Active,"Herstellung eines zeitgemäßen und schlüssigen
Gesamtmarkenauftri tts",2009,,4000
implantcast GmbH,Erarbeitung einer umfassenden Marketing-Strategie,2009,,4000
Levenshof,"Beratung zur strategischen Positionierung vor dem Hintergrund
sich verändernder Marktbedingungen",2008,,4000
Poppe GbR,"Marktrecherche und Konzeptentwicklung für die Pflanze
Miscanthus",2009,,4000
Sandra Bruns - Mortimer English Club Verden,"Entwicklung von Strategien zur Kundenbindung und
Neukundengewinn ung",2009,,4000
"Torsten Thiemann Zerspanung & Technische Projekt-
entwicklung","Erstellung einer neuen Marketingplanung für den Bereich
Medizintechnik",2008,,4000
Max Stöckl e. K. Inh. Stefanie Stöckl,"Marketingberatung zur visuellen Darstellung des Unternehmens in
Abgrenzung zum Wettbewerb",2008,,4800
Lackierfachbetrieb Köster,Entwicklung eines Marketingkonzeptes,2008,,6000
Lehmann Rollstuhlrampen und Hebelifte,Erarbeitung einer absatzfördernden Markt- und Vertriebsstrategie,2008,,6000
PMA-Media GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,,6000
Torsten Winkler,Entwicklung von einem Marketing- und Vertriebskonzept,2008,,6000
nordmedia Fonds GmbH,"Anträge aus der Entscheidung des Vergabeausschusses vom
26.06.2008 Konvergenz",2008,,6250
Haus & Technik Pape GmbH,"Positionierung als Energiesparexperte und Profi in der
Badsanierung",2008,,7000
Stiftung Naturschutzpark Lüneburger Heide,Großviehbeweidung erlebbar machen!,2009,,7920
Gemeinde Himmelpforten,Sanierung Fachwerkgiebel Hauptstr.,2009,,7923.61
Fleischerfachgeschäft Middendorf,"Erstellung eines komplexen Marketingkonzeptes zur Verbesserung
d er Marktposition, Wettbewerbsfähigkeit und Profitabilität",2009,,8000
Knape & Partner,"Fortsetzung der Erarbeitung eines Marketingkonzeptes für die
Wac hstumsphase des Unternehmens",2009,,8000
Karl Kaus Stiftung,Bau eines Beobachtungsturms an einem Flachgewässer,2007,,8840
Quotac Management GmbH,Einstellung eines Hochschulabsolventen,2008,,9000
Thom Metall- und Maschinenbau GmbH,Einstellung eines Hochschulabsolventen,2009,,9000
TTT The Team Composite AG,Einstellung eines Hochschulabsolventen,2009,,9000
art & day GmbH,Erstellung von einem Marketingkonzept,2008,,9265
Verein Naturschutzpark e.V.,"Vernetzung der Informationseinrichtungen des Vereins
Naturschutzpark",2008,,9500
Metal-Con. GmbH,Design eines alternativen Prozesses in der Verbindungstechnik,2009,,9800
Umformtechnik Stade GmbH,Aufbau eines Qualitätsmanagementsystems,2008,,9800
apoblist GmbH & Co. KG,Begleitende Beratung bei der Findung geeigneter Investoren,2009,,10000
aukos Automatisierungskomponenten und -s ysteme GmbH,"Ist-Analyse der Optimierungsmöglichkeiten Dienstleistungsportfolio, Produktprogramm, Kundengruppen etc.",2009,,10000
Bäckerei Barnstorff,"Erstellung eines Marketingkonzeptes und begleitende Beratung
bei der Umsetzung",2008,,10000
Buxtehuder Brauhaus,Marketingmaßnahmen für die Ausgabe von Genußscheinen,2008,,10000
Container Master Projekt GmbH,"Analyse der vorhandenen Marketingstrukturen und
Neuausrichtung des Marketing- und Vertriebsystems",2008,,10000
Frye und Partner GbR,"Aufbau eines zweiten Kompetenzfeldes ""Bürobedarf und
Einrichtung """,2009,,10000
Gerald Krößmann,Marketingkonzept zum Umzug in ein neues Gebäude,2009,,10000
Gerling Pulverbeschichtung GmbH,Einwerben eines Beteiligungskapitalgebers,2008,,10000
Harms Blumenhandel GmbH,Optimierung und Weiterentwicklung des bestehenden Marketings,2009,,10000
Heino Behrens,Überarbeitung des Marketingkonzeptes,2008,,10000
Human Medical GmbH,Entwicklung eines Netzwerkkonzeptes,2009,,10000
Kai Engel GmbH Ladenbau-Messebau-Tischlerei,Entwicklung eines Marketingkonzeptes,2008,,10000
Koller Maschinen- und Anlagenbau GmbH,"Begleitende und konzeptionelle Beratung beim Aufbau des
Produktsegments ""Lifting"" (Produktdesign)",2008,,10000
Koller Maschinen- und Anlagenbau GmbH,"Stärkung und Ausbau der Vertriebsaktivitäten durch die Nutzung e
ntsprechender Marketingmittel",2009,,10000
"Liebeneiner Apparate-, Stahl und Blech- bau KG","Entwicklung eines Marketingkonzeptes für einen neu
geschaffenene n Geschäftsbereich",2009,,10000
Logistik-Terminal Oxstedt GmbH i.Gr.,"Begleitende Beratung zur Aufnahme von Beteiligungskapital und
Ko operation mit einem Logistik-Partner",2009,,10000
Möbel Kranz GmbH,Überarbeitung der vorhandenen Marketingstrategie,2009,,10000
PRIMO-REISEN GmbH,"Entwicklung von Vermarktungsstrategien für ein erworbenes
Untern ehmen",2009,,10000
ROBOT FOOD TECHNOLOGIES Germany GmbH,Er- / Überarbeitung einer Vertriebsstrategie,2009,,10000
Schmettau & Fuchs GmbH,"Ausrichtung des Unternehmens vor der Übergabe an einen
Nachfolge r",2009,,10000
Sozialkanzlei Axel Jäger,Einführung eines komplexen Marketingsystems,2009,,10000
Testservice Walsrode Thorsten Schwarz,"Verbesserung der strategischen Ausrichtung am Markt, der
Abläufe zur Steigerung der Kundenzufriedenheit und der
Außenwirkung",2008,,10000
Tiedeke Büroservice GmbH,"Erarbeitung von Marketingmassnahmen zur Verbesserung der
Ergebni sse",2009,,10000
Tischlerei Winkler GmbH,Konzeption eines eigenen Internetauftrittes,2008,,10000
Wasser & Behrens GmbH,"Ausbau eines vorhandenen Marketingkonzeptes als Basis für die
Wachstumsphase der Firma",2008,,10000
WSB Wasserski Bispingen Beteiligungs GmbH,Neukundengewinnung für eine Wasserskianlage,2009,,10000
nordmedia Fonds GmbH,"Anträge aus der Entscheidung des Vergabeausschusses vom
13.11.2008 Ziel Konvergenz",2009,,10506
Tourismus Region Celle GmbH,"Naturinterpretationsstationen im Tiefental / Misselhorner Heide im
Naturprak Südheide",2008,,11764.7
esyoil GmbH,Einstellung eines Hochschulabsolventen,2009,,12000
Inosens GmbH,Einstellung eines Hochschulabsolventen,2008,,12000
Inosens GmbH,Einstellung eines Hochschulabsolventen,2008,,12000
PYTEC Thermochemische Anlagen GmbH,Einstellung eines Hochschulabsolventen,2008,,12000
Securepoint GmbH,Einstellung eines Hochschulabsolventen,2009,,12000
TECnical Consulting GmbH,Einstellung eines Hochschulabsolventen,2008,,12000
Stadt Cuxhaven,Erstellung einer Infobroschüre Cuxhavener Küstenheiden,2008,,12500
Stadt Dannenberg (Elbe),"Änderung B-Plan ""Ratswiesen""",2008,,13764.74
acara-online GmbH,Erweiterung einer Betriebsstätte,2007,,13900
Gemeinde Amt Neuhaus,"Errichtung des Lehrpfades ""Vögel als Kulturnachfolger""",2007,,14011.93
Landkreis Celle,Rundwanderweg Lutter - Erlebnispfad im Naturpark Südheide,2007,,15000
Samtgemeinde Lachendorf,Verkehrserhebung,2009,,15000
"Heimat- und Museumsverein Hitzacker (Elbe) und
Umgebung e. V.",Die Elbe trennt - die Elbe verbindet,2009,,15500
"Naturmuseum des Naturwissenschaftlichen Vereins für das
Fürstentum Lüneburg von 1851 e. V.","Ausstellung ""Wald in Zeiten des Klimawandels"" mit
Demonstrationsfläche im Wald",2009,,16000
nordmedia Fonds GmbH,"Anträge aus der Entscheidung des Vergabeausschusses vom
29.11.2007 Ziel Konvergenz",2008,,18490
Förderverein Deutsches Ameisen- Erlebnis-Zentrum e.V.,Ameisen-Erlebnis-Ausstellung,2009,,20400
Wehdeler Gewürzmühle GmbH,"Verlagerung und Erwerb einer stillgelegten Betriebsstätte in
Schiffdorf",2007,,20700
Samtgemeinde Lachendorf,städtebaulicher Rahmenplan zum ISEK,2009,,24218.88
Fachhochschule für die Wirtschaft Hannover,Celle Institut für Management und Technologie (CIMT),2008,,27000
Thomas Treude GmbH,Grundstückskauf sowie Errichtung einer Lagerfläche,2008,,27000
Odore Gewürz GmbH,Kauf und Umbau  einer stillgelegten Betriebsstätte,2007,,27700
"Naturparkregion Lüneburger Heide e.V. c/o Landkreis
Harburg","Internetpräsentation der Natur und naturbezogener Angebote des
Naturparks Lüneburger Heide",2007,,28000
Verein Naturschutzpark e.V.,"Schaffung neuer Angebote im Außenbereich des
Naturinformations hauses Undeloh",2007,,28104.97
Gemeinde Himmelpforten,"Umbau ""EG Ladengeschäft Hauptstr.""",2008,,29500
Biosphärenreservatsverwaltung Nieders. Elbtalaue,"Regionalcoaching für das Biosphärenreservat Niedersächsische
Elbtalaue",2008,,29869
Naturschutzstiftung des Landkreises Cuxhaven,"Erstellung der Broschüre ""Naturerlebnis Cuxland""",2008,,30000
Samtgemeinde Elbmarsch,Kultur in der Natur der Samtgemeinde Elbmarsch,2007,,30642.38
Gemeinde Bispingen,"Bau eines Familienerlebnispfades von Oberhaverbeck über
Wilsede nach Döhle",2008,,30740
Stadt Soltau,Illumination der Soltauer Innenstadt,2008,,30805.4
"Naturparkregion Lüneburger Heide e.V. c/o Landkreis
Harburg","Die Natur zu Fuß erleben - Nordic Walking im erweiterten
Naturpark Lüneburger Heide",2007,,31000
Stiftung Naturschutzpark Lüneburger Heide,"Ökologische Bewirtschaftung der Kulturlandschaft auf dem
Tütsberg erleben",2009,,32104
Stadt Lüchow,"Vorplanung zur Verbesserung der Verkehrserschließung
Innenstadt",2009,,33834.69
Stadt Osterholz-Scharmbeck,Erstellung Bebauungsplan für Quartier Am Barkhof,2008,,34000
Stadt Bergen,"Untersuchung zu Möglichkeiten zur Verknüpfung der Gedenkstätte
Bergen-Belsen",2008,,34986
H & M Elektrotechnik GmbH,HighEnd-Türenantrieb,2008,,35600
"Naturparkregion Lüneburger Heide e.V. c/o Landkreis
Harburg","Attraktive Wander- und Spazierwege durch den Naturpark
Lüneburger Heide (Familienerlebniswege)",2007,,37000
LG Rain GmbH Bewässerungstechnik,Erweiterung einer Betriebsstätte,2007,,37500
Abwassergesellschaft Rebenstorf mbH,"Erstellung einer kleinen Kläranlage in Rebenstorf mit
Druckpumpenzulaufleitung",2007,,38454
Stiftung Naturschutzpark Lüneburger Heide,"Bau einer Beobachtungs-Aussichtsplattform im Naturschutzgebiet
Lüneburger Heide",2008,,38568.2
"Verkehrsverein Hitzacker, Göhrde, Elbufer e.V.","Erstellung von Naturerleben-Strecken verbunden mit Nordic-
Walking und Wanderpfaden",2009,,39000
D. Tiedemann GmbH Zimmerei u. Tischlerei,Gebäudeerrichtung und Maschinenkauf,2007,,39700
Gemeinde Salzhausen,Sanierung und Modernisierung der Dörpschün,2008,,39913.27
AGRARTRADE GmbH,Errichtung,2008,,40900
Mertens GmbH Kachelöfen und Fliesen,"Entwicklung einers raumluftunabhängigen Herdes für regenerative
Brennstoffe",2008,,43100
Stadt Bad Bevensen,"Städtebaulicher Wettbewerb zur Vorbereitung d Maßnahme 11
(ISEK)",2008,,43140
Detlev Steinle - REWALUX,Betriebsverlagerung mit Erweiterung,2008,,43300
"Naturparkregion Lüneburger Heide e.V. c/o Landkreis
Harburg","Die Natur auf dem Pferd erleben - Aktivierung des bestehenden
Reitwegepotentials im erweiterten Naturpark Lüneburger Heide",2007,,44560
Lüneburger Heide GmbH,"Aufbau einer Internetplattform zur Vermarktung der Destination
Lüneburger Heide",2008,,46410
Stadt Uelzen,"Einbau von Toilettenräumen in das ""Alte Rathaus""",2008,,47150
Ingenieurbüro Rudolf Hersch,System für Elektroakustische Notfallwarnsysteme,2007,,49000
Ing.-Holzbau Cordes GmbH & Co. KG,Schienensystem für Holzachterbahnen,2008,,50000
Landkreis Celle,"Entwicklung und Umsetzung des  Wanderwegekonzeptes
""Wanderparadies Südheide"" für den Naturpark Südheide",2007,,50000
Nicco Innovate GmbH & CO. KG,Erweiterung einer Betriebsstätte,2007,,50500
Karl Kaus Stiftung für Tier und Natur,"Kirchenfledermäuse im Landkreis Lüchow-Dannenberg - Kirchen
schützen ihre Fledermäuse",2009,,50941
Stadt Cuxhaven,Wettbewerb Ritzebütteler Marktplatz,2009,,53500
MODELI GmbH,Errichtung einer Produktionsstätte für Pflanzenträgersysteme,2007,,55000
Stadt Uelzen,Ausbau der Pastorenstraße,2008,,57000
Stiftung Naturschutzpark Lüneburger Heide,Heidebauernwirtschaft erleben in Wilsede,2008,,58121.77
"Wirtschaftsförderungsgesellschaft mbH für Stadt und
Landkreis Lüneburg","Entwicklungsprojekt ""Lüneburger Binnenhafen""",2008,,59500
Stadt Hitzacker,Natur erleben - Kultur begreifen,2007,,59545
H. & H. Schalldämpfer und Gerätebau GmbH,Erweiterung der Betriebsstätte,2007,,61200
Tourismus Region Celle GmbH,"Erstellung einer Broschüre für Radfahrer und Erstellung von
Informationstafeln",2008,,61344.53
Flecken Bad Bodenteich,Naturerlebnispfad Seewiesen,2007,,62158.24
Gemeinde Göhrde,"Überführung des Waldmuseums Göhrde in ein Gesamtprojekt
""Erlebnis Göhrde""",2008,,64000
Stadt Bergen,"Planung für die Einzelmaßnahmen 2.1, 2.2, 2.3 und 7.5",2009,,65938
Stadt Uelzen,Ausbau des Parkplatzes an der Fritz-Röver-Straße,2008,,67000
Landkreis Celle,Erstellung eines Tourismusentwicklungskonzeptes,2008,,68942.41
NLWKN Betriebsstelle Lüneburg,"Förderung des Naturerlebens im Zusammenhang mit den
Beweidungs- projekten in den Naturschutzgebieten ""Cuxhavener
Küstenheiden"",",2009,,70000
Abwassergesellschaft Lübbow mbH i.G.,"Abwasserbeseitigung Lübbow Bau Kläranlage und Kanalisation
Lübbow",2008,,70021
The Stork Foundation,Beobachtungsstände in den Sudewiesen,2008,,72828
"Naturparkregion Lüneburger Heide e.V. c/o Landkreis
Harburg",Themenwandern im Naturpark Lüneburger Heide,2008,,75000
Stadt Dannenberg (Elbe),"Arkade Schmidt, Verbreiterung des Fußweges",2009,,77000
Stadt Langen,"Entwicklung der Waldfläche Friedrichsruh als generationenüber-
greifende Spiel-, Erlebnis- und Aufenthaltsfläche",2009,,77341.05
"Naturparkregion Lüneburger Heide e.V. c/o Landkreis
Harburg","Die Natur auf dem Rad erleben - Themenorientiertes Premiumrad-
fahren im erweiterten Naturpark Lünreburger Heide",2007,,78500
Stadt Verden,Bau eines Aussichtspunktes an der Allerniederung,2009,,96000
Landkreis Celle,Umsetzung des Reitwegekonzeptes im Landkreis Celle,2007,,96307
APT GmbH Automation und Produktionstechnik,"Schweißeinrichtung zum Schweißen von
nichtrotationssymmetrischen Werkstücken",2008,,96900
Landkreis Cuxhaven,Alter Postweg ... auf historischen Spuren durch den Landkreis,2007,,100000
Tischlerei Winkler GmbH,"Entwicklung modular einsetzbarer Sicherheitselemente aus Holz
(Türen und Fenster) für den Innen- und Außenbereich",2008,,100000
Stadt Langen,Erneuerung des Fußweges an der Debstedter Straße,2008,,101267.39
Hüge und Lange GmbH,Erweiterung einer bestehenden Betriebsstätte,2007,,103680
