Name of Beneficiary,Project Name,Total budget (EUR),Size of grants given (BGN)
INTEKST Ltd.,Automating and expanding the production of doors and frames,"1 008 412,97","605 047,78"
SOKOLOVI Ltd.,Technological modernization of production of concrete products ,"1 595 660,00","857 078,55"
Ham AD,Extending the activity of heme AD through technological modernization,"1 509 662,40","905 797,44"
AKUMPLAST AD,Increasing efficiency in the production process of AKUMPLAST AD,"597000,00","388 050,00"
Proxy - 2 Ltd.,"Expansion of technological capabilities, product range and capacity of Proxy - 2 Ltd.","401 900,00","261 235,00"
SPARTAK AD,Installation for powder coating in Spartak JSC,"334 800,00","166 009,96"
DORES 2003 Ltd.,"Increasing the competitiveness of DORES 2003"" Ltd. through technological modernization ""8 months","650 800,00","423 020,00"
TAURUS-93 Ltd.,Purchase of precision machine for laser cutting and engraving,"158 900,00","103 285,00"
ELITGRUP 2000 Ltd.,Technological modernization of the company in the production of pellets ,"1 430 500,00","714 534,75"
MAYKROMET Ltd.,Enhancing the competitiveness and effectiveness of Maykromet Ltd. through modernization and renewal of production equipment,"446 407,50","290 164,88"
BELOPEYPAR Ltd.,Production of new products and increase production capacity in Belopeypar Ltd.,"2 021 460,73","999 505,55"
DANIBEKS Ltd.,Extending the product range of Danibeks Ltd. by purchasing new equipment,"204 808,00","122 884,80"
AKSIS HOLD LTD,Improving the competitiveness of Aksis Hold Ltd by launching production of photovoltaic modules,"4 824 440,00","1 000 000,00"
IBS-BULGARIA Ltd.,"Increase the capacity of the center to provide remote IT services, leading to a fivefold increase in export earnings","1 028 037,00","668 224,05"
MECHANICS-90 Ltd.,Technological modernization of competitive production of Mechanics-90 EOOD,"164 125,00","82 062,50"
INTERGAMA Ltd.,Development of Intergama Ltd. through technological innovation to expand,"570 710,00","285 355,00"
INTEHNA AD,"Technological modernization of competitive and efficient production in ""INTEHNA AD","1 341 200,00","871 780,00"
Zanetti AD,"With competing technologies - high economic and social growth ""","994 500,00","596 700,00"
KABIES-DENT SMTL Ltd.,Improving the competitiveness of 'Kabies Dent SMTL Ltd. by introducing in the establishment of modern CAD / CAM technology,"170 997,76","111 148,54"
"ET ""NIK-PLASTIC - Valia Petrova""","Investments in new technologies for biodegradable plastics, expansion of manufacturing operations and reorganize the production process of ET Nick PLASTIC - Valia Petrova","387 959,38","252 173,60"
BARIUM CCC GROUP LTD,Technological innovation and modernization in the shoe factory Bari,"947 650,00","568 590,00"
Toccata Ltd.,Improving the competitive advantages of the company,"395 501,70","257 076,10"
Simex Ltd.,Technological modernization in Simex Ltd. - Krivodol,"640 939,43","416 610,63"
Press Product Line Ltd.,"Increasing the competitiveness of the"" Press Product Line Ltd. through investment in high-tech equipment","230 482,91","149 813,89"
ALLIANCE PRINT LTD,ehnologichna modernization of the Alliance Print Ltd.,"2 707 045,00","999 982,00"
CEDAR-LES Ltd.,Increasing the competitiveness of CEDAR - LES Ltd. through technological modernization,"254 135,00","127 067,50"
COLOR Glazne Ltd.,Technological modernization in Color Glazne Ltd.,"1 386 493,20","693 246,00"
AQUA METAL LTD,Increase efficiency and expand the range of services offered to existing printing facilities by introducing new production facilities ,"377 461,66","245 350,08"
VITAVEL AD,Modernization of equipment and expanding the product range of packages VITAVEL AD,"2 299 978,00","999 826,12"
Harpo Ltd.,Introduction of new technological equipment in the production process,"1 116 278,97","725 581,33"
Connect Ltd.,"Improving the competitiveness of Connect Ltd by technological modernization ""","388 200,00","232 920,00"
NEW PRINT AD,"Improving the market position of New Print ""JSC through technological modernization of production equipment""","1 630 729,00","978 437,40"
SD-APKO KOVANDZHIYSKI AND NE-E,Investment support for sustainable development of SD APKO,"1 031 000,00","670 150,00"
Age PAKEDZHING Ltd.,"Technological modernization of Age PAKEDZHING Ltd. ""","1 275 725,00","829 221,25"
Berke Berkovski-90-C-EI SD,Competitive development through financial assistance from EU,"1 464 625,00","878 700,00"
CHROME AD,Technological innovation of the manufacturing process of chromium AD,"2 025 628,00","973 565,67"
CHEMICAL PRODUCTS LTD,Competitiveness through technological modernization in the Chemical Products Ltd.,"2 035 056,00","998 503,51"
Pipe INDUSTRIAL BULGARIA Ltd.,Introduction of a production line for three-layer PVC pipes measuring 110-500 mm,"2 367 231,00","994 237,00"
O.R.T. AD,ORT - person company with modern and European Standard,"942 100,00","470 000,00"
INSTITUTE OF WELDING AD,Competitiveness through investments in technological modernization in IZA AD,"156 871,00","101 766,15"
EF Hicks Camera Ltd.,Increasing the competitiveness of Eph Hicks Camera Ltd. media market through renovation and modernization of technology,"975 004,89","633 753,18"
HRANPAK Ltd.,Technological modernization in the enterprise,"1 212 360,00","788 034,00"
Authorized repre -90 Ltd.,Increasing the competitiveness of authorized repre-90 Ltd.,"133 360,00","86 684,00"
Iskabul AD,Expansion activity and diversification of production of Iskabul AD by investing in innovative technologies and equipment and developing and implementing comprehensive business strategy,"1 194 000,00","774 893,47"
Sonic Ltd,Putting in a step of new products with high added value - systems for curtain walls of glass and aluminum and aluminum facade,"1 423 461,89","854 077,13"
Chukurovo and Co. SD,Increasing the competitiveness and productivity in SD Chukurovi and Co by expanding the production of PVC,"1 785 350,00","999 796,00"
Palomita EAD,Automatic production line for digital spiral pads,"1 522 936,00","913 761,60"
PIEZOKVARTS Ltd.,"For better competitiveness of Piezokvarts ""Ltd.","226 000,00","146 554,59"
ECO PROJECT Ltd,Extension of the production activity of Eco Project Ltd. by implementing extrusion line for double-layer polyethylene pipes with large diameters,"1 366 500,00","888 225,00"
ET-Nikolai YANKOV VILLAN,Improving the management and technological capacity of VILLAN ET,"802 181,16","481 308,70"
STANKOV Ltd.,Technological modernization and competitiveness of STANKOV Ltd.,"991 610,00","594 966,00"
LESILMASH-98 PLC,Improving the competitiveness of Lesilmash 98 AD through technological modernization,"1 486 880,00","891 421,85"
BL Sport Ltd,Technological modernization in BL Sport Ltd,"1 493 315,00","970 654,75"
ASPECT-III Ltd.,"Equipping and modernization of machinery in the enterprise for the production of filters ""ASPECT-III Ltd.","88 500,00","57 525,00"
CO - TO COLOR Ltd.,Modernization and increasing capacity for production of expanded polystyrene ,"1 028 092,00","616 855,20"
MONI MG Ltd,Technological innovation and modernization of the company MONI MG Ltd,"1 881 520,00","928 530,12"
CIS 2005 Ltd.,"Investment support for the modernization of the enterprise and enhancing competitiveness of CIS 2005 LTD ""","156 620,31","101 803,20"
LENOVEKS Ltd.,Modernization of production base by Lenovo ,"533 745,22","346 934,39"
STROYKOM PLAST Ltd,Increasing the competitiveness of STROYKOM PLAST LTD through technological modernization of the company,"1 381 312,89","897 853,38"
Trud AD,Save the Bulgarian tradition in refractory industry through the expansion and modernization of WORK AD - Rousse,"1 669 100,00","999 700,53"
AGROREMPROEKT-98 AD,Modernization of technical equipment in AGROREMPROEKT-98 AD and improve productivity and quality of products manufactured by the company,"456 000,00","296 400,00"
KROKANTINA Ltd.,Technological modernization in KROKANTINA Ltd.,"94 225,00","61 246,25"
Daisy Technology Ltd,Improving the competitiveness of Daisy Technology in the international market,"1 703 763,00","980 172,90"
GEODESY DESIGN LTD,Improving the business environment in Shumen and the region and develop the potential of Geodesic Design Ltd - Shumen for competitive and efficient business,"841 71,50","54 711,48"
UNISKORP Ltd.,Technological modernization of Uniskorp Ltd.,"1 754 188,00","999 887,16"
Stratos Ltd,Healthy and guaranteed quality of bread,"1 486 430,80","891 858,48"
Vector Ltd.,Automation,"89 800,00","58 370,00"
EEE Ltd.,Production of PVC bottles by blow preforms in EEE Ltd.,"1 570 060,13","1 000 000,00"
Essence Marketing Ltd.,Increasing konkurentnosposobnosta of Essence Marketing Ltd.,"986 608,84","638 533,24"
INERTSTROY - Kale AD,Technological modernization in Inertstroy-Kale AD,"1 483 937,00","890 362,20"
MULTIIMPEKS Ltd.,Styrofoam,"1 051 900,00","631 140,00"
MODULE MODUS Ltd.,"Technological modernization and consultancy support for increasing the competitiveness of Module Modus Ltd, through expansion, diversification and optimization of manufacturing operations","277 500,00","180 375,00"
INZHKONSULTPROEKT Ltd,Investments and business consulting development konkurentnosposobnostta of Inzhkonsultproekt Ltd. market of design services,"827 250,00","537 712,50"
ATM Electronics Ltd,Improving the process and management in ATM Electronics Ltd,"514 404,90","334 363,19"
FURNITURE-INVEST SA,Increasing the competitiveness of FURNITURE - INVEST PLC through technological upgrading of equipment the company,"742 393,97","482 556,08"
EXPRESS ENGINEERING LTD,Increasing the competitiveness of Express Engineering Ltd,"1 586 575,00","999 212,76"
SIMTIKOMPLEKT MM Ltd.,Technological modernization of production process in Simtikomplekt MM Ltd.,"1 230 751,97","799 000,00"
RISE Ltd.,"Increasing the competitiveness of Rise Ltd in Musomishte through the modernization of production and purchase of modern equipment for bread ""","940 450,00","611 292,50"
Guido Ltd.,"Improving the competitiveness of Guido Ltd. as a producer for the EU market ""","1 666 665,00","999 999,00"
ROAD COMPANY PLC,Improving the competitiveness of ROAD COMPANY PLC through investment support and develop a strategy for Business Development,"2 310 087,90","926 039,89"
R-STYLE Ltd,Modernization of the R-Style Ltd. to create a comfort,"432 260,00","280 969,00"
Aluplast-ZHTG Ltd.,Modernization and optimization of manufacturing process in Aluplast ZHTG Ltd.,"464 950,00","274 320,50"
CARMEN-2000 Ltd.,"The technological modernization of Caramel 2000 Ltd - a guarantee for competitiveness and innovation""","929 950,00","557 970,00"
Marcus Ltd.,Increasing the quality and capacity of Marcus Ltd.,"338 946,92","203 368,15"
Dimex Trading Ltd.,High-tech modernization of Dimex Trading Ltd.,"1 292 120,00","775 272,00"
PASSAT BULGARIA PLC,Purchase and commissioning of new technological equipment,"227 720,00","148 018,00"
Himmat AD,Improving the competitiveness of Himmash AD by introducing modern technological equipment,"665 023,00","399 013,80"
Bread and Confectionery Ltd.,Technological modernization of Bread and Confectionery Ltd. Troyan,"524 413,85","314 648,31"
VoiceCom AD,Payments by communications operator,"1 425 000,00","926 250,00"
Bulmar Ltd.,Increasing the competitiveness of Bulmar Ltd by investing in technological modernization of the enterprise,"328 647,00","213 621,00"
BSCI Advertising Ltd.,Increasing the competitiveness of Conduct Advertising Ltd through modernization of the technological park of the company,"886 802,40","576 421,56"
ET BISSER STOIMENOVA,"Technological modernization of ET Biser Stoimenov""","1 540 000,00","1 000 000,00"
BUILDING MANAGEMENT CONTROL LTD,Modernization of the machinery of Management Building Control Ltd.,"1 603 909,08","999 876,92"
The EU BI GROUP PLC,Competitive geospatial data,"248 240,00","161 356,00"
MD-2 Ltd.,Production of quality frozen and chilled pasta,"1 608 286,00","964 971,60"
PASSPORT MEDIA LTD,Modernization of technologies for production of films and film forms Passport Media Ltd.,"1 209 143,00","785 942,95"
FAMILY G,Modernisation and renewal of the technological equipment for efficient production of quality products in accordance with European and international requirements for the manufacture of garments,"309 271,00","185 562,60"
Hemus-M SA,Modernization and increasing capacity for mining and processing of natural stone materials from the company Hemus-M - Mezdra,"1 526 629,00","782 921,20"
ET BOZHIDAR Hristov - DARIS,Technological innovation and modernization ET Bozidar Hristov - DARIS,"996 200,00","597 720,00"
INKOTEKS AD,"Increasing the competitive advantages of INKOTEKS AD, the town of Kotel by creating an investment strategy for sustainable development ""","2531 913,21","998 029,10"
OPTIONS Ltd.,Enhancing competitiveness through investments in technological equipment with CNC,"487 284,00","316 734,75"
AYGRUP Ltd.,Providing opportunities for development in Aygrup Ltd.,"1 440835,00","864501,00"
“Rinko-Interior”,Increasing the competitiveness of “Rinko-Interior” through modernisation of the technological equipment and divesrification of the production,"1422400,00","853 440,00"
