cod,org_int,titolo,asse,anno,stato,ente_gestore,costo,finanziamento,fund_type,currency,uri
243,PI,ACCOGLIENZA TURISTICA,II Occupabilit‡,2008,Finanziato,MULTIMEDIA SRL,"46.810,00","46.810,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
134,FI,ACU: ADDETTO AI SERVIZI RISTORATIVI (CUOCO),II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"299.806,49","239.845,19",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1547,PO,ADATTABILIT¿ LAVORO,I Adattabilit‡,2008,Finanziato,PROVINCIA DI PRATO UFFICIO FORMAZIONE PROFESSIONALE,"70.000,00","70.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
400,LU,ADDETTO AI RAPPORTI COMMERCIALI-A.R.C.O.,II Occupabilit‡,2008,Finanziato,Cescot - Toscana Nord,"117.340,00","117.340,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
220,PI,"ADDETTO ALLE OPERAZIONI DI ASSISTENZA ALLA PERSONA DI TIPO IGIENICO,SANITARIO, RELAZIONALE E SOCIALE",II Occupabilit‡,2008,Finanziato,CIFVICOPISANO,"50.050,00","50.050,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
314,GR,ADDETTO ALLE ORTOFLORICOLTURE,II Occupabilit‡,2008,Finanziato,CORAli,"120.000,00","120.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1213,MS,ADDETTO ALLE VENDITE SETTORE COMMERCIALE (SHOPASSISTANT),II Occupabilit‡,2008,Finanziato,MASTERFORM o.n.l.u.s.,"141.950,00","141.950,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
382,GR,ADDETTO ASSISTENTE DI BASE,II Occupabilit‡,2008,Finanziato,SMILE Toscana,"65.533,00","65.533,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
420,LU,ADDETTO CONTABILIT¿,II Occupabilit‡,2008,Finanziato,ASSOCIAZIONE CULTURALE PER-CORSO,"101.270,00","101.270,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
393,LU,ADDETTO ELETTRICO ELETTRONICO,II Occupabilit‡,2008,Finanziato,FORMETICA,"184.703,40","184.703,40",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
417,LU,ADDETTO ELETTRICO ELETTRONICO,II Occupabilit‡,2008,Finanziato,ISIS SIMONE SIMONI DI CASTELNUOVO GARFAGNANA (LU),"122.032,20","122.032,20",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
380,GR,ADDETTO INFORMATICO,II Occupabilit‡,2008,Finanziato,A.P. Software Informatica di Papadopoulos Helena Societ‡ in accomandita,"43.989,00","43.989,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
305,PI,ADDETTO INFORMATICO CON CERTIFICAZIONE ECDL BASE ED ADVANCED - - POLO TRIO PISA E PECCIOLI,II Occupabilit‡,2008,Finanziato,Formatica Srl,"41.325,00","41.325,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
391,LU,ADDETTO PASTICCERE,II Occupabilit‡,2008,Finanziato,VERSILIA FORMAT,"125.500,00","125.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
288,FI,AFFIDAMENTO DI INCARICO PROFESSIONALE A BRACCINI FABRIZIO ANNO 2008 PER ATTIVITA' SPECIALIZZATA FSE,VI Assistenza Tecnica,2008,Finanziato,PROVINCIA DI FIRENZE- DIREZIONE FORMAZIONE,"56.833,92","56.833,92",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
495,FI,AFRODITE: ADDETTO ALLE CURE ESTETICHE E ADDETTO PARRUCCHIERE UNISEX,II Occupabilit‡,2007,Finanziato,ARTAS,"423.981,00","377.868,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
783,AR,AGGIORNAMENTO E MIGLIORAMENTO COMPETENZE DEGLI UFFICI EXPORT,I Adattabilit‡,2008,Finanziato,ALPHA BRITISH CENTRE DI A. ARISTA & C. SNC,"11.512,52","11.512,52",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
303,PI,AGRI IMPRENDO,I Adattabilit‡,2008,Finanziato,AGRICOLTURA » VITA ETRURIA SRL,"40.612,50","28.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
225,PI,AGRI MECH,II Occupabilit‡,2008,Finanziato,AGRICOLTURA » VITA ETRURIA SRL,"37.576,00","37.576,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
441,CE,AGRI.NET - FORMAZIONE OBBLIGATORIA PER OPERATORE AGRITURISTICO,I Adattabilit‡,2008,Finanziato,Ipotesi Srl,"19.025,00","19.025,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
932,AR,AGRICOLTURA SOCIALE AGRIS,I Adattabilit‡,2008,Finanziato,2000 ONLUS,"13.364,80","13.364,80",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
26,LU,AGRISECURITY,I Adattabilit‡,2008,Finanziato,Istituto Regionale Interventi Promozionali in Agricoltura,"21.737,70","13.325,50",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
55,GR,AGRO.LA.SI.A-GROSSETO LAVORIAMO IN SICUREZZA,I Adattabilit‡,2008,Finanziato,ASSOCIAZIONE EIDOS,"14.970,00","14.970,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
2,PI,ALBERTI FEDERICO - INCARICO VALUTATORE INDIPENDENTE,VI Assistenza Tecnica,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","45.800,00","45.800,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1295,MS,AMBIENTE E TERRITORIO,I Adattabilit‡,2008,Finanziato,Ti Forma s.c.r.l.,"69.071,00","69.071,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
209,PI,APPROCCIO ALLA GESTIONE INTEGRATA NELL'OTTICA DI RENDICONTAZIONE SOCIALE,I Adattabilit‡,2008,Finanziato,Ti Forma s.c.r.l.,"14.354,00","14.354,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
526,LI,APPROVAZIONE PIANO STRALCIO 2008 E SCHEMA DI BANDO,I Adattabilit‡,2008,Finanziato,A. MANZONI & C. S.P.A.,"703,40","703,40",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
529,LI,APPROVAZIONE PIANO STRALCIO 2008 E SCHEMA DI BANDO,IV Capitale Umano,2008,Finanziato,A. MANZONI & C. S.P.A.,"157,00","157,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
528,LI,APPROVAZIONE PIANO STRALCIO 2008 E SCHEMA DI BANDO,III Inclusione Sociale,2008,Finanziato,A. MANZONI & C. S.P.A.,"356,77","356,77",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
527,LI,APPROVAZIONE PIANO STRALCIO 2008 E SCHEMA DI BANDO,II Occupabilit‡,2008,Finanziato,A. MANZONI & C. S.P.A.,"942,47","942,47",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
459,CE,ARTE E SAPERE DELLA POTATURA - CORSO PROFESSIONALE PER POTATORE,II Occupabilit‡,2008,Finanziato,CENTRO LIFE,"43.905,00","43.905,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
436,CE,ARTE E SAPERE DELLA POTATURA - CORSO PROFESSIONALE PER POTATORE,I Adattabilit‡,2008,Finanziato,CENTRO LIFE,"13.219,00","13.219,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
432,LU,ARTICOLO TERZO,III Inclusione Sociale,2008,Finanziato,PROTEO LUCCA ONLUS,"58.000,00","58.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
223,PI,AS FA,II Occupabilit‡,2008,Finanziato,Centro di Ricerca e Documentazione sull'infanzia LA BOTTEGA DI GEPPETTO,"26.400,00","26.400,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
133,FI,ASB: ADDETTO ALLA SALA RISTORANTE (COMMIS DI SALA),II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"282.486,35","225.989,08",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
772,AR,ASSI.QUAL - QUALITA' NEI SERVIZI SOCIO-ASSISTENZIALI,I Adattabilit‡,2008,Finanziato,FONDAZIONE KEPHA ONLUS,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
318,GR,ASSISTENTE DI BASE E DISABILITA',II Occupabilit‡,2008,Finanziato,CESVIP TOSCANA LAZIO SOCIETA` COOPERATIVA,"90.000,00","90.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
774,AR,ASSO.TEAM - PROGRAMMA A SOSTEGNO DELL'INNOVAZIONE ORGANIZZATIVA DEI SERVIZI PER LE IMPRESE ARTIGIANE,I Adattabilit‡,2008,Finanziato,SSA societ‡ servizi avanzati e di formazione scrl,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
194,PI,ATTI - ATTORI DI INNOVAZIONE,IV Capitale Umano,2008,Finanziato,FONDAZIONE SIPARIO TOSCANA,"56.640,00","56.640,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
503,CE,ATTORE DI INNOVAZIONE PER LE NUOVE GENERAZIONI E LA PROMOZIONE DEL TERRITORIO,IV Capitale Umano,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"66.490,00","66.490,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
174,PI,AUMENTARE LE CAPACIT¿ RELAZIONALI-VERSO UNA SOCIETA' CAPACE DI DIALOGO,IV Capitale Umano,2008,Finanziato,COMUNE DI PONTEDERA,"51.121,60","51.121,60",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
434,CE,AZIONI DI MIGLIORAMENTO DELLE COMPETENZE DEGLI OCCUPATI SAMMONTANA,I Adattabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"9.280,00","9.280,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
62,GR,BEAUTY:PERCORSO DI AGGIORNAMENTO PER LE PROFESSIONI DEL BENESSERE,I Adattabilit‡,2008,Finanziato,cna servizi,"26.500,00","26.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
475,CE,BIO INTONACO - INTONACATURA DELLE SUPERFICI,II Occupabilit‡,2008,Finanziato,SCUOLA PROFESSIONALE EDILE DI FIRENZE,"59.674,00","59.674,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
130,FI,BIO.MURA.RE: ADDETTO MURATORE IN BIOEDILIZIA E RECUPERO,II Occupabilit‡,2007,Finanziato,CONSORZIO FORMEDIL TOSCANA (SCUOLA EDILE DI FIRENZE),"291.361,00","261.861,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
170,PI,BIODYNA,IV Capitale Umano,2008,Finanziato,ISIS SANTONI DI PISA (PI),"18.000,00","18.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
230,PI,BUY & DRINK,II Occupabilit‡,2008,Finanziato,CAT CONFCOMMERCIO PISA,"66.061,32","66.061,32",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
119,FI,CA: ADDETTO CARROZZIERE,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"294.396,95","235.517,56",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
465,CE,CAD SETTORE MODA,II Occupabilit‡,2008,Finanziato,PEGASO NETWORK DELLA COOPERAZIONE SOCIALE TOSCANA - SEDE DI FIRENZE,"67.353,24","67.353,24",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
938,AR,CAD-CAN: AUTOCAD 2D- FORMAZIONE IN CANTIERE,I Adattabilit‡,2008,Finanziato,PLASIS S.r.l.,"14.995,20","14.995,20",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
439,CE,CENTRI COMMERCIALI NATURALI E NUOVO COMMERCIO,I Adattabilit‡,2008,Finanziato,CESCOT FIRENZE,"24.758,75","19.807,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
518,LI,CENTRI IMPIEGO FACILITAZIONE ACCESSO SERVIZI E CENTRI IMPIEGO NETWORK TERRITORIALE DI ACCESSO AI SERVIZI,II Occupabilit‡,2004,Finanziato,PROVINCIA DI LIVORNO - UFFICIO FORMAZIONE PROFESSIONALE,"96.552,00","96.552,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
504,CE,CERTIFICATORE ETICO AMBIENTALE,IV Capitale Umano,2008,Finanziato,Qu.In. Srl,"57.533,29","57.533,29",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
82,GR,CINEMA: INTEGRAZIONE CREATIVITA' E ORGANIZZAZIONE,IV Capitale Umano,2008,Finanziato,"ISTITUTO PROFESSIONALE DI STATO PER I SERVIZI COMMERCIALI, TURISTICI, GRAFICI, ALBERGHIERI E SOCIALI EINAUDI DI GROSSETO","99.152,50","99.152,50",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
125,FI,CMCN: ADDETTO ALLA CONDUZIONE DI MACCHINE A CONTROLLO NUMERICO,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"166.006,03","132.804,82",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
54,GR,COM.SIC.-COMMERCIO IN SICUREZZA,I Adattabilit‡,2008,Finanziato,CESCOT GROSSETO,"15.000,00","12.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
635,FP,"COMITATO DI SORVEGLIANZA P.O.R. OB. 2 2007-2013 VILLA ARTIMINO, CARMIGNANO (PO) 13/06/2008",VI Assistenza Tecnica,2008,Finanziato,SETTORE FSE SISTEMA DELLA FORMAZIONE E DELL'ORIENTAMENTO,"10.359,20","10.359,20",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1419,AR,COMPETERE NEL MERCATO GLOBALE,I Adattabilit‡,2008,Finanziato,Calvelli RSP s.a.s. di Calvelli Federico e C.,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
716,LI,COMUNICARE SENZA BARRIERE,III Inclusione Sociale,2008,Finanziato,PEGASO NETWORK DELLA COOPERAZIONE SOCIALE TOSCANA - SEDE DI LIVORNO,"61.789,75","61.789,75",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
512,CE,CONOSCERE PER ACCOMPAGNARE L'INTEGRAZIONE,IV Capitale Umano,2008,Finanziato,PIN,"18.644,00","18.644,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
244,PI,CONTABILIA,II Occupabilit‡,2008,Finanziato,PEGASO LAVORO SOCIETA' COOPERATIVA,"41.208,00","41.208,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
769,AR,CONTROLLO DI GESTIONE,I Adattabilit‡,2008,Finanziato,CEDIT SRL,"15.000,00","15.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
30,LU,CORPORATE SOCIAL RESPONSABILITY,I Adattabilit‡,2008,Finanziato,KEDRION SPA,"25.000,00","25.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
468,CE,CORSO DI FORMAZIONE PER ADDETTI ALLE OPERAZIONI ED ALLE PROCEDURE AMMINISTRATIVE,II Occupabilit‡,2008,Finanziato,CONFARTIS SRL,"47.494,80","47.494,80",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
251,PI,CORSO DI FORMAZIONE PER L'ACQUISIZIONE DI COMPETENZE RIFERITE ALLA MANUTENZIONE E MARCATURA BICICLETTE,III Inclusione Sociale,2008,Finanziato,TD GROUP SPA,"37.903,20","37.903,20",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
498,CE,CORSO DI PULIZIA PER AMBIENTI,III Inclusione Sociale,2008,Finanziato,CONFARTIS SRL,"14.250,00","14.250,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
435,CE,CORSO DI SPECIALIZZAZIONE IN TECNOLOGIE ECO - SOSTENIBILI,I Adattabilit‡,2008,Finanziato,CONFARTIS SRL,"10.200,00","10.200,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
524,PI,CORSO PER ADDETTO ARTIERE - 2,II Occupabilit‡,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","300.000,00","300.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
525,PI,CORSO PER ADDETTO ARTIERE - 3,III Inclusione Sociale,2008,Finanziato,"PROVINCIA DI PISA - DIPARTIMENTO DELLE POLITICHE TERRITORIALI, ECONOMICHE E DEL LAVORO - SERVIZIO FORMAZIONE E LAVORO","298.800,00","298.800,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
187,PI,CREARE SVILUPPO DI CREATIVIT¿ E COMPETENZE PER DETENUTI E DETENUTE,III Inclusione Sociale,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"51.355,50","51.355,50",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
148,PI,CRESCI - CONSULENZA PER LA RIORGANIZZAZIONE E STRATEGIE PER LA CRESCITA COMPETITIVA DELLE IMPRESE,I Adattabilit‡,2008,Finanziato,ASSOCIAZIONE ULISSE,"59.118,57","41.383,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
188,PI,DEL PINOCCHIO IL PERCORSO INVERSO: DALLA FAVOLA ALLA REALT¿,III Inclusione Sociale,2008,Finanziato,Associazione Culturale Carte Blanche,"65.393,00","65.393,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
467,CE,DENTRO L'ITALIANO. CORSI D'ITALIANO L2,II Occupabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"30.000,00","30.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
442,CE,DENTRO L'ITALIANO. CORSI D'ITALIANO L2,I Adattabilit‡,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"46.011,00","46.011,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
403,FI,DIAMANTE: CORSO DI QUALIFICA PER ADDETTO ALLE CURE ESTETICHE E ADDETTO PARRUCCHIERE UNISEX,II Occupabilit‡,2007,Finanziato,LIFE ACADEMY SAS,"386.500,00","333.100,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
505,CE,"DIRIGENTI, ALLIEVI, DOCENTI PER L'INNOVAZIONE DIDATTICA E L'INTEGRAZIONE SISTEMICA",IV Capitale Umano,2008,Finanziato,Agenzia per lo Sviluppo dell'Empolese Valdelsa S.p.A.,"38.500,00","38.500,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1519,AR,DIRITTO DOVERE ALLO STUDIO E ALLA FORMAZIONE,II Occupabilit‡,2009,Finanziato,CENTRO PER L`INNOVAZIONE ORGANIZZATIVA E GESTIONALE NELLE PUBBLICHE AMMINISTRAZIONI,"203.462,00","203.462,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
136,FI,DO.SA.: CORSO DI PASTICCIERE DOLCI SAPORI,II Occupabilit‡,2007,Finanziato,IPSIA CHINI DI FIRENZE (FI),"149.200,00","149.200,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
748,PI,DONATI CERTIFICAZIONE SALDATORI,I Adattabilit‡,2008,Finanziato,IMPRESA DONATI,"12.900,00","9.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
175,PI,"DONNE, TELE SCAMBI",IV Capitale Umano,2008,Finanziato,CONSORZIO COPERNICO S.C.A.R.L.,"50.050,86","50.050,86",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1351,AR,"E DOPO IL BIENNIO? - TIPOLOGIA A (CLASSI I, II))",II Occupabilit‡,2008,Finanziato,Cipaat,"2.153,00","2.153,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
1354,AR,"E DOPO LA SCUOLA? - TIPOLOGIA B (CLASSI III,IV,V)",II Occupabilit‡,2008,Finanziato,Cipaat,"10.791,00","10.791,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
66,GR,EDIFAX-LA CERTIFICAZIONE DEGLI EDIFICI,I Adattabilit‡,2008,Finanziato,SCUOLA EDILE GROSSETANA,"8.572,00","6.000,00",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
128,FI,EE: ADDETTO ELETTRICO ELETTONICO,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"147.712,89","114.170,31",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
126,FI,EEAV: ADDETTO ELETTRONICO RADIO TV,II Occupabilit‡,2007,Finanziato,COMUNE DI FIRENZE - CENTRO FORMAZIONE PROFESSIONALE,"141.114,33","112.891,46",ESF,EUR,http://www.rete.toscana.it/sett/orient/fp/ListaProgetti.pdf
