regione,provincia,nome,tipo_istituto,cod_mec,indirizzo,citta,cap,email,indirizzo_web,codice_del_progetto,obiettivo,azione,stato_del_progetto,protocollo,data,ammontare_assegnato,totale_importo_pagato
CALABRIA,CS,"I.I.S.  CASTROLIBERO ""LS-ITCG""",ISTITUTO SUPERIORE,CSIS049007,VIA MARCHESATO,CASTROLIBERO,87040,CSIS049007@istruzione.it,"",F-2-FSE-2007-52,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",2-Interventi per promuovere il successo scolastico per le scuole del secondo ciclo,Avviato,5823,20-12-2007,"EUR 36.235,71","EUR 36.235,71"
CALABRIA,CS,"I.I.S.  CASTROLIBERO ""LS-ITCG""",ISTITUTO SUPERIORE,CSIS049007,VIA MARCHESATO,CASTROLIBERO,87040,CSIS049007@istruzione.it,"",G-1-FSE-2007-58,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,5823,20-12-2007,"EUR 9.642,85","EUR 9.642,85"
CALABRIA,CS,SMS CASTROVILLARI DE NICOLA,CENTRO TERRITORIALE,CSCT70300E,"VIA COSCILE,28",CASTROVILLARI,87012,CSMM07600C@istruzione.it,"",B-6-FSE-2007-17,B-Migliorare le competenze del personale della scuola e dei docenti,6-Interventi di formazione dei docenti per l'insegnamento rivolto agli adulti,Avviato,5823,20-12-2007,"EUR 9.821,42","EUR 9.821,42"
CALABRIA,CS,SMS CASTROVILLARI DE NICOLA,CENTRO TERRITORIALE,CSCT70300E,"VIA COSCILE,28",CASTROVILLARI,87012,CSMM07600C@istruzione.it,"",G-1-FSE-2007-52,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,5823,20-12-2007,"EUR 62.142,85","EUR 62.142,85"
CALABRIA,CS,CD CASTROVILLARI  I,SCUOLE ELEMENTARI,CSEE05500C,P.ZZA INDIPENDENZA C/O VILLAGGIO SCOL,CASTROVILLARI,87012,CSEE05500C@istruzione.it,"",B-1-FSE-2007-198,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 24.571,42","EUR 24.554,00"
CALABRIA,CS,CD CASTROVILLARI  I,SCUOLE ELEMENTARI,CSEE05500C,P.ZZA INDIPENDENZA C/O VILLAGGIO SCOL,CASTROVILLARI,87012,CSEE05500C@istruzione.it,"",B-4-FSE-2007-152,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.830,78"
CALABRIA,CS,CD CASTROVILLARI  I,SCUOLE ELEMENTARI,CSEE05500C,P.ZZA INDIPENDENZA C/O VILLAGGIO SCOL,CASTROVILLARI,87012,CSEE05500C@istruzione.it,"",D-1-FSE-2007-159,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,5823,20-12-2007,"EUR 4.607,14","EUR 4.595,18"
CALABRIA,CS,CD CASTROVILLARI  I,SCUOLE ELEMENTARI,CSEE05500C,P.ZZA INDIPENDENZA C/O VILLAGGIO SCOL,CASTROVILLARI,87012,CSEE05500C@istruzione.it,"",F-1-FSE-2007-166,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 29.928,57","EUR 28.412,38"
CALABRIA,CS,CD   CASTROVILLARI  II,SCUOLE ELEMENTARI,CSEE056008,VIA SS.MEDICI,CASTROVILLARI,87012,CSEE056008@istruzione.it,"",B-1-FSE-2007-168,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 15.714,27","EUR 15.454,72"
CALABRIA,CS,CD   CASTROVILLARI  II,SCUOLE ELEMENTARI,CSEE056008,VIA SS.MEDICI,CASTROVILLARI,87012,CSEE056008@istruzione.it,"",C-1-FSE-2007-304,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 49.284,20","EUR 47.616,86"
CALABRIA,RC,PALMI-SEMINARA-,ISTITUTO COMPRENSIVO,RCIC82100T,PIAZZA MARTIRI D'UNGHERIA,PALMI,89015,RCIC82100T@istruzione.it,"",C-1-FSE-2007-112,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 47.646,39","EUR 29.671,49"
CALABRIA,RC,PALMI-SEMINARA-,ISTITUTO COMPRENSIVO,RCIC82100T,PIAZZA MARTIRI D'UNGHERIA,PALMI,89015,RCIC82100T@istruzione.it,"",C-1-FSE-2007-232,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 9.821,42","EUR 9.428,80"
CALABRIA,RC,PALMI-SEMINARA-,ISTITUTO COMPRENSIVO,RCIC82100T,PIAZZA MARTIRI D'UNGHERIA,PALMI,89015,RCIC82100T@istruzione.it,"",F-1-FSE-2007-73,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 46.571,42","EUR 44.196,16"
CALABRIA,RC,"IS ""N. PIZI"" PALMI",ISTITUTO SUPERIORE,RCIS019002,PIAZZALE   MARTIRI D'UNGHERIA,PALMI,89015,RCIS019002@istruzione.it,"",B-1-FSE-2007-70,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 11.785,70","EUR 10.881,04"
CALABRIA,RC,"IS ""N. PIZI"" PALMI",ISTITUTO SUPERIORE,RCIS019002,PIAZZALE   MARTIRI D'UNGHERIA,PALMI,89015,RCIS019002@istruzione.it,"",B-9-FSE-2007-27,B-Migliorare le competenze del personale della scuola e dei docenti,9-Sviluppo di competenze sulla gestione amministrativo-contabile e di controllo e sulle procedure di acquisizione di beni e servizi,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.018,63"
CALABRIA,RC,"IS ""N. PIZI"" PALMI",ISTITUTO SUPERIORE,RCIS019002,PIAZZALE   MARTIRI D'UNGHERIA,PALMI,89015,RCIS019002@istruzione.it,"",C-1-FSE-2007-141,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 22.837,12","EUR 18.787,14"
CALABRIA,RC,"IS ""N. PIZI"" PALMI",ISTITUTO SUPERIORE,RCIS019002,PIAZZALE   MARTIRI D'UNGHERIA,PALMI,89015,RCIS019002@istruzione.it,"",C-5-FSE-2007-36,C-Migliorare i livelli di conoscenza e competenza dei giovani,5-Tirocini e stage in Italia e nei Paesi Europei,Avviato,5823,20-12-2007,"EUR 23.857,14","EUR 13.773,08"
CALABRIA,RC,"""CORRADO ALVARO"" PALMI",ISTITUTO MAGISTRALE,RCPM010002,VIA CAMPANELLA,PALMI,89015,RCPM010002@istruzione.it,"",C-1-FSE-2007-17,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 45.999,99","EUR 43.505,25"
CALABRIA,RC,"""CORRADO ALVARO"" PALMI",ISTITUTO MAGISTRALE,RCPM010002,VIA CAMPANELLA,PALMI,89015,RCPM010002@istruzione.it,"",C-4-FSE-2007-6,C-Migliorare i livelli di conoscenza e competenza dei giovani,4-Interventi individualizzati per promuovere l'eccellenza,Avviato,5823,20-12-2007,"EUR 2.107,14","EUR 2.046,35"
CALABRIA,RC,"""CORRADO ALVARO"" PALMI",ISTITUTO MAGISTRALE,RCPM010002,VIA CAMPANELLA,PALMI,89015,RCPM010002@istruzione.it,"",C-5-FSE-2007-5,C-Migliorare i livelli di conoscenza e competenza dei giovani,5-Tirocini e stage in Italia e nei Paesi Europei,Avviato,5823,20-12-2007,"EUR 35.357,14","EUR 31.929,91"
CALABRIA,RC,"""GUERRISI"" PALMI",ISTITUTO D'ARTE,RCSD020002,VIA        FELICE BATTAGLIA,PALMI,89015,RCSD020002@istruzione.it,"",C-1-FSE-2007-298,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 9.821,42","EUR 9.610,91"
CALABRIA,RC,"ISTITUTO COMPRENISVO""G. SALVEMINI""",ISTITUTO COMPRENSIVO,RCIC85000T,VIA ESPERIA  N. 9,POLISTENA,89024,RCIC85000T@istruzione.it,"",C-1-FSE-2007-286,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 59.432,10","EUR 39.153,54"
CALABRIA,RC,"""G.RENDA"" POLISTENA",ISTITUTO SUPERIORE,RCIS00300C,"VIA VESCOVO MORABITO,19",POLISTENA,89024,RCIS00300C@istruzione.it,"",C-4-FSE-2007-68,C-Migliorare i livelli di conoscenza e competenza dei giovani,4-Interventi individualizzati per promuovere l'eccellenza,Avviato,5823,20-12-2007,"EUR 8.428,56","EUR 8.400,72"
CALABRIA,RC,"""G.RENDA"" POLISTENA",ISTITUTO SUPERIORE,RCIS00300C,"VIA VESCOVO MORABITO,19",POLISTENA,89024,RCIS00300C@istruzione.it,"",C-5-FSE-2007-64,C-Migliorare i livelli di conoscenza e competenza dei giovani,5-Tirocini e stage in Italia e nei Paesi Europei,Avviato,5823,20-12-2007,"EUR 33.617,12","EUR 20.859,23"
CALABRIA,RC,"""G.RENDA"" POLISTENA",ISTITUTO SUPERIORE,RCIS00300C,"VIA VESCOVO MORABITO,19",POLISTENA,89024,RCIS00300C@istruzione.it,"",D-1-FSE-2007-101,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,5823,20-12-2007,"EUR 4.285,71","EUR 4.266,85"
CALABRIA,RC,"""G.RENDA"" POLISTENA",ISTITUTO SUPERIORE,RCIS00300C,"VIA VESCOVO MORABITO,19",POLISTENA,89024,RCIS00300C@istruzione.it,"",F-2-FSE-2007-42,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",2-Interventi per promuovere il successo scolastico per le scuole del secondo ciclo,Avviato,5823,20-12-2007,"EUR 36.285,71","EUR 32.173,80"
CALABRIA,RC,"""G.RECHICHI"" POLISTENA",ISTITUTO MAGISTRALE,RCPM05000C,VIA        G. LOMBARDI,POLISTENA,89024,RCPM05000C@istruzione.it,"",C-1-FSE-2007-278,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 68.085,67","EUR 65.684,38"
CALABRIA,RC,"""G.RECHICHI"" POLISTENA",ISTITUTO MAGISTRALE,RCPM05000C,VIA        G. LOMBARDI,POLISTENA,89024,RCPM05000C@istruzione.it,"",C-5-FSE-2007-73,C-Migliorare i livelli di conoscenza e competenza dei giovani,5-Tirocini e stage in Italia e nei Paesi Europei,Avviato,5823,20-12-2007,"EUR 16.857,14","EUR 16.838,21"
CALABRIA,RC,"""M.M.MILANO"" POLISTENA",ISTITUTO TECNICO INDUSTRIALE,RCTF030008,VIA DELLO SPORT,POLISTENA,89024,RCTF030008@istruzione.it,"",C-1-FSE-2007-227,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 49.107,10","EUR 49.096,13"
CALABRIA,RC,"""M.M.MILANO"" POLISTENA",ISTITUTO TECNICO INDUSTRIALE,RCTF030008,VIA DELLO SPORT,POLISTENA,89024,RCTF030008@istruzione.it,"",G-1-FSE-2007-42,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,5823,20-12-2007,"EUR 40.157,13","EUR 35.124,62"
CALABRIA,RC,"SMS ""DE GASPERI""",CENTRO TERRITORIALE,RCCT70000N,"",REGGIO CALABRIA,"",RCMM00600R@istruzione.it,"",B-4-FSE-2007-56,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 9.821,42","EUR 9.055,66"
CALABRIA,RC,"SMS ""DE GASPERI""",CENTRO TERRITORIALE,RCCT70000N,"",REGGIO CALABRIA,"",RCMM00600R@istruzione.it,"",G-1-FSE-2007-30,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,5823,20-12-2007,"EUR 80.314,26","EUR 58.907,60"
CALABRIA,RC,"""ALVARO"" REGGIO CAL.",SCUOLE ELEMENTARI,RCEE00100P,VIA S.ANNA AL SOCCORSO 9,REGGIO CALABRIA,89131,RCEE00100P@istruzione.it,"",C-1-FSE-2007-300,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 4.285,71","EUR 3.716,00"
CALABRIA,RC,"""ALVARO"" REGGIO CAL.",SCUOLE ELEMENTARI,RCEE00100P,VIA S.ANNA AL SOCCORSO 9,REGGIO CALABRIA,89131,RCEE00100P@istruzione.it,"",F-1-FSE-2007-118,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 60.468,42","EUR 37.782,20"
CALABRIA,RC,"""LOMBARDO RADICE"" CATONA",SCUOLE ELEMENTARI,RCEE004006,VIA REGINA ELENA,REGGIO CALABRIA,89100,RCEE004006@istruzione.it,"",B-1-FSE-2007-161,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 4.821,42","EUR 3.950,80"
CALABRIA,RC,"""LOMBARDO RADICE"" CATONA",SCUOLE ELEMENTARI,RCEE004006,VIA REGINA ELENA,REGGIO CALABRIA,89100,RCEE004006@istruzione.it,"",B-4-FSE-2007-130,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 4.821,42","EUR 4.541,60"
CALABRIA,RC,"""LOMBARDO RADICE"" CATONA",SCUOLE ELEMENTARI,RCEE004006,VIA REGINA ELENA,REGGIO CALABRIA,89100,RCEE004006@istruzione.it,"",D-1-FSE-2007-125,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,5823,20-12-2007,"EUR 4.821,42","EUR 4.071,59"
CALABRIA,RC,"""LOMBARDO RADICE"" CATONA",SCUOLE ELEMENTARI,RCEE004006,VIA REGINA ELENA,REGGIO CALABRIA,89100,RCEE004006@istruzione.it,"",F-1-FSE-2007-116,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 49.282,71","EUR 47.201,80"
CALABRIA,RC,CD GALLICO,SCUOLE ELEMENTARI,RCEE009009,P.ZZA POSTA,REGGIO CALABRIA,89135,RCEE009009@istruzione.it,"",B-1-FSE-2007-193,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 17.678,55","EUR 15.246,42"
CALABRIA,RC,CD GALLICO,SCUOLE ELEMENTARI,RCEE009009,P.ZZA POSTA,REGGIO CALABRIA,89135,RCEE009009@istruzione.it,"",B-4-FSE-2007-150,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.080,60"
CALABRIA,RC,CD GALLICO,SCUOLE ELEMENTARI,RCEE009009,P.ZZA POSTA,REGGIO CALABRIA,89135,RCEE009009@istruzione.it,"",B-7-FSE-2007-40,B-Migliorare le competenze del personale della scuola e dei docenti,7-Interventi individualizzati e per l'auto-aggiornamento del personale scolastico (per questo bando limitatamente all'apprendimento linguisitico),Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.080,50"
CALABRIA,RC,CD GALLICO,SCUOLE ELEMENTARI,RCEE009009,P.ZZA POSTA,REGGIO CALABRIA,89135,RCEE009009@istruzione.it,"",B-9-FSE-2007-61,B-Migliorare le competenze del personale della scuola e dei docenti,9-Sviluppo di competenze sulla gestione amministrativo-contabile e di controllo e sulle procedure di acquisizione di beni e servizi,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.080,50"
CALABRIA,RC,"""GALLUPPI"" REGGIO CAL.",SCUOLE ELEMENTARI,RCEE011009,VIA SBARRE C.LI BOTT.LLE,REGGIO CALABRIA,89132,RCEE011009@istruzione.it,"",F-1-FSE-2007-162,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 73.772,84","EUR 66.395,54"
CALABRIA,RC,CD  COLLODI-GEBBIONE,SCUOLE ELEMENTARI,RCEE012005,VIALE A. MORO  TRAV. II INA CASA,REGGIO CALABRIA,89129,RCEE012005@istruzione.it,"",B-1-FSE-2007-57,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 4.232,14","EUR 4.227,57"
CALABRIA,RC,CD  COLLODI-GEBBIONE,SCUOLE ELEMENTARI,RCEE012005,VIALE A. MORO  TRAV. II INA CASA,REGGIO CALABRIA,89129,RCEE012005@istruzione.it,"",C-1-FSE-2007-121,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 35.714,25","EUR 35.712,52"
CALABRIA,RC,CD  COLLODI-GEBBIONE,SCUOLE ELEMENTARI,RCEE012005,VIALE A. MORO  TRAV. II INA CASA,REGGIO CALABRIA,89129,RCEE012005@istruzione.it,"",F-1-FSE-2007-23,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 24.964,28","EUR 24.754,76"
CALABRIA,RC,"""A.CASSIODORO"" PELLARO",SCUOLE ELEMENTARI,RCEE01500L,VIA AUGUSTA 34,REGGIO CALABRIA,89066,RCEE01500L@istruzione.it,"",B-1-FSE-2007-157,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 4.285,71","EUR 4.285,63"
CALABRIA,RC,"""A.CASSIODORO"" PELLARO",SCUOLE ELEMENTARI,RCEE01500L,VIA AUGUSTA 34,REGGIO CALABRIA,89066,RCEE01500L@istruzione.it,"",B-4-FSE-2007-128,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 5.303,56"
CALABRIA,RC,"""A.CASSIODORO"" PELLARO",SCUOLE ELEMENTARI,RCEE01500L,VIA AUGUSTA 34,REGGIO CALABRIA,89066,RCEE01500L@istruzione.it,"",B-6-FSE-2007-16,B-Migliorare le competenze del personale della scuola e dei docenti,6-Interventi di formazione dei docenti per l'insegnamento rivolto agli adulti,Avviato,5823,20-12-2007,"EUR 7.142,85","EUR 7.142,34"
CALABRIA,RC,"""A.CASSIODORO"" PELLARO",SCUOLE ELEMENTARI,RCEE01500L,VIA AUGUSTA 34,REGGIO CALABRIA,89066,RCEE01500L@istruzione.it,"",D-1-FSE-2007-122,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,5823,20-12-2007,"EUR 14.196,42","EUR 14.188,78"
CALABRIA,RC,"""A.CASSIODORO"" PELLARO",SCUOLE ELEMENTARI,RCEE01500L,VIA AUGUSTA 34,REGGIO CALABRIA,89066,RCEE01500L@istruzione.it,"",F-1-FSE-2007-114,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 52.821,42","EUR 47.451,92"
CALABRIA,RC,PRINCIPE DI PIEMONTE,SCUOLE ELEMENTARI,RCEE01600C,VIA POSSIDONEA 65,REGGIO CALABRIA,89125,RCEE01600C@istruzione.it,"",F-1-FSE-2007-128,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 64.844,28","EUR 39.423,51"
CALABRIA,RC,C.D. NOSSIDE RAVAGNESE REGGIO C,SCUOLE ELEMENTARI,RCEE018004,SALITA AEROPORTO,REGGIO CALABRIA,89131,RCEE018004@istruzione.it,"",B-1-FSE-2007-177,B-Migliorare le competenze del personale della scuola e dei docenti,"1-Interventi innovativi per la promozione delle competenze chiave, in particolare sulle discipline tecnico-scientifiche, matematica, lingua madre, lingue straniere, competenze civiche (legalità, ambiente ecc.).",Avviato,5823,20-12-2007,"EUR 5.892,85","EUR 3.537,92"
CALABRIA,RC,C.D. NOSSIDE RAVAGNESE REGGIO C,SCUOLE ELEMENTARI,RCEE018004,SALITA AEROPORTO,REGGIO CALABRIA,89131,RCEE018004@istruzione.it,"",C-1-FSE-2007-315,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 19.642,84","EUR 17.882,95"
