"RAGIONE SOCIALE  ","TITOLO AZIONE ","Quota pubblica assegnata (euro) "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","93.000 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","3.663 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO","Percorso di accompagnamento al successo formativo ","6.747 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","82.500 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","61.660 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO","Percorso di accompagnamento al successo formativo ","21.880 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","303.000 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","95.500 "
"AGENZIA REGIONALE PER L'ISTRUZIONE LA FORMAZIONE E IL LAVORO","Attivitﾈ di supporto alla programmazione, aggiornamento, 
revisione ed al funzionamento delle 
procedure di gestione delle attivitﾈ cofinanziate (L. 22/06) ","3.000.000 "
"ASSOCIAZIONE CLUB BEAUTE' MILANO ACCONCIATURA MILANO ESTETICA","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","76.500 "
"ASSOCIAZIONE CNOS/FAP Regione Lombardia","Percorso di accompagnamento al successo formativo ","3.544 "
"ASSOCIAZIONE CNOS/FAP Regione Lombardia","Percorso di specializzazione finalizzato all'inserimento lavorativo","215.250"
"ASSOCIAZIONE CNOS/FAP Regione Lombardia","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","255.000"
"ASSOCIAZIONE FAMIGLIE DI DISABILI INTELLETTIVI E RELAZIONALI ANFFAS DI MILANO ONLUS - IN BREVE ANCHE ANFFAS O","Percorso di accompagnamento al successo formativo","47.372"
"ASSOCIAZIONE FAMIGLIE DI DISABILI INTELLETTIVI E RELAZIONALI ANFFAS DI MILANO ONLUS - IN BREVE ANCHE ANFFAS O","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","195.000"
"ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO","Percorso di accompagnamento al successo formativo","55.994"
"ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","121.500"
"ASSOCIAZIONE ISTITUTI SANTA PAOLA ","Percorso di accompagnamento al successo formativo","56.728"
"ASSOCIAZIONE ISTITUTI SANTA PAOLA ","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","309.000 "
"ASSOCIAZIONE ISTITUTO SCOLASTICO SISTEMA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","49.500 "
"ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI","Percorso di accompagnamento al successo formativo","72.405 "
"ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","82.500 "
"ASSOCIAZIONE SCUOLA SILV ","Percorso di accompagnamento al successo formativo ","108.628 "
"ASSOCIAZIONE SCUOLE LAVORO ALTO MILANESE ","Dote Specializzazione - ambito Edilizia ","93.440 "
"ASSOCIAZIONE SCUOLE LAVORO ALTO MILANESE ","Percorso di specializzazione finalizzato all'inserimento lavorativo","278.550 "
"ASSOCIAZIONE SCUOLE PROFESSIONALI G. MAZZINI ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","130.500 "
"ASSOCIAZONE LA NOSTRA FAMIGLIA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","82.500 "
"AZIENDA BERGAMASCA FORMAZIONE ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","112.212 "
"AZIENDA BERGAMASCA FORMAZIONE","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","177.000 "
"AZIENDA SPECIALE AGENZIA FORMATIVA DEL COMUNE DI 
GORGONZOLA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","96.000 "
"AZIENDA SPECIALE CONSORTILE ""CONSORZIO DESIO-","Percorso di accompagnamento al successo formativo ","15.948 "
"BRIANZA""","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","93.000 "
"C.F.P. UNIONE ARTIGIANI","Percorso di accompagnamento al successo formativo","157.395"
"C.F.P. UNIONE ARTIGIANI","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","63.000 "
"C.I.L.F Centro per l'Innovazione Lavoro e della Formazione Società Cooperativa Sociale O.N.L.U.S","Dote Specializzazione - ambito Edilizia","101.400 "
"C.I.L.F Centro per l'Innovazione Lavoro e della Formazione Società Cooperativa Sociale O.N.L.U.S","Percorso di accompagnamento al successo formativo","309.030 "
"CALAM CENTRO ARTISTICO LODIGIANO ACCONCIATORI MISTI ED ESTETICA","Percorso di accompagnamento al successo formativo ","21.026 "
"CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA -SOCIETA' COOPERATIVA","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","46.074 "
"CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA -SOCIETA' COOPERATIVA","Dote Specializzazione - ambito Edilizia ","451.300 "
"CE.SVI.P. LOMBARDIA- CENTRO SVILUPPO PICCOLA E MEDIA IMPRESA -SOCIETA' COOPERATIVA","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","90.060 "
"CENTRO DI ADDESTRAMENTO E PERFEZIONAMENTO ADDETTI COMMERCIO - C.A.P.A.C.","Percorso di accompagnamento al successo formativo ","216.411 "
"CENTRO DI ADDESTRAMENTO E PERFEZIONAMENTO ADDETTI COMMERCIO - C.A.P.A.C.","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","87.000 "
"CENTRO DI FORMAZIONE E ISTRUZIONE PROFESSIONALE DEL PIAMBELLO","Percorso di accompagnamento al successo formativo ","35.954 "
"CENTRO DI FORMAZIONE PROFESSIONALE Azienda Speciale della Provincia di Sondrio","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","39.000 "
"CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI","Percorso di accompagnamento al successo formativo ","5.948 "
"CENTRO FORMATIVO PROVINCIALE GIUSEPPE ZANARDELLI","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","486.000 "
"CENTRO ITALIANO OPERE FEMMINILI SALESIANE","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","85.500 "
"CENTRO SERVIZI FORMAZIONE COOPERATIVA SOCIALE A R.L.","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","28.960 "
"CENTRO SERVIZI FORMAZIONE COOPERATIVA SOCIALE A R.L.","Percorso di accompagnamento al successo formativo ","104.580 "
"CFP SAN GIUSEPPE COOPERATIVA SOCIALE ONLUS","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","79.500 "
"CIAS FORMAZIONE PROFESSIONALE - IMPRESA SOCIALE S.R.L.","Percorso di accompagnamento al successo formativo ","50.307 "
"CIAS FORMAZIONE PROFESSIONALE - IMPRESA SOCIALE S.R.L.","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","90.000 "
"COMETA FORMAZIONE SOCIETA' COOPERATIVA SOCIALE IN SIGLA COMETA FORMAZIONE S.C.S.","Percorso di accompagnamento al successo formativo ","12.852 "
"COMETA FORMAZIONE SOCIETA' COOPERATIVA SOCIALE IN SIGLA COMETA FORMAZIONE S.C.S.","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","40.500 "
"COMUNE DI PAVIA","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","236.296 "
"COMUNE DI PAVIA",,"216.000 "
"CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA","Dote Specializzazione - ambito Edilizia ","514.800 "
"CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA","Percorso di accompagnamento al successo formativo ","54.123 "
"CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","1.127.250 "
"CONSORZIO SCUOLE LAVORO MILANO SOCIETA' COOPERATIVA","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","130.500 "
"COOPERATIVA S. GIUSEPPE - SOCIETA' COOPERATIVA SOCIALE - ONLUS","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","90.000 "
"CR FORMA AZIENDA SPECIALE DELLA PROVINCIA DI CREMONA PER LA GESTIONE DEI SERVIZI DI FORMAZIONE PROFESSIONALE","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","60.120 "
"CR FORMA AZIENDA SPECIALE DELLA PROVINCIA DI CREMONA PER LA GESTIONE DEI SERVIZI DI FORMAZIONE PROFESSIONALE","Dote Specializzazione - ambito Edilizia ","154.600 "
"CUSTODIA SOCIETA' A RESPONSABILITA' LIMITATA","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","33.248 "
"CUSTODIA SOCIETA' A RESPONSABILITA' LIMITATA","Dote Specializzazione - ambito Edilizia ","187.200 "
"CUSTODIA SOCIETA' A RESPONSABILITA' LIMITATA","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","528.800 "
"E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","31.916 "
"E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA","Percorso di accompagnamento al successo formativo ","48.244 "
"E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","380.000 "
"E.C.FO.P. ENTE CATTOLICO FORMAZIONE PROFESSIONALE MONZA E BRIANZA","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","108.000 "
"E.L.FO.L ENTE LOMBARDO FORMAZIONE LAVORATORI ","Percorso di accompagnamento al successo formativo ","73.827 "
"ENAC LOMBARDIA - C.F.P. CANOSSA ","Percorso di accompagnamento al successo formativo ","102.112 "
"ENAC LOMBARDIA - C.F.P. CANOSSA ","Prenotazione dote percorsi sperimentali di IV annualità di IFP - a.f. 2008/2009","93.000 "
"ENGIM LOMBARDIA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","40.500 "
"ENTERTRAINING, Societﾈ consortile a r.l. ","Sovvenzione Globale denominata ""Learning Week"" (Azioni 1 
e 2) ","7.402.200 "
"ENTERTRAINING, Societﾈ consortile a r.l. ","Assistenza Tecnica ","1.537.500 "
"ENTE SOMASCO ISTRUZIONE PROFESSIONALE E.S.I.P. ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","241.117 "
"EUROSERVYCE SOCIETA' COOPERATIVA SOCIALE ONLUS ","Percorso di accompagnamento al successo formativo ","153.104 "
"FINLOMBARDA S.P.A. -  FINANZIARIA PER LO SVILUPPO 
DELLA LOMBARDIA SOCIETA' PER AZIONI ","Gestione Fondo Jeremie FSE - POR Ob.2 - FSE 2007/2013  ","10.000.000 "
"FONDAZIONE CASA DEL GIOVANE DON MARIO BOTTOGLIA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","166.500 "
"FONDAZIONE CENTRO LOMBARDO PER L'INCREMENTO DELLA FLORO-ORTO-FRUTTICOLTURA, SCUOLA DI MINOPRIO - IN BREVE FONDAZIONE MINOPRIO.","Percorso di accompagnamento al successo formativo ","20.764 "
"FONDAZIONE CENTRO LOMBARDO PER L'INCREMENTO DELLA FLORO-ORTO-FRUTTICOLTURA, SCUOLA DI MINOPRIO - IN BREVE FONDAZIONE MINOPRIO.","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","236.600 "
"FONDAZIONE CENTRO LOMBARDO PER L'INCREMENTO DELLA FLORO-ORTO-FRUTTICOLTURA, SCUOLA DI MINOPRIO - IN BREVE FONDAZIONE MINOPRIO.","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","94.500 "
"FONDAZIONE DELL'ASSOCIAZIONE SOMASCA FORMAZIONE 
AGGIORNAMENTO PROFESSIONALE A.S.F.A.P. - ONLUS ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","139.500 "
"FONDAZIONE ENAIP LOMBARDIA","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","495.477 "
"FONDAZIONE ENAIP LOMBARDIA","Dote Specializzazione - ambito Edilizia ","123.400 "
"FONDAZIONE ENAIP LOMBARDIA","Percorso di accompagnamento al successo formativo ","176.244 "
"FONDAZIONE ENAIP LOMBARDIA ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","1.135.350 "
"FONDAZIONE ENAIP LOMBARDIA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","490.500 "
"FONDAZIONE GABRIELE CASTELLINI - SCUOLA D'ARTI E 
MESTIERI ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","40.500 "
"FONDAZIONE GIOVANNI E IRENE COVA ","Percorso di accompagnamento al successo formativo ","134.910 "
"FONDAZIONE LE VELE","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","10.336 "
"FONDAZIONE LE VELE","Dote Specializzazione - ambito Edilizia ","85.800 "
"FONDAZIONE LUIGI CLERICI ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","30.932 "
"FONDAZIONE LUIGI CLERICI ","Dote Specializzazione - ambito Edilizia ","70.935 "
"FONDAZIONE LUIGI CLERICI ","Percorso di accompagnamento al successo formativo ","56.925 "
"FONDAZIONE LUIGI CLERICI ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","279.000 "
"FORMAZIONE MANTOVA - FOR.MA. Azienda Speciale della Provincia di Mantova","Dote Specializzazione - ambito Edilizia ","62.400 "
"FORMAZIONE MANTOVA - FOR.MA. Azienda Speciale della Provincia di Mantova","Percorso di accompagnamento al successo formativo ","16.480 "
"G.B.S. GLOBAL BUSINESS SERVICE S.R.L. ","Dote Specializzazione - ambito Edilizia ","32.000 "
"G.B.S. GLOBAL BUSINESS SERVICE S.R.L. ","Percorso di specializzazione finalizzato all'inserimento lavorativo","58.200 "
"GALDUS SOCIETA' COOPERATIVA","Dote Specializzazione - ambito Edilizia ","280.100 "
"GALDUS SOCIETA' COOPERATIVA","Percorso di accompagnamento al successo formativo ","15.253 "
"GALDUS SOCIETA' COOPERATIVA","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","237.600 "
"GALDUS SOCIETA' COOPERATIVA","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","93.000 "
"GI GROUP S.P.A. (CON O SENZA INTERPUNZIONI E 
COMUNQUE SENZA VINCOLI DI RAPPRESENTAZIONE 
GRAFICA) ","Dote Specializzazione - ambito Edilizia ","79.500 "
"IReR - ISTITUTO REGIONALE DI RICERCA DELLA LOMBARDIA ","Sperimentazione VALUTATORE INDIPENDENTE ai sensi dell'art. 17 della L.R. 22/06 e dell'art. 27 della L.R. 19/07 relativamente al biennio di attività 2008/2010""","2.000.000"
"I.S.P.E. ISTITUTO SUPERIORE PROFESSIONALE EUROPEO ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","79.500 "
"IKAROS SOCIETA' COOPERATIVA SOCIALE ","Dote Specializzazione - ambito Edilizia ","101.400 "
"IKAROS SOCIETA' COOPERATIVA SOCIALE ","Percorso di accompagnamento al successo formativo ","20.446 "
"IKAROS SOCIETA' COOPERATIVA SOCIALE ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","156.000 "
"ISTITUTO ADDESTRAMENTO LAVORATORI DENOMINATO PIU' BREVEMENTE IAL-CISL LOMBARDIA","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","66.496 "
"ISTITUTO ADDESTRAMENTO LAVORATORI DENOMINATO PIU' BREVEMENTE IAL-CISL LOMBARDIA","Dote Specializzazione - ambito Edilizia ","5.700 "
"ISTITUTO ADDESTRAMENTO LAVORATORI DENOMINATO PIU' BREVEMENTE IAL-CISL LOMBARDIA","Percorso di accompagnamento al successo formativo ","200.490 "
"ISTITUTO ADDESTRAMENTO LAVORATORI DENOMINATO PIU' BREVEMENTE IAL-CISL LOMBARDIA","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","102.000 "
"ISTITUTO DELLE SUORE DELLA SACRA FAMIGLIA ","Percorso di accompagnamento al successo formativo ","14.990 "
"ISTITUTO PAVONIANO ARTIGIANELLI ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","63.000 "
"ISTITUTO POSTUNIVERSITARIO SANTA CHIARA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","67.500 "
"ISTITUTO RIZZOLI PER L'INSEGNAMENTO DELLE ARTI 
GRAFICHE ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","75.000 "
"ISTITUTO SORDOMUTI D'AMBO I SESSI DI BERGAMO ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","74.808 "
"ISTITUTO SORDOMUTI D'AMBO I SESSI DI BERGAMO ","Percorso di accompagnamento al successo formativo ","50.126 "
"ISTITUTO SORDOMUTI D'AMBO I SESSI DI BERGAMO ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","90.000 "
"LASER - SOCIETA' COOPERATIVA","Dote Specializzazione - ambito Edilizia ","85.800 "
"LASER - SOCIETA' COOPERATIVA","Percorso di accompagnamento al successo formativo ","46.335 "
"LAVORINT RISORSE AGENZIA PER IL LAVORO S.P.A. ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","34.000 "
"LOMBARDIA INFORMATICA Spa ","Sviluppo Sistema Informativo ","3.300.000 "
"MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA' 
COOPERATIVA SOCIALE ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","249.670 "
"MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA' 
COOPERATIVA SOCIALE ","Dote Specializzazione - ambito Edilizia ","70.200 "
"MESTIERI - CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA' 
COOPERATIVA SOCIALE ","Percorso di accompagnamento al successo formativo ","45.004 "
"ORIENTAMENTO E FORMAZIONE S.R.L. ","Dote Specializzazione - ambito Edilizia ","120.496 "
"PIAZZA DEL LAVORO SOCIETA' CONSORTILE A 
RESPONSABILITA' LIMITATA ","Dote Specializzazione - ambito Edilizia ","85.800 "
"PIAZZA DEL LAVORO SOCIETA' CONSORTILE A 
RESPONSABILITA' LIMITATA ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","157.740 "
"PIAZZA DEL LAVORO SOCIETA' CONSORTILE A 
RESPONSABILITA' LIMITATA ","Dote Specializzazione - ambito Edilizia ","368.800 "
"PIAZZA DEL LAVORO SOCIETA' CONSORTILE A 
RESPONSABILITA' LIMITATA ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","114.000 "
"PROVINCIA DI LECCO ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","89.600 "
"PROVINCIA DI MANTOVA ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","156.160 "
"R.T.I. AB COMUNICAZIONI E DINAMICA MEDIA  Srl ","Progettazione e realizzazione di un piano integrato di 
informazione e comunicazione ","4.800.000 "
"R.T.I. ARCHIDATA Srl e CONSEDIN Spa ","Assistenza tecnic ll�utorit di certificzione ","1.310.942 "
"O.D.P.F. OPERA DIOCESANA PRESERVAZIONE DELLA FEDE","Dote Specializzazione - ambito Edilizia","70.200 "
"O.D.P.F. OPERA DIOCESANA PRESERVAZIONE DELLA FEDE","Percorso di accompagnamento al successo formativo","45.004 "
"R.T.I. ISMERI EUROPA Srl, EXPERT ITALIA Srl e KPMG 
ADVISORY Spa ","Servizio di Valutazione Indipendente P.O.R. F.S.E. 2007/2013 ","880.000 "
"SCUOLA AGRARIA DEL PARCO DI MONZA ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","5.021 "
"SCUOLA D'ARTE APPLICATA ANDREA FANTONI ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","88.500 "
"SCUOLA DELLE ARTI E DELLA FORMAZIONE PROFESSIONALE RODOLFO VANTINI","Percorso di accompagnamento al successo formativo ","6.240 "
"SCUOLA DELLE ARTI E DELLA FORMAZIONE PROFESSIONALE RODOLFO VANTINI","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","67.500 "
"SCUOLA DI ARTI E MESTIERI F. BERTAZZONI ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","84.000 "
"SCUOLA EDILE BRESCIANA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","88.500 "
"SOCIETA\' COOPERATIVA SOCIALE IN-PRESA ","Percorso di accompagnamento al successo formativo ","11.845 "
"SOL.CO MANTOVA - SOLIDARIETA' E COOPERAZIONE 
SOCIETA' COOPERATIVA SOCIALE ","Dote Specializzazione - ambito Edilizia ","7.100 "
"SOLCO BRESCIA - CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA\' COOPEATIVA SOCIALE","Dote Specializzazione - ambito Edilizia ","7.100 "
"STEP S.R.L. ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","105.792 "
"TENDA - SOLIDARIETA' E COOPERAZIONE BRESCIA EST - 
CONSORZIO DI COOPERATIVE SOCIALI - SOCIETA' 
COOPERATIVA SOCIALE ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","69.404 "
"WORKOPP SOCIETA' PER AZIONI ENUNCIABILE ANCHE 
WORKOPP S.P.A. ","Dote Specializzazione - ambito Edilizia ","161.000 "
