Beneficiario,Attuatore/Fornitore, Denominazione Operazione ," Anno di 
allocazione 
risorse ", Importo Finanziamento Pubblico (Importo impegnato) ,
REGIONE ABRUZZO,"Autorità per la Vigilanza sui 
Contratti Pubblici di Lavori 
Servizi e Forniture","Spese per pubblicizzazione avviso Gara ""Assistenza 
Tecnica al PO 2007-2013",2008,"€400,00","€400,00"
REGIONE ABRUZZO,IL SOLE 24ORE SpA,"Spese per pubblicizzazione avviso Gara ""Assistenza 
Tecnica al PO 2007-2013",2008,"€960,00","€960,00"
REGIONE ABRUZZO,PIEMME SpA,"Spese per pubblicizzazione avviso Gara ""Assistenza 
Tecnica al PO 2007-2013",2008,"€1.250,00","€1.250,00"
REGIONE ABRUZZO,PUBLIKOMPASS SpA ,"Spese per pubblicizzazione avviso Gara ""Assistenza 
Tecnica al PO 2007-2013",2008,"€799,80","€799,80"
REGIONE ABRUZZO,"Tecnostruttura delle Regioni 
per il FSE","Servizi di assistenza tecnica finalizzati a garantire 
un costante supporto tecnico volto a favorire e ad 
esaltare il raccordo ed il coordinamento degli 
interventi FSE attuati dalle Regioni attraverso i 
propri Programmi Operativi. ",2008," €83.740,00 "," €44.959,74"
REGIONE ABRUZZO,"Tecnostruttura delle Regioni 
per il FSE",Progetto integrativo di Assistenza Tecnica ,2008," €157.300,00 "," €70.650,00"
REGIONE ABRUZZO,avv. Mario Gabriele Perpetuini,"Commissione giudicatrice alla Gara con procedura 
aperta per l’affidamento di appalto per la 
realizzazione di servizi e strumenti previsti nel Piano 
di Comunicazione finalizzato alla divulgazione e 
conoscenza del Programma Operativo FSE 
Abruzzo ",2008,"€4.150,40","€4.150,40"
"Scuola Secondaria di I 
grado ""Foscolo-Fermi""-  
PESCARA (1)","Scuola Secondaria di I grado 
""Foscolo-Fermi""-  PESCARA"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.1 - 
Progetto: ""Verso Lisbona"" ",2008,"€25.000,00",-
"CTP per l'Educazione degli 
adulti c/o Scuola 
Secondaria di I grado ""R. 
Ortiz"" - CHIETI .(2)","CTP per l'Educazione degli 
adulti c/o Scuola Secondaria di 
I grado ""R. Ortiz"" - CHIETI"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.1 - 
Progetto: ""Licenza media: dall'integrazione sociale 
al mercato del lavoro"" ",2008,"€25.000,00",-
"CTP n. 2 c/o Scuola 
Secondaria di I grado ""G. 
Pascoli"" - SILVI M. (TE)","CTP n. 2 c/o Scuola 
Secondaria di I grado ""G. 
Pascoli"" - SILVI M. (TE)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.1 - 
Progetto: ""Migliorare la vita con maggior conoscene 
e competenze"" ",2008,"€25.000,00",-
"CTP per l'Educazione degli 
adulti c/o Circolo Didattico 
Statale  “A. Gandin”  - 
AVEZZANO (AQ)"," CTP per l'Educazione degli 
adulti c/o Circolo Didattico 
Statale  “A. Gandin”  - 
AVEZZANO (AQ)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.1 - 
Progetto: ""Recupero Competenze 2010"" ",2008,"€25.000,00",-
"ITIS ""E. Mattei""  VASTO 
(CH)","ITIS ""E. Mattei""  VASTO (CH)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.2 - 
Progetto: ""Domani… Periti industriali"" ",2008,"€57.000,00",-
"ITCG ""E. Fermi"" 
LANCIANO (CH)","ITCG ""E. Fermi"" LANCIANO 
(CH)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.2 - 
Progetto: ""Rafforziamo le competenze"" ",2008,"€50.000,00",-
"IPSIA ""U. Pomilio"" CHIETI","IPSIA ""U. Pomilio"" CHIETI"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.2 - 
Progetto: ""Obiettivo Diploma"" ",2008,"€40.000,00",-
"I.T.C. ""V. Comi"" - 
TERAMO .(3)","I.T.C. ""V. Comi"" - TERAMO"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.2 - 
Progetto: ""Corso di formazione per lavoratori"" ",2008,"€46.000,00",-
"Istituto Comprensivo ""B. 
Croce"" - PESCASSEROLI 
(AQ)","Istituto Comprensivo ""B. Croce"" 
- PESCASSEROLI (AQ)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.3 - 
Progetto: ""Percorsi (Corso di integrazione lavorativa 
e cultura italiana)"" ",2008,"€11.000,00                       -   ",-
"C.T.P. per l'Educazione 
degli Adulti c/o Istituto 
Comprensivo  - NERETO 
(TE)","C.T.P. per l'Educazione degli 
Adulti c/o Istituto Comprensivo  
- NERETO (TE)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.3 - 
Progetto: ""Percorsi: Lingua e cittadinanza: 
Comunicare è partecipare"" ",2008,"€36.364,00",-
"Scuola Secondaria di I 
grado""P. Ovidio"" - 
SULMONA (AQ) .(4)","Scuola Secondaria di I 
grado""P. Ovidio"" - SULMONA 
(AQ)"," Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.B.3 - 
Progetto: ""Laboratorio  Linguisitico/espressivo. 
Civico/istituzionale e multimediale"" ",2008,"€12.752,45",-
"Circolo Didattico Statale  
“A. Gandin”  - AVEZZANO 
(AQ)","Circolo Didattico Statale  “A. 
Gandin”  - AVEZZANO (AQ)","Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.D.2: 
Progetto ""S.In.Ap.S.I.S.""",2008,"€50.000,00",-
"Istituto Comprensivo  “G. 
D’Annunzio” - LANCIANO 
(CH)","Istituto Comprensivo  “G. 
D’Annunzio” - LANCIANO (CH)","Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.D.2: 
Progetto ""Azioni di orientamento per la promozione 
del successo formativo e per lo sviluppo del capitale 
umano""",2008,"€50.000,00",-
"Scuola Secondaria di I 
grado ""Foscolo-Fermi""-  
PESCARA .(1) ","Scuola Secondaria di I grado 
""Foscolo-Fermi""-  PESCARA","Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.D.2: 
Progetto ""Crescere attraverso l’operatività""",2008,"€50.000,00",-
"Direzione Didattica Statale - 
MARTINSICURO (TE)","Direzione Didattica Statale - 
MARTINSICURO (TE)","Protocollo di intesa Regione Abruzzo/Ufficio 
Scolastico Regionale 20.11.2008 - Azione 3.D.2: 
Progetto ""Pensarci a mosaico""",2008,"€50.000,00",-
REGIONE ABRUZZO,ABRUZZO LAVORO,"Progetto speciale multiasse ""Osservatori  per la 
conoscenza"" - Osservatorio del Capitale Umano ",2008,"€350.000,00","€70.000,00"
REGIONE ABRUZZO,,"Progetto speciale ""Simulazione d’impresa"" (gara 
d'appalto di rilevanza comunitaria)",2009,"€400.000,00",-
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato S.p.A","Progetto speciale ""Simulazione d’impresa"" - 
Pubblicazione su GURI del Bando di gara ",2009,"€2.307,36","€2.307,36"
REGIONE ABRUZZO,"Autorità per la Vigilanza sui 
Contratti Pubblici di Lavori 
Servizi e Forniture","Progetto speciale ""Simulazione d’impresa"" - 
contributo a AVCP",2009,"€150,00     ","€150,00     "
REGIONE ABRUZZO,PIEMME SpA,"Progetto speciale ""Simulazione d’impresa"" - 
Pubblicazione su ""Il Messaggero"" dell'Avviso 
relativo al Bando di gara ",2009,"€1.250,00   ","€1.250,00   "
REGIONE ABRUZZO,"PUBLIKOMPASS S.p.A (Il 
Tempo) -RM","Progetto speciale ""Simulazione d’impresa"" - 
Pubblicazione su ""Il Tempo"" dell'Avviso relativo al 
Bando di gara ",2009,"€1.551,60     ","€1.551,60     "
"Università degli Studi di CH-
PE ","Università degli Studi di Chieti-
Pescara","Protocollo di intesa Regione Abruzzo/CCRUA 
20.11.2008 - Assegni regionali per attivita di ricerca 
e alta formazione in discipline tecnico scientifiche 
Azione 1",2008,"€3.050.000,00",-
"Università degli Studi di 
Chieti-Pescara","Università degli Studi di Chieti-
Pescara","Protocollo di intesa Regione Abruzzo/CCRUA 
20.11.2008 - Realizzazione n. 3  dottorato di ricerca -  
Azione 2 sub a ",2008,"€180.000,00",-
"Università degli Studi di 
Chieti-Pescara ","Università degli Studi di Chieti-
Pescara ","Protocollo di intesa Regione Abruzzo/CCRUA 
20.11.2008 - Realizzazione n. 2 master  di II° livello - 
Azione 2 sub b",2008,"€220.000,00",-
"Università degli Studi di 
Chieti-Pescara","Università degli Studi di Chieti-
Pescara","Protocollo di intesa Regione Abruzzo/CCRUA 
20.11.2008 - Erogazione n. 40 Borse di studio - 
Azione 2 sub c",2008,"€1.000.000,00",-
"Università degli Studi di 
Chieti-Pescara","Università degli Studi di Chieti-
Pescara ","Protocollo di intesa Regione Abruzzo/CCRUA 
20.11.2008 - Reti partenariali di ricerca - Azione 4",2008,"€251.000,00",-
"I.T.C.G. ""E. Fermi"" 
Lanciano","I.T.C.G. ""E. FermiI"" Lanciano","Protocollo di intesa Regione Abruzzo/USR 
20.11.2008 - Reti scambio tra scuole e associazioni 
di insegnanti  finalizzate a rafforzare la cultura della 
valutazione - Az. 3.E.1",2008,"€50.000,00",-
"I.T.I.S. ""A. Volta""  Pescara","I.T.I.S. ""A. Volta""  Pescara","Protocollo di intesa Regione Abruzzo/USR 
20.11.2008 - Rafforzare le competenze 
metodologiche dei docenti di discipline tecnico-
scientifiche - Rete Regionale  Az. 3.A.1",2008,"€100.000,00","€35.000,00"
"I.P.S.I.A ""Di Marzio"" 
Pescara","I.P.S.I.A ""Di Marzio"" Pescara","Protocollo di intesa Regione Abruzzo/USR 
20.11.2008 - Rafforzare le competenze 
metodologiche dei docenti di discipline tecnico-
scientifiche - Rete Provinciale  Az. 3.A .2",2008,"€50.000,00","€17.500,00"
"L. Scientifico "" Vitruvio"" 
Avezzano","L. Scientifico "" Vitruvio"" 
Avezzano","Protocollo di intesa Regione Abruzzo/USR 
20.11.2008 - Rafforzare le competenze 
metodologiche dei docenti di discipline tecnico-
scientifiche - Rete Provinciale  Az. 3.A.2",2008,"€50.000,00",-
"I.T.C. ""Pascal"" Teramo","I.T.C. ""Pascal"" Teramo","Protocollo di intesa Regione Abruzzo/USR 
20.11.2008 - Rafforzare le competenze 
metodologiche dei docenti di discipline tecnico-
scientifiche - Rete Provinciale  Az. 3.A .2",2008,"€50.000,00",-
"Ist."" Magistrale"" Lanciano","Ist. Magistrale "" De Titta"" 
Lanciano","Protocollo di intesa Regione Abruzzo/USR 
20.11.2008 - Rafforzare le competenze 
metodologiche dei docenti di discipline tecnico-
scientifiche - Rete Provinciale  Az. 3.A .2",2008,"€50.000,00",-
REGIONE ABRUZZO,,"Progetto speciale ""Interventi finalizzati a  rafforzare 
le opportunità di frequenza di percorsi di istruzione 
universitaria e post universitaria e di alta 
formazione"" (Avviso pubblico Voucher)  ",2009,"€1.000.000,00",-
REGIONE ABRUZZO,PIEMME SpA,"Pubblicizzazione Progetto speciale Avviso pubblico  
Voucher su Il Messaggero ",2009,"€963,12",-
REGIONE ABRUZZO,IL CENTRO ,"Pubblicizzazione Progetto speciale Avviso pubblico  
Voucher su IL CENTRO",2009,"€ 980,04",-
"Università degli Studi di 
Chieti-Pescara","Università degli Studi di Chieti-
Pescara","Protocollo di intesa Regione Abruzzo/CCRUA 
20.11.2008 -  Orientamento ai percorsi tecnico-
scientifici      - Azione 3.3",2008,"€820.000,00",-
REGIONE ABRUZZO,"Università degli Studi di 
Teramo","Progetto Speciale Multiasse-Reti per l'Alta 
Formazione e inserimento lavorativo per 
l'organizzazione di eventi sportivi.Piano Operativo 
2007/2008 Ob. CRO",2008,"€391.800,00","€137.130,00 "
REGIONE ABRUZZO,"EUROBIC Abruzzo e Molise 
S.p.A. di Chieti","Progetto Speciale Multiasse-Reti per l'Alta 
Formazione e inserimento lavorativo per 
l'organizzazione di eventi sportivi.Piano Operativo 
2007/2008 Ob. CRO",2008,"€283.200,00 ","€99.120,00"
REGIONE ABRUZZO,Soc. T & D S.p.A. di Bologna,"Servizio di valutazione di merito -Progetto Speciale 
Multiasse-Reti per l'Alta Formazione e inserimento 
lavorativo per l'organizzazione di eventi 
sportivi.Piano Operativo 2007/2008 Ob. CRO",2009,"€432,00","€432,00"
REGIONE ABRUZZO,"Autorità per la Vigilanza sui 
Contratti Pubblici di Lavori 
Servizi e Forniture","Pubblicità bando gara d'appalto  
""Promozione,sostegno e accompagnamento alla 
creazione d'impresa""",2008,"€150,00","€150,00"
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato S.p.A","Pubblicità bando gara d'appalto  
""Promozione,sostegno e accompagnamento alla 
creazione d'impresa""",2008,"€3.400,32","€3.400,32"
REGIONE ABRUZZO,IL SOLE 24ORE SpA,"Pubblicità bando gara d'appalto  
""Promozione,sostegno e accompagnamento alla 
creazione d'impresa""",2008,"€1.920,00",-
REGIONE ABRUZZO,PUBLIKOMPASS SpA ,"Pubblicità bando gara d'appalto  
""Promozione,sostegno e accompagnamento alla 
creazione d'impresa""",2008,"€799,80",-
REGIONE ABRUZZO,PIEMME SpA,"Pubblicità bando gara d'appalto  
""Promozione,sostegno e accompagnamento alla 
creazione d'impresa""",2008,"€803,12",-
REGIONE ABRUZZO,A.MANZONI & C. SpA,Pubblicazione Avviso -Recupero e consolidamento delle competenze chiave -La Repubblica-Il Centro,2009,"€1.808,40 ","€1.800,00"
REGIONE ABRUZZO,PIEMME SpA,Pubblicazione Avviso -Recupero e consolidamento delle competenze chiave -Il Messagero naz.le e reg.le,2009,"€1.350,00 ","€1.350,00 "
REGIONE ABRUZZO,A.MANZONI & C. SpA,"Pubblicazione Avviso Formazione Continua Imprese 
medie e grandi - Repubblica-Il Centro",2009,"€1.800,00","€1.800,00"
REGIONE ABRUZZO,A.MANZONI & C. SpA,"Pubblicizzazione progetto speciale "" Nuova 
Giustizia"" ",2009,"€1.808,04 ","€1.800,00"
REGIONE ABRUZZO,PIEMME SpA,"Pubblicizzazione progetto speciale "" Nuova 
Giustizia"" ",2009,"€1.350,00 ","€1.350,00"
REGIONE ABRUZZO,A.MANZONI & C. SpA,"Pubblicizzazione progetto speciale"" Trans Care"" ",2009,"€1.808,04 ","€1.800,00"
REGIONE ABRUZZO,PIEMME SpA,"Pubblicizzazione progetto speciale"" Trans Care"" ",2009,"€1.350,00 ","€1.350,00"
REGIONE ABRUZZO,"Autorità per la Vigilanza sui 
Contratti Pubblici di Lavori 
Servizi e Forniture","Pubblicizzazione progetto speciale "" Nuova 
Giustizia"" ",2009,"€250,00   ","€250,00"
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato S.p.A","Pubblicizzazione progetto speciale "" Nuova 
Giustizia"" ",2009,"€2.428,80 ","€2.428,80"
REGIONE ABRUZZO,Autorita_ per la Vigilanza sui Contratti Pubblici di Lavori Servizi e Forniture,"Pubblicizzazione progetto speciale"" Trans Care"" ",2009,"€250,00","€250,00"
REGIONE ABRUZZO,"Istituto Poligrafico e Zecca 
dello Stato S.p.A","Pubblicizzazione progetto speciale"" Trans Care"" ",2009,"€2.246,64","€2.246,64"
ABRUZZO LAVORO,ABRUZZO LAVORO,"Progetto Speciale Rafforzamento del Sistema 
formativo .- P.o. Fse  Abruzzo 2007-2013 ..",2008,"€500.000,00 ","€90.000,00"
