BENEFICIARIO,DENOMINAZIONE OPERAZIONE,IMPORTO FINANZIATO
ARTIGIANFIDI - PADOVA SOC. COOP. A R.L.                                         ,ARTIGIANFIDI PADOVA,"818.000,00"
CONFIDI CNA VICENZA SCARL                                                       ,CNA VICENZA,"651.000,00"
EUROFIDI VENETO SOCIETÀ COOPERATIVA                                             ,EUROFIDI VENETO,"299.000,00"
UNIONFIDI - COOPERATIVA DI GARANZIA COLLETTIVA FIDI - SOCIETÀ COOPERATIVA       ,UNIONFIDI BELLUNO,"201.000,00"
FINIMPRESA COOPERATIVA ARTIGIANA DI GARNZIA S.C. A R.L.                         ,FINIMPRESA BELLUNO,"712.000,00"
VENETO SVILUPPO S.P.A.                                                          ,PARTECIPAZIONI MINORITARIE AL CAPITALE DI RISCHIO,"15.000.000,00"
VENETO SVILUPPO S.P.A.                                                          ,FONDO DI ROTAZIONE PER INVESTIMENTI  INNOVATIVI PMI,"45.000.000,00"
DIREZIONE REGIONALE PER I BENI CULTURALI E PAESAGGISTICI DEL VENETO             ,PARCO ARCHEOLOGICO DELL'ALTO ADRIATICO - MUSEO DEL PARCO ARCHEOLOGICO NAZIONALE DI ALTINO (MANA),"4.800.000,00"
COMUNE DI MUSILE DI PIAVE                                                       ,"RISTRUTTURAZIONE DELLA STAZIONE DENOMINATA ""FOSSALTA DI PIAVE"" SULLA TRATTA FERROVIARIA QUARTO D'ALTINO-PORTOGRUARO","1.012.590,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Progetto Obiettivo  n. 1 C1 a tempo determinato,"25.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico supporto Team di Comunicazione - 2 fase,"22.920,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Corso formazione personale Internal auditing,"8.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,INCARICO ASSISTENZA TECNICA AZIONE 1.1.1,"86.310,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,INCARICO TECNICO DI CONSULENZA AZ. 3.1.1 E 3.1.2,"15.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico assistenza tecnica per gestione Azione 2.1.3,"90.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Progetto Obiettivo n. 10 stabilizzandi a tempo determinato,"325.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,CONTRATTO AGENZIA DI SOMMINISTRAZIONE LAVORO A TEMPO DETERMINATO,"1.337.507,25"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico co.co.co. per attività Direzione Industria,"43.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico predisposizione Piano di Comunicazione,"19.800,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico supporto Team di Comunicazione,"22.200,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico assistenza tecnica all' Autorità di Gestione,"299.575,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico per sistema monitoraggio unico,"300.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico Assistenza tecnica per incontro AdG 2008,"120.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Sala Meeting e servizi  per Incontro AdG 2008,"30.438,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Progetto Obiettivo  n. 1 B3 a tempo determinato,"21.562,72"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarichi per organizzazione incontro AdG 2008,"22.920,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,BUDGET OPERATIVO,"10.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Organizzazione incontro AdA,"4.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,ORGANIZZAZIONE CONVEGNO SISC,"4.440,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,ORGANIZZAZIONE CDS 11.12.2009,"18.134,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Incarico progetto Sistema Informativo Semantico delle risorse Culturali,"100.568,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Acquisto bandiere,"291,60"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Diffusione spot pubblicitari nelle sale cinematografiche,"48.183,49"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,PROGETTO SCHUMAN 2010,"12.000,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,MATERIALE INFORMATIVO AZIONI 1.3.1 E 1.3.2,"7.684,80"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,RIPRESE E VIDEO FESTA DELL'EUROPA 09/05/2009,"2.400,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,SPOT RADIO AZIONI 1.3.1 E 1.3.2,"7.286,40"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,AVVISO AGGIUDICAZIONE GARA AZIONE 1.2.2,"10.240,48"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,AVVISO AGGIUDICAZIONE GARA AZIONE 1.2.3,"6.372,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,"DIFFUSIONE NELLE EMITTENTI RADIOFONICHE E TELEVISIVE DEGLI SPOT ""L'EUROPA CI CONVIENE""","62.705,04"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,PROGETTO SCHUMAN +,"936,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,PROGETTO SUMMER SCHOOL,"14.208,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Avviso Bando az. 1.2.1 - secondo circuito,"3.888,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,AVVISI PUBBLICITÀ BANDO AZIONE 1.3.1 E AZIONE 1.3.2,"9.661,53"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,AVVISO DI BANDO AZ. 1.1.1. E 1.1.2,"7.452,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,AVVISO PUBBLICITÀ BANDO AZ. 4.3.1,"3.726,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Distribuzione brochure con Pagine Gialle,"98.400,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Avviso Bando az. 1.2.1 - primo circuito,"1.188,00"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Organizzazione evento Festa Europa,"35953,68"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Avviso di Bando az. 1.2.2,"10.774,32"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,Avviso di Bando az. 4.1.2,"7.041,12"
REGIONE DEL VENETO GIUNTA REGIONALE                                             ,REALIZZAZIONE DVD ANIMATI PER SPOT,"61.200,00"
