"Posizione in graduatoria","N. progetto","SOGGETTO PROPONENTE / CAPOFILA ATI-ATS","PARTNER IN ATI/ATS","TITOLO DEL PROGETTO","Contributo pubblico","Cofinanziamento privato","TOTALE","ASSE OCCUPABILITA Cat. Spesa 66","ASSE CAPITALE UMANO Cat. Spesa 74","TOTALE CONTRIBUTO PUBBLICO","COSTO TOTALE DEL PROGETTO","REGIME DI AIUTO"
11,28,"EUROSERVIZI srl 
via S.Bartolomeo snc
06012 Città di Castello PG
tel 075 8521616",,"Distretto poligrafico altotiberino e Mercati Pubblici Europei - Progetto per la costituzione di una specifica Unità per l'erogazione di servizi di informazione - formazione e consulenza in materia di appalti pubblici europei alle imprese del distretto poligrafico Alto Tevere - come ambito settoriale dell'Osservatorio Europeo sugli Appalti Pubblici",41525,9600,51125,114725,,156250,165850,"De minimis e Aiuti alla formazione"
12,39,"Opera Pia officina Operaia Bufalini
Via S. Bartolomeo
06012 Città di Castello
Tel. 075/8554245","Sistemi Formativi Confindustria Umbria","NETGRAF",80632.36,22053.61,102685.97,132120.61,31029.18,243782.15,265835.76,"De minimis e Aiuti alla formazione"
13,16,"Consorzio APIFORM
P.zza della Repubblica, 71
06123 Perugia
Tel. 075/7930500",,"ECO-COSTRUIRE IN RETE",97167.2,22401.8,119569,93000,,190167.2,212569,"De minimis"
14,53,"Università dei Sapori
via Tornetta, 1 -06123 Perugia
Tel 075 5729935","Associazione Italiana Sommelier","NEW C.: Network Enterprises Wine Commerce",6811.6,1620,8431.6,96813.4,,103625,105245,"De minimis"
15,32,"Innovazione Terziario S.c. a r.l.
Centro Direzionale Quattrotorri
06074 Ellera
Tel. 075/518491",,"C3 - STRUMENTI FORMATIVI E STRATEGIE PER LA COMPETITIVITA' DEL COMMERCIO NEI CENTRI URBANI",112160,26360,138520,168180,14832,295172,321532,"De minimis"
16,54,"Università dei Sapori
via Tornetta, 1 -06123 Perugia
Tel 075 5729936","Centro Italiano di Studi Superiori sul Turismo e sulla Promozione Turistica (CST)","TO.UR: TOURIST HUMAN RESURCES INCONTRO TRA I SISTEMI DI FORMAZIONE E LAVORO PER LO SVILUPPO DELLE RISORSE UMANE NELLA RETE DELLE IMPRESE TURISTICHE",10216,2304,12520,202300,16332,228848,231152,"De minimis"
17,26,"ECIPA Umbria
Centro Direzionale Quattrotorri
Via Corcianese, 234C
06132 Ellera Scalo
Tel. 075/5173143",,"MUSA - LA MODA IN RETE",41551.82,9916,51467.82,144974.67,46572.6,233099.09,243015.09,"De minimis"
18,47,"Sistemi Formativi Confindustria Soc. cons. a r.l.
Via Palermo, 80/A
06129 Perugia
Tel. 075/582741",,"SOLE",68434.74,38920,107354.74,145206.25,31041.37,244682.36,283602.36,"De minimis e Aiuti alla formazione"
19,1,"3A Parco Tecnologico Agroalimentare dell'Umbria
Fraz. Pantalla di Todi
06059 Todi
Tel. 075/89571",,"FORMAZIONE DI QUALITA' PER RISORSE UMANE DEL SETTORE AGROALIMENTARE",8138.8,2275,10413.8,92782.2,,100921,103196,"De minimis e Aiuti alla formazione"
20,12,"CESCOT Umbria
Via Settevalli, 393
06129 Perugia
Tel. 075/5058430",,"RAW - RETE AGGIORNAMENTO WELNESS",53967,10419,64386,162179,,216146,226565,"De minimis e Aiuti alla formazione"
21,46,"Sistemi Formativi Confindustria Soc. cons. a r.l.
Via Palermo, 80/A
06129 Perugia
Tel. 075/582741","Link S.r.l.","ERGON",122398.94,60167,182565.94,146434.06,,268833,329000,"De minimis e Aiuti alla formazione"
22,52,"Umana Forma srl 
via Settevalli 60/C -06100 Perugia tel 075 50117430",,"MARKETING & DEVELOPMENT PER LE AZIENDE ENO-TURISTICHE DELLA FILIERA TAC",76195,18790,94985,63750,,139945,158735,"De minimis"
