beneficiario,asse,ob_spec,azione,codice_operazione,titolo_operazione,anno,importo_impegnato,importo_pagato
A.R.S.A.P.,4,I,71,2.00805E+11,INFORMATICA DI BASE,2008,"9.669,60","8.219,16"
A.R.S.A.P.,4,I,71,2.00805E+11,AUTOCAD BASE 2D,2008,"8.935,20","7.594,92"
A.R.S.A.P.,4,I,70,2.00806E+11,MODELLAZIONE 3D,2008,"13.598,25","13.598,25"
A.R.S.A.P.,4,I,70,2.00806E+11,GESTIRE LA LEADERSHIP,2008,"13.598,18","13.598,18"
A.R.S.A.P.,4,I,71,2.00807E+11,LINGUA TEDESCA - LIVELLO BASE A.1,2008,"12.140,00","10.319,00"
A.R.S.A.P.,4,I,71,2.0081E+11,INFORMATICA DI BASE,2008,"9.590,60","8.152,01"
A.R.S.A.P.,4,I,71,2.00811E+11,GRAFICA MULTIMEDIALE,2008,"8.568,00","7.282,80"
A.R.S.A.P.,4,I,71,2.00813E+11,LINGUA INGLESE - LIVELLO AUTONOMO B1,2008,"13.464,00","11.444,40"
A.R.S.A.P.,4,I,71,2.00814E+11,AUTOCAD AVANZATO 3D,2008,"9.669,60","8.219,16"
A.R.S.A.P.,4,I,71,2.00815E+11,INFORMATICA DI BASE,2008,"9.590,60","8.152,01"
A.R.S.A.P.,4,I,71,2.00822E+11,INFORMATICA DI BASE,2008,"9.669,60","8.219,16"
A.R.S.A.P.,4,I,71,2.00822E+11,LINGUA INGLESE - LIVELLO BASE A2,2008,"10.926,00","9.287,10"
A.R.S.A.P.,4,I,72,2.00824E+11,TECNICHE DI BASE PER LA REALIZZAZIONE DI IMPIANTI ELETTRICI - SCR,2008,"18.200,00","15.470,00"
A.R.S.A.P.,4,I,72,2.00824E+11,TECNICHE DI BASE PER LA CONFEZIONE - SCR,2008,"18.200,00","15.470,00"
A.R.S.A.P.,4,I,71,2.00828E+11,CONTABILITA' D'IMPRESA: ELEMENTI INTRODUTTIVI,2008,"9.792,00",-
A.R.S.A.P.,4,I,71,2.00901E+11,PREPARAZIONE ALL'ECDL,2009,"16.646,40","14.149,44"
A.R.S.A.P.,4,I,71,2.00902E+11,INFORMATICA DI BASE,2009,"9.590,60","8.152,01"
A.R.S.A.P.,4,I,70,2.00903E+11,GESTIONE DEI GRUPPI DI LAVORO,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,70,2.00903E+11,TECNICHE AVANZATE DI CONTROLLO DI GESTIONE,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,70,2.00903E+11,TECNICHE PER IL RISPARMIO ENERGETICO E L'UTILIZZO DELLE ENERGIE RINNOVABILI NEGLI EDIFICI,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,71,2.00905E+11,INFORMATICA DI BASE,2009,"9.669,60","8.219,16"
A.R.S.A.P.,4,I,71,2.00905E+11,LINGUA INGLESE - LIVELLO BASE A1,2009,"9.792,00","8.323,20"
A.R.S.A.P.,4,I,71,2.00905E+11,LINGUA INGLESE - LIVELLO AUTONOMO B.2,2009,"14.688,00","12.484,80"
A.R.S.A.P.,4,I,71,2.00906E+11,AUTOCAD BASE 2D,2009,"8.935,20","7.594,92"
A.R.S.A.P.,4,I,71,2.00907E+11,STRUMENTI E TECNICHE DI WEB DESIGN,2009,"8.935,20","7.594,92"
A.R.S.A.P.,4,I,70,2.00907E+11,MODELLAZIONE 3D,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,70,2.00907E+11,TECNICHE DI GRAFICA WEB,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,70,2.00907E+11,TECNICHE DI RICERCA E SELEZIONE DEL PERSONALE,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,71,2.00908E+11,LINGUA INGLESE - LIVELLO BASE A1,2009,"9.792,00","8.323,20"
A.R.S.A.P.,4,I,70,2.00911E+11,PROBLEM SOLVING E COMUNICAZIONE EFFICACE,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,71,2.00911E+11,CONTABILITA' D'IMPRESA: ELEMENTI INTRODUTTIVI,2009,"9.712,00","8.255,20"
A.R.S.A.P.,4,I,70,2.00915E+11,TECNICHE PER IL RISPARMIO ENERGETICO E L'UTILIZZO DELLE ENERGIE RINNOVABILI NEGLI EDIFICI,2009,"13.600,00","11.560,00"
A.R.S.A.P.,4,I,72,2.00931E+11,TECNICHE DI BASE PER LA CONFEZIONE - SCR,2009,"18.200,00",-
A.R.S.A.P.,4,I,72,2.00931E+11,TECNICHE DI BASE PER LA REALIZZAZIONE DI IMPIANTI ELETTRICI - SCR,2009,"18.200,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,1,B,17,2.00811E+11,LE RETI INFORMATICHE COME STRUMENTO DI RICERCA E COMUNICAZIONE,2008,"3.400,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,1,B,17,2.00811E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"13.600,00","13.600,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,1,B,17,2.00811E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"13.600,00","13.600,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,1,B,17,2.00812E+11,TECNICHE DI PROMOZIONE E VENDITA PRODOTTI TIPICI AGRICOLI,2008,"3.400,00","3.400,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,1,B,17,2.00817E+11,DIRITTO E PRATICA DEL LAVORO,2008,"6.800,00","6.800,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,1,B,17,2.00817E+11,DIRITTO E PRATICA DEL LAVORO,2008,"6.800,00","6.800,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ASSISTENTE ALL'ELABORAZIONE DI PROGETTI COMUNITARI E REGIONALI,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ASSISTENTE AL MARKETING E ALLE RELAZIONI COMMERCIALI,2008,"6.780,00","5.763,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,RESPONSABILE COMUNICAZIONE E MARKETING,2008,"6.780,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,OPERATORE TURISTICO,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,OPERATORE BANCARIO,2008,"6.719,25","6.719,25"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ADDETTO ALL'ANALISI DELLA CLIENTELA IN AGENZIA ASSICURATIVA,2008,"6.780,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ANIMATORE IN ATTIVITÀ EXTRASCOLASTICHE,2008,"6.564,00","6.564,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ADDETTO ALLA COMUNICAZIONE E PROMOZIONE,2008,"6.536,34","6.536,34"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,OPERATORE SOCIO-EDUCATIVO,2008,"6.757,50","6.757,50"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,IMPIEGATO AMMINISTRATIVO,2008,"6.618,00","6.618,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ASSISTENTE IN AGENZIA DI VIAGGIO,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,IMPIEGATO IN AGENZIA ASSICURATIVA,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ADDETTO ALLA SEGRETERIA,2008,"6.780,00","5.763,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,OPERATORE GRAFICO,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ASSISTENTE ALLE RELAZIONI PUBBLICHE,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,AMMINISTRATORE DI AZIENDA AGRICOLA,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ADDETTO ALLE VENDITE,2008,"6.645,00","6.645,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ADDETTO ALLE VENDITE,2008,"6.694,50","6.694,50"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,OPERATORE RASSEGNA CINEMATOGRAFICA,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,IMPIEGATO COMMERCIALE,2008,"6.780,00","6.780,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ADDETTO ALLA CONTABILITA',2008,"6.712,50","6.712,50"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,ASSISTENTE BIBLIOTECARIO,2008,"4.840,50","4.840,50"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,PROMOTORE CULTURALE,2008,"6.699,00","6.699,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,31,2.00806E+11,IMPIEGATO ADDETTO AI LAVORI D'UFFICIO,2008,"4.845,00","4.845,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,33,2.00806E+11,TECNICHE DI PROMOZIONE E GESTIONE FINANZIAMENTI ALLE IMPRESE,2008,"57.283,60","57.283,60"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,33,2.00806E+11,TECNICHE DI GESTIONE AMMINISTRATIVA DELLE RELAZIONI COMMERCIALI,2008,"58.728,00","49.918,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,33,2.00806E+11,TECNICHE DI FRONT OFFICE IN UN'AGENZIA DI VIAGGIO,2008,"58.728,00","49.918,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,33,2.00806E+11,TECNICHE DI GESTIONE E MEDIAZIONE IMMOBILIARE,2008,"58.728,00","49.918,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,33,2.00907E+11,TECNICHE DI GESTIONE AMMINISTRATIVA DEL PERSONALE,2009,"58.728,00","49.918,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,33,2.00907E+11,TECNICHE DI INTERMEDIAZIONE FINANZIARIA,2009,"58.728,00","49.918,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,42,2.0091E+11,ELEMENTI DI LINGUA ITALIANA - LIVELLO BASE (ED. 1),2009,"20.400,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,42,2.0091E+11,ELEMENTI DI LINGUA ITALIANA - LIVELLO BASE (ED. 2),2009,"20.400,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,2,E,42,2.00913E+11,ELEMENTI DI LINGUA ITALIANA - LIVELLO BASE,2009,"20.400,00",-
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00803E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"9.631,72","9.631,72"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00803E+11,LINGUA TEDESCA - LIVELLO BASE A.1,2008,"5.971,20","5.971,20"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00804E+11,"PREPARAZIONE ALL'ECDL CORE START (MOD. 2, 3, 4, 7)",2008,"8.668,80","8.668,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00804E+11,LINGUA INGLESE - LIVELLO BASE A.1,2008,"5.971,20","5.971,20"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00803E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"9.952,00","9.952,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00803E+11,LINGUA SLOVENA - LIVELLO INTERMEDIO,2008,"9.632,00","9.632,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00803E+11,LINGUA SLOVENA - LIVELLO AVANZATO,2008,"9.840,00","9.840,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00803E+11,"PREPARAZIONE ALL'ECDL (MODULI 1, 2, 3, 6) - CLASSE 3",2008,"3.417,04","3.417,04"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00803E+11,"PREPARAZIONE ALL'ECDL (MODULI 4, 5, 7) - CLASSE 4",2008,"3.416,41","3.416,41"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00803E+11,"PREPARAZIONE ALL'ECDL AVANZATO (MODULI 3, 4, 5, 6) - CLASSI 4",2008,"4.482,73","4.482,73"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00803E+11,"PREPARAZIONE ALL'ECDL BASE (MODULI 2, 3, 4, 7) - CLASSI 2",2008,"4.481,56","4.481,56"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00804E+11,LINGUA SLOVENA - LIVELLO INTERMEDIO,2008,"9.824,12","9.824,12"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00805E+11,FRUTTICOLTURA BIOLOGICA NELLE ZONE MONTANE,2008,"4.922,99","4.922,99"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00805E+11,LINGUA CROATA - LIVELLO BASE,2008,"9.952,00","9.952,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00805E+11,LAVORAZIONE CARNI SUINE,2008,"4.781,67","4.781,67"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00805E+11,LINGUA SLOVENA - LIVELLO INTERMEDIO,2008,"9.632,00","9.632,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00805E+11,"PREPARAZIONE ALL'ECDL CORE START (MOD. 2, 3, 4, 7)",2008,"8.884,80","8.884,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00805E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"9.882,89","9.882,89"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,"PREPARAZIONE ALL'ECDL CORE START (MOD. 2, 3, 4, 7)",2008,"8.956,80","7.613,28"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"9.632,00","9.632,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA INGLESE - LIVELLO BASE A.1,2008,"5.779,20","5.779,20"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,"PREPARAZIONE ALL'ECDL CORE START (MOD. 2, 3, 4, 7)",2008,"8.956,80","8.956,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA CROATA - LIVELLO BASE,2008,"9.552,00","9.552,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA CROATA - LIVELLO AVANZATO,2008,"9.872,00","9.872,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA INGLESE - LIVELLO BASE A.2,2008,"8.740,80","8.740,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA TEDESCA - LIVELLO BASE A.1,2008,"5.971,20","5.971,20"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00806E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"9.631,64","9.631,64"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00807E+11,LINGUA SLOVENA - LIVELLO INTERMEDIO,2008,"9.712,00","9.712,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00807E+11,ELEMENTI DI CONTABILITA',2008,"9.952,00","9.952,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00806E+11,TECNICHE DI GESTIONE PROGETTUALE,2008,"13.600,00","11.560,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00806E+11,TECNICHE DI GESTIONE PROGETTUALE,2008,"13.600,00","11.560,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00806E+11,TECNICHE PER LA REDAZIONE DI PROGETTI,2008,"13.600,00","13.600,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00806E+11,TECNICHE DI MARKETING E GESTIONE TURISTICA DEL TERRITORIO,2008,"10.200,00","10.200,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00806E+11,METODOLOGIE E TECNICHE PER L'INSEGNAMENTO DELLA LINGUA SLOVENA,2008,"10.200,00","8.670,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,70,2.00806E+11,PROMUOVERE LO SVILUPPO TURISTICO DEL CARSO TRIESTINO,2008,"10.200,00","8.670,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00807E+11,LINGUA SLOVENA - LIVELLO BASE,2008,"9.952,00","9.952,00"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00807E+11,LINGUA INGLESE - LIVELLO BASE A.2,2008,"8.812,80","8.812,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00807E+11,"PREPARAZIONE ALL'ECDL CORE START (MOD. 2, 3, 4, 7)",2008,"8.884,80","8.884,80"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00809E+11,LINGUA INGLESE - LIVELLO BASE A.1,2008,"5.827,20","5.827,20"
AD FORMANDUM IMPRESA SOCIALE - SOCIALNO PODJETJE,4,I,71,2.00809E+11,LINGUA INGLESE - LIVELLO BASE A.1,2008,"5.970,90","5.970,90"
