beneficiario,titolo_azione,quota_per_singola_azione,fund_type,currency,uri
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"88.863,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Dote Formazione - Percorsi personalizzati per allievi con disabilita,"15.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO",Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"45.992,20",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"42.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"130.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO",Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"3.663,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI COMO",Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"6.747,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"80.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"120.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO",Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo,"14.950,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO",Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"62.952,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTO E IL LAVORO DELLA PROVINCIA DI MILANO",Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"89.193,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AGENZIA PER LA FORMAZIONE, ORIENTAMENTO E LAVORO NORD MILANO",Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"134.910,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
APRI ITALIA S.P.A.,Servizio di esame e certificazione dei rendiconti di spesa relativi alle attività finanziate dal POR FSE Ob. 3 2000/2006,"80.415,60",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASF - Associazione Servizi Formativi,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"693,68",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE CLUB BEAUTE' MILANO ACCONCIATURA MILANO ESTETICA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"81.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE CLUB BEAUTE' MILANO ACCONCIATURA MILANO ESTETICA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"85.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE CNOS/FAP Regione Lombardia,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"241.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE CNOS/FAP Regione Lombardia,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"423.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE CNOS/FAP Regione Lombardia,Avviso per la realizzazione di percorsi di specializzazione finalizzati all'inserimento lavorativo,"9.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE CNOS/FAP Regione Lombardia,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"26.716,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FAMIGLIE DI DISABILI INTELLETTIVI E RELAZIONALI ANFFAS DI MILANO ONLUS,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"195.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FAMIGLIE DI DISABILI INTELLETTIVI E RELAZIONALI ANFFAS DI MILANO ONLUS,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"47.372,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FAMIGLIE DI DISABILI INTELLETTIVI E RELAZIONALI ANFFAS DI MILANO ONLUS,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"187.463,56",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"112.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"139.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"320,16",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"55.994,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE FORMAZIONE PROFESSIONALE DEL PATRONATO SAN VINCENZO,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"59.988,38",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Associazione Istituti Santa Paola,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"58.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Associazione Istituti Santa Paola,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"180.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Associazione Istituti Santa Paola,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"57.660,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Associazione Istituto Scolastico Sistema,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"49.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
Associazione Istituto Scolastico Sistema,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"54.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"48.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"109.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"134.537,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI,Dote Formazione - Percorsi personalizzati per allievi con disabilita,"4.609,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE PADRE MONTI CENTRO POLIFUNZIONALE SERVIZI FORMATIVI - EDUCATIVI OD IN FORMA ABBREVIATA ASSOCIAZIONE PADRE MONTI,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"164.885,50",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLA SILV,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"45.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLA SILV,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"1.600,80",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLA SILV,Avviso per l'assegnazione di doti volte a favorire il successo formativo e sostenere la lotta alla dispersione scolastica,"117.488,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLE LAVORO ALTO MILANESE,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"90.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLE LAVORO ALTO MILANESE,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"1.920,96",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLE PROFESSIONALI G.MAZZINI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"112.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZIONE SCUOLE PROFESSIONALI G.MAZZINI,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"139.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZONE LA NOSTRA FAMIGLIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"75.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZONE LA NOSTRA FAMIGLIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"60.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZONE LA NOSTRA FAMIGLIA,Dote Formazione - Percorsi personalizzati per allievi con disabilita,"7.489,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZONE LA NOSTRA FAMIGLIA,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"142.770,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZONE LA NOSTRA FAMIGLIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"172.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
ASSOCIAZONE LA NOSTRA FAMIGLIA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"262.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AZIENDA BERGAMASCA FORMAZIONE,Avviso per la realizzazione di servizi di integrazione sociale e lavorativa di detenuti/e ristretti negli istituti di pena della Lombardia - Dote Carceri,"112.212,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AZIENDA BERGAMASCA FORMAZIONE,Avviso per l'accesso alla formazione finanziata rivolta ai tutor aziendali degli apprendisti in apprendistato professionalizzante,"1.440,72",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AZIENDA BERGAMASCA FORMAZIONE,Dote Formazione - Percorsi personalizzati per allievi con disabilita,"5.400,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AZIENDA BERGAMASCA FORMAZIONE,Percorsi personalizzati per allievi con disabilità - A.F. 2009/2010,"301.100,40",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AZIENDA SPECIALE ""AGENZIA FORMATIVA DON ANGELO TEDOLDI""",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"49.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AZIENDA SPECIALE AGENZIA FORMATIVA DEL COMUNE DI GORGONZOLA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"118.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
AZIENDA SPECIALE AGENZIA FORMATIVA DEL COMUNE DI GORGONZOLA,Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2009/2010,"82.500,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
"AZIENDA SPECIALE CONSORTILE ""CONSORZIO DESIO-BRIANZA""",Avviso per la partecipazione a percorsi sperimentali di IV annualità di I.F.P. - a.f. 2008/2009,"18.000,00",ESF,EUR,http://www.regione.lombardia.it/shared/ccurl/474/850/Elenco%20Beneficiari%202009.pdf
