ASSE,OBIETTIVO OPERATIVI,ENTE BENEFICIARIO,TITOLO,REGIONI,FINANZIAMENTO,DATA DI APPROVAZIONE,DATA DI CONCLUSIONE
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Nuovi sistemi di videosorveglianza Regione Campania,Campania,"40.856.708,80",30 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Questura di Caserta,Videosorveglianza nei Comuni di Castelvolturno e Casal di Principe,Campania,"1.321.894,00",9 dicembre 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Nuovi sistemi di videosorveglianza Regione Puglia,Puglia,"44.341.919,60",30 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Nuovi sistemi di videosorveglianza Regione Sicilia,Sicilia,"48.677.662,30",30 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',"1.1 Tecnologie e videosorveglianza. RENDERE IL TERRITORIO MENO AGGREDIBILE DA FATTISPECIE CRIMINOSE CHE RAPPRESENTANO UN GRAVE OSTACOLO ALLO SVILUPPO ECONOMICO, ALLA CIVILE CONVIVENZA, ALLA QUALITÀ E PRODUTTIVITÀ DEL LAVORO E ALL'ATTRATTIVITÀ DEI TERRITORI",Dipartimento della P.S. - Direzione Centrale per i Servizi Tecnico Logistici e della Gestione Patrimoniale - Ufficio UTAM,Elivideo,-,"5.452.942,80",11 febbraio 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Dipartimento Amministrazione Penitenziaria,Videosorveglianza aree esterne in mobilità. Potenziamento e adeguamento dei sistemi di bordo,-,"4.955.965,20",18 maggio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Comando Generale della Guardia di Finanza - IV Reparto – Ufficio Telematica – Servizio Telecomunicazioni,Implementazione del sistema di comando e controllo C4I attraverso l'istallazione di sensori radar di profondità e sensori ottici,-,"10.000.000,00",30 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Comando Generale della Guardia di Finanza - IV Reparto – Ufficio Telematica – Servizio Telecomunicazioni,Implementazione del sistema di comando e controllo C4I attraverso il potenziamento dei 4 sistemi radar optronici mobili di sorveglianza costiera,-,"10.420.000,00",30 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),"Dipartimento della Pubblica Sicurezza – Direzione Centrale per la Polizia Stradale, Ferroviaria, delle Comunicazioni e per i Reparti Speciali della Polizia di Stato","Scout - Potenziamento e adeguamento dei sistemi di bordo delle pattuglie della Polizia Stradale nelle Regioni “Obiettivo Convergenza""",-,"4.767.836,40",30 marzo 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Presidenza del Consiglio dei ministri - Ufficio del Commissario delegato per il coordinamento delle attività connesse con lo sviluppo dell'area ampia di Gioia Tauro,Sistema integrato di sicurezza per lo sviluppo dell'area ampia del porto di Gioia Tauro,-,"15.600.000,00",30 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),"Dipartimento della Pubblica Sicurezza – Direzione Centrale per la Polizia Stradale, Ferroviaria, delle Comunicazioni e per i Reparti Speciali della Polizia di Stato",Consolidamento e Valorizzaizone del Sistema di Monitoraggio e Controllo dell'Autostrada A/3 Salerno-Reggio Calabria,-,"8.400.000,00",18 settembre 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Ministero Interno – Direzione Centrale Servizi Tecnico Logistici e Gestione Patrimoniale,Vie Sicure - Realizzazione di sistemi ausiliari destinati al controllo del territorio lungo l'autostrada Napoli- Salerno,-,"7.440.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),"Ministero dell’Interno – DPS Direzione Centrale per la Polizia Stradale, Ferroviaria, delle Comunicazioni e per i Reparti Speciali della Polizia di Stato",“GEOWEB SUD” Potenziamento delle Sale Operative e dei Sistemi di radionavigazione e localizzazione georeferenziata delle pattuglie della Polizia Stradale nelle Regioni dell’Obiettivo Convergenza,-,"800.000,00",26 marzo 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Ministero dell’Interno – Dipartimento dei Vigili del Fuoco del soccorso pubblico e della difesa civile,“Videosorveglianza in operatività” Potenziamento ed adeguamento dei sistemi di bordo dei veicoli”,-,"5.663.425,20",26 marzo 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.2 Tecnologie vie di comunicazione. GARANTIRE IL LIBERO E SICURO UTILIZZO DELLE VIE DI COMUNICAZIONE (DI NATURA INFRASTRUTTURALE E TELEMATICA),Comando Generale del Corpo delle Capitanerie di Porto,Sistema informativo di analisi investigativa per la prevenzione ed il controllo delle attività illegali in ambito portuale,-,"3.387.960,00",9 giugno 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Comando Generale dell’Arma dei Carabinieri – Ufficio Sistemi Telematici,Evoluzione Sistema Informativo per la tutela dell'ambiente - Emergenza Rifiuti (ESTER),-,"18.000.000,00",12 febbraio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Comando Generale dell’Arma dei Carabinieri - Ufficio Sistemi Telematici,MARSEC - Centro di monitoraggio ambientale,-,"250.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Comando Generale dell’Arma dei Carabinieri - Ufficio Armamenti ed Equipaggiamenti Speciali,Sistemi per il monitoraggio del patrimonio ambientale,-,"7.999.835,70",9 dicembre 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Ministero dell’Ambiente e della Tutela del Territorio – Direzione Generale per la Difesa Suolo,Monitoraggio del rischio idrogeologico dovuto a reati ambientali,-,"11.997.942,00",12 febbraio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Consorzio di gestione Area Marina Protetta di Porto Cesareo (LE),Le torri fortificate vedette della legalità,Puglia,"1.500.000,00",11 febbraio 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Comune di Ugento (LE),"Progetto ""MO.S.TE.L.S."" - Monitoraggio satellitare del territorio per la Legalità e la Sicurezza",Puglia,"133.086,88",11 febbraio 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.3 Tutela ambientale. TUTELARE IL CONTESTO AMBIENTALE,Comune di Gratteri (PA),Videosorveglianza a tutela del contesto ambientale,Sicilia,"60.000,00",11 febbraio 2010,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.4 Contrasto contraffazione. CONTRASTARE OGNI FORMA DI AGGRESSIONE CRIMINALE DIRETTA DEL LIBERO MERCATO E DELLA LEGALE ATTIVITÀ PRODUTTIVA ATTUATA MEDIANTE FORME DI CONCORRENZA ILLECITA,Comando Generale della Guardia di Finanza - III Reparto Operazioni – Ufficio Economia e Sicurezza,Piattaforma tecnologica integrata e distribuita per le attività di analisi e controllo in tema di contrasto e lotta alla contraffazione in ambiente di interoperabilità,-,"18.840.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.4 Contrasto contraffazione. CONTRASTARE OGNI FORMA DI AGGRESSIONE CRIMINALE DIRETTA DEL LIBERO MERCATO E DELLA LEGALE ATTIVITÀ PRODUTTIVA ATTUATA MEDIANTE FORME DI CONCORRENZA ILLECITA,Comando Generale della Guardia di Finanza - IV Reparto – Ufficio Telematica – Servizio Informatica,Disaster Recovery con costituzione di un polo dotato di sistemi di alta affidabilità a tutela dell'integrità del sistema informativo anticontraffazione - Lamezia Terme,-,"7.800.000,00",21 luglio 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.5 Formazione Forze di Polizia. REALIZZARE UNA FORMAZIONE INTEGRATA TRA OPERATORI DI SICUREZZA - A TUTTI I LIVELLI - E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DELLA SICUREZZA,Ministero dell'Interno - Dipartimento della P.S. - Direzione Centrale per gli Istituti di Istruzione,SISFOR - Sistema di formazione on line delle Forze dell'Ordine,-,"12.761.500,00",18 maggio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.5 Formazione Forze di Polizia. REALIZZARE UNA FORMAZIONE INTEGRATA TRA OPERATORI DI SICUREZZA - A TUTTI I LIVELLI - E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DELLA SICUREZZA,Ministero dell'Interno - Dipartimento della P.S. - Direzione centrale degli istituti di Istruzione,Supporto progetti formativi Asse I,-,"22.464,00",19 marzo 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.5 Formazione Forze di Polizia. REALIZZARE UNA FORMAZIONE INTEGRATA TRA OPERATORI DI SICUREZZA - A TUTTI I LIVELLI - E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DELLA SICUREZZA,Prefettura di Napoli,Formazione Superiore per il contrasto dei crimini ambientali in Campania,Campania,"660.000,00",17 ottobre 2008,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.5 Formazione Forze di Polizia. REALIZZARE UNA FORMAZIONE INTEGRATA TRA OPERATORI DI SICUREZZA - A TUTTI I LIVELLI - E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DELLA SICUREZZA,Prefettura di Catania,Prevenzione degli illeciti sul posto di lavoro,Sicilia,"855.950,00",14 luglio 2009,progetto in corso
Asse 1 'Sicurezza per la libertà economica e d'impresa',1.5 Formazione Forze di Polizia. REALIZZARE UNA FORMAZIONE INTEGRATA TRA OPERATORI DI SICUREZZA - A TUTTI I LIVELLI - E ALTRI SOGGETTI CHE COMUNQUE OPERINO NELL'AMBITO DELLA SICUREZZA,Prefettura di Reggio Calabria,Risorse umane per un sistema integrato e coordinato di controllo del contesto ambientale,Calabria,"129.476,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,Ministero dell’Interno Dipartimento per le Libertà Civili e l’Immigrazione,"Realizzazione delle banche dati accoglienza, protezione e integrazione in materia di immigrazione",-,"24.447.600,00",30 marzo 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,INAIL,La responsabilità e la legalità,-,"2.500.000,00",18 maggio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,Comune di Manfredonia (FG),Casa dei diritti,Puglia,"903.402,70",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,"Dipartimento per le libertà civili e l’immigrazione, Direzione centrale dei Servizi Civili per l’Immigrazione e l’Asilo",Piccoli comuni grande solidarietà,-,"2.345.190,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,Regione Sicilia - Dipartimento del Lavoro,Al Khantara… integrazione sicura,Sicilia,"1.567.750,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,Prefettura di Salerno,Vicinanza immigrati,Campania,"2.354.800,00",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,Comune di Andria,Scarpantibus – Centro Servizi Pronto Intervento in favore degli immigrati,Puglia,"196.615,18",17 dicembre 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.1 Impatto migratorio. REALIZZARE INIZIATIVE IN MATERIA DI IMPATTO MIGRATORIO,Comune di Caltagirone (CT),“Recupero dell'ex casa delle fanciulle da destinarsi a centro specializzato di accoglienza per minori stranieri non accompagnati richiedenti asilo e non”,Sicilia,"1.998.096,46",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.2 Tutela lavoro regolare. TUTELA DEL LAVORO REGOLARE,Comando Generale dell’Arma dei Carabinieri - Ufficio Sistemi Telematici,Sistema Informativo per la tutela del lavoro (SISLAV),-,"10.800.000,00",11 febbraio 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.2 Tutela lavoro regolare. TUTELA DEL LAVORO REGOLARE,"Ministero del Lavoro, della Salute e delle Politiche Sociali - DG Innovazione Tecnologica e Comunicazione",W.I.N. Work Intelligence Network” Sistema di conoscenza e supporto dell’attività di vigilanza,-,"15.240.000,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.2 Tutela lavoro regolare. TUTELA DEL LAVORO REGOLARE,Comando Generale dell’Arma dei Carabinieri,Acquisizione della connettività INFRANET per il progetto SISLAV,-,"204.350,67",11 febbraio 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.3 Trasparenza appalti pubblici. GARANTIRE MAGGIORE TRASPARENZA NEGLI APPALTI PUBBLICI,Dipartimento della P.S. - Direzione Centrale Polizia Criminale - Servizio per il Sistema Informativo Interforze,TAP (Trasparenza Appalti Pubblici),-,"38.000.000,00",17 ottobre 2008,progetto in corso
Asse 2 'Diffusione della legalità,2.4 Contrasto racket. CONTRASTARE IL RACKET DELLE ESTORSIONI E DELL'USURA,Commissario straordinario del Governo per le iniziative antiracket e antiusura,Promozione di una rete antiracket per le regioni dell’Obiettivo Convergenza,-,"3.524.000,00",17 ottobre 2008,progetto in corso
Asse 2 'Diffusione della legalità,2.4 Contrasto racket. CONTRASTARE IL RACKET DELLE ESTORSIONI E DELL'USURA,Commissario straordinario del Governo per le iniziative antiracket e antiusura,Realizzazione di due sportelli di solidarieta’ alle vittime di racket e usura,-,"1.559.000,00",17 ottobre 2008,progetto in corso
Asse 2 'Diffusione della legalità,2.4 Contrasto racket. CONTRASTARE IL RACKET DELLE ESTORSIONI E DELL'USURA,Commissario straordinario del governo per il coordinamento delle iniziative antiracket e antiusura,Costituzione di una rete per il consumo critico antiracket. Diffusione e consolidamento di un circuito di economia fondato sulla legalità e lo sviluppo,-,"1.168.264,00",18 maggio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.4 Contrasto racket. CONTRASTARE IL RACKET DELLE ESTORSIONI E DELL'USURA,Comune di Vibo Valentia,“Lo scrigno di vetro”,Calabria,"763.000,00",26 marzo 2010,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Gioia Tauro – Ufficio III° Servizio Territorio,Ristrutturazione di due immobili confiscati da destinare a Caserma Carabinieri,Calabria,"1.800.000,00",12 febbraio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comando Provinciale dei Carabinieri,Rifunzionalizzazione immobile confiscato alla criminalità organizzata da adibire a caserma sella stazione carabinieri di Squinzano (LE),Puglia,"750.000,00",12 febbraio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Lentini,Libera Terra Leontinoi,Sicilia,"3.050.000,00",9 dicembre 2008,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Consorzio Sviluppo e Legalità,"Centro aziendale da destinare a locale di degustazione e centro di stoccaggio, sito in San Cipriello (PA) - Contrada Don Tomasi",Sicilia,"1.416.000,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Consorzio Sviluppo e Legalità,Realizzazione Bottega dei sapori in Corleone (PA) casa ex Provenzano,Sicilia,"55.200,04",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Comune di Napoli,Recupero immobile di via Cupa Signoriello a Miano (Na),Campania,"698.805,00",14 luglio 2009,progetto in corso
Asse 2 'Diffusione della legalità,2.5 Beni confiscati. MIGLIORARE LA GESTIONE DEI BENI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA,Consorzio Sole,Ristrutturazione di un bene da affidare a una cooperativa sociale per integrazione socio-lavorativa per persone diversamente abili – II LOTTO,-,"2.877.600,00",14 luglio 2009,progetto in corso
