BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,TIPOLOGIA DI AIUTO,CONTRIBUTO CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DEL CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
S.I.M.E.C. srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/12/2009,SP,Aiuto rimborsabile,"407.615,42","129.261,78","278.353,64",-
C&C SHIPPING SOLUTIONS SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",23/03/2010,GE,Aiuto de minimis,"37.979,01","12.043,79","25.935,22",-
"CINAGLIA S.A.S. DI CINAGLIA RAFFAELE
& C.","acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"22.305,00","7.073,29","15.231,71",-
Crastan Caffè Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,"Contributo a fondo 
perduto","117.020,00","37.109,03","79.910,97","40.957,00"
ISAAC DI CORTESE LUCA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SP,Aiuto de minimis,"17.715,74","5.617,96","12.097,78",-
FERPLAST SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",19/03/2010,GE,Aiuto de minimis,"34.471,20","10.931,40","23.539,80",-
Olf di Galdi Marco,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",10/12/09,SV,Aiuto de minimis,"16.561,80","5.252,03","11.309,77",-
TELECITY S.p.A.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/03/2010,GE,"Contributo a fondo 
perduto","200.000,00","63.423,40","136.576,60",-
PHE THERMAL Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",27/11/2009,GE,Aiuto de minimis,"110.154,00","34.931,71","75.222,29","110.154,00"
Benfante - Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,"Contributo a fondo 
perduto","105.724,00","33.526,88","72.197,12",-
Compagnia Portuale Pietro Chiesa s.c.a.r.l.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"25.770,00","8.172,11","17.597,89",-
A.Z. Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",14/12/2009,SV,Aiuto de minimis,"56.160,00","17.809,29","38.350,71",-
Green Project Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"45.631,19","14.470,43","31.160,76",-
Assovado Noleggi Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SV,Aiuto de minimis,"15.690,00","4.975,57","10.714,43",-
O.M.S. RATTO SPA,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,GE,Aiuto de minimis,"191.473,50","60.719,50","130.754,00",-
EA SISTEMI S.R.L.,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,SV,Aiuto de minimis,"10.800,00","3.424,86","7.375,14",-
F.LLI MARCHISIO & C. Spa,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,IM,"Contributo a fondo 
perduto","96.920,00","30.734,98","66.185,02",-
Dott. Ing. Mario Cozzani Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",26/11/2009,SP,Aiuto de minimis,"100.000,00","31.711,70","68.288,30","100.000,00"
T & G TECHNOLOGY & GROUPWARE Srl,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",15/02/2010,GE,Aiuto de minimis,"12.150,00","3.852,97","8.297,03",-
IMPRESA EDILE ALLORO PAOLO SRL,"acquisizione di impianti, macchinari,
attrezzature per l’innovazione",2/12/09,GE,Aiuto de minimis,"82.400,14","26.130,49","56.269,65",-
