"ragione_sociale","azione","titolo_operazione","importo_approvato","fund_type","currency","uri"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore alle cure estetiche 2008 - 2010 (azioni corsuali e non corsuali)","220.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE ALLE CURE ESTETICHE 2008-2010 (azioni corsuali e non corsuali)","414.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore alle cure estetiche e della ristorazione - multiprofi lo (secondo anno)","107.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Obbligo formativo - Operatore della ristorazione I e II anno - IAL CISL Emilia Romagna - sede di Cesenatico","1.068.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore amministrativo segretariale","191.999,50","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE DELLA RISTORAZIONE - 1 e 2 ANNO (Sede di Cesenatico; anni formativi 2007/2008 e 2008/2009)","948.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE DELLA RISTORAZIONE - 2 ANNO (Sede di Cesenatico anno formativo 2007/2008)","474.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE DELLA RISTORAZIONE - seconda annualità","105.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE DELLA RISTORAZIONE 2007 - 2009 (integrato con rif. pa. n. 188)","217.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore della ristorazione 2008 - 2010 (azioni corsuali e non corsuali)","440.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore della ristorazione 2008 - 2010 (azioni corsuali e non corsuali)","222.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorsi di obbligo formativo per Montatore meccanico di sistemi","720.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","PERCORSI DI OBBLIGO FORMATIVO PER MONTATORE MECCANICO DI SISTEMI - 2° ANNO","222.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorsi di obbligo formativo per Operatore del punto vendita","480.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorsi in obbligo formativo per ""OPERATORE DELLA RISTORAZIONE""","440.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorsi in obbligo formativo per ""OPERATORE DELLA RISTORAZIONE"" 2° anno","240.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorso di obbligo formativo per montatore meccanico di sistemi - biennio","222.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","PERCORSO DI OBBLIGO FORMATIVO PER OPERATORE DEL PUNTO VENDITA - 2° ANNO","222.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorso di obbligo formativo per operatore del punto vendita - biennio","222.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorso di obbligo formativo per Operatore della ristorazione","1.695.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","PERCORSO DI OBBLIGO FORMATIVO PER OPERATORE DELLA RISTORAZIONE - 2° ANNO","775.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Operatore della ristorazione","379.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","OPERATORE AMMINISTRATIVO-SEGRETARIALE","144.803,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","SEGRETARIA ADDETTA ALLA CONTABILITÀ E ALLA GESTIONE DEL PERSONALE INTERNO","40.320,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","INSTALLATORE E MANUTENTORE IMPIANTI ELETTRICI Le nuove tecniche impiantistiche per il risparmio energetico","63.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Istallatore e manutentore di impianti elettrici - Le nuove tecniche impiantistiche per il risparmio energetico, anche con l'utilizzo di impianti di domotica","63.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Montatore meccanico di sistemi","73.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","OPERATORE ADDETTO ALLA LAVORAZIONE E VENDITA CARNI","24.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Il segretario telematico: formazione per l'inclusione sociale","22.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Gestione fl ussi informativi e comunicativi: formazione per iscritti alle liste legge 68/99","38.508,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Operatore della Ristorazione adulti - DONNE e MIGRANTI","75.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Operatore segretariale con competenze informatiche","35.496,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Percorsi di empowerment e formazione","47.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Percorsi di svillupo di competenze nell'Appennino modenese","7.200,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","PROGETTO INTEGRATO PER LO SVILUPPO DI PERCORSI DI FORMAZIONE E TRANSIZIONE AL LAVORO NELL'AREA AMMINISTRAZIONE CONTROLLO DI IMPRESA (OPERATORE AMMINISTRATIVO SEGRETARIALE)","40.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Saldatore specializzato con competenze nelle lavorazione meccaniche","77.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione iniziale per adulti","Saldatore specializzato con competenze nelle lavorazioni meccaniche","77.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","OPERATORE AMMINISTARTIVO SEGRETARIALE","7.385,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Servizio di tutorato a sostegno del diritto-dovere all'istruzione e alla formazione da svolgere presso i Centri per l'Impiego della Provincia di Bologna","602.400,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Azione di accompagnamento al percorso OF ""Operatore alle cure estetiche 2007 - 2009 Edizione 1"" integr. rif. pa. n. 183)","5.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Azione di accompagnamento al percorso OF ""Operatore alle cure estetiche 2007 - 2009 Edizione 2"" -integr. rif. pa. n. 184","5.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Azione di accompagnamento al percorso OF ""Operatore della ristorazione 2007 - 2009"" - (integr. rif. pa. n. 185)","5.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Azione di accompagnamento OF Operatore alle cure estetiche - Ed.1 - secondo anno","2.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Azione di accompagnamento OF Operatore alle cure estetiche - Ed.2","2.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Azione di accompagnamento OF Operatore della ristorazione- secondo anno","2.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Collaborando: interventi a supporto dello sviluppo delle risorse umane operanti nel settore turistico-ristorativo dell'Emilia Romagna-","54.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Il lavoro sicuro, la sicurezza sul lavoro","22.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Misure di accompagnamento all'inserimento e di sostegno all'apprendimento (biennale) nel settore ristorativo","9.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","MISURE DI ACCOMPAGNAMENTO ALL'INSERIMENTO E DI SOSTEGNO ALL'APPRENDIMENTO (II CICLO ANNUALE) NEL SETTORE RISTORATIVO","9.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Misure di accompagnamento e personalizzazione nell'ambito delle attività dell'obbligo formativo (biennali) nel settore industriale e dei servizi","40.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Misure di accompagnamento e personalizzazione nell'ambito delle attività dell'obbligo formativo (biennali) nel settore ristorativo","50.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","MISURE DI ACCOMPAGNAMENTO E PERSONALIZZAZIONE NELL'AMBITO DELLE ATTIVITÀ DELL'OBBLIGO FORMATIVO (II CICLO ANNUALE) NEL SETTORE INDUSTRIALE E DEI SERVIZI","40.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","MISURE DI ACCOMPAGNAMENTO E PERSONALIZZAZIONE NELL'AMBITO DELLE ATTIVITÀ DELL'OBBLIGO FORMATIVO (II CICLO ANNUALE) NEL SETTORE RISTORATIVO","50.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","O.F. PROGETTO EDUCATIVO CONVITTO 1° e 2° ANNO (sede di Cesenatico; anni formativi 2007/2008 e 2008/2009)","60.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","O.F. PROGETTO EDUCATIVO CONVITTO 2° ANNO (sede di Cesenatico)","30.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","O.F. RISTORAZIONE - servizi di accompagnamento e sostegno 1° e 2° anno (sede di Cesenatico anni formativi 2007-2008 e 2008-2009)","60.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","O.F. RISTORAZIONE - servizi di accompagnamento e sostegno 2° anno (sede di Cesenatico anno formativo 2007- 2008)","30.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Servizi alle persone","Alternanza scuola/lavoro nell'ISI Montessori Da Vinci","8.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Tecnico di programmazione della produzione industriale","43.200,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","CHEF PER LA RICERCA E LO SVILUPPO DI PREPARAZIONI GASTRONOMICHE","76.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Disegnatore meccanico","68.100,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Formarsi nella ristorazione: Operatore della produzione di pasticceria","42.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","HOSPITALITY MANAGEMENT: I PROFILI MANAGERIALI NEL TURISMO E NELL'OSPITALITÀ","77.040,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Lo sviluppo tecnico e la rappresentazione grafi ca di un manufatto edile: Il profi lo del disegnatore/progettista edile","69.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Manager dei sistemi di gestione ambientali ed energetici","72.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","OPERATORE DELLA PRODUZIONE PASTI - CUCINA DIETETICA","45.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Percorsi di formazione per la progettazione e produzione meccanica","93.540,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Progettista meccanico","49.200,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Tecnico ambientale","48.800,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Tecnico amministrazione, fi nanza e controllo di gestione","76.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Tecnico chimico specializzato sui polimeri","80.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Tecnico della logistica integrata","48.800,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione superiore","Tecnico dell'automazione industriale","46.500,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","Valorizzazione dei prodotti tipici del territorio","18.480,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","AZIONI FORMATIVE E DI SENSIBILIZZAZIONE SULLA SICUREZZA NEL LAVORO","26.052,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","AZIONI INTEGRATE PER LA PROMOZIONE DELLA CULTURA DELLA SICUREZZA","60.625,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","COMUNICAZIONE E MARKETING: COMPETENZE CHIAVE PER LO SVILUPPO DI STRATEGIE INNOVATIVE","12.240,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","COMUNICAZIONE E TEAM BUILDING: COMPETENZE CHIAVE PER LO SVILUPPO DI STRATEGIE INNOVATIVE PER PINALLI PROFUMERIE S.r.l.","15.120,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","Consorzio piccoli alberghi di qualità: sviluppo del sistema qualità e dell'e-commerce","10.080,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","E-commerce e Web marketing per l'azienda","26.880,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","FO.R.COOP: formazione per il rafforzamento delle competenze nelle imprese cooperative","40.800,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","Gastronomia e sviluppo territoriale","26.815,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","H&T: HOTEL AND TOURISM QUALITY TRAINING","77.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","I ""tesori"" del territorio e la loro promozione in rete: formazione per imprese e operatori","52.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","Innovazione e marketing per le imprese alberghiere","24.432,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, formazione per occupati","INTER-AGENDO- Interventi a supporto della crescita professionale delle Donne, dei lavoratori stagionali a richio di esclusione dal M.d.L.","82.417,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
