"beneficiaries","ALLOCATION YEAR / YEAR OF FINAL PAYMENT","Region","state","EU","total co-financing","priority axes"
"Siprem International Srl","2008/2009",14450.8,50017.24,41381.96,105850,"priority axe 1"
"KEL Informatica","2008/2009",12012.53,41577.86,34399.61,87990,"priority axe 1"
"Tema Plast","2008/2009",15544.34,53802.2,44513.46,113860,"priority axe 1"
"Comelit SpA","2008/2009",20524.65,71040.07,58775.28,150340,"priority axe 1"
"Messersì","2008/2009",18726.65,64816.82,53626.45,137169.92,"priority axe 1"
"Rosolani SpA","2008/2009",17881.59,61891.9,51206.51,130980,"priority axe 1"
"Moretti Forni SpA","2008/2009",21984.57,76093.16,62955.98,161033.71,"priority axe 1"
"Defendi Italy Srl","2008/2009",24134.28,83533.74,69111.98,176780,"priority axe 1"
"IT Consult Srl","2008/2009",9065.03,31375.95,25959.02,66400,"priority axe 1"
"Iseda Srl","2008/2009",13936.12,48235.8,39908.08,102080,"priority axe 1"
"Cagnoni SpA","2008/2009",5239.01,18133.32,15002.67,38375,"priority axe 1"
"Arco Industrie Srl","2008/2009",21111.7,73071.94,60456.36,154640,"priority axe 1"
"Cisel Srl","2008/2009",42426.66,146847.45,121494.82,310768.93,"priority axe 1"
"Composit SpA","2008/2009",19238.62,66588.84,55092.54,140920,"priority axe 1"
"CIBES Srl","2008/2009",8275.94,28644.73,23699.33,60620,"priority axe 1"
"Tecnologica Srl","2008/2009",21191.37,73347.71,60684.52,155223.6,"priority axe 1"
"SIGE SpA","2008/2009",6648.6,23012.18,19039.22,48700,"priority axe 1"
"Indesit Company S.p.A., Dotcom S.r.l., Nautes S.r.l.","2008/2009",102223.61,353817.1,292731.98,748772.69,"priority axe 1"
"Teuco Guzzini S.pA., Iseda S.r.l., Faggiolati Pumps S.p.A.","2008/2009",109905.47,380405.6,314730.08,805041.15,"priority axe 1"
"Diatech S.r.l., Sparkle S.r.l., Diatheva S.r.l.","2008/2009",141796.75,490787.92,406055.33,1038640,"priority axe 1"
"Rag All S.p.A., Defenditaly S.r.l., PM Stampi di Paolella Sergio e C Sn.c.","2008/2009",99301.68,343703.7,284364.62,727370,"priority axe 1"
"Aethra S.p.A., BSoft S.r.l., ACI S.r.l.","2008/2009",81845,283282.51,234374.91,599502.42,"priority axe 1"
"AEA S.r.l., Leaff Engineering S.r.l., SIA S.r.l.","2008/2009",79847.36,276368.26,228654.38,584870,"priority axe 1"
"Nuova Simonelli S.p.A., Sirius S.p.A., Plast 2000 S.r.l.","2008/2009",90894.14,314603.45,260288.41,665786,"priority axe 1"
"Bocchini S.p.A., Rivacold S.r.l., Fiver S.r.l.","2008/2009",100080.68,346399.95,286595.37,733076,"priority axe 1"
"Omas S.p.A., Gei S.r.l., Prefabbricati Dignani di Dignani e C. S.a.S.","2008/2009",85820.45,297042.37,245759.18,628622,"priority axe 1"
"Pershing S.p.A., Onyx Marine Automation S.r.l., High Technology Manufacturing S.r.l.","2008/2009",103226.89,357289.65,295605.01,756121.55,"priority axe 1"
"Roccheggiani S.p.A., OM Pelati S.r.l., Cintioli S.r.l.","2008/2009",84061.96,290955.83,240723.46,615741.25,"priority axe 1"
"Hugo Boss Shoes and Accessories S.p.A., Eurosuole S.p.A., Itaca di Malvatani e C. S.n.C.","2008/2009",103692.22,358900.24,296937.54,759530,"priority axe 1"
"Schnell S.p.A., A.M.S. S.r.l., Attrezzeria Fabrianese Gatti Siro di Berna Bice e C. S.r.l.","2008/2009",81329.3,281497.57,232898.13,595725,"priority axe 1"
"CRN S.p.A., IS.EL. S.r.l., T.E.A.M. ITALIA S.r.l., VIDEOWORKS S.p.A.","2008/2009",116859.99,404476.65,334645.36,855982,"priority axe 1"
"Best S.p.A., E.Boras. S.r.l., Techpols. S.r.l.","2008/2009",79667.15,275744.52,228138.33,583550,"priority axe 1"
"Automa S.r.l., Arielab S.r.l., RS Elettronica S.r.l., S.P.I.L.T. S.r.l., Duebbi di Borracci Carlo e Luigi S.n.C.","2008/2009",57968.97,200642.59,166002.44,424614,"priority axe 1"
"Aziende chimiche riunite Angelini Francesco A.C.R.A.F. S.p.A., Bioaesis S.r.l., Pharmaprogress S.r.l.","2008/2009",95887.05,331884.96,274586.34,702358.35,"priority axe 1"
"Planiplastic Ecologia S.r.l., Sti Quqadri S.r.l., Idratec S.r.l.","2008/2009",39427.42,136466.49,112906.09,288800,"priority axe 1"
"Cariaggi lanificio S.p.A., Le group S.r.l., Oasicolori, Accademia S.r.l.","2008/2009",118375.33,409721.53,338984.74,867081.6,"priority axe 1"
"Thermowatt S.p.A., Aitec electronics S.r.l., S.P.E.S. S.p.A.","2008/2009",92259.08,319327.8,264197.12,675784,"priority axe 1"
"Azimut Benetti S.p.A., Imea Impianti S.r.l., Nuova Modelplast S.r.l., Dominator S.r.l.","2008/2009",117093.18,405283.73,335313.1,857690.01,"priority axe 1"
"Angeloni S.r.l., Ubaldi S.r.l., Apra progetti S.r.l., Geopro S.r.l., Agriwork S.r.l.","2008/2009",129517.97,448288.52,370893.29,948699.78,"priority axe 1"
"AUTOMA","2008/2009",19857.46,68730.77,56864.68,145452.91,"priority axe 1"
"ORIM","2008/2009",13646.77,47234.27,39079.46,99960.5,"priority axe 1"
"NAUTES SRL","2008/2009",20341.71,70406.88,58251.41,149000,"priority axe 1"
"FABBRICA MACHINALE","2008/2009",16860.41,58357.38,48282.21,123500,"priority axe 1"
"ZANNINI SPA","2008/2009",14317.76,49556.76,41000.98,104875.5,"priority axe 1"
"LABWARE SPA","2008/2009",14838.53,51359.22,42492.25,108690,"priority axe 1"
"DMM SPA","2008/2009",27167.79,94033.35,77798.86,199000,"priority axe 1"
"4D SOLUTIONS","2008/2009",26109.75,90371.24,74769.01,191250,"priority axe 1"
"F.B.T. ELETTRONICA SPA","2008/2009",26961.64,93319.83,77208.53,197490,"priority axe 1"
"LEAFF ENGINEERING SRL","2008/2009",8805.64,30478.15,25216.21,64500,"priority axe 1"
"CLAUDIO FORESI SRL","2008/2009",17440.63,60365.63,49943.74,127750,"priority axe 1"
"EMMEDUE SPA","2008/2009",22730.85,78676.13,65093.02,166500,"priority axe 1"
"PALIFICAZIONI ALSEO srl","2008/2009",15041.29,52061.02,43072.89,110175.2,"priority axe 1"
"BRUE’ SPA","2008/2009",12594.11,43590.84,36065.05,92250,"priority axe 1"
"INFORMA SISTEMI SPA","2008/2009",22014.1,76195.36,63040.54,161250,"priority axe 1"
"UNITEC SRL","2008/2009",23891.27,82692.64,68416.09,175000,"priority axe 1"
"S.TRA.TE.GIE SRL","2008/2009",7392.64,25587.47,21169.89,54150,"priority axe 1"
"MAC SRL","2008/2009",9697.13,33563.76,27769.11,71030,"priority axe 1"
"ESSE-TI SRL","2008/2009",23144.37,80107.43,66277.2,169529,"priority axe 1"
"DUNA SRL","2008/2009",24471.49,84700.89,70077.62,179250,"priority axe 1"
"MORETTI FORNI SPA","2008/2009",23996.22,83055.9,68716.63,175768.75,"priority axe 1"
"4D ENGINEERING SRL","2008/2009",25597.79,88599.26,73302.95,187500,"priority axe 1"
"AIPOL SPA","2008/2009",20055.01,69414.57,57430.42,146900,"priority axe 1"
"FAGGIOLATI PUMPS SPA","2008/2009",19761.49,68398.63,56589.88,144750,"priority axe 1"
"BCB SRL","2008/2009",24307.66,84133.86,69608.48,178050,"priority axe 1"
"I.M. SRL","2008/2009",16484.98,57057.92,47207.1,120750,"priority axe 1"
"SIGE SPA","2008/2009",23345.19,80802.52,66852.29,171000,"priority axe 1"
"ENERGIA + SRL","2008/2009",20705.2,71664.99,59292.31,151662.5,"priority axe 1"
"TORNATI FORNI SRL","2008/2009",14812.59,51269.44,42417.97,108500,"priority axe 1"
"META INFORMATICA SRL","2008/2009",17137.35,59315.9,49075.25,125528.5,"priority axe 1"
"OLTREMARE SRL","2008/2009",19012.88,65807.51,54446.11,139266.5,"priority axe 1"
"HARVEST GROUP COOP. A.R.L.","2008/2009",9966.07,34494.65,28539.28,73000,"priority axe 1"
"IDRATEC SRL","2008/2009",9966.07,34494.65,28539.28,73000,"priority axe 1"
"NETFORCE ","2008/2009",16348.46,56585.39,46816.15,119750,"priority axe 1"
"WEBSOLUTE SRL","2008/2009",19147.14,66272.25,54830.61,140250,"priority axe 1"
"C.S.PLASTIC MOLDING SNC","2008/2009",6006.95,20791.29,17201.76,44000,"priority axe 1"
"ELCON-CABLE SNC","2008/2009",18020.84,62373.88,51605.28,132000,"priority axe 1"
"SEED ","2008/2009",8054.78,27879.23,23065.99,59000,"priority axe 1"
"NEWTEC SRL","2008/2009",25939.1,89780.58,74280.32,190000,"priority axe 1"
"COSMETAL SRL","2008/2009",22321.28,77258.55,63920.17,163500,"priority axe 1"
"E.C.T. EDYL COMPOSITES SRL","2008/2009",23739.05,82165.77,67980.18,173885,"priority axe 1"
"BIZCOM.IT SAS","2008/2009",8374.91,28987.32,23982.77,61345,"priority axe 1"
"P F C COMPAGNONI PIERUCCI SRL","2008/2009",26143.87,90489.38,74866.75,191500,"priority axe 1"
"VITRI FRIGO SNC","2008/2009",23399.29,80989.81,67007.24,171396.34,"priority axe 1"
"RIMECO ITALIA SRL","2008/2009",22601.97,78230.07,64723.96,165556,"priority axe 1"
"CS PLASTIC STAMPI SNC","2008/2009",26178.01,90607.51,74964.48,191750,"priority axe 1"
"DRAG STAMPI SNC","2008/2009",23993.66,83047.04,68709.3,175750,"priority axe 1"
"GIE GHERGO SNC","2008/2009",23254.87,80489.95,66593.68,170338.5,"priority axe 1"
"MACT SNC","2008/2009",22508.31,77905.92,64455.77,164870,"priority axe 1"
"STEP SRL","2008/2009",10457.55,36195.75,29946.7,76600,"priority axe 1"
"BARTOLUCCI GIORGIO","2008/2009",19590.84,67807.97,56101.19,143500,"priority axe 1"
"DEPA STAMPI SNC","2008/2009",11604.33,40165,33230.67,85000,"priority axe 1"
"TECOM MULTIMEDIA SRL","2008/2009",13624.85,47158.44,39016.72,99800.01,"priority axe 1"
"CENTRO ORTOPEDICO MARCHIGIANO SRL","2008/2009",16170.9,55970.85,46307.7,118449.45,"priority axe 1"
"CANTORI","2008/2009",17573.08,60824.1,50323.06,128720.24,"priority axe 1"
"MONDO LAVORO S.P.A","2008/2009",13648.74,47241.13,39085.13,99975,"priority axe 1"
"TIRABASSO SERAFINO","2008/2009",21174.93,73290.81,60637.44,155103.18,"priority axe 1"
"BALDI CARNI SRL","2008/2009",13338.16,46166.12,38195.72,97700,"priority axe 1"
"DISTILLERIA VARNELLI","2008/2009",12920.4,44720.18,36999.42,94640,"priority axe 1"
"SUBISSATI SRL","2008/2009",13761.47,47631.29,39407.94,100800.7,"priority axe 1"
"G.G.A. S.P.A.","2008/2009",10730.59,37140.81,30728.6,78600,"priority axe 1"
"MECCANICA H7","2008/2009",13048.04,45162,37364.96,95575,"priority axe 1"
"FASHION TAILOR","2008/2009",19219.31,66522.03,55037.26,140778.6,"priority axe 1"
"BARBERINI ALLESTIMENTI SRL","2008/2009",17758.04,61464.26,50852.7,130075,"priority axe 1"
"UPPER SPA","2008/2009",20820.92,72065.53,59623.7,152510.15,"priority axe 1"
"SIGMA","2008/2009",16840.96,58290.04,48226.5,123357.5,"priority axe 1"
"TROIANI ROBERTO E CIARROCCHI","2008/2009",10267.97,35539.6,29403.83,75211.4,"priority axe 1"
"FAGGIOLATI PUMPS SPA","2008/2009",14476.35,50105.65,41455.1,106037.1,"priority axe 1"
"FRIGO TECNICA INTERNAZIONALE S.P.A.","2008/2009",21058.45,72887.66,60303.89,154250,"priority axe 1"
"BLUE JENIUS DISTRIBUTION","2008/2009",13061.7,45209.25,37404.05,95675,"priority axe 1"
"ENZO RESCHINI","2008/2009",8931.71,30914.53,25577.26,65423.5,"priority axe 1"
"CBI EUROPE SPA","2008/2009",37406.91,129473.05,107120.04,274000,"priority axe 1"
"GIANO S.R.L.","2008/2009",6279.99,21736.35,17983.66,46000,"priority axe 1"
"MELONI TECNOHANDLING Srl","2008/2009",11153.81,38605.65,31940.54,81700,"priority axe 1"
"DI.BI. PORTE BLINDATE","2008/2009",7738.7,26785.23,22160.87,56684.8,"priority axe 1"
"MALLONI Srl","2008/2009",11467.81,39692.47,32839.72,84000,"priority axe 1"
"PAIMA SRL","2008/2009",24983.44,86472.88,71543.68,183000,"priority axe 1"
"F.LLI ROMAGNOLI","2008/2009",12962.73,44866.66,37120.61,94950,"priority axe 1"
"ORIM S.P.A.","2008/2009",5180.99,17932.49,14836.52,37950,"priority axe 1"
"GASPARUCCI ITALO CONTRACT COMPANY","2008/2009",6032.82,20880.84,17275.84,44189.5,"priority axe 1"
"SPES Soc. Coop. Per Azioni","2008/2009",19781.97,68469.51,56648.52,144900,"priority axe 1"
"ELETTROMEDIA SRL","2008/2009",12370,42815.13,35423.27,90608.4,"priority axe 1"
"CAFFE' PASCUCCI TORREFAZIONE SPA","2008/2009",6394.67,22133.28,18312.05,46840,"priority axe 1"
"GATTO SPA","2008/2009",20874.15,72249.74,59776.11,152900,"priority axe 1"
"B.E.C.A. SRL","2008/2009",8229.71,28484.76,23566.98,60281.45,"priority axe 1"
"DESI","2008/2009",12452.81,43101.77,35660.42,91215,"priority axe 1"
"R.C.S. DI RANGO TERZILIO","2008/2009",15522.5,53726.59,44450.91,113700,"priority axe 1"
"S.T.A.F. SPA","2008/2009",17168.95,59425.3,49165.75,125760,"priority axe 1"
"JOINT STAMPI SRL","2008/2009",15119.76,52332.63,43297.61,110750,"priority axe 1"
"COMELIT SPA","2008/2009",16775.77,58064.41,48039.82,122880,"priority axe 1"
"PEDINI SRL","2008/2009",16816.04,58203.81,48155.15,123175,"priority axe 1"
"STIPA SRL","2008/2009",772.67,2674.36,2212.64,5659.67,"priority axe 1"
"BRANCOZZI & PARTNERS CONSULTING S.R.L.","2008/2009",2498.34,8647.29,7154.37,18300,"priority axe 1"
"LABORATORIO PESARO SRL","2008/2009",7795.38,26981.43,22323.19,57100,"priority axe 1"
"TECNOMETAL Srl","2008/2009",13792.09,47737.28,39495.63,101025,"priority axe 1"
"ELMAC ELETTRONICA","2008/2009",13170.32,45585.19,37715.09,96470.6,"priority axe 1"
"SAFIR S.R.L.","2008/2009",14611.22,50572.46,41841.32,107025,"priority axe 1"
"ENNEPI SRL","2008/2009",8846.6,30619.9,25333.5,64800,"priority axe 1"
"RAPHNE LIVING SNC","2008/2009",5464.96,18915.35,15649.69,40030,"priority axe 1"
"BELCOM S.R.L.","2008/2009",8020.64,27761.1,22968.26,58750,"priority axe 1"
"ANGELETTI MASSIMILIANO","2008/2009",10569.57,36583.46,30267.47,77420.5,"priority axe 1"
"BIAGIOTTI SRL","2008/2009",5796.21,20061.91,16598.3,42456.42,"priority axe 1"
"CAST ART SHOES S.R.L.","2008/2009",17925.69,62044.53,51332.78,131303,"priority axe 1"
"ESSE.GI.ESSE INTERNATIONAL","2008/2009",6611.05,22882.24,18931.71,48425,"priority axe 1"
"S.C.D SMILE DI SANCHINI EVA","2008/2009",6658.84,23047.62,19068.54,48775,"priority axe 1"
"SPINTAFORTE","2008/2009",2208.24,7643.16,6323.6,16175,"priority axe 1"
"TUTTOVETRO DI GOBBI EUGENIO","2008/2009",3454,11954.99,9891.01,25300,"priority axe 1"
"PIERGIACOMI ANNA","2008/2009",4519.54,15643.09,12942.37,33105,"priority axe 1"
"BALDELLI LEONELLO & LUCA","2008/2009",2641.42,9142.5,7564.08,19348,"priority axe 1"
"AURORA DI MANCINI AURORA LETIZIA & C. SNC","2008/2009",2484.7,8600.03,7115.27,18200,"priority axe 1"
"AREA SRL","2008/2009",4395.99,15215.45,12588.56,32200,"priority axe 1"
"BORDOSERVICE DI FIORANI NICOLA & C. SNC","2008/2009",2639.23,9134.94,7557.83,19332,"priority axe 1"
"ESSEGICOLOR SRL","2008/2009",2930.71,10143.79,8392.5,21467,"priority axe 1"
"NES ITALIA","2008/2009",6042.94,20915.87,17304.82,44263.63,"priority axe 1"
"PRODOTTI ALIMENTARI BRUNORI S.N.C. DI FEDERICO E STEFANO","2008/2009",12875.34,44564.25,36870.41,94310,"priority axe 1"
"AUTOTRASPORTI FAGIOLI VINCENZO DI FAGIOLI DANTE & C","2008/2009",4962.56,17176.44,14211,36350,"priority axe 1"
"MARCOZZI","2008/2009",13087.4,45298.23,37477.67,95863.3,"priority axe 1"
"NUOVA4S","2008/2009",798.65,2764.3,2287.05,5850,"priority axe 1"
"P. & G.","2008/2009",3835.63,13275.93,10983.89,28095.45,"priority axe 1"
"CI.RA. SRL","2008/2009",781.09,2703.49,2236.74,5721.32,"priority axe 1"
"GIUSTOZZI AMBIENTE S.R.L.","2009/2010",16000.33,55380.44,45819.23,117200,"priority axe 1"
"STIPA SRL","2009/2010",10162.71,35175.24,29102.38,74440.33,"priority axe 1"
"GAPOSA SRL","2009/2010",14293.8,49473.83,40932.37,104700,"priority axe 1"
"RAGNI SRL","2009/2010",14089.03,48765.03,40345.94,103200,"priority axe 1"
"SAPIL","2009/2010",6361.9,22019.87,18218.23,46600,"priority axe 1"
"T.M. ITALIA SRL","2009/2010",5576.9,19302.83,15970.27,40850,"priority axe 1"
"LC","2009/2010",38598.63,133597.86,110532.72,282729.21,"priority axe 1"
"ZANNINI SPA","2009/2010",5221.26,18071.89,14951.85,38245,"priority axe 1"
"TENDADRIATICA","2009/2010",5780.92,20008.95,16554.48,42344.35,"priority axe 1"
"HARPAX S.R.L.","2009/2010",10668.23,36924.96,30550.01,78143.2,"priority axe 1"
"INTEGRALE ITALIA","2009/2010",6006.95,20791.29,17201.76,44000,"priority axe 1"
"STS TECNOPOLIMERI SRL","2009/2010",9419.98,32604.53,26975.49,69000,"priority axe 1"
"BEST.COLD S.R.L.","2009/2010",1875.92,6492.93,5371.95,13740.8,"priority axe 1"
"ESINPLAST SRL","2009/2010",4892.94,16935.45,14011.61,35840,"priority axe 1"
"FIAM ITALIA","2009/2010",20998.72,72680.93,60132.85,153812.5,"priority axe 1"
"OMAS SPA","2009/2010",8288.57,28688.44,23735.49,60712.5,"priority axe 1"
"ADRIATICA MOLLE","2009/2010",16682.8,57742.62,47773.58,122199,"priority axe 1"
"CGM","2009/2010",16792.16,58121.11,48086.73,123000,"priority axe 1"
"ITALIANA TEKNOLOGIE Srl","2009/2010",11686.24,40448.52,33465.24,85600,"priority axe 1"
"EUROINGA GROUP SPA","2009/2010",43891.68,151918.2,125690.12,321500,"priority axe 1"
"I.P.S.A. INDUSTRIA PRODOTTI SPECIALI PER
L'ALIMENTAZIONE SPA","2009/2010",23154.94,80144.05,66307.5,169606.49,"priority axe 1"
"GENNARETTI SPA","2009/2010",5163.36,17871.45,14786.02,37820.83,"priority axe 1"
"MAITEK","2009/2010",3606.23,12481.91,10326.96,26415.1,"priority axe 1"
"CIMA SRL","2009/2010",2035.15,7044.08,5827.95,14907.18,"priority axe 1"
"P. & G.","2009/2010",7796,26983.58,22324.97,57104.55,"priority axe 1"
"CI.RA. SRL","2009/2010",1587.57,5494.89,4546.22,11628.68,"priority axe 1"
"GROUP EURO OPEN SRL","2009/2010",4687.29,16223.71,13422.75,34333.75,"priority axe 1"
"PELLETTERIA ORLANDI VALENTINO","2009/2010",5979.64,20696.79,17123.57,43800,"priority axe 1"
"SITEC DI KLUSACKOVA ILONA","2009/2010",2737.26,9474.21,7838.53,20050,"priority axe 1"
"AMADIOMECCANICA DI AMADIO FILIPPO E C. S.N.C.","2009/2010",2457.39,8505.53,7037.08,18000,"priority axe 1"
"COSMA DI MATTIOLI LUCA E C. S.A.S.","2009/2010",3707.24,12831.54,10616.22,27155,"priority axe 1"
"CREAZIONI C.M. SRL","2009/2010",12723.81,44039.74,36436.45,93200,"priority axe 1"
"SIMO SRL","2009/2010",2089.66,7232.72,5984.02,15306.4,"priority axe 1"
"FERMANI CANNUCCIE DI TARULLI IVANO & C.","2009/2010",2730.43,9450.59,7818.98,20000,"priority axe 1"
"MANIFATTURA FERMANA SRL","2009/2010",3872.46,13403.39,11089.35,28365.2,"priority axe 1"
"FAIP S.R.L.","2009/2010",3024.63,10468.89,8661.48,22155,"priority axe 1"
"ELEPACKING SRL","2009/2010",2577.69,8921.95,7381.61,18881.25,"priority axe 1"
"MAGI MARCO","2009/2010",1747.47,6048.38,5004.15,12800,"priority axe 1"
"ELLE ITALIA","2009/2010",2294.44,7941.54,6570.47,16806.45,"priority axe 1"
"PODERI IMBALLAGGI","2009/2010",3063.54,10603.56,8772.9,22440,"priority axe 1"
"FIBI SRL","2009/2010",3024.77,10469.36,8661.87,22156,"priority axe 1"
"ARTE ON SOCIETA' COOPERATIVA","2009/2010",4423.3,15309.95,12666.75,32400,"priority axe 1"
"C.P. UTENSILI DI CRESCENTINI MICHELE & C.","2009/2010",1720.17,5953.87,4925.96,12600,"priority axe 1"
"OLITECNICA","2009/2010",2901.08,10041.25,8307.67,21250,"priority axe 1"
"DELFI S.N.C. DI FOGLIA LORELLA & C.","2009/2010",1860.11,6438.21,5326.68,13625,"priority axe 1"
"FABBROTECNICA S.R.L.U.","2009/2010",1924.68,6661.72,5511.6,14098,"priority axe 1"
"LITOFLEX SRL","2009/2010",1747.47,6048.38,5004.15,12800,"priority axe 1"
"R.G.G. SRL (DEI F.LLI RADI GIULIANO E GIORGIO)","2009/2010",3465.94,11996.34,9925.22,25387.5,"priority axe 1"
"LPS SNC DI MONTANARI A. & MATTIOLI F.","2009/2010",1018.51,3525.31,2916.68,7460.5,"priority axe 1"
"TOWNET S.R.L.","2009/2010",7000.34,24229.62,20046.48,51276.44,"priority axe 1"
"O.M. 4 DI MATTIOLI M. E C. SNC","2009/2010",21741.06,75250.3,62258.64,159250,"priority axe 1"
"ARTE MESTIERE","2009/2010",2959.27,10242.64,8474.29,21676.2,"priority axe 1"
"BOCE","2009/2010",6546.21,22657.78,18746.01,47950,"priority axe 1"
"IDEALFER DI VAGNONI PIERLUIGI & ALBERTO SNC","2009/2010",1077.7,3730.15,3086.15,7894,"priority axe 1"
"SCATOLIFICIO MAURA DI SILLA MECOZZI E VITTORI SNC","2009/2010",3488.1,12073.02,9988.66,25549.78,"priority axe 1"
"MA.GI. DI MANCINELLI FRANCO & C.","2009/2010",284.98,986.35,816.06,2087.39,"priority axe 1"
"TRANCERIA AVANGARDE DI CIAFFONI LUCA","2009/2010",846.63,2930.34,2424.43,6201.4,"priority axe 1"
"MAITEK","2009/2010",2240.3,7754.16,6415.44,16409.9,"priority axe 1"
"CIMA SRL","2009/2010",1264.3,4376.01,3620.51,9260.82,"priority axe 1"
"Sgattoni Surgelati s.r.l.","2009/2010",3954.88,13688.66,11325.36,28968.9,"priority axe 1"
"TOGNI  SPA","2009/2010",10039.49,34748.75,28749.51,73537.75,"priority axe 1"
"CTF AUTOMAZIONI S.R.L.                                      ","2009/2010",6860.21,23744.6,19645.19,50250,"priority axe 1"
"VIK","2009/2010",5829.48,20177,16693.52,42700,"priority axe 1"
"SICC","2009/2010",11097.16,38409.55,31778.29,81285,"priority axe 1"
"EUROKAPPA S.R.L.","2009/2010",10636.4,36814.76,30458.84,77910,"priority axe 1"
"INOXIA S.R.L.","2009/2010",5245.36,18155.29,15020.85,38421.5,"priority axe 1"
"DORICA CASTELLI SPA","2009/2010",7683.3,26593.48,22002.22,56279,"priority axe 1"
"PB GROUP SPA","2009/2010",26963.01,93324.55,77212.44,197500,"priority axe 1"
"TRE D Srl","2009/2010",8267.06,28614.02,23673.92,60555,"priority axe 1"
"R.I.CO SRL","2009/2010",13324.98,46120.51,38157.99,97603.48,"priority axe 1"
"FONDAR SPA","2009/2010",22185.59,76788.91,63531.61,162506.11,"priority axe 1"
"DEMAC SRL","2009/2010",16648.49,57623.87,47675.34,121947.7,"priority axe 1"
"FIM","2009/2010",5454.03,18877.55,15618.42,39950,"priority axe 1"
"E.BORA SRL","2009/2010",23515.83,81393.19,67340.98,172250,"priority axe 1"
"S.T.A. 2000 S.R.L.                                          ","2009/2010",10242.05,35449.86,29329.59,75021.5,"priority axe 1"
"CALZATURIFICIO LUIS SOCIETA' COOPERATIVA P.A.","2009/2010",6392.69,22126.42,18306.39,46825.5,"priority axe 1"
"CRISTIANPACK SRL","2009/2010",3865.61,13379.67,11069.72,28315,"priority axe 1"
