"Asse","Obiettivo specifico","Beneficiario","Operazione","Anno","Importo impegnato","Importo pagato"
"III","G","LAVORO SOCIETA' COOPERATIVA SOCIALE","Det. 1263 dd 30/12/08 approvazione piano di impresa Coop. Soc. Lavoro: copertura costo lavoratori sv...",2008,30000,0
"II","E","COMUNE DI DRO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,46066,34330
"II","D","AGENZIA DEL LAVORO","INCARICHI FUNZIONALI DIPENDENTI CENTRI DI FORMAZIONE PROFESSIONALE C/O AGENZIA",2008,171337,0
"II","E","COMUNE DI DRO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,36379,0
"I","E","COMUNE DI CAPRIANA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,40008,38899
"II","E","COMUNE DI CAPRIANA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,42223,0
"II","E","COMUNE DI VOLANO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,38281,37744
"II","E","COMUNE DI VOLANO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,39071,0
"II","E","COMUNE DI CASTELNUOVO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,38699,38202
"II","E","COMUNE DI CASTELNUOVO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,37949,0
"II","E","AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA ""M. GRAZIOLI""","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,48335,0
"II","E","AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA ""M. GRAZIOLI""","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,26254,22997
"II","E","COMUNE DI FONDO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,31151,30738
"II","D","AGENZIA DEL LAVORO","Incarico di colloqui di primo livello e IDO",2008,5897,0
"II","E","COMUNE DI FONDO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,6172,6172
"II","E","COMUNE DI FONDO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,28854,0
"II","E","COMUNE DI FONDO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,7559,0
"II","E","COMUNE DI TASSULLO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,35299,34382
"II","E","COMUNE DI TASSULLO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,35642,0
"II","E","COMUNE DI VALLARSA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,35214,0
"II","E","COMUNE DI VALLARSA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,34545,0
"II","E","COMUNE DI RONZONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,31443,30356
"II","E","COMUNE DI RONZONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,4524,4210
"II","E","COMUNE DI RONZONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,28854,0
"II","D","AGENZIA DEL LAVORO","INCARICO DI FORNITURA MATERIALE HARDWARE E SOFTWARE",2008,82263,82263
"II","E","COMUNE DI RONZONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,4381,0
"II","E","COMUNE DI DIMARO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,33861,33610
"II","E","COMUNE DI DIMARO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,34187,0
"II","E","COMUNE DI BONDONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,33105,28879
"II","E","COMUNE DI BONDONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,34541,0
"II","E","COMUNE DI GRIGNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,27649,26126
"II","E","COMUNE DI GRIGNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,39974,0
"II","E","COMUNE DI LIVO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,33844,33171
"II","E","COMUNE DI LIVO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,33679,0
"II","E","COMUNE DI MEZZOCORONA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,33832,28161
"II","D","AGENZIA DEL LAVORO","ACQUISTO DI MATERIALE HARDWARE MEDIANTE SISTEMA ACQUISTI IN RETE DELLA P.A.",2007,28475,25627
"II","D","AGENZIA DEL LAVORO","PUBBLICAZIONE SU ADIGE E TRENTINO AVVISO AGGIUDICAZIONE SERVIZI PROMOZIONE ADL",2008,2656,2656
"II","E","COMUNE DI MEZZOCORONA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,33631,0
"I","A","CENTRO DI FORMAZIONE PROFESSIONALE E PREVENZIONE INFORTUNISTICA DELL'EDILIZIA DELLA PROVINCIA AUTONO...","MURATORE QUALIFICATO",2007,21820,0
"I","A","FORMAZIONE-LAVORO SOC. CONS. A R.L.","Organizzazione aziendale e lavoro di gruppo",2007,59847,0
"I","A","ASSOCIAZIONE ARTIGIANI E PICCOLE IMPRESE DELLA PROVINCIA DI TRENTO","PROGETTO ENERGIA: FORMAZIONE INTEGRATA PER L'EDILIZIA SOSTENIBILE",2007,103528,0
"I","A","Malgara Chiari & Forti","Malgara Chiari & Forti Business Administration",2007,31392,0
"I","A","LONGHI GIANLUCA","""Formazione integrata per la gestione nell'impresa Longhi""",2007,23620,0
"I","A","Costruzioni Pojer S.r.l.","Strategie di successo dell'impresa edile:sicurezza, efficienza organizzativa e qualitﾈ",2007,27407,0
"I","A","FIAVET TRENTINO - ASSOCIAZIONE TRENTINA DEGLI UFFICI VIAGGI E TURISMO","Fiavet Trentino: qualificazione professionale d'eccellenza per lo sviluppo del territorio",2007,78711,0
"I","A","CENTRO DI FORMAZIONE PROFESSIONALE E PREVENZIONE INFORTUNISTICA DELL'EDILIZIA DELLA PROVINCIA AUTONO...","MURATORE SPECIALIZZATO",2007,22475,0
"I","A","C.S.4. SOCIET?ﾀ COOPERATIVA SOCIALE O.N.L.U.S.","L'educatore e la gestione dei processi nei centri socioeducativi",2007,23012,0
"I","A","Euroservizi Contabilitﾈ srl","Chances di sviluppo competitivo per la nuova societﾈ di servizi",2007,19813,0
"I","A","EDITEL DI GHIZZI PIERLUIGI & C. SAS","Specializzazione infomatica e aggiorrnamento continuo per un mercato in costante evoluzione",2007,23259,0
"I","A","ASSOFORM TRENTINA","Aggiornamento e sviluppo delle competenze organizzative, contabili, amministative e di maketing del ...",2007,12762,0
"I","A","CENTRO DI FORMAZIONE PROFESSIONALE E PREVENZIONE INFORTUNISTICA DELL'EDILIZIA DELLA PROVINCIA AUTONO...","CAPOSQUADRA",2007,22562,0
"I","A","Glacier Vandervell Italy s.r.l.","LEVE MANAGERIALI PER SISTEMI INTEGRATI DI SICUREZZA",2007,15398,0
"I","A","O.M.P. PICCINELLI SRL","Piano formativo per lo sviluppo aziendale",2007,24062,0
"I","A","LA QUERCIA GRANITI S.R.L","Marketing e crescita commerciale della pietra trentina",2007,31965,0
"I","A","CENTRO DI FORMAZIONE PROFESSIONALE E PREVENZIONE INFORTUNISTICA DELL'EDILIZIA DELLA PROVINCIA AUTONO...","OPERATORE SPECIALIZZATO MACCHINE MOVIMENTO TERRA",2007,51366,0
"I","A","COSTA COSTRUZIONI SRL","Piano di crescita e sviluppo professionale per la gestione integrata dei sistemi qualitﾈ e sicurezz...",2007,13527,0
"I","A","ALIMENTARI S.P.A.","ECCELLENZA COMMERCIALE E MANAGERIALE NELLA DISTRIBUZIONE ALIMENTARE GARDESANA",2007,43161,0
"I","A","FORMAZIONE-LAVORO SOC. CONS. A R.L.","Villa Maria: affrontare il cambiamento",2007,30476,0
"I","A","ALPIMARMO SRL","Il marmo in vetrina. Forme e tecniche d'eccellenza produttiva.",2007,43855,0
"I","A","CENTRO DI FORMAZIONE PROFESSIONALE E PREVENZIONE INFORTUNISTICA DELL'EDILIZIA DELLA PROVINCIA AUTONO...","GRUISTA SPECIALIZZATO",2007,25824,0
"I","A","Doper srl","Riqualificazione organizzativa e della forza vendita",2007,14747,0
"I","A","ARCEMI IMPIANTI","Formazione continua in Arcemi Impianti srl: innovazione gestionale e competenze linguistiche",2007,19932,0
"I","A","Legno piu' case S.p.A.","I professionisti del legno",2007,29282,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","EL LAVORARE NONOSTANTE PD-F",2007,17661,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","EL LAVORARE NONOSTANTE PD-M",2007,17661,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","EL LAVORARE NONOSTANTE HC",2007,17497,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CT LAVORARE NONOSTANTE PD",2007,18604,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","AM CRESCITA HC-F",2007,12178,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","AM CRESCITA HC-M",2007,12078,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","GR LAVORARE NONOSTANTE PD",2007,18088,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PR CRESCITA HC-M1",2007,11198,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","PR CRESCITA HC-M2",2007,11198,0
"III","G","ANFFAS TRENTINO -Associazione Famiglie di Disabili Intelletivi e Relazionali del Trentino - ONLUS","PERCORSI INDIVIDUALIZZATI DI INSERIMENTO LAVORATIVO 2007",2007,64927,0
"III","G","SAMUELE SOCIET?ﾀ COOPERATIVA SOCIALE","PRO.VA.",2007,114695,0
"III","G","COOPERATIVA SOCIALE C.R.E.A. -SOCIET?ﾀ COOPERATIVA","PERCORSI INDIVIDUALIZZATI DI FORMAZIONE PERMANENTE E D'INSERIMENTO LAVORATIVO IN UFFICI PUBBLICI E P...",2007,170906,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","Valorizzare le potenzialitﾈ",2007,59212,0
"III","G","""L'ANCORA""COOPERATIVA DI SOLIDARIET?ﾀ SOCIALE","Socialitﾈ nel lavoro",2007,28476,0
"III","G","SISTEMA IMPRESA S.R.L.","IL PROCESSO DI INCLUSIONE SOCIALE ATTRAVERSO L'EMPOWERMENT PERSONALE E PROFESSIONALE - II EDIZIONE",2007,160515,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Imparare facendo nell'ambito delle vendite",2007,53124,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Imparare facendo nell'ambito della ristorazione",2007,53124,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Imparare facendo nell'ambito dei servizi rivolti alle famiglie",2007,159340,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Imparare facendo nell'ambito dell'industria e dell'artigianato",2007,53124,0
"III","G","ASSOCIAZIONE UBALDA BETTINI GIRELLA O.N.L.U.S.","Dalla scuola al lavoro. Sviluppo di autonomie del cittadino lavoratore.",2007,74755,0
"III","G","VILLA S. IGNAZIO COOPERATIVA DI SOLIDARIETA' SOCIALE - ONLUS","Puntonet 2008",2007,193428,0
"III","G","SISTEMA IMPRESA S.R.L.","L'EMPOWERMENT PERSONALE E PROFESSIONALE ATTRAVERSO LA SPECIALIZZAZIONE IN TECNICHE GRAFICHE",2007,63427,0
"III","G","SISTEMA IMPRESA S.R.L.","L'EMPOWERMENT PERSONALE E PROFESSIONALE ATTRAVERSO LA LINGUA INGLESE",2007,71969,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA ADDETTO VENDITE",2007,35929,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA OPERATORE COMPUTER",2007,35385,0
"III","G","CON.SOLIDA.societﾈ cooperativa sociale","CRESCITA OPERATORE LEGATORIA",2007,35589,0
"III","G","ISTITUTO PAVONIANO ARTIGIANELLI","Progetto lavoro 2008",2007,62654,0
"III","G","SAMUELE SOCIET?ﾀ COOPERATIVA SOCIALE","Biolavoromio",2007,73259,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI �""LIVIA BATTISTI�""","TECNICO RESPONSABILE DEL MARKETING RELAZIONALE NELLA P.M.I. - 5 B AZ",2007,51178,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","ASSISTENTE ALLA COMUNICAZIONE IN C.A.A.",2007,43703,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","L'OPERATORE SOCIALE IN AMBITO SOCIO-SANITARIO",2007,43420,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","IL RUOLO DELL'ANIMATORE NELLE STRUTTURE DI ACCOGLIENZA PER ANZIANI",2007,44658,0
"IV","I","OXFORD CIVEZZANO Societﾈ cooperativa","Lo zirconio e la tecnologia CAD-CAM a servizio dell'odontotecnico",2007,24925,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","RESPONSABILE COMUNICAZIONE TURISTICA",2007,49326,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Conoscere x scegliere",2007,42238,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CUCINA, TRADIZIONE E TERRITORIO",2007,49642,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","RESPONSABILE SERVIZI PER IL TURISMO",2007,49506,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CUSTOMER SATISFACTION",2007,48825,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI �""LIVIA BATTISTI�""","ADDETTO AI SERVIZI CONTABILI, AMMINSTRATIVI E GESTIONALI DELL'IMPRESA ARTIGIANA - 5 A AZ",2007,52505,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","DESTINAZIONE TURISTICA DI MONTAGNA",2007,48056,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LA RICERCA DI SE' NELL'ESPLORAZIONE DEL NIDO",2007,42864,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI �""LIVIA BATTISTI�""","TURISMO CULTURALE E SOSTENIBILE: COSCIENZA E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO E AMBIENTALE - ...",2007,53918,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","I FILI e L'INTRECCIO: la rete sociale per la disabilitﾈ",2007,43037,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","AMMINISTRAZIONE E CONTROLLO IMPRESE TURISTICHE",2007,49042,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","TECNICO DELLA PROGRAMMAZIONE E DEL CONTROLLO DELLE RISORSE DELLE PMI.",2007,44144,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","TECNICO DELL'ANALISI DEI COSTI, DEL REPORTING E DEL CONTROLLO BUDGETARIO",2007,48417,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","GRAFICA, SEGNO E COLORE",2007,19694,0
