BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,CONTRIBUTO TOTALE CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DI CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA 
Seacsub S.p.a.,acquisizione di servizi avanzati,22/04/2010,GE,"22.495,63","7.133,36","15.362,27",0
UNPLUGGED SNC DI BRUZZONE A. E FERRANDO G.,acquisizione di servizi avanzati,22/04/2010,GE,"8.500,00","2.695,35","5.804,65",0
ALESSANDRO GAETA SRL,acquisizione di servizi avanzati,16/03/2010,GE,"6.991,29","2.216,94","4.774,35",0
Biasetton Oleodinamica Spa,acquisizione di servizi avanzati,22/04/2010,GE,"36.187,62","11.475,09","24.712,53",0
XPLORED SRL,acquisizione di servizi avanzati,23/12/2009,GE,"6.888,22","2.184,25","4.703,97",0
Nuova P.B. e F. S.r.l.,acquisizione di servizi avanzati,18/02/2010,GE,"7.900,00","2.505,09","5.394,91",0
Teknit Srl,acquisizione di servizi avanzati,16/12/2009,GE,"12.155,64","3.854,55","8.301,09",0
ALIFOOD SRL,acquisizione di servizi avanzati,22/04/2010,GE,"10.982,50","3.482,55","7.499,95",0
A&A F.lli Parodi Srl,acquisizione di servizi avanzati,16/12/2009,GE,"19.682,98","6.241,47","13.441,51",0
FEEL BETTER SRL,acquisizione di servizi avanzati,18/02/2010,GE,"31.250,00","9.909,38","21.340,63",0
MEDSERVICE.COM SRL,acquisizione di servizi avanzati,23/12/2009,GE,"10.610,78","3.364,68","7.246,10",0
Dema S.r.l.,acquisizione di servizi avanzati,22/04/2010,SV,"16.075,00","5.097,38","10.977,62",0
Societa_ Cooperativa Sociale S.A.B.A.,acquisizione di servizi avanzati,18/02/2010,GE,"10.314,46","3.270,72","7.043,74",0
E.M.A.C. ELETTRONICA MEDICALE ED ATTREZZATURE CHIMICOCLINICHE SRL,acquisizione di servizi avanzati,16/03/2010,GE,"49.874,30","15.815,14","34.059,16",0
PTC ITALIANA SRL,acquisizione di servizi avanzati,22/04/2010,GE,"24.183,54","7.668,60","16.514,94",0
COSTA EDUTAINMENT SPA,acquisizione di servizi avanzati,16/03/2010,GE,"38.129,66","12.090,92","26.038,74",0
NACON SRL,acquisizione di servizi avanzati,22/04/2010,GE,"40.570,00","12.864,75","27.705,25",0
VIRTUAL Srl,acquisizione di servizi avanzati,18/02/2010,GE,"24.180,00","7.667,48","16.512,52",0
TELEROBOT OCEM Srl,acquisizione di servizi avanzati,16/03/2010,GE,"28.050,00","8.894,66","19.155,35",0
Tecnologia Ambiente Navale Srl,acquisizione di servizi avanzati,16/03/2010,SP,"13.526,79","4.289,35","9.237,44",0
IB Srl,acquisizione di servizi avanzati,22/04/2010,GE,"30.198,21","9.575,85","20.622,36",0
SELMAR Srl,acquisizione di servizi avanzati,26/03/2010,SP,"11.459,77","3.633,89","7.825,88",0
Sanguinetti Interactive S.r.l.,acquisizione di servizi avanzati,16/03/2010,SP,"6.846,00","2.170,87","4.675,13",0
PAD INDUSTRIALE E COMMERCIALE S.P.A.,acquisizione di servizi avanzati,22/04/2010,GE,"13.142,70","4.167,55","8.975,15",0
OPTISOFT SRL,acquisizione di servizi avanzati,16/03/2010,SP,"6.390,09","2.026,30","4.363,79",0
FERRARI CARLO E C. S.N.C.,acquisizione di servizi avanzati,22/04/2010,SV,"7.279,08","2.308,20","4.970,88",0
CONSORZIO GIANNELLINRETE SOC. COOP. SOCIALE A R.L.,acquisizione di servizi avanzati,22/04/2010,GE,"5.227,50","1.657,64","3.569,86",0
RGMD S.p.A.,acquisizione di servizi avanzati,22/04/2010,GE,"20.505,67","6.502,35","14.003,32",0
TOR GRAPHICS SRL,acquisizione di servizi avanzati,22/04/2010,GE,"5.000,00","1.585,50","3.414,50",0
Fonderia Boccacci S.p.A.,acquisizione di servizi avanzati,22/04/2010,SP,"14.022,50","4.446,53","9.575,97",0
R.S.E. Riviera Servizi Ecologici Srl,acquisizione di servizi avanzati,23/12/2009,IM,"5.473,00","1.735,49","3.737,51","5.473,00"
