Denominazione beneficiario,Titolo progetto,Provincia,Comune,Anno assegnaz.,Asse,Attivita,Contribute pubblico asseanato,Contribute pubblico Daaato
CASPUR - Consorzio Interuniversitario per le Applicazioni del supercalcolo Per Universita e Ricerca -,Realizzazione di uno strumento informatico per la simulazione del danno biologico al DNA costituito da una suite di codici ad alte prestazioni e di un database relazionale.  (codice Anmipnnnqi,ROMA,Roma,2007,I,1,"29.000,00","14.500,00"
CASTEL SANTELIA COMUNE,Completamento interventi di consolidamento per pericolo di crollo lungo la Valle dei Santi (codice A0005P000R - CUP H2210R0000900021,VITERBO,Castel Sant'Elia,2009,II,3,"1.600.000,00",-
CASTROCIELO COMUNE,Messa in sicurezza e caratterizzazione -Sterparelle (codice A0007P0006),FROSINONE,Castrocielo,2009,II,2,"363.500,00",-
CECCANO COMUNE,Messa in sicurezza e caratterizzazione -Vignatonica (codice A0007P0007 - CUP BR5C0900001000R1,FROSINONE,Ceccano,2009,II,2,"290.321,91",-
CENTRO DI RICERCA PER IL TRASPORTO E LA LOGISTICA (CTL) DELL'UNIVERSITA LA SAPIENZA,Sviluppo di uno studio e realizzazione di un prototipo di apparato multistandard Galileo/umts basato sulla tecnologia SDR e sw relativo alia stazione di controllo per la fornitura di servizi di infomobilita  capace di garantire la gestione intelligente della mobilita di cose veicoli e persone e dei dati ed informazioni che le accompagnano.,ROMA,Roma,2007,I,1,"450.000,00","225.000,00"
CEPRANO COMUNE,Messa in sicurezza e caratterizzazione -Vadopetrano fcodice A0007P0008),FROSINONE,Ceprano,2009,II,2,"53.500,00",-
CERVARO COMUNE,Messa in sicurezza e caratterizzazione -Cese fcodice A0007P0009),FROSINONE,Cervaro,2009,II,2,"314.834,40",-
CERVETERI COMUNE,Completamento del consolidamento della rupe a nord-ovest del centro abitato (codice A0005P0009 - CUP ownoBoooofiooo?!,ROMA,Cerveteri,2009,II,3,"700.000,00",-
CUTADUCALE COMUNE,Rimozione della pericolosita per frana in localita Grotti - Centro abitato (codice A0005P0010 - CUP H32D08000090005),RIETI,Cittaducale,2009,II,3,"800.000,00",-
CNR - Istituto di Cristallografia,"Realizzazione di un bioreattore automatizzato al fine di sovraprodurre, estrarre ed isolare metaboliti vegetali naturali nutraceutici ad uso commercials  fcodice ADD31 PODDR!",ROMA,Roma,2007,I,1,"100.000,00","50.000,00"
CNR - Istituto di Metodologie Chimiche,Sviluppo di nuovi sistemi di veicolazione di farmaci per la Terapia Fotodinamica (PDT) dei fibrosarcomi e dei tumori del polmone. (codice A0031P0007),ROMA,Roma,2007,I,1,"45.000,00","22.500,00"
CNR - Istituto di Struttura della Materia,"Progettazione e sviluppo di un apparato Pulser Laser Deposition (PLD) Multifunzionale per la deposizione di leghe metalliche, sistemi a stechiometria complessa e multilayers nanostrutturati (codice A0031P0020)",ROMA,Roma,2007,I,1,"50.000,00","50.000,00"
COLLE SAN MAGNO COMUNE,Messa in sicurezza e caratterizzazione -La Mandria (codice A0007P0010),FROSINONE,Colle San Magno,2009,II,2,"258.500,00",-
COLLEFERRO COMUNE,Bonifica area SE.CO.S.V.IM. - stab. CAFFARO produzione Benzoino - Area SE.CO.S.V.IM. fcodice A0007P0031!,ROMA,Colleferro,2009,II,2,"5.502.882,91",-
COLOSSEUM COMBINATORIAL CHEMISTRY CENTRE  FOR TECHNOLOGY,NUovi MOdulatori dei REcettori CAnnabici (codice A0032P0007),ROMA,Roma,2008,I,1,"459.770,00","229.885,00"
Consiglio Nazionale delle Ricerche,"1)  Patologie del sistema nervoso e fattori di crescita 2)  Funzioni del sistema nervoso / Neutrofine 3) Sviluppo, differenziamento e trasformazione cellulare 4)  Modelli animali per lo studio del",ROMA,Roma,2008,I,1,"1.500.000,00","1.500.000,00"
Consiglio Nazionale delle Ricerche,Progetti di ricerca sulle neuroscienze (codice A0031P0027),ROMA,Roma,2008,I,1,"1.500.000,00",-
CONSORZIO DI BONIFICA DELLA MAREMMA ETRUSCA,Sistemazione idraulica del fosso Scolo dei Prati-Iå¡ intervento (codice A0005P0027 - CUP G83B090000200061,VITERBO,Tarquinia,2009,II,3,"1.012.276,93",-
CONSORZIO DI BONIFICA DELLA MAREMMA ETRUSCA,Sistemazione idraulica del fosso Scolo dei Prati-IIå¡ intervento (codice A0005P0028 - CUP G83B090000100061,VITERBO,Tarquinia,2009,II,3,"866.350,07",-
CONSORZIO DI BONIFICA DELLA MAREMMA ETRUSCA,Sistemazione idraulica del fosso Scolo dei Giardini (codice A0005P0029 - CUP G83B090000300061,VITERBO,Tarquinia,2009,II,3,"921.373,00",-
CONSORZIO DI BONIFICA SUD PONTINO N.6,Completamento intervento di bonifica dei crolli in corrispondenza della SS 637 ai Km. 36-38 (codice A0005P0015 -CUP F38G080000000021,LATINA,Lenola,2009,II,3,"500.000,00","25.000,00"
CONSORZIO DI BONIFICA SUD PONTINO N.6,Completamento della stabilizzazione della pendice e protezione dalla caduta massi in localita Pizzuco (codice A0005P0017 - CUP E68G08000120002),LATINA,Monte San Biagio,2009,II,3,"1.000.000,00",-
CONSORZIO T8,fully automated growth chamber (codice A0032P0023),ROMA,Roma,2008,I,1,"270.820,00",-
CRISEL INSTRUMENTS SRL,Smart confocal microscope (codice A0032P0002),ROMA,Roma,2008,I,1,"406.600,00","203.300,00"
ECAS - EUROPEAN CITIZEN ACTION SERVICE,"Progetto di rete """"Towards a network of regions on partnership"""", (codice A0019P0011 - CUP F85D090001600091",,,2009,IV,1,"5.000,00","5.000,00"
ENTE REGIONALE PARCO REGIONALE DEI CASTELLI ROMANI,Punto informativo loc. Vivaro Comune di Rocca di Papa (codice A0001P0006 -CUP H39E08000170002),ROMA,Rocca Di Papa,2008,II,4,"330.521,91",-
ENTE REGIONALE PARCO REGIONALE DEI CASTELLI ROMANI,Recupero Nifeo Bergantino- ninfeo Dorico-Emissari lago Albano (codice A0001P0007 - CUP H25G08000080002),ROMA,Castel Gandolfo,2008,II,4,"384.185,75","19.209,29"
ENTE REGIONALE PARCO REGIONALE DEI CASTELLI ROMANI,Punto informativo loc. Groticelle Comune di Rocca di Papa (codice A0002P0007 - CUP H39E08000160002),ROMA,Rocca Di Papa,2008,II,4,"380.654,68",-
ENTE REGIONALE PARCO RIVIERA DI ULISSE,Recupero area archeologica Villa di Mamurra: Edificio ottagonale- Indagini preliminari e scavo (codice A0001P0030 -CUP.1R4B0700004000R1,LATINA,Formia,2008,II,4,"450.000,00",-
ENTE REGIONALE PARCO RIVIERA DI ULISSE,Recupero area archeologica Villa di Mamurra:Edificio Ottagonale-restauro e interventi conservativi. (codice A0002P0026 - CUP 1R4B0700003000R1,LATINA,Formia,2008,II,4,"500.000,00",-
ENTE REGIONALE ROMA NATURA,"Restauro e Risanamento Conservative dell'immobile """"A"""" della Tenuta della Cervelletta per la realizzazione di una struttura ricettiva ambientale (codice Annmpnnnq - cup RR?TnRnnnnRnnn?i",ROMA,Roma,2008,II,4,"459.000,00",-
ENTE REGIONALE ROMA NATURA,"Restauro e Risanamento Conservative dell1 immobile """"B........Silos"""" della Tenuta della Cervelletta per la realizzazione di una struttura ricettiva ambientale (codice A0001P0010 - CUP RR?TnRnnnnqnnn?i",ROMA,Roma,2008,II,4,"459.000,00",-
ENTE REGIONALE ROMA NATURA,"Restauro e Risanamanto Conservative dell1 immobile """"C""""  della Tenuta della Cervelletta  per la realizzazione di un Centro di Divulgazione Ambientale (codice A0002P0009 - CUP RR?TnRnnnmnnn?i",ROMA,Roma,2008,II,4,"510.000,00",-
ENTE REGIONALE ROMA NATURA,"Restauro e Risanamento Conservative dell1 immobile """"D"""" della Tenuta della Cervelletta  per la realizzazione di una struttura aperta - coperta per I'Educazione Ambientale e reali (codice A0002P0010 - CUP BR2I0R000110002)",ROMA,Roma,2008,II,4,"400.000,00",-
FARNESE COMUNE,Riqualificazione e potenziamento di strutture e servizi turistici della riserva (codice A0001P0026 - CUP F29R0R0000500061,VITERBO,Farnese,2008,II,4,"279.000,00",-
FARNESE COMUNE,"Recupero e riqualificazione della Chiesa di S. Maria in Sala: sistemazione idrogeologica dell'area, rifacimento copertura, opere di consolidamento, sistemazione viabilita di access (codice A0002P0022 - CUP F24B0R000150006)",VITERBO,Farnese,2008,II,4,"380.000,00",-
FERENT1NO COMUNE,Messa in sicurezza e caratterizzazione -Cocco (codice A0007P0011),FROSINONE,Ferentino,2009,II,2,"120.000,00",-
FIAMIGNANO COMUNE,Rimozione della pericolosita per frana lungo la strada comunale per Marmosedio e localita Poggio Poponesco (codice A0005P0011 - CUP Rfi3Rn7nnnnqnnn2i,RIETI,Ramignano,2009,II,3,"500.000,00","25.000,00"
FIAMIGNANO COMUNE,Rimozione della pericolosita per frana in localita Colle Sambuco (codice A0005P0012 - CUP B63B070000R00021,RIETI,Ramignano,2009,II,3,"1.000.000,00",-
FILAS SPA,"Piano Operativo di Gestione Attivita 1.1 """"Potenziamento e messa in rete delle attivita di ricerca e trasferimento tecnologico"""" (codice A0019P0006 -ciiPFRiTn9nnmRnnn9i",-,-,2009,IV,1,"1.500.000,00",-
Fondazione Ebri,1)  Eventi molecolari collegati al morbo di Alzheimer: neuro protezione da apoptosi con anticorpi ricombinati anti amiloide 2)  Meccanismi molecolari e cellulari delle malattie neurodegenerative del si stem a nervoso 3)  Nuovi Farmaci ad azione neurotrofica per applicazioni terapeutiche nelle Neuroscienze.,ROMA,Roma,2008,I,1,"1.537.500,00","1.537.500,00"
Fondazione Ebri,1)  Neurogenomics and functional proteomics of cholinergic neurons and cortical interneurons 2) Synaptic and Axonal remodeling in t-he rerehellnm fmi\\cp. Ann31P0n?91,ROMA,Roma,2008,I,1,"1.650.000,00","550.000,00"
Fondazione Santa Lucia,1)  Meccanismi di protezione e danno neuronale nella deprivazione energetica 2)  Meccanismi di danno neuronale alia base della neurodegenerazione nelle patologie del sistema extrapiramidale 3)  Nuovi Farmaci ad azione neurotrofica per applicazioni terapeutiche nelle Neuroscienze (codice A0031P0025),ROMA,Roma,2008,I,1,"1.500.000,00","1.500.000,00"
Fondazione Santa Lucia,Progetti di ricerca sulle neuroscienze fcodice A0031P002R),ROMA,Roma,2008,I,1,"1.500.000,00",-
FROSINONE AMMINISTRAZIONE PROVINCIALE,"Rimozione delle principali situazioni di pericolo per caduta massi lungo la strada provinciale n. 7 Roccasecca Casalvieri, dal Km 5,0 circa  al Km 16,500 circa (codice A0005P0024 - CUP T?qHnqnnnn4nnnfii",LATINA,Roccasecca Dei Volsc,2009,II,3,"1.300.000,00",-
FROSINONE AMMINISTRAZIONE PROVINCIALE,Completamento della sentieristica circumlacuale alHnterno della Riserva Naturale Lago di Canterno (codice A0002P00211,,,2008,II,4,"500.000,00",-
GIULIANO DI ROMA COMUNE,Messa in sicurezza e caratterizzazione -Aramorina (codice A0007P0012),FROSINONE,Giuliano Di Roma,2009,II,2,"68.400,00",-
H. S. HOSPITAL SERVICE SPA,termoablazione a microonde (codice A0032P0016),LATINA,Aprilia,2008,I,1,"478.400,00","239.200,00"
HITEK PARTNERS SRL,PreDiLetto (codice A0032P0013),ROMA,Roma,2008,I,1,"481.520,00","240.760,00"
I.F.O. ISTTTUTO REGINA ELENA PER LO STUDIO E CURA DEI TUMORI,Sviluppo di piattaforme per la produzione bioindustriale di anticorpi ricombinanti anti ErbB-2 per uso oncolonico fcodice A0031P00361,ROMA,Roma,2007,I,1,"191.900,00","95.954,00"
IMO GALANTI & C. SRL,Controllo della contaminazione da aflatossine mediante I'uso di composti bioattivi da macrofunghi eduli per il miglioramento della qualita dei mangimi e della salute animale (codice Ann??pnn?4i,LATINA,Latina,2008,I,1,"235.880,00",-
INBB 1ST. NAZ. DI BIOSTRUTTURE E BIOSISTEMI,Sviluppo di biosensori innovativi per la rilevazione di agenti inquinanti in ambient] acquatici in sistemi di monitoraggio in remoto (codice A0031P00311,ROMA,Roma,2007,I,1,"263.700,00","131.850,00"
INFN - ISTTTUTO NAZIONALE DI FISICA NUCLEARE,Sviluppo di un sistema avanzato di imaging molecolare per bio medicina fcodice A0031P0035!,ROMA,Roma,2007,I,1,"238.000,00","111.862,26"
INFRATEL ITALIA S.P.A.,"Assistenza Attivita III.3 """"Sviluppo banda larga"""" (codice A0019P0009 -CUP F89H090005700091",,,2009,IV,1,"20.000,00",-
INTERSYSTEMI ITALIA SPA,Sistema di telemonitoraggio multiparametrico per la prevenzione dei ricoveri ospedalieri nella popolazione anziana con BPCO. (codice A0032P000M,ROMA,Roma,2008,I,1,"534.160,00","267.080,00"
ISS - Istituto Superiore di Sanita ‰ÐÊ Dipartimento di Tecnologie e Salute,Sviluppo di un rivelatore gamma per indagini sub-millimetriche a canali indipendenti per lo studio di processi biologici dal vivo in scala molecolare quali placche atrosclerotiche e cellule staminali lYnrlire Ann?1Pnnn9l,ROMA,Roma,2007,I,1,"100.000,00","99.991,06"
1ST. SUPERIORE DI SANITA,Sviluppo ed ingegnerizzazione prototipale di un dispositivo medico portatile ad uso domiciliare in grado di riconoscere specifici episodi clinici critici per alcune funzioni cardio-respiratorie rrnHiro Anrnipnrrm,ROMA,Roma,2007,I,1,"111.300,00",-
ISTTTUTO BIOCHIMICO GIOVANNI LORENZINI SPA,Formulazioni Innovative di Silibina per la prevenzione e terapia del Carcinoma del Colon (codice A0032P0004),LATINA,Aprilia,2008,I,1,"229.410,00","114.705,00"
"Istituto Nazionale per le Malattie Infettive ""L. Spallanzani I.R.C.C.S. -","II progetto si propone I'identificazione, la purificazione e la produzione di molecole biologiche da utilizzare per il mantenimento, I'arricchimento e il differenziamento delle cellule staminali adulte, sia in vitro che in vivo (codice anrnipnnrm",ROMA,Roma,2007,I,1,"100.000,00","50.000,00"
ISTTTUTO SUPERIORE DI SANITA,Sviluppo di un dispositivo destinato a sostituire/supportare la funzione di pompa cardiaca del ventricolo sinistro. fcodice A0031P00301,ROMA,Roma,2007,I,1,"220.000,00",-
ITOP OFFICINE ORTOPEDICHE SRL,"Sistema attivo a controllo elettronico per la valutazione cinematica e cinetica finalizzata alia progettazione, prototipizzazione e realizzazione di sistemi personalizzati per il contenimento controllato di soggetti affetti da gravi distonie (codice anrmpnnnai",ROMA,Palestrina,2008,I,1,"397.890,00","198.945,00"
ITRI COMUNE,Completamento dei lavori di consolidamento dell'abitato di Sant'Angelo (codice A0005P0013 - CUP C1RC0R0000900021,LATINA,Itri,2009,II,3,"820.000,00","41.000,00"
LA SAPIENZA,"Sviluppo di una soluzione prototipale per la gestione integrata di immagini e di segnali biomedicali applicando i concetti dell' ""information fusion"" alle problematiche legate alle neuroscienze. fmdire Ann?ipnn?41",ROMA,Roma,2007,I,1,"399.780,00",-
LA SAPIENZA,Sviluppo e realizzazione di una rete wireless a larga banda per I'integrazione funzionale di sensori radiogoniometrici per la sorveglianza dello spettro radioelettrico in ambito aeroportuale e piii in generale in zone in cui la sicurezza e' critica (codice anmipnrvim,ROMA,Roma,2007,I,1,"69.000,00",-
LA SAPIENZA,Studio e sviluppo di un nuovo generatore di vapore a radiofrequenza/microonde con camera bifasica sterile ed apirogeno e acqua per uso iniettabile. (codice Anrnipnrvm,ROMA,Roma,2007,I,1,"100.720,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Sanita Vicina (codice A0024F0001 - CUP J82G09000060007),,,2009,III,3,"2.800.000,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Sistema INTEGRATO SANITARIO della sanita distrettuale e domiciliare - Sis Di&do (codice A0024F0002 - CUP 182F090000100071,-,-,2009,III,3,"1.800.000,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Piattaforma del sistema informativo ospedaliero (codice A0024F0003 - CUP J82G090000800061,,,2009,III,3,"1.200.000,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Sistema informativo assistenza sanitaria collettiva in ambiente di vita e di lavoro (codice A0024F0004 - CUP 182G090000700071,,,2009,III,3,"800.000,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Sistema informativo di Risk Management (codice A0024F0005 -CUP J82G090000900071,,,2009,III,3,"600.000,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Tableau de bord della Sanita Regionale TABORS (codice A0024F0006 - CUP J82G090001000071,,,2009,III,3,"800.000,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Realizzazione Sistema di gestione monitoraggio (codice A0019P0005 -CUP F81I090001700091,-,-,2009,IV,1,"413.100,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Assistenza tecnica Attivita III.3 Sanita elettronica (codice A0019P0010 - CUP F89H090005800091,,,2009,IV,1,"83.340,00",-
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,Acquisto attrezzatura informatica (codice A0019P0012 - CUP F89H090005900091,,,2009,IV,1,"36.732,30",-
LATERA COMUNE,"Consolidamento in alcune zone del centro storico (via del Montinaccio, localita S.Sebastiano, Fontana di Canale, fosso del Ponticello, scuola Media, Grotta via Ripetta, localita il (codice A0005P0014 - CUP iR?inqnnnnnnnn?i",VITERBO,Latera,2009,II,3,"800.000,00",-
LAZIO SERVICE S.P.A.,Contratto di servizio con Lazio Service Spa per rafforzamento stuttura. Annualita 2009 (codice A0019P0008 -CUP F811090002000091,,,2009,IV,1,"1.753.177,92","874.902,60"
LED SPA,"Apparato ad alta frequenza bipolare, con manipolo ad elettrodi multipli in linea, per la resezione parziale renale blood-less, senza esclusione vascolare. frndire A0032P000R1",ROMA,Roma,2008,I,1,"213.610,00","106.805,00"
LIFELINELAB SRL,"Sviluppo e convalida di sistemi di gene-profiling per diagnosi e prognosi del medulloblastoma e del glioma, tumori del sistema nervoso centrale (codice A0032P00191",ROMA,Pomezia,2008,I,1,"252.280,00","126.140,00"
M.E.T. SRL,Acquisizione banca dati relativa all'analisi sulle caratteristiche strutturali del campione di imprese e sulla domanda di politiche pubbliche da parte delle imprese della Regione L (codice A0019P0013 - CUP F89H09000600009),,,2009,IV,1,"78.000,00",-
METRO S.P.A.,Fornitura 10 unita di trazione (codice A0008P00011,ROMA,Roma,2009,III,1,"12.400.000,00",-
MIR SRL,Nitric Oxide Exhaled Sensor Integrated Svstem (codice A0032P00121,ROMA,Roma,2008,I,1,"702.730,00","351.365,00"
MONTENERO SABINO COMUNE,Completamento dei lavori di risanamento delle colate in prossimita del centro storico - fossi Mandricelli e Orneto (II) (codice A0005P0018 - CUP G221040000400021,RIETI,Montenero Sabino,2009,II,3,"940.000,00",-
MONTI SIMBRUINI PARCO NATURALE REGIONALE,Realizzazione di un circuito  per la fruizione dei centri di interesse religioso e promozione dello sviluppo turistico nel Parco dei Monti Simbruini e realizzazione di una struttur (codice A0001P0001 - CUP G23G09000030006),ROMA,Subiaco,2008,II,4,"900.000,00",-
MONTI SIMBRUINI PARCO NATURALE REGIONALE,Realizzazione di un circuito  per la fruizione dei centri di interesse religioso e promozione dello sviluppo turistico nel Parco dei Monti Simbruini  e realizzazione di interventi (codice A0002P0001 - CUP C33G07000180002),ROMA,Anguillara Sabazia,2008,II,4,"1.000.000,00",-
