Country,Level,Region,Parsed data file,Program,Initial,Operational Program,OP Name,Co-financing Rate,"Sub-program
information",Explanatory Notes,"Percent
Funded
by EU
Funds (minimum)","Percent
Funded
PORTUGAL,national,Centro,pt_conc_repru_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Partnership for urban Regeneration 3,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/3concurso%20repru%20v.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_eixo_proj_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Partnership for urban Regeneration 4,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/EIXO%202%20PROJECTOS%20APROVADOS%206.08.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_2eixo_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Partnership for urban Regeneration 5,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/2%20EIXO%202%20PROJECTOS%20APROVADOS%206.08.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_3eixo_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Urban networks for competitiveness No 1,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/3%20EIXO%202%20PROJECTOS%20APROVADOS%206.08.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mou_dl_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Territorial Mobility MOU-2009-01-DL,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOU.2009.01.DL.03%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mou_mtpis_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Territorial Mobility MOU-2009-MT/PIS,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOU.2009.02.MTPIS.03%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mou_oe_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Territorial Mobility MOU-2009-03-OE,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOU.2009.03.OE.01%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mou_bv_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Development of the City and Urban Systems-Territorial Mobility MOU-2009-05-BV,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designacao do Beneficiario,,,,Designacao da Operacao,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOU.2009.05.BV.06%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=31&m=m7&s=s2,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_coe_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Equipment for local cohesion,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.COE.2009.09.BV.08%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_1aviso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Upgrade of Schools 1,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/1aviso%20edu.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_2aviso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Upgrade of Schools 2,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/2avisoedu.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_3aviso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Upgrade of Schools 3,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/3avisoedu.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_4aviso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Upgrade of Schools 4,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designacao do Beneficiario,,,,Designacao da Operacao,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/4avisoedu.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_saude_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Health 2,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designacao do Beneficiario,,,,Designacao da Operacao,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/saude2aviso.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_apr_sau_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Health 3,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designacao do Beneficiario,,,,Designacao da Operacao,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.SAU.2009-03.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_cand_centro_erdf.csv,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Cultural Heritage 1,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Beneficiary,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Cand.%20Aprovadas.Centro.PTC.2009-01%20(24.09.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mot_pin_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Territorial Mobility 03 PIN,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOT.2009.03.PIN.02%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mot_mtpis_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Territorial Mobility 05 MT/PIS,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designacao do Beneficiario,,,,Designacao da Operacao,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOT.2009.05.MTPIS.09%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mot_bv_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Territorial Mobility 06 BV,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designacao do Beneficiario,,,,Designacao da Operacao,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOT.2009.06.BV.03%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mot_bm_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Territorial Mobility 07 BM,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegivel,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOT.2009.07.BM.03%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_mot_12mtpis_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Territorial Mobility 12 MT,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.MOT.2009.12.MTPIS.12%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_rec_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Cultural Network Equipment 01,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.REC.2009-01%20(24.09.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_rec_oe_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Cultural Network Equipment 02,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.REC.2009.02.OE.03%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_rec_pin_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Consolidation and Qualification of Sub-Regional Areas-Cultural Network Equipment 03,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/Aprov.REC.2009.03.PIN.03%20(05.11.2009).pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=32&m=m7&s=s3,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_quadro_valorizacao_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Protection and Environmental Improvement-Actions of the coast recovery,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/Quadro%20valorizacao%20do%20litoral%201.2.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=33&m=m7&s=s4,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_aviso_avqa_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Protection and Environmental Improvement-Measures for environmental recovery and education,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/1avisoAVQA.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=33&m=m7&s=s4,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_avqa_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Protection and Environmental Improvement-Measures for environmental recovery and education,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/AVQA%20-%202%20aviso.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=33&m=m7&s=s4,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_aviso_gaepc_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Protection and Environmental Improvement-Active Management of protected areas and classified,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/1aviso%20GAEPC.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=33&m=m7&s=s4,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_prevencao_am_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Protection and Environmental Improvement-Prevention and management of natural and tech ext materials,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/PREVENCAO%20E%20GESTAO%20RISCOS%20NATURAIS%20ETEC%20%20-%20AM.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=33&m=m7&s=s4,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_prevencao_ai_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Protection and Environmental Improvement-Prevention and management of natural and technological intangible,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/PREVENCAO%20E%20GESTAO%20RISCOS%20NATURAIS%20ETEC%20%20-%20AI.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=33&m=m7&s=s4,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_sama1_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Governance and Institutional Capacity-SAMA 1,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/SAMA1.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=34&m=m7&s=s5,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_sama2_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Governance and Institutional Capacity-SAMA 2,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/SAMA2.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=34&m=m7&s=s5,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_sama3_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Governance and Institutional Capacity-SAMA 3,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/SAMA3.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=34&m=m7&s=s5,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_sama4_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Governance and Institutional Capacity-SAMA 4,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Beneficiary,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/SAMA4.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=34&m=m7&s=s5,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_quadro_final_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Governance and Institutional Capacity-Institutional Development and training PROVERE,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/Quadro%20Final%20PROVERE%20-%20SEDR.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=34&m=m7&s=s5,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_pci_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Governance and Institutional Capacity-Institutional Development and training 1,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Beneficiary,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/PCI.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=34&m=m7&s=s5,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_1concurso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Technical Assistance-Comp 1,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,Fundo,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.com.pt/private/admin/ficheiros/uploads/1%20concurso%20assistencia%20tecnica%201.4.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=35&m=m7&s=s6,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_eixo_2aviso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Technical Assistance-Comp 2,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Designação do Beneficiário,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/eixo%206reg%20assist%20tecnica%202%20aviso%2006.01%2012.01.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=35&m=m7&s=s6,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
PORTUGAL,national,Centro,pt_eixo_3aviso_erdf.xls,ERDF,FP,Operational Programme : 'Centro',"PO Regional do Centro 2007-2013, All Priorities",58.73%,Technical Assistance-Comp 3,,,,"as above, COM",EUR,,,,PDF,Tier 1,,,,,,,,,,Beneficiary,,,,Designação da Operação,,,,,,,,FEDER,,,,,,Investimento Elegível,,Investimento Total,,,,,,,,,http://www.maiscentro.qren.pt/private/admin/ficheiros/uploads/eixo%206reg%20assist%20tecnica%203%20aviso%2006.03%20%2027.03.pdf,,,,,,http://www.maiscentro.qren.pt/index.php?accao=projectos_eixos&id=35&m=m7&s=s6,http://www.maiscentro.qren.pt/index.php?accao=comum&m=m14&id=37
