"List of beneficiaries for London, England (last updated 11 January 2010)",,,,,,,,,,,
This table lists the organisations that have been awarded ERDF contracts under the London ERDF 2007-13 programme.  It is split by ERDF Priority & Theme.,,,,,,,,,,,
"Priority 1 : Business innovation, and research & promoting eco-efficiency",,,,,,,,,,,
"Theme 1 : Developing a culture of, and capacity for, creating and using innovation throughout London’s businesses to create sustainable economic growth",,,,,,,,,,,
Name of the beneficiary organisation,Name of the project,Geographical coverage,Description (in project's own words),Year of allocation/year of final payment,ERDF amount awarded,Other public funding allocated,Private funding allocated,Voluntary funding allocated,Total amount paid at the end of the project,Project contact name,Contact email
London Borough of Sutton,One Planet Sutton Advice to Business,Sutton,"One Planet Sutton Advice to Business helps businesses to reduce their impact on the environment, save money and develop sustainable products and services.  We seek opportunities for industrial symbiosis; using waste from one business as a raw material for another.  We future-proof local business by equipping SMEs with the skills they need to develop Hackbridge as a sustainable One Planet Community.",2010-2012,"£150,000","£165,413",£0,£0,TBC,Katherine Hudson,katherine.hudson@sutton.gov.uk
Newham College of Further Education,Innovate HER,"Newham, Tower Hamlets, Hackney","This project will support 120 women led SME’s from East London to identify and develop innovatory services, products and/or business models and use them to grow their businesses and create employment opportunities among many of the most disadvantaged communities and groups in London.  The project will be led by Newham College of Further Education working with PROWESS, Business Link in London, and the London Boroughs of Newham and Tower Hamlets, and a key output will be the creation and mainstreaming of a Women’s Business Innovation Network which will support women led SME’s and carry forward the activities post project.",2009-2011,"£370,001","£370,000",£0,£0,TBC,Diane Gowland,diane.gowland@newham.ac.uk
Newham College of Further Education,Showcasing Innovation,Pan London,"This project will support 120 SMEs from priority sectors across London in understanding new technologies in relation to Nano coating and RFID (Radio Frequency Identification), reviewing the potential use of these technologies in their business and making use of them to grow their business.  The project will be led by Newham College of Further Education, making use of their highly innovative RFID Discovery Lab facilities, and will be supported by a partnership which includes the Computer Technology Industry Association, Low Carbon Innovation Network and CISCO Systems, as well as Business Link in London.",2009-2011,"£521,250","£521,250",£0,£0,TBC,Diane Gowland,diane.gowland@newham.ac.uk
North London Chamber of Commerce,Argall BID - Eco-Efficient,London Borough of Waltham Forest,"This business led project will improve and enhance the industrial environment, attract inward investment and create sustainable economic growth.
The project will carry out a free energy survey of businesses within the Argall BID in Waltham Forest. The project will encourage recycling and energy efficiency. It will also identify other innovation and environmental opportunities and signpost the businesses to specialist providers such as the Centre for Environment and safety Management for Business (CESMB) at Middlesex University. 
Direct benefits will be helping make local SMEs in sectors vital to London more efficient through innovation, and more eco-efficient through increased environmental awareness and action.",2009-2012,"£145,850","£61,257","£84,593",£0,TBC,Janine Higgins,jhiggins@nlcc.co.uk
Paddington Development Trust,Creative Futures Partnership,"Westminster, Kensington and Chelsea, Hammersmith, Brent","Supported by LDA and its ERDF programme, the Creative Futures Partnership will provide an integrated innovations development service to creative and media industries across West London, home to a large section of London’s creative entrepreneurs. CFP will provide specialist skills, knowledge, networking, technology training, marketing and business planning through a unique partnership including Paddington Development Trust, Portobello Business Centre, University of Westminster, Frieze Foundation and the London Film Makers Convention. All participating businesses will be offered free specialist environmental auditing and advisory services by Julie’s Bicycle, developed specifically for the creative industries to assist in the reduction of GHG emissions.  ",2009-2012,"£518,935","£354,323","£24,690","£139,921",TBC,Neil Johnston,neil@pdt.org.uk
Park Royal Partnership,Food Innovation & Development Centre,Pan London,"Implementing the recommendations of the PRP/LDA-funded Grant Thornton study into the food sector’s needs, this project will pilot a food innovation centre in Park Royal and begin to affect the necessary transformational changes required.  It will act as an essential test bed for a full-scale physical centre, the development of which is the ultimate goal.  With food and drink businesses under siege from economic, social and environmental factors, an innovative approach to support is required.  The pilot will establish:  • potential economic return on investment  • joint venture options with the private sector the right mix of technical and innovation-led services",2009-2011,"£200,000",£0,"£200,000",£0,TBC,Mohit Garg,MGarg@parkroyal.org 
South London Business Ltd,Build South London,South London,"Build South London is a focal point for construction activity in south London – a route to market for all construction related business support and supply chain opportunities. The network is led by main contractors, local and regional business support organisations, local boroughs and small local construction businesses.  Through a series of events and workshops BSL offers local construction SMEs business support, plus an online network offering further opportunities for some 750 construction companies across south London to engage with one another and secure new business. The project is expected to safeguard or create 90 jobs in the local construction industry.",2009-2012,"£250,000","£61,311","£196,189",£0,TBC,Simon Turnage,simon.turnage@southlondonbusiness.co.uk
The Theatres Trust Charitable Fund ,ECOVENUE,Pan London,"ECOVENUE is a theatre-specific, environmental business support project for 48 theatre and performing arts venues across London.  It aims to achieve quantifiable improvements in the environmental performance of London’s theatres, renowned worldwide.  Theatres will be provided with advice to develop Environmental Policies and achieve Display Energy Certificates (DECs). Savings made will help to deliver the Mayor of London’s Green Theatre Plan, which aims to help theatres achieve reductions in carbon emissions by 60% from 1990 levels by 2025.  ECOVENUE will be delivered by The Theatres Trust, the National Advisory Public Body for Theatres and will run until 2012.",2009-2012,"£450,000","£450,000",£0,£0,TBC,Mhora Samuel,mhora.samuel@theatrestrust.org.uk
UCL,SMILE (Selected Management Interims for London Enterprises),Pan London,"Small businesses frequently face new challenges as they grow. These require an ever-changing set of management talents that they often lack the resources to engage with. As workloads increase, approaches which have worked well in the past start failing. Teams and people get overwhelmed and systems start to buckle.  SMILE will help London-based SMEs to overcome these hurdle. In so doing, it will help avoid business failures, preserve jobs and creating new opportunities for growth for the companies that take part.  SMILE will provide access to part-time and interim managers for potential high-growth businesses support the growth of London’s economy.  ",2009-2012,"£482,595","£252,395","£230,202",£0,TBC,Timothy Barnes,t.barnes@ucl.ac.uk
University of East London,Lightbulb Express,Pan London,"This is an experimental project aiming to pilot more effective ways of supporting ST&ME  Inventors; to ensure that support organisations and ST&ME Inventors can work together to increase the flow of new products and innovations.  We propose to develop a bespoke set of tools (including distance and e-resources), to provide a roadmap for ST&ME Inventors/Inventor Clubs and advisors to follow as they take innovations through definition stage, market research and, perhaps, prototyping.  We will test and refine these tools on a small cohort of ST&ME Inventors; if the results are positive we will then propose a higher volume London-Wide ST&ME Inventor Support Programme.",2009-2010,"£74,150","£74,151",£0,£0,TBC,Linsey Cole,l.cole@uel.ac.uk
University of East London,Innovation for Growth,"Brent, Ealing, Harrow, T/Hamlets, Hackney, W/Forest, Newham, Redbridge, Barking & Dagenham, Havering, Lewisham, Greenwich","To raise awareness, build confidence and identify innovation opportunities for businesses that have previously had very little experience of undertaking innovation or engaging with the knowledge base.",2008-2011,"£319,332","£319,332",£0,£0,TBC,Linsey Cole,l.cole@uel.ac.uk
University of East London,M-Com,"Newham, Tower Hamlets, Barking and Dagenham, Redbridge, Greenwich, Lewisham, Hackney, Havering","M-Com is an 18 month experimental project which aims to develop and test an m-commerce toolkit that will assist manufacturing and service based SMEs in adopting m-commerce innovation; allowing access to new markets and improvements in business processes.  The project will assist 12 SMEs within South and East London by providing access to m-commerce expertise within UEL’s School of Computing Information Technology and Engineering.  Businesses will be supported via a 3 stage process:  • Stage 1: M-commerce innovation needs  • assessment  • Stage 2: Design and development of the toolkit  • Stage 3:  Implementation, testing and evaluation ",2009-2011,"£108,902","£108,902",£0,£0,TBC,Tim Edmonds,t.edmonds@uel.ac.uk
University of the Arts - London College of Fashion,Maximising The Designer Fashion Economy,Pan London,"‘Maximising The Designer Fashion Economy’ is an Innovation project focusing on:
Business Support, Business Innovation and Business Growth. It provides a business development platform for entrepreneurial designer fashion SMEs located in London. It will be delivered by the Centre for Fashion Enterprise, who’s USP is its unique understanding of, and ability to provide a 360° business platform for these businesses and access high level sector experts and networks.  Support is tailored to each business at their different stages of business development and growth. It provides sustainable results that continue to grow well beyond the period of direct Centre for Fashion Enterprise support.",2009-2012,"£585,000","£585,000",£0,£0,TBC,Wendy Malem,w.malem@fashion.arts.ac.uk
Wandsworth Borough Council,Go Green Plus,"Wandsworth, Merton, Sutton, Kingston, Lambeth, Richmond","Go Green Plus will deliver ‘green’ support to 400 SMEs in town centres and disadvantaged areas in Wandsworth, Sutton, Merton, Kingston, Richmond and Lambeth.   BME, women and disabled business owners will be engaged through targeted marketing and outreach.  Specialist advisers will work with 400 SMEs on  action plans to reduce their carbon footprint, supporting them to review progress on implementing their action plans and providing one to one mentoring.  The project will also support collaborative self help for eco-efficiency and will explore potential for ‘green clustering’.  It will support networking and promotional events. It will deliver an independent evaluation to inform a robust sustainability strategy. ",2009-2011,"£1,142,519","£949,162","£193,357",£0,TBC,Norman Frost,nfrost@wandsworth.gov.uk
"Priority 1 : Business innovation, and research & promoting eco-efficiency",,,,,,,,,,,
Theme 2 : Leveraging value from London’s world class knowledge base to benefit London’s economy,,,,,,,,,,,
London Development Agency,Knowledge Connect,Pan London,"Knowledge Connect is a project focusing on business demand for knowledge transfer, looking to significantly scale up the number of new business / knowledge base collaborations in London, specifically among SMEs that have not previously worked with knowledge base organisations.  The project will recruit and target those businesses that have potential to use collaboration opportunities to initiate new R&D activities and innovation.  The project is designed to improve access to knowledge transfer for disadvantaged SMEs by providing specialist support in recruitment, mentoring, tackling cultural barriers, accessing knowledge transfer grants, improving collaboration readiness and networking opportunities.",2008-2011,"£2,539,500","£2,689,169",£0,£0,TBC,William Clark,williamclark@lda.gov.uk
London Metropolitan University,Digital Design & Manufacturing,City Fringe and Thames Gateway Boroughs,"London Metropolitan University’s Metropolitan Works is the largest HE based facility providing business access to digital design, rapid prototyping and manufacturing technologies.
RP and RM are attractive to SMEs as they enable big savings in time and cost in developing products for market. 
Key Sectors: Furniture and product design, Jewellery, Engineering, Architecture, Polymers, Fashion. 
‘Digital Design and Manufacturing’ will offer support to SMEs.
1) Introduction to digital design (CAD) and manufacturing (CAM) technologies through events, seminars, demonstrations, disseminating how the technology works, commercial advantages etc
2) Intensive business support of up to 5 days, managing product development and realisation.",2009-2012,"£797,514","£797,519",£0,£0,TBC,Jodie Eastwood,J.Eastwood@londonmet.ac.uk
London Metropolitan University,Innovate London,Pan London,"Innovate London will connect SME businesses to the knowledge community, including businesses owned by women, and by BAME and disabled people, through a unique, collaborative, business support and networking environment involving three Innovation Centres  – Accelerator (London Metropolitan University), London Knowledge Innovation Centre (London South Bank University and Business Extra) and Thames Innovation Centre (TiC), Further Education Colleges and other strategic partners.  This collaboration will create a critical mass of business innovation and environmental management support for SMEs, resulting in the development and delivery of innovative products, processes and services, improving efficiency and supporting business growth and new supply chain opportunities.",2009-2012,"£1,500,000","£1,500,000",£0,£0,TBC,Richard Celm,r.celm@londonmet.ac.uk
Park Royal Partnership,Collaborate to Compete,Pan London,"Collaborate to Compete is an ambitious project that brings together the three vital elements to make business collaboration networks succeed; businesses, the knowledge base and mechanisms to share knowledge.  Without all three elements the results are likely to be disappointing.  Businesses will be drawn from the specialist manufacturing, creative industries, food and drink and transport and logistics sectors across West London.  The project will create a legacy by engaging a wide range of partners and services that will continue to operate after the lifetime of the project.",2009-2012,"£202,190","£73,232","£128,958",£0,TBC,Brian Hinchley,bhinchley@parkroyaal.org.uk
Ravensbourne College of Design & Communication,Commercialising Digital Technology,"The project coverage will be mainly, but not exclusively, Bromley, Lewisham and Greenwich ","Ravensbourne is the UKs leading creative digitally focused HEI. Its mission statement and USP focus on the creative commercial exploitation of digital technology across design, broadcasting and new media. Delivers with Skillset and international media partners. Historically, Ravensbourne works with SMEs to improve their take up of new technology. Various methods will be used, one to one advice, seminars, networking, content creation events, and business incubation. 
Some examples of content are: understanding HD technology and how to penetrate HD markets, understanding and exploitation of new digital platforms (tv – web – cell phones); create content and sell to programme commissioners; work on collaborative business ventures. ",2008-2012,"£857,200","£763,775","£93,425",£0,TBC,Carrie Wotten,c.wooten@rave.ac.uk
Tower Hamlets College,F.E Supporting Innovation,Newham and Tower Hamlets,"This project will increase the number of SMEs in Inner East London investing in innovative activities and practices by creating knowledge transfer capacity in Further Education Colleges, building on the potential of FE to reach enterprises not otherwise engaged in KTP initiatives.  The project is led by Tower Hamlets College with a partnership which includes FE, HE and local authority partners, and it will use the capacity developed to support 55 SMEs in Tower Hamlets and Newham.  It will also build an innovative FE Knowledge Hub which will provide continued support to SMEs beyond 2011.",2009-2012,"£300,000","£230,296",£0,"£69,704",TBC,Andrew Cruickshank,andrew.cruickshank@tower.ac.uk
UCL Advances on behalf of UCL,Higher Education London Outreach (HELO),Pan London,"HELO will benefit London businesses through the business enhancing capabilities of two of London’s leading higher education institutions. UCL is ranked as a global top-ten university and London Business School is consistently placed in the top-five business schools worldwide.  But many local businesses have often faced difficulties in accessing these potentially powerful resources. HELO will bridge the gap between the knowledge held within these world-class research institutions and the London SME’s that could benefit most from it, using an existing network of SME’s and support agencies enabling them to prosper and transform both themselves and their communities. ",2009-2011,"£647,849","£356,317","£291,532",£0,TBC,Timothy Barnes,t.barnes@ucl.ac.uk
University of East London,Innovation Associates Programme,Pan London,"The Innovation Associates Programme aims to work with London-based SMEs addressing problems or opportunities within their businesses which require innovative responses.  Small and medium-sized organisations often don’t possess the specific skills or expertise in-house which are required to implement innovative ideas; therefore this programme aims to ‘match’ the talent and skills of students based at the University of East London, Kingston University and Goldsmiths University with such businesses and projects.",2008-2011,"£410,279","£450,276",£0,£0,TBC,Linsey Cole,l.cole@uel.ac.uk
Urban Futures,Developing Opportunities,"Enfield, Haringey and Waltham Forest","The Developing Opportunities project provides a collaborative delivery of innovation support.  Part of a suite of innovation projects in the ULV designed to provide cohesive, comprehensive and consistent support to SME’s to develop creative solutions to business problems.   The project specifically brokers business relationships between the HEI sector and the business community. This will result in strengthening the capacity of Middlesex University to work with businesses to create commercially valuable knowledge and implementation strategies. ",2009-2011,"£130,000",£0,"£130,000",£0,TBC,Russ Patrick,russ.patrick@urbanfutures.org.uk
Westminster City Council,Environmental Performance of Business Improvement Districts,"Westminster, Lambeth, Southwark, Camden, Islington","Environmental Performance of BIDs (EPB) works through the Business Improvement District structure to provide real environmental gains to the small and medium enterprises within those areas and to the wider London environment. The project will provide a range of additional and innovative measures to improve environmental performance, including advice sessions, audits, environmental management system support, improved partnership working and the option for SMEs to progress through BS 8555 or ISO 14001. The project demonstrates its commitment to equalities through targeting support particularly at businesses led by people from BAME backgrounds, women and disabled entrepreneurs.",2009-2012,"£2,750,788","£869,686","£1,881,102",£0,TBC,Maku Obuobi,mobuobi@westminster.gov.uk
Priority 2 : Access to new markets and access to finance,,,,,,,,,,,
Theme 1 : Enabling access to appropriate investment finance to support innovation and growth,,,,,,,,,,,
Bromley College of Further and Higher Education,South London SME Finance Brokerage,"Richmond, Kingston, Merton, Sutton, Bromley","The South London SME Finance Brokerage project breaks down the barriers that SMEs face in the changing economic climate through tried and tested partnership working led by Bromley College/Business Focus, Merton Chamber of Commerce and Prevista. Hard to reach SMEs including BAME, women and disabled groups will be targeted through established business and community networks, and given advice and guidance by business mentors in business planning, and supported in accessing investment finance, breaking down barriers that these groups usually face. The project is centrally driven by equal opportunities based approach to business management and environmentally sustainable methods to business growth.",2009-2012,"£1,050,000","£105,000","£945,000",£0,TBC,Rosemary Lacovara,rosemary.lacovara@bromley.ac.uk
Centre for Engineering and Manufacturing Excellence (CEME),CEME Gateway to Investment,"Havering, Barking & Dagenham, Newham, Redbridge, Tower Hamlets, Greenwich, Bexley, Lewisham","The Gateway to Investment project will provide bespoke innovation support and advice to enable technology sector SMEs to access investment finance from a variety of public and private sector sources.  It will provide specialist advisors to work with SMEs, deliver a range of investment events and workshops and provide support to enable SMEs to pitch to sources of investment. Success will be measured in terms of numbers of SMEs supported, jobs created and the number actually receiving investment finance.",2010-2013,"£165,633","£37,000","£128,633",£0,TBC,Jacqui Wordsworth,jacqui.wordsworth@ceme.co.uk
Croydon Council,Finance for Change,Croydon,"The Access to Finance programme will identify SMEs in Croydon who are unaware of their options for investment finance and need intensive a flexible support to increase the likelihood of them gaining investment finance. In the current economic climate, and in view of the plethora of reported ‘packages’ from central government it is vital that SME’s are aware of how to access the support. These SME’s will receive advice and support to enable them to understand their options for getting the finance they need to grow a business. The project will help facilitate the introduction to potential sources of finance.",2009-2012,"£1,500,000","£850,000","£650,000",£0,TBC,Stella Okeahialam,stella.okeahialam@croydonenterprise.com
East London Small Business Centre Ltd,Access to Finance for SMEs ,Pan London,"This project will  work with and support SMEs wishing to raise finance of up to £10,000 and help them by becoming finance ready and address the market failure of existing businesses in accessing financial packages.  With the current downturn in the economy small businesses are finding it increasingly difficult to access funding through the banks, therefore this project will work with clients on developing viable business plans and financials forecasts.  All sources of funding will be explored and clients supported on presentation skills of raising finance from funders.  Clients will have far greater opportunity of accessing finance especially through ELSBC’s loan funds and/or a financial package from ELSBC’s loan funds and bank finance. ",2009-2012,"£149,999",£0,"£150,001",£0,TBC,Pauline Barnett,paulineb@goeast.org
Enterprise Enfield,Investing in Success,"Barnet, Brent, Enfield, Hackney, Haringey, Harrow, Hillingdon, Hounslow, Islington, Waltham Forest","To provide a complete programme of targeted investment support to equalities groups, by using established relationships with community organisations in some of the most deprived London boroughs. The programme is designed to meet the needs of start-up businesses, high growth businesses, and those requiring specialised investment solutions such as equity and/or angel funding as well as mezzanine finance. During the delivery, it will also include personal coaching and mentoring for appropriate beneficiaries.",2009-2012,"£1,350,000","£300,600","£636,900","£412,500",TBC,Despina Johnson,djohnson@enterpriseenfield.org
Greater London Enterprise Ltd,Mentoring 4 Success,Pan London  ,"Mentoring4Success provides experienced mentors to build trusted relationships to entrepreneurs with a key focus on businesses from key under-represented groups with a view to improving their capacity to communicate and present their business proposition to investors and lenders.   This will result in increased access to investment capital and growth for these businesses. Mentoring will also be offered post finance to target businesses to enable them to successfully utilise the investment, and giving confidence to lenders and investors.  The project will add value to existing programmes and integrate with Access to finance and other related finance advisory schemes across London.",2009-2012,"£791,053","£395,527","£395,527",£0,TBC,Peter Thackwray,peter.t@gle.co.uk
HBV Enterprise,Access to Finance - Enabling Enterprise,Pan London  ,"Raising finance can be challenging to anyone. Our client group, with external barriers (e.g. low collateral, lack of knowledge of business infrastructures, lack of financial contribution) and personal inhibitors (lack of self-belief and esteem) finds it even more difficult. Hands-on pre finance support, concentrating on the barriers facing entrepreneurs and SME owner managers from under-represented groups (e.g. women, lone parents, ethnic minorities, the disabled, 18-30s (young people) and the over 50’s) will support enterprise start-up and growth. The project will also improve links between mainstream local finance institutions and SME owner-managers in need of enterprise finance.",2009-2012,"£100,000",£0,"£100,000",£0,TBC,Viv Abbott,viv@hbv.org.uk
Leonard Cheshire Disability,ENABLED4GROWTH,Pan London,"ENABLED4GROWTH is a specialist service that will strengthen the capacity for business growth of 700 disabled entrepreneurs in London by helping them to secure funding to expand. Leonard Cheshire Disability will deliver two hour introductory workshops, followed by one to one advice - drawing on specialist best practice disability business support - to prepare propositions for grants, loans and investment.  Regular, one day brokerage events will provide disable entrepreneurs with the opportunity to present their finance propositions to investors as well as to raise awareness of the capacity, success and opportunities of disabled enterprises to the investment sector, reducing attitudinal barriers to the funding of disabled entrepreneurs. ",2009-2012,"£663,860",£0,£0,"£663,860",TBC,Jane Fletcher,jane.fletcher@lcdisability.org
London Development Agency,Solutions for Business - Investment Readiness,Pan London,"Providing investment readiness support to London SMEs (over three years), the project will work with the finance market and partners to address barriers faced by SMEs in accessing private sector equity and growth finance.  The aim: reduce risk for private sector and improve success rate of companies seeking investment by subsidising preparation of investment proposals and improving knowledge to meet investor requirements.  SMEs will progress from an 'introduction to investment' workshop to specialist support and 1-1 coaching as appropriate.  High growth, Intellectual Property-rich, and early stage SMEs are targeted. Outreach and tailored support for BAME, women, and disabled-led companies will be provided.",2010-2013,"£2,422,500","£2,422,500",£0,£0,TBC,David Hare,DavidHare@lda.gov.uk 
London Development Agency,Solutions for Business - Finance Readiness,Pan London,The project will provide specialist finance readiness support to London SMEs as part of the BSSP 'Solutions for Business - Understanding Finance for Business' product. It will address barriers faced in accessing debt and other finance.,2010-2013,"£2,422,500","£2,422,500",£0,£0,TBC,David Hare,DavidHare@lda.gov.uk 
Tower Hamlets College,Access to Finance for Growth,Pan London with particular focus on disadvantaged areas of East London ,"The main aim of this project is to provide investment readiness planning and finance brokerage services to provide SMEs with the capacity to create jobs in disadvantaged communities particularly enterprises owned by women, BME and disabled people. A network of financial advisors, coaches and mentors will be recruited from major banking and financial sector partners who have committed to the project including HSBC and Barclays Bank. Their active participation will also raise awareness in the investment community of social and other investment opportunities in SMEs from disadvantaged areas and groups.",2008-2012,"£600,000","£540,000","£60,000",£0,TBC,Asif Siddiqui,Asif.Siddiqui@tower.ac.uk
Urban Futures,New Horizons,"Enfield, Haringey, Waltham Forest and Barnet","The New Horizons Project will provide support for SME’s specifically targeting women, BME and disabled entrepreneurs. The New Horizons project will primarily provide help support and guidance to SMEs to enable them to become ready to access funding and to provide appropriate opportunities to funding opportunities in a structured way.",2009-2011,"£116,000",£0,"£116,000",£0,TBC,Russ Patrick,russ.patrick@urbanfutures.org.uk
Priority 2 : Access to new markets and access to finance,,,,,,,,,,,
Theme 2 : improving SMEs access to new market opportunities,,,,,,,,,,,
