"Provider Name","Project Title","Funding (£)","Subcontractors or Partners","Contract Start Date","Contract End Date"
"Kingston Maurward 
College 
 ","ICE Breakers 
 ","ﾣ923,010 
 ","Sub Contractors 
- Bournemouth and Poole College  
- Weymouth College 
- Bournemouth Council 
- Dorset County Council 
- Borough of Poole  
- Paragon Education and Skills 
Training 
- Pathway  
- International Education and Training 
Ltd  
- WSX Enterprise Ltd  
- Learning South West  
- BCHA  ","01/09/08 
 ","31/12/10 
 "
"Learning South West 
 ","ICE Breakers 
 ","ﾣ644,127 
 ","Sub Contractors 
- Yeovil College 
- Somerset College of Arts and 
Technology 
- Richard Huish College  
- Hudson and Hughes Training  
- Voluntary Sector Training Alliance 
Ltd Somerset Skills and Learning  
- Strode College  
- Pitman Training 
- Training 
- Advisory Services Ltd  ","05/09/08 
 ","31/12/10 
 "
"Bournemouth & 
Poole College 
 ","Dorset Training Plus 
 ","ﾣ1,317,989 
 ","Sub Contractors 
- Weymouth College  
- Kingston Maurward College  
- Dorset New Forest Tourism 
- Partnership Abilities  ","12/09/08 
 ",31/12/10
"Bournemouth 
Borough Council 
(Dorset New Forest 
Tourism Partnership) 
 ","Dorset Hosts ","ﾣ343,713.00 
 ","Sub Contractors 
- Bournemouth and Poole College   
- Kingston Maurward College  
- Weymouth College 
- Paragon Education and Training Ltd  
- Best Training  
- South West Tourism  
- Tourism South East  
- Regional Language  
- Network South West 
- Borough of Poole 
- Bournemouth Council 
- Dorset County Council 
- Falcon Internet Training  ","08/09/08 
 ","31/12/10 
 "
"Learning South West 
 ","Think Smart 
 ","ﾣ1,159,646 
 ","Sub Contractors 
- Somerset College of Arts and 
Technology 
- Yeovil College Richard Huish College  
- Hudson and Hughes Training Ltd  
- Voluntary Sector Training  
- Alliance Ltd  
- Somerset Skills and Learning 
- Strode College  
- Pitman Training 
- Training Advisory Services Ltd  ","12/09/08 
 ","31/12/10 
 "
"City of Bristol 
College 
 ","Embedded literacy, 
language (ESOL) in the 
workplace and numeracy 
in vocation programmes 
 ","ﾣ524,800 ","Partners 
- SPAN Study Centre  
- Barton Hill Settlement  
 ","18/08/08 
 ",31/12/10
"Hartpury College 
 ","Environmental 
Technologies ","ﾣ1,062,120 
 ","NONE ","01/08/08 
 ",31/12/10
"GWE Business West 
Ltd 
 ","The Learning Flexibility 
Fund ","ﾣ1,013,848.50 
 ","Sub Contractors 
Train to Gain providers consisting of a 
consortium of FE and private providers 
and Colour Works International  ",01/08/08,31/12/10
"New City Academy, 
Bristol (Beacon Centre)","Post � Employment (In-
work) Support  - West of England)","ﾣ490,000 ","Sub Contractors 
- The Learning Curve  - Employment Opportunities  
- Barton Hill Workshop 
- SPAN 
- Easton Community Children's Centre  ","01/07/08 
 ",31/12/10
"Gloucestershire 
Development 
Agency 
 ","Business Parks 
 ","ﾣ525,000.00 
 ","Partners 
- Business Link 
- Job Centre Plus 
- SWRDA 
- LSC  
- The LSC currently employs the 
Parklife Project manager - ensuring 
links to current Parklife activity  ","01/07/08 
 ",31/12/10
"Gloucestershire 
Development 
Agency 
 ","Gloucester Works 
 ","ﾣ1,190,057 
 ","Partners 
- Gloucestershire County Council 
- Gloucester City Council  
- Job Centre Plus 
- Community Counts  
Sub Contractors 
- National Star College will provide 
expertise to support clients with 
physical and learning disabilities 
- Gloucestershire and Stroud Colleges 
will provide links to main stream 
programmes 
- Probation Service will provide links 
to clients who are ex-offenders 
- Prospect Ltd will provide links to 
Next Steps and former Connexions 
Services and  their Matrix accredited 
providers 
- GHURC will provide awareness of 
new employer opportunities in the regeneration areas  
- University of Gloucestershire will 
provide leadership and management 
modules to support other mainstream 
providers","01/07/08 
 ",31/12/10
"The Gloucestershire 
Media Group 
 ","Evolve 
 ","ﾣ295,000 ","Sub Contractors & Partners 
- Cirencester College  
- Gloucestershire College  ","01/07/08 
 ",31/12/10
"Gloucestershire 
Development 
Agency 
 ","Market for Learning 
 ","ﾣ360,000.00 
 ","Partners 
- Wiltshire County Council  
- Swindon Borough Council  
- Business Link Gloucestershire, 
Wiltshire and Swindon  
- Cinderford Regeneration 
- Vale Vision  
- Priors Park Neighbourhood project 
- Churn and Watermoor  
- Gloucestershire Rural Community 
Council  
- Wiltshire Community First  
- Federation of Small Businesses  
- Chambers of Commerce/ Chambers 
of Trade 
- Priors Park Neighbourhood project  
- Churn and Watermoor 
- Gloucestershire Rural Community 
Council  
- Wiltshire Community First
- Job Centre Plus 
 - Gloucestershire Market Towns 
Forum  
Sub Contractors 
- Great Western Enterprise 
- Gloucestershire Enterprise Services  
- Gloucestershire Enterprise Ltd  
- Nextsteps  
- Work based Training providers 
- Business support agencies","01/06/08 
 ",31/12/10
"GWE Business West 
Ltd 
 ","Action Learning for 
Business Leaders 
 ","ﾣ324,999.25 
 ","Sub Contractors 
- University of Bath  
- Gloucestershire Enterprise  ","01/08/08 
 ",31/12/10
"The Learning Curve 
 ","Leadership and 
Management Training for 
SMEs ","ﾣ175,000 
 ","Partner 
- Swindon New College ","01/04/2009 
 ","31/12/10 
 "
"Wiltshire County 
Council 
 ","Wiltshire Business 
Clusters Project 
 ","ﾣ1,043,000 
 ","Sub Contractors 
- Wessex Association of chambers of 
Commerce  
- Wiltshire College  
Further Train to Gain approved 
providers (Sub Contractors): 
- TADS  
- Fortan Swindon Ltd  
- Solomon Training Ltd 
- North Wessex Training Ltd 
- Wiltshire Transport  
- Training & Dev Ltd  (WTTL) 
- TABS Training  
- Training Express Ltd  
- Avonvale Training Ltd - Haddon Training Ltd  
- Brockenhurst College 
- Learning Curve  ",09/06/08,31/12/10
"Ultra Training Ltd 
 ","Workforce Development 
Level 3 Plus ","ﾣ545,134.50 
 ","Sub contractors 
- Training Provider Network ",07/04/08,31/12/10
"Best Training ","Best R2R Response to 
Redundancy ","ﾣ188,000 ","None ",17/04/09,31/12/10
"Westward Training 
and Personnel Ltd ","Response to Redundancy ","ﾣ350,000 ","None ",17/04/09,31/12/10
"Working LInks  ","Rapid Response to 
Redundancy ","ﾣ842,400 ","None ",17/04/09,"31/12/10 
 "
"North Wessex 
Training Ltd ","Response to Redundancy  ","ﾣ350,000 ","None ",21/04/09,31/12/10
"New College 
Swindon  ","Ready Steady Job ","ﾣ300,000 ","- Job Centre Plus 
- Wiltshire County Council 
- Swindon Bourough Council 
- Key Training 
- North Wessex Training 
- Wiltshire College 
- Nextstep South West ",01/04/09,31/12/10
"Gloucestershire 
Devleopment 
Agency  ","Response to Redundancy ","ﾣ500,000 ","- Job Centre Plus 
- Next Steps 
- Glos College ",01/04/09,31/12/10
"North Devon College ","Response to Redundancy 
North Devon  ","ﾣ1,000,440 ","- City College Plymouth 
- Exeter College, North Devon Path 
Finder Trust 
- South Devon College  
- Weston College ",17/04/09,31/12/10
"City Academy Bristol 
(Beacon Centre) ","Response to Redundancy ","ﾣ120,000 ","None ",01/04/09,31/12/10
"PGL Training ","Job Skills in Contruction 
PGL Training ","ﾣ60,700 ","None ",17/04/09,31/12/10
"JHP Limited ","Response to Redundancy ","ﾣ350,000 ","None ",20/04/09,"31/12/10 
 "
"City College  
Bristol ","Response to Redundancy ","ﾣ350,000 ","Hartcliffe & Withywood Ventures 
(HMV) ",01/04/09,31/12/10
