"Provider","Project Title","Funding","Subcontractor","Contract Start Date","Contract End Date","Match-funded?"
"Ealing, Hammersmith and West London College","ES01","ﾣ1,001,250.00   ","Amateur Swimming Association, England Squash, Badminton England, British Cycling, Rugby Football Union, Prevista , CLR, Fit for Sport    ",01/06/08,31/12/10,
"East Kent ITEC","ES01","ﾣ121,750.00   ","Thanet Enterprise ",01/06/08,31/12/10,
"Skills for Care","ES01","ﾣ70,000.00   ","Age Concern (MK), Agecare, Bracknell and Wokingham College, Quinn Centre, Northbrook College   ",01/06/08,31/12/10,
"London School of Accountancy","ES01","ﾣ380,000.00  ","None",01/06/08,31/12/10,
"Genius Solutions Ltd","ES01","ﾣ38,500.00   ","None",01/06/08,31/12/10,
"JGA Ltd","ES01","ﾣ258,250.00   ","National Care Association ",01/06/08,31/12/10,
"Guildford College","ES01","ﾣ1,365,000.00   ","Surrey NVQ Centre, Oakleigh Training & Development, R&D, Hit Training, Train the Carer, Waverley Training Services, Harbourside, East-West Partnership, Construction Learning World      ",01/06/08,31/12/10,
"KEITS Ltd","ES01","ﾣ934,850.00   ","Ability Professional Training Ltd, Acorn Training Ltd, AMACSports Ltd, Hadlow College, IPS International Ltd, JHP Training, Key Training, KITA Ltd, Learn Invicta Ltd, SET Ltd, KATO Ltd     ",01/06/08,31/12/10,
"Chichester College","ES01","ﾣ479,750.00 ","Building Learning UK, Creating Careers (Vision to Learn), Plumpton College , Technology Enterprise, Brinsbury College, Hadlow College, Metier Training, Sussex Downs College, Hastings College, Computer Gym, Smart Training, KPI, Sparsholt and Merris Wood, BCA, RBAT, Concordia         ",01/06/08,31/12/10,
"Brooklands College","ES01","ﾣ246,750.00 ","No partners  ",01/06/08,31/12/10,
"Buckinghamshire County Council","ES01","ﾣ1,097,000.00   ","Bracknell and Wokingham College, Berkshire Care Assoc, Aylesbury Training group, Care in the Shires, Milton Keynes Council, Care Training Solutions, Bracknell Forest Borough Council, BUDCA, Fremantle Trust, Hightown Praetorian & Churches Housing Association, Log on to Care, MKB Care Association, National Society for Epilepsy, SECAS, Oxfordshire CC, PACT Education        ",01/06/08,31/12/10,
"Computer Gym","ES01","ﾣ706,500.00 ","St Giles Trust, Safety Solutions, Mapilim  ",01/06/08,31/12/10,
"FE Sussex","ES01","ﾣ70,000.00 ","Chichester College, Central Sussex College, City College, Tempus Training, Hastings College, Sussex Downs College, Plumpton College, Northbrook College, Redhill College    ",01/06/08,31/12/10,
"ALPS","Leadership & Management","ﾣ286,020.00 ","N&B Training, Waverley Training Services, North Bar Training, Sussex Downs College, Caring Homes Group, ICON Vocational Training",01/06/08,31/12/10,
"Chichester College","Leadership & Management","ﾣ1,104,610.00   ","Cant2can, Vision2learn, West Sussex County Council, HM Training Solutions, IoW College, Sussex Downs College, Jewel Training, Trade Skills 4 U, Quest Training, Northbrook College, David McCarthy        ",01/06/08,31/12/10,
"Computer Gym","Leadership & Management","ﾣ371,920.00 ","Prevista, KPI Developments",01/06/08,31/12/10,
"Guildford College","Leadership & Management","ﾣ1,365,000.00",,01/06/08,31/12/10,
"A4e Ltd","Mentoring for Lone Parents and IB Customers","ﾣ1,268,553",,23/06/08,,"Yes"
"A4e Ltd","New Deal","ﾣ3,402,000",,01/09/08,,"Yes"
"A4e Ltd","PL Pathways","ﾣ11,117,078",,28/04/08,,"Yes"
"CDG","New Deal","ﾣ3,100,000",,01/09/08,,"Yes"
"CDG","New Deal","ﾣ3,205,000",,02/06/08,,"Yes"
"In Training (ESD) Ltd","Flexible New Deal","ﾣ5,344,000",,01/12/09,,"Yes"
"Maximus Employment UK Ltd","Flexible New Deal","ﾣ32,900,000",,05/10/09,,"Yes"
"RBLI","PL Pathways","ﾣ30,495,000",,01/06/08,,"Yes"
"RBLI","PL Pathways","ﾣ19,100,000",,01/09/08,,"Yes"
"Scout Enterprises","Sector Skills","ﾣ3,497,042",,04/08/08,,"Yes"
"Shaw Trust","Hardest to Help","ﾣ4,800,000",,14/07/08,,"Yes"
"Shaw Trust","PL Pathways","ﾣ18,260,000",,01/02/10,,"Yes"
"Shaw Trust","PL Pathways","ﾣ16,599,989",,01/02/10,,"Yes"
"Skills Training UK Ltd","Flexible New Deal","ﾣ134,368,465",,05/10/09,,"Yes"
"TBG","New Deal","ﾣ4,398,000",,02/06/08,,"Yes"
"TNG Ltd","Pre-Employment Training Programme","ﾣ6,300,000",,28/07/08,,"Yes"
"VT Southern Careers Ltd","Community Outreach Service","ﾣ5,454,445",,23/06/08,,"Yes"
"Working Links","Stepping Stones","ﾣ2,750,878",,14/07/08,,"Yes"
