"Project Title and PPIMS case ID","Priority and Theme","Strategic Framework","Beneficiary or Sponsor","Estimated Start Date and project duration","WEFO Project Development Officer ","Project Aim ","National Funding","ERDF Grant"
"Swansea Quadrant Bus Station (80023)","Priority 3, 
Theme 1 ","Sustainable 
Transport  ","Swansea City 
Council ","TBC (1.25 
years) ","Craig 
Roberts 
01685 
729371 ","The new bus station 
will provide 20 bus 
bays, 3 coach stands, 
12 layover spaces 
and a passenger 
concourse. It will also 
include a coach 
facility, offices, a 
drop-off point and 
public toilets. The 
large-scale scheme 
will replace the 
existing outdated bus 
station with a modern, 
high quality facility to 
cater for both buses 
and coaches, 
including Swansea 
Metro vehicles.  ",5700000,4900000
"South West Wales Local Investment Fund (80030)","Priority 2, 
Theme 2 ","Business 
Finance ","Carmarthen-
shire County Council","Mid 2008 
(6.5 years) ","Dougie 
Singh 01685 
729405 ","The project will 
provide almost 2,000 grants of up to ﾣ5,000 
to help new and 
existing businesses 
grow and expand. 
The project spans the 
counties of 
Carmarthenshire, 
Swansea, 
Pembrokeshire, and 
Neath Port Talbot, 
and will support 400 
new start ups and 
1,400 existing 
companies. ",10400000,8900000
"Nant Gwytheyrn (80001)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Nant Gwytheyrn 
Trust ","Late 2008  
(2 years) ","Baudewijn 
Morgan 
01492 
542608","The Centre on the 
Ll?n Peninsula is set 
to become a cultural 
gateway for learners 
and visitors alike.  
As part of the project, 
a number of listed 
buildings in the former 
Victorian village will 
be renovated to 
provide quality 
accommodation for 
up to 67 guests as 
well as the 
development of new 
educational and conference facilities. 
In addition, the cafe 
will be extended to 
include a function 
room and 
improvements will be 
made to the road and 
access for disabled 
visitors.  ",2400000,1800000
"Bwcabus (80087)","Priority 3 
Theme 1 ","Sustainable 
Transport ","Carmarthenshire 
County Council ","Late 2008  
(4 years) ","Craig 
Roberts 
01685 
729371 ","Pilot projects aimed at 
providing transport for 
people who live in 
rural communities and 
cannot access 
employment, 
education and 
training.  
The pilot scheme was 
developed, in 
collaboration, with 
students from the 
Wales Transport 
Research Centre at 
the University of 
Glamorgan, who 
established the 
original model that 
could eventually be 
rolled out across rural 
Wales. The centre will continue to provide 
advice and technical 
support throughout 
the project.",500000,400000
"Anglesey Coastal Environment (80004)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Anglesey 
County Council ","Late 2008 
(5.5 years) ","Baudewijn 
Morgan 
01492 
542608 ","The project�s aim is to 
develop on-shore and 
off-shore facilities to 
maximise economic 
benefits and impacts 
from the coastline of 
Anglesey ",2900000,2700000
"Business Growth (80155)","Priority 2 
Theme 1 ","Enterprise ","Department for 
the Economy & 
Transport - 
Welsh 
Assembly 
Government ","Late 2008 ","Natalie 
Owen  
01685 
729367 ","The project will 
provide a co-
ordinated service for 
businesses through a 
flexible mix of 
relationship 
management, needs 
analysis and action 
planning, core 
business advice, 
mentoring and 
specialist support. ",16000000,16000000
"South East Wales Local Investment Fund (80029)","Priority 2 
Theme 2 ","Business 
Finance ","Rhondda Cynon 
Taff ","Late 2008 ","Dougie 
Singh  
01685 
729405 ","The project aims to 
establish a small 
financial assistance 
scheme, offering 
grants of up to ﾣ5k to 
SMEs across the local authority areas 
of Blaenau Gwent, 
Bridgend, Caerphilly, 
Merthyr Tydfil, 
Rhondda Cynon Taff 
and Torfaen. In turn, 
this will encourage 
the creation of jobs, 
improve performance 
of SMEs and 
encourage them, to 
invest, grow and 
become more 
sustainable as 
employers.",17100000,10300000
"e-business (80237)","Priority 1 
Theme 2 ","ICT 
infrastructure 
and 
Exploitation ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2008 
(5.5 years) ","Bethan 
Stacey 
01685 
729380 ","The project aims to 
deliver E-
Business/ICT support 
harmonised with the 
Welsh Assembly 
Government�s New 
Operating Model; 
FS4B and demand for 
ICT improvement by 
Welsh businesses. 
The project consists 
of five distinct, yet 
complimentary sub-
projects of support for businesses with 
different levels of ICT 
sophistication and 
aims to increase/ 
improve ICT uptake, 
efficient usage and 
understanding of ICT 
and E-Business 
exploitation. ",3100000,3600000
"e-crime (80204)","Priority 1 
Theme 2 ","ICT 
infrastructure 
and 
Exploitation ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2008 
(4 years) ","Bethan 
Stacey 
01685 
729380 ","The projects aims to 
equip Welsh 
businesses with the 
knowledge and tools 
to be aware, vigilant 
and safe from the 
damaging effects of 
e-Crime. The project 
will be delivered 
against the e-Crime 
Action Plan, which 
was developed in 
consultation with 
businesses, and aims 
to establish an e-
Crime Wales Unit, 
support businesses to 
combat e-Crime, raise 
awareness of e-Crime 
and educate on reporting and 
monitoring of e-
Crime. ",1000000,1000000
"Heads of the Valley Tourism (80338)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2008  
(3.5  years) ","Linda 
Weaver 
01267 
225484 ","The project will 
deliver 8 discrete 
tourism schemes: 
The Pontypool and 
Blaenavon Railway, 
extending the track 
that will provide a link 
between the town 
centre, Big Pit and the 
World Heritage Site; 
Bedwellty House & 
Gardens, restoration 
of the house and 
gardens; Markham 
Colliery � establish a 
contemporary garden;
Dare Valley Country 
Park � upgrading of 
the visitor centre; 
Cyfarthfa Woodland 
Development; Parc 
Taf Bargoed � 
Lakeside 
Development; 
General Office Ebbw 
Vale � restoration of 
the house as a stand alone family history 
attraction, TIC and 
Visitor Centre; The 
Valleys Cycle 
Network � the 
completion of 
strategically important 
segments of the cycle 
network. ",10800000,9200000
"Customer Engagement (80139)","Priority 2 
Theme 1 ","Enterprise ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2009  
(6.5 years) ","Amanda 
Hayman 
01685 
729399 ","The project will 
deliver a service 
designed to provide 
businesses and 
citizens with a first-
point -of contact 
service for advice, 
information and 
support on starting 
and growing 
businesses. ",13800000,13800000
"Growth in Environmental Marine Science (80013)","Priority 2 
Theme 1 ","Enterprise ","Bridge Marine 
Science Group ","Late 2008 
(6 years) ","Amanda 
Hayman 
01685 
729399 ","The project will 
support Wales� Post 
graduates and 
graduates to start up 
enterprise; gain 
enhanced global 
business for new & 
existing marine & 
aquatic science SMEs by clustering. ",1100000,1000000
"Enterprise Networks (80186)","Priority 2 
Theme 1 ","Enterprise ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Late 2008 
(6.5 years) ","Amanda 
Hayman 
01685 
729399  ","The project will be 
delivered utilising 
segmented on and 
offline communication 
to existing and 
potential customers 
and engagement with 
spatial, sectoral and 
themed networks and 
supply chains. It will 
offer a combination of 
master classes, 
business-business 
events and on and 
offline information 
dissemination. The 
project will increase 
the economic impact 
of civic 
entrepreneurship, 
public procurement, 
supply chains and will 
pay due regard to 
strategic policies set 
for equality and 
diversity and 
environment 
management. ",12700000,12700000
"Flood and Coastal Defence � Pan Convergence (80442)","Priority 4  Theme 2  ","Materials Efficiency 
(Tackling 
Environmental 
Opportunities 
and Risks for 
Sustainable 
Economic 
Growth)","Department for Environment, 
Sustainability & 
Housing - Welsh 
Assembly 
Government  ","Late 2008 (7 years)  ","Tracy Welland 
01685 
729386 ","The purpose of this strategic project is to 
tackle flood and 
coastal risk in Wales 
via a three phase 
approach �  
1. To construct 
defences and protect 
some of Wales� most 
at risk communities. 
2. Awareness raising 
� allowing people to 
take actions in the 
event of a flood. 
3. Improve resilience 
to flooding � to 
improve the ability of 
areas hit by flooding 
to recover quickly. ",5900000,5000000
"Flood and Coastal Defence � South East (80441)","Priority 4 
Theme 2 ","Materials 
Efficiency 
(Tackling 
Environmental 
Opportunities 
and Risks for 
Sustainable 
Economic 
Growth) ","Department for 
Environment, 
Sustainability & 
Housing- Welsh 
Assembly 
Government  ","Late 2008  
(7 years) ","Tracy 
Welland 
01685 
729386 ","The purpose of this 
strategic project is to 
tackle flood and 
coastal risk in Wales 
via a three phase 
approach �  
1. To construct 
defences and protect 
some of Wales� most 
at risk communities. 
2. Awareness raising 
� allowing people to take actions in the 
event of a flood. 
3. Improve resilience 
to flooding � to 
improve the ability of 
areas hit by flooding 
to recover quickly. ",4700000,4000000
"Flood and Coastal Defence � Pembrokeshire & Swansea Bay (80440)","Priority 4 
Theme 2 ","Materials 
Efficiency 
(Tackling 
Environmental 
Opportunities 
and Risks for 
Sustainable 
Economic 
Growth) ","Department for 
Environment, 
Sustainability & 
Housing- Welsh 
Assembly 
Government ","Late 2008  
(7 years) ","Tracy 
Welland 
01685 
729386 ","The purpose of this 
strategic project is to 
tackle flood and 
coastal risk in Wales 
via a three phase 
approach �  
1. To construct 
defences and protect 
some of Wales� most 
at risk communities. 
2. Awareness raising 
� allowing people to 
take actions in the 
event of a flood. 
3. Improve resilience 
to flooding � to 
improve the ability of 
areas hit by flooding 
to recover quickly. ",4700000,4000000
"Flood and Coastal Defence � North East (80439)","Priority 4 
Theme 2 ","Materials 
Efficiency 
(Tackling 
Environmental Opportunities 
and Risks for 
Sustainable 
Economic 
Growth) ","Department for 
Environment, 
Sustainability & 
Housing- Welsh Assembly 
Government","Late 2008  
(7 years) ","Tracy 
Welland 
01685 
729386 ","The purpose of this 
strategic project is to 
tackle flood and 
coastal risk in Wales via a three phase 
approach �  
1. To construct 
defences and protect 
some of Wales� most 
at risk communities. 
2. Awareness raising 
� allowing people to 
take actions in the 
event of a flood. 
3. Improve resilience 
to flooding � to 
improve the ability of 
areas hit by flooding 
to recover quickly. ",5900000,5000000
"Flood and Coastal Defence � North West (80436)","Priority 4 
Theme 2 ","Materials 
Efficiency  
(Tackling 
Environmental 
Opportunities 
and Risks for 
Sustainable 
Economic 
Growth) ","Department for 
Environment, 
Sustainability & 
Housing- Welsh 
Assembly 
Government ","Late 2008  
(7 years) ","Tracy 
Welland 
01685 
729386 ","The purpose of this 
strategic project is to 
tackle flood and 
coastal risk in Wales 
via a three phase 
approach �  
1. To construct 
defences and protect 
some of Wales� most 
at risk communities. 
2. Awareness raising 
� allowing people to 
take actions in the 
event of a flood. 
3. Improve resilience to flooding � to 
improve the ability of 
areas hit by flooding 
to recover quickly. ",7100000,6000000
"Flood and Coastal Defence � Central (80438)","Priority 4 
Theme 2 ","Materials 
Efficiency 
(Tackling 
Environmental 
Opportunities 
and Risks for 
Sustainable 
Economic 
Growth) ","Department for 
Environment, 
Sustainability & 
Housing - Welsh 
Assembly 
Government ","Late 2008  
(7 years) ","Tracy 
Welland 
01685 
729386 ","The purpose of this 
strategic project is to 
tackle flood and 
coastal risk in Wales 
via a three phase 
approach �  
1. To construct 
defences and protect 
some of Wales� most 
at risk communities. 
2. Awareness raising 
� allowing people to 
take actions in the 
event of a flood. 
3. Improve resilience 
to flooding � to 
improve the ability of 
areas hit by flooding 
to recover quickly. ",7100000,6000000
"Communities Two Point Zero (80395)","Priority 1 
Theme 2 ","ICT 
Infrastructure 
and 
Exploitation ","Department for 
Social Justice & 
Local 
Government � 
Welsh 
Assembly 
Government ","Late 2008 
(6.5 years) ","Bethan 
Stacey 
01685 
729380 ","The project will 
provide a strategic 
approach to 
supporting digital 
inclusion from 2009-
2015. Working with 
community and voluntary sector 
groups in the most 
deprived areas of the 
Convergence region. 
It will support new 
and existing 
enterprise, including 
social enterprise, to 
engage with ICT to 
improve performance 
and increase digital 
inclusion. This will be 
done through training, 
mentoring, technical 
support, ICT related 
business support, 
research and best 
practice. Individuals 
will also be assisted 
to enhance their skills 
around technologies 
to help them progress 
in the job market. ",11000000,8900000
"Support for Credit Unions (80011)","Priority 5 
Theme 2 ","Community 
Economic 
Development ","Social Justice & 
Local 
Government � 
Welsh 
Assembly 
Government ","Early 2009 
(1 Year) ","Kerry 
Charles 
01685 
729368 ","The project will 
provide funding for 
the development of all 
credit unions 
operating in the 
Convergence area.  It 
will focus on the provision of support to 
some of the most 
financially excluded 
areas in Wales. ",300000,300000
"Business Innovation Support (80235)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
technology ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 
2009 
(6 years) ","Jacky Doran 
01685 
729376 ","The aim of the project 
is to support 
technology innovative 
businesses, primarily 
SMEs, in the 
development of new 
products, processes 
and technologies, 
through new product 
development, design, 
manufacturing and 
commercialisation of 
the associated 
Intellectual property. ",11600000,11600000
"Centre for Nanohealth (80200)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
technology ","Swansea 
University ","Early 2009  
(5.5 years) ","Ryan David  
01685 
729397 ","CNH will be a 
multidisciplinary 
environment 
integrating specialist 
facilities for nano-
fabrication, nano-
characterisation, and 
biomedical 
development, coupled 
with the added benefit 
of business 
incubation space.  A major focus of the 
CNH will be R&D for 
therapeutic devices, 
sensors, diagnostics 
and other 
applications.",11600000,10000000
"Export Assist (80482)","Priority 2 
Theme 1 ","Enterprise ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government 
(IBW) ","Early 2009  
(5 Years) ","Amanda 
Hayman 
01685 
729399 ","One to One and 
group support to 
SMEs.  The support 
will be flexible and 
tailored to meet the 
needs of individual 
business. ",6900000,6900000
"Innovation Placements Programme (80164)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
technology ","University of 
Wales ","Early 2009  
(6 years � 
with initial 
pilot year) ","Mark 
Williams  
01685 
729360 ","The project will place 
the best graduate 
talent on a national 
and international 
basis with businesses 
in the Convergence 
region. They will work 
on science and 
technology based 
projects that are of 
direct relevance to 
enhancing the 
innovative capacity of 
each company. They 
will also develop new 
market led processes, products, 
technologies and 
services. ",6300000,5100000
"Communities and Nature (80088)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Countryside 
Council for 
Wales  ","Early 2009  
(5.5 years) ","Linda 
Weaver 
01970 
613287 ","CAN will promote 
sustainable economic 
growth by increasing 
visitor numbers 
through better 
connecting tourists 
and local visitors with 
nature and natural 
assets ",9000000,7400000
"Valleys Regional Park (80142)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Department for 
the Economy 
and Transport -
Welsh 
Assembly 
Government  ","Mid 2009 
(3 years) ","Linda 
Weaver 
01970 
613287 ","The Project aims to 
raise the profile of the 
Valleys as a visitor 
destination, and a 
prime location to live 
and work because of 
its quality 
environment and 
opportunities for 
outdoor recreation, 
heritage and 
environmental 
interpretation. ",11900000,9700000
"North West Wales Local Investment Fund (80147)","Priority 2 
Theme 2 ","Business 
Finance  ","Anglesey 
County Council  ","Early 2009 
(5.5 years) ","Dougie 
Singh  
01685 
729405 ","Business grant 
support of up to ﾣ5k 
for SMEs in Anglesey, 
Gwynedd, Conwy and 
Denbighshire.  ",4200000,3800000
"Physical Regeneration in North West Wales (80219)","Priority 5 
Theme 1 ","Sustainable 
regeneration 
(Physical 
Regeneration 
inc town 
centre 
renewal) ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2009  
(4 years) ","Baudewijn 
Morgan 
01492 
542608 ","This is a joint project 
between the Welsh 
Assembly 
Government and the 
Local Authorities of 
Anglesey, Gwynedd, 
Conwy and 
Denbighshire. The 
project aims to deliver 
a total of 14 physical 
improvement 
schemes. The 
targeted towns are 
Holyhead, Rhyl, 
Caernarfon, Bangor, 
Colwyn Bay, 
Llangefni and 
Amlwch. 
The schemes will 
improve the local 
investment climate by 
creating a better 
physical environment. 
The schemes are 
mainly public realm 
improvements but 
also include other 
linked activities such 
as light industrial 
units, cycling access and the renovation of 
run-down buildings. ",18700000,19100000
"WEFO Technical Assistance Bid (80458)","Priority 6 ","N/a ","Department for 
the Economy & 
Transport � 
Welsh 
Assembly 
Government ","Early 2008 
(3.75 
years) ","Natalie 
Owen 
01685 
729367 ","The aim of this project 
is to support WEFO in 
its role as Managing 
Authority for the 
Programme and 
enable it to fulfil the 
additional 
responsibilities 
required under the 
various governing 
regulations and 
deliver the 
Programme 
effectively and 
efficiently. ",2070000,2070000
"Central Valleys Rail Package (80275)","Priority 3 
Theme 1 ","Sustainable 
Transport ","SEWTA ","Mid 2009 
(3 years) ","Craig 
Roberts 
01685 
729371 ","The aim of the project 
is to provide 4 park-
and-ride schemes. 
This includes 2 new 
schemes at Bargoed 
and Abercynon as 
well as extensions to 
Rhymney and 
Pengam. ",3300000,2800000
"Heritage Tourism (80191)","Priority 4, 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Department of 
Rural Affairs 
and Heritage - 
Welsh 
Assembly 
Government ","Mid 2009  
(6.5 years) ","Linda 
Weaver  
01970 
613287 ","The Heritage Tourism 
project is one of 
several projects which 
have developed from 
the Cultural Tourism 
Strategy and 
Sustainable Tourism 
Framework. This 
project is a vehicle for 
delivering customer-
focused heritage 
interpretation and 
improved heritage 
destinations, intended 
to make the Welsh 
historic environment 
more intellectually 
accessible and more 
enjoyable to visit for 
both tourists and local 
residents.  ",10400000,8500000
"Coastal Access (80192)","Priority 4, 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Countryside 
Council for 
Wales ","Mid 2009 
(5 years) ","Linda 
Weaver 
01970 
613287 ","To expedite the 
delivery of an all 
Wales Coastal Path 
by 2012. It will 
enhance the 
proposed delivery by 
developing a better 
route closer to the 
coastal edge, including more 
opportunities for 
people with mobility 
problems and 
enhancing the 
promotion and 
interpretation of the 
route. ",4700000,3900000
"Wood Energy Business Scheme 2 (80028)","Priority 4 
Theme 1 ","Climate 
Change 
(Energy) ","Forestry 
Commission ","Mid 2009 
(4.75 
years) ","Ceri Jones 
01685 
729369 ","Building on the 
success of WEBS 1 
the prime aim of the 
WEBS 2 project is to 
provide capital grant 
to micro-businesses, 
SMEs and social 
enterprises to invest 
in clean renewable 
wood fuel heating, 
CHP (combined heat 
and power) and 
electricity generation 
technology and 
enable high quality 
equipment and fuel 
supply chains to be 
developed. ",10200000,6800000
"Newbridge Regeneration Programme (80266)","Priority 5 
Theme 1 ","Sustainable 
Regeneration 
(Physical 
Regeneration inc town 
centre 
renewal)  ","Caerphilly 
County Borough 
Council ","Mid 2008 
(7 years) ","Eluned 
Jones  
01267 
245156 ","The project will re-
establish Newbridge 
town centre as the 
focus of economic and social activity, 
broadening the town�s 
socio-economic base 
and transforming the 
town through the 
implementation of a 
comprehensive 
regeneration strategy.  
The project will fund 
the construction of the 
Calzaghe pedestrian 
superbridge, public 
realm enhancements 
and associated public 
artworks. ",2700000,3400000
"Sustainable Tourism (80205)","Priority 4 
Theme 3 ","Sustainable 
Regeneration 
(Environment 
for Growth) ","Welsh 
Assembly 
Government - 
Heritage  ","Mid 2009 
(5 years) ","Linda 
Weaver 
01970 
613287 ","The sustainable 
tourism project will 
develop inland 
facilities to maximise 
economic benefits 
and impacts from the 
environment of 
Wales. ",9100000,8400000
"Coastal Tourism (80206)","Priority 4 
Theme 3  ","Sustainable 
Regeneration 
(Environment 
for Growth) "," Welsh 
Assembly 
Government - 
Heritage ","Mid 2009 
(5 years) ","Linda 
Weaver 
01970 
613287 ","The coastal tourism 
project will develop 
on-shore and off-
shore facilities to 
maximise economic 
benefits and impacts 
from the coastline of Wales.",9100000,8400000
"South West Property Development Fund (80356)","Priority 3 
Theme 2 ","Sustainable 
Regeneration 
(Strategic 
Infrastructure) ","Carmarthenshir
e County 
Council ","Mid2009 
(6 years)  ","Janet Lewis  
01267 
225473 ","To provide financial 
support to the private 
sector to help build 
commercial premises, 
to BREEAM excellent 
standards, at key 
employment sites 
across the region. ",17000000,10000000
"Office Development at SA1 Swansea Waterfront (80129)","Priority 3 
Theme 2 ","Sustainable 
Regeneration 
(Strategic 
Infrastructure) ","Department for 
Economy & 
Transport 
(Operations)  -
Welsh 
Assembly 
Government  ","Mid 2009  
(4 years)  ","Janet Lewis  
01267 
225473 ","To provide financial 
support to the private 
sector to build a new 
office development, to 
BREEAM excellent 
standards, in 
Swansea�s SA1.  ",3200000,2700000
"Institute of Life Sciences Phase 2 (ILS2) (80144)","Priority 1 
Theme 1 ","Innovation, 
R&D and 
technology ","Swansea 
University ","Mid 2009 
(4.5 years) ","Mark 
Williams  
01685 
729360 ","The Institute of Life 
Sciences Phase 2 
(ILS2) aims to build 
the capacity of the 
Institute of Life 
Science to support 
the growing Life 
Science sector in the 
region.  ILS2 will 
provide a new 
building, built to the 
BREEAM 
Excellent standard, 
adjacent to ILS phase 1 (supported by ﾣ6m 
ERDF Objective 1 
grant), which will 
accommodate a 
clinical research 
centre, incubator 
grow-on space, and a 
technology transfer 
and business support 
team.  ",16000000,12800000
"Collaborative Communities (80138)","Priority 5 
Theme 2 ","Community 
Economic 
Development ","Carmarthenshir
e County 
Council ","Mid 2007 
(4.5 years) ","Kerry 
Charles 
01685 
729368 ","The project will 
establish a 
collaborative 
approach to the 
development of 
social/community 
enterprise across 
Carmarthenshire, 
Pembrokeshire, 
Swansea and Neath 
Port Talbot. It will 
encourage economic 
contribution from the 
3rd Sector in areas 
such as local service 
provision and 
sustainable 
community activity.  ",1000000,4100000
"Valley Cycle Network (80022)","Priority 3, 
Theme 1 ","Sustainable 
Transport ","Sustrans "," Mid 2009  
(4 years) ","Louise 
Greenhouse 01685 
729385 ","Create 40 km of new 
walking and cycling routes across the 
former South Wales 
Coalfields enhancing 
410 km of existing 
routes. ",4100000,3500000
