organisation_name,project_title,indicative_award,fund,duration_recommended,project_reference,priority,uri
Edinburgh Napier University,Business & Technology Hub,"1,001,385.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Edinburgh Napier University,CIAC Revenue,"767,129.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Edinburgh Napier University,Edinburgh Climate Change Centre (ECCC),"613,872.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Fife Council,Fife Renewables Business Innovation & Incubation Hub,"125,377.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Fife Council,Fife Renewable Hub Capital,"750,000.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Institute for System Level Integration,Development Of Research and Innovation in Electronic Systems,"352,960.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
The University of Edinburgh,SETN Phase Two,"408,137.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University Court of the University of Aberdeen,Life Science Innovation,"2,626,313.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University of Abertay Dundee,Commercialisation and Enterprise Development,"321,399.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University of Strathclyde,Executive Director Designate Programme 1,"675,000.00",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
University of Strathclyde,Medical Devices Knowledge Exchange Initiative,"307,904.85",European Regional Development Fund,,,Priority 1: Research & Innovation,http://www.esep.co.uk/assets/files/ERDF1_Third_Round_Awards.pdf
Dundee College,Enterprise@DC,"686,797.33",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Fife Council,East of Scotland Investment Fund,"2,000,000.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Fife Council,Support for Enterprise II,"196,423.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Scottish Enterprise,Advanced Entrepreneurial & Pre Incubation Support,"1,281,801.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Scottish Enterprise,Support for Young Innovative Enterprises (YIE),"2,810,780.00",European Regional Development Fund,,,Priority 2: Enterprise Growth,http://www.esep.co.uk/assets/files/ERDF2_Third_Round_Awards.pdf
Clyde Gateway URC,Clyde Gateway - SME Business Hub Rutherglen,"649,748.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Clyde Gateway URC,Clyde Gateway - SME Business HUB Bridgeton,"1,157,086.00 £908,521.00 £1,500,000.00 £449,810.00 £647,364.00 £500,000.0",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Glasgow North Regeneration Agency,Saracen Exchange,"908,521.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Govan Workspace Ltd,Fairfield Business Premises,"1,500,000.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
North Lanarkshire Council,Netherton Industrial Estate- Developing Industrial Stock,"449,810.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
South Lanarkshire Council,Burgh Business Centre,"647,364.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
The Wasps Trust,Merchant City Cultural and Creative Industries Hub Programmes,"500,000.00",European Regional Development Fund,,,Priority 3: Urban Regeneration,http://www.esep.co.uk/assets/files/ERDF3_Third_Round_Awards.pdf
Angus Council,Local Jobs for Local People,"1,188,880.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Enterprise,Energetica Peterhead Decommissioning / Renewables Infra,"1,470,266.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Traditional Skills Training Centre,Scottish Traditional Skills Training Centre,"1,235,980.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
SEStran,Regional RTPI System - Fife (Rural),"267,275.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
South Lanarkshire Council,South Lanarkshire Rural Business Sites,"231,638.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
South Lanarkshire Council,St Brides Community Group Centre,"235,546.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Borders Council,Scottish Borders Rural Business Site Development,"943,500.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Borders Council,Galashiels Transport Interchange,"2,112,221.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Enterprise,"Gretna, Lockerbie, Annan (GLA) Business Space","736,010.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
Scottish Enterprise,"Heathhall Industrial Estate, Dumfries","351,338.00",European Regional Development Fund,,,Priority 4: Rural Development,http://www.esep.co.uk/assets/files/ERDF4_Third_Round_Awards.pdf
