"BENEFICIARY","PROJECT","FUNDING","PRIORITY","SUBCONTRACTORS","NOTE","START DATE","CONTRACT END DATE"
"Cornwall College","Workforce led programme",4345000,5,"Partners: -Cornwall Training Providers Network -TUC UnionLearn -Sector Organisations, Cornwall Marine Network, Digital Peninsula Network, Arts Centre Trust -Cornwall Adult Education Service","Total funds ﾣ4,345,000 Of which:Employee Learning subsidy/ wage support for learning ﾣ570,000 Learning networks/ infrastructure ﾣ285,000 Rest of the strand ﾣ3,390,000","18/08/08","31/12/10"
"The Learning Partnership for Cornwall and the Isles of Scilly","Skills for Work",4395000,5,"Partners: -TUC  UnionLearn -Point Europa -Cornwall Marine Network -Digital Peninsula Network -Cornwall Enterprise -Link into Learning -Truro and Penwith College -CN4C -ClayTAWC -Enterprise Tamar -Cornwall County Council",,01/06/08,"31/12/10"
"Cornwall County Council","EMBARK",1140000,5,"TBC","ﾣ1,140,000 including ﾣ1,000,000 for Basic Skills/Level 1","15/09/08","31/12/10"
"Cornwall County Council","Workforce Cornwall",1410498.24,5,"Truro and Penwith College",,"24/11/08","31/12/10"
"Cornwall College","Rural Land-Based",1140000,5,"Partners: -Agricultural Business Information Point -LANTRA",,"24/11/08","31/12/10"
"The Learning Partnership for Cornwall and the Isles of Scilly","Cornwall Clusters",3814400,5,"Partners: -Cornwall College -CPR Regeneration -Digital Peninsula Network -Enterprise Tamar -Newquay for Excellence Training -Truro and Penwith College -Cornwall Marine Network -Network Training -Penwith District Council -Restormel Borough Council -North Cornwall District Council -Caradon District Council -Carrick District Council -Falmouth Town Council -Totally Truro",,10/12/08,"31/12/10"
"Cornwall College","HE Interventions",3419400,5,"Partners: -Truro and Penwith College",,"24/11/08","31/12/10"
"Cornwall Adult Education Service","FLAG (Families Learning and Growing)",570000,5,"TBC",,"20/10/08","31/12/10"
"Trade Union Congress","CRUNCH (Countering Recession through Union Networking, Cooperation and Help)",570000,5,"None",,"30/06/09","31/07/11"
"Truro and Penwith College","Response to redundancy",2410650,5,"None",,"20/04/09","31/12/10"
"Working Links","Rapid Response to Redundancy",1891070,5,"None",,"20/04/09","31/12/10"
"Cornwall College","Response to redundancy",2735190,5,"None",,"20/04/09","31/12/10"
