Cheshire & Warrington Economic Alliance,Cheshire & Warrington TA,"£159,250","£159,250","£318,500"
Cumbria County Council,Cumbria TA,"£171,140","£171,140","£342,280"
Lancashire Economic Partnership,Lancashire TA,"£275,000","£275,000","£550,000"
Manchester Enterprises,Greater Manchester TA,"£240,822","£240,822","£481,644"
Merseyside Network for Europe,Merseyside Third Sector Support,"£108,524","£108,524","£217,047"
Northwest Regional Development Agency,NWDA TA,"£2,695,143","£2,695,143","£5,390,286"
Northwest Regional Development Agency,Beta Model,"£117,00","£117,000","£234,000"
North West Network,Third Sector Co-ordination,"£108,746","£108,755","£217,501"
North West Universities Association,HE Sector Coordination,"£154,858","£154,858","£309,716"
The Mersey Partnership,Merseyside TA,"£591,136","£591,136","£1,182,272"
