"priority","name_of_beneficiary_organisation","name_of_the_project","erdf_amount_committed","other_public_funding_committed","total_committed","other_public_funding_allocated","total_amount_paid_at_the_end_of_the_project"
"Priority 3: Creating the Conditions for Sustainable Growth","Liverpool Biennial of Contemporary Art Limited","Liverpool Biennial 2010 Festival","£600,000.00",,,"£600,000.00","£1,200,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Liverpool City Council","Liverpool Cycle Strategy","£596,475.00",,,"£528,975.00","£1,192,950.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","Liverpool City Centre Underground Station Improvements","£417,000.00",,,"£417,000.00","£834,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","James Street Underground Station","£680,000.00",,,"£1,020,000.00","£1,700,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","Integrated Corridor B Gateway","£911,500.00",,,"£911,500.00","£1,823,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","Integrated Corridor D Gateway","£1,442,000.00",,,"£1,442,000.00","£2,884,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","Integrated Corridor F Gateway","£1,730,000.00",,,"£1,730,000.00","£3,460,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","City Centre Bus Corridor","£1,443,000.00",,,"£1,443,000.00","£2,886,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Merseytravel","Green Transport Plan","£368,000.00",,,"£368,000.00","£736,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Museum of Science and Industry","MOSI Phase 1 - Redevelopment of Main Building","£2,000,000.00",,,"£2,000,000.00","£4,000,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Northwest Regional Development Agency","JESSICA","£25,250,000.00",,,"£25,250,000.00","£50,500,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","People's History Museum","People's History Museum","£378,150.00",,," £378,150","£756,300.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Redsun Developments Limited","Tebay Road Development","£2,195,229.00",,,"£120,323.00","£4,390,458.00"
"Priority 3: Creating the Conditions for Sustainable Growth","Tate Liverpool","Major Exhibitions Programme","£880,000.00",,,"£880,000.00","£1,760,000.00"
"Priority 3: Creating the Conditions for Sustainable Growth","The Mersey Partnership","Partners for Tourism Growth","£5,973,956.00",,,"£5,242,814.00","£11,947,912.00"
"Priority 4: Growing & Accessing Employment","Baltic Creative c/o Liverpool Vision","Baltic Creative","£2,206,888.00",,,"£2,206,888 ","£4,413,776.00"
"Priority 4: Growing & Accessing Employment","Cumbria County Council","Maryport Business Centre","£945,318.00",,,"£945,319.00","£1,890,637.00"
"Priority 4: Growing & Accessing Employment","Knowsley Metropolitan Borough Council","Supporting Links to Employment in Merseyside","£2,522,731.00",,," £2,522,731","£5,045,462.00"
"Priority 4: Growing & Accessing Employment","Northwest Regional Development Agency","JESSICA","£25,250,000.00",,,"£25,250,000 ","£50,500,000.00"
"Priority 4: Growing & Accessing Employment","Northwest Regional Development Agency","Business Start Up","£8,400,000.00",,,"£8,400,000.00","£16,800,000.00"
"Priority 4: Growing & Accessing Employment","West Lakes Renaissance","Waterfront Business Park further infrastructure (Barrow Access Road)","£4,938,000.00",,," £4,938,000","£9,876,000.00"
"Priority 5: Technical Assistance","Cheshire & Warrington Economic Alliance","Cheshire & Warrington TA","£159,250.00",,,"£159,250.00","£318,500.00"
"Priority 5: Technical Assistance","Cumbria County Council","Cumbria TA","£171,140.00",,,"£171,140.00","£342,280.00"
"Priority 5: Technical Assistance","Lancashire Economic Partnership","Lancashire TA","£275,000.00",,,"£275,000.00","£550,000.00"
"Priority 5: Technical Assistance","Manchester Enterprises","Greater Manchester TA","£240,822.00",,,"£240,822.00","£481,644.00"
"Priority 5: Technical Assistance","Merseyside Network for Europe","Merseyside Third Sector Support","£108,524.00",,,"£108,524.00","£217,047.00"
"Priority 5: Technical Assistance","Northwest Regional Development Agency","NWDA TA","£2,695,143.00",,,"£2,695,143.00","£5,390,286.00"
"Priority 5: Technical Assistance","Northwest Regional Development Agency","Beta Model","£117,00",,,"£117,000.00","£234,000.00"
"Priority 5: Technical Assistance","North West Network","Third Sector Co-ordination","£108,746.00",,,"£108,755.00","£217,501.00"
"Priority 5: Technical Assistance","North West Universities Association","HE Sector Coordination","£154,858.00",,,"£154,858.00","£309,716.00"
"Priority 5: Technical Assistance","The Mersey Partnership","Merseyside TA","£591,136.00",,,"£591,136.00","£1,182,272.00"
