"Eixo Prioritário / Área de Intervenção","Programa Operacional (FEDER)","Tipologia da Operação","Sub-Tipologia da Operação","Código do Concurso","Designação do Projecto","Concelho","Data de Decisão","Promotor","Código de Operação","Fundo Comunitário","Investimento Elegível"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2008-01  
Cod: SI: 05/SI/2008","Inovar, Organizar, Certificar e Internacionalizar a Empresa","São Brás de 
Alportel",18/01/10,"Transforsul - Construção e 
Metalomecânica, Lda.","ALG-01-0403-FEDER-002808","547.928,16","996.233,02"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2008-03  
Cod: SI: 19/SI/2008","Criação de Centro Equestre","Faro",23/04/09,"equinostum - Centro equestre e de 
laze de Faro, Ldar","ALG-01-0403-FEDER-004870","463.903,09","713.697,06"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2008-03  
Cod: SI: 19/SI/2008","Aquisição de catamaram para passeios marítimo turísticos","Portimão",23/04/09,"Mares Maravilhosos - actividades 
marítimo turísticas, lda","ALG-01-0403-FEDER-004907","419.467,75","645.335,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-02    
Cod: SI: 11/SI/2009","HOTEL RURAL QUINTA DAS CERCAS 5*","Lagoa",03/09/09,"C.M.BICA - EMPREENDIMENTOS E 
CONSTRUÇÃO, LDA","ALG-01-0403-FEDER-007783","1.001.275,37","1.540.423,64"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-02    
Cod: SI: 11/SI/2009","CRIAÇÃO DE NOVA UNIDADE DE NEGÓCIO NO 
ALGARVE PARA PRESTAÇÃO DE NOVOS SERVIÇOS.","Silves",03/09/09,"RENASCIMENTO - GESTÃO E 
RECICLAGEM DE RESIDUOS, LDA","ALG-01-0403-FEDER-007775","255.760,43","393.477,58"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-02    
Cod: SI: 11/SI/2009","RENOVAÇÃO TECNOLÓGICA PARA PRODUÇÃO DE 
CONTEÚDOS TELEVISISVOS EM HD","Faro",03/09/09,"TAKE 5 - PRODUÇÕES 
AUDIOVISUAIS, LDA","ALG-01-0403-FEDER-007565","155.943,68","239.913,35"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-02    
Cod: SI: 11/SI/2009","INSTALAÇÃO E QUALIFICAÇÃO DO NOVO 
DATACENTER","Faro",03/09/09,"FLESK - PRODUÇÕES DIGITAIS, 
LDA","ALG-01-0403-FEDER-007569","224.131,10","344.817,08"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-02    
Cod: SI: 11/SI/2009","PROCESSAMENTO DE RESÍDUOS DE CONSTRUÇÃO E 
DEMOLIÇÃO (RC&D)","Tavira",03/09/09,"GRUPO SILVA & SILVA, LDA","ALG-01-0403-FEDER-007682","854.943,70","1.315.298,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-06    
Cod: SI: 19/SI/2009","Criação, modernização, requalificação ou racionalização de 
empresas","Olhão",29/01/10,"FARMÁCIA BRITO OLIVEIRA, SA","ALG-01-0403-FEDER-008288","224.096,25","298.795,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-06    
Cod: SI: 19/SI/2009","Criação, modernização, requalificação ou racionalização de 
empresas","Olhão",29/01/10,"RECIPE - SOC. FARMACÊUTICA, 
SA.","ALG-01-0403-FEDER-008263","184.486,50","245.982,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-06    
Cod: SI: 19/SI/2009","AQUISIÇÃO DE EQUIPAMENTO PARA PRODUÇÃO DE 
VÍDEO","Faro",29/01/10,"PUBLIRÁDIO - PUBLICIDADE 
EXTERIOR SA","ALG-01-0403-FEDER-008248","53.479,37","71.305,83"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","Vale I&DT","Cod. PO: ALG-03-2009-06    
Cod: SI: 19/SI/2009","AQUISIÇÃO DE EQUIPAMENTO PARA PRODUÇÃO DE CINEMA DIGITAL","Faro",29/01/10,"FLAVOUR PRODUCTIONS - LABORATÓRIOS AUDIOVISUAIS E MULTIMÉDIA, LDA","ALG-01-0403-FEDER-008218","156.033,47","208.044,62"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2007-02    
Cod: SI: 04/SI/2007","TURIMARKETPLACE - Criação de um marketplace para o 
sector do Turismo","Portimão",23/09/09,"Mirefugio Lda","ALG-01-0403-FEDER-001313","187.148,50","340.270,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2008-02    
Cod: SI:06/SI/2008","Espaço integrado de animação turística e cultural como 
""Montra de Qualidade de Portugal para o Mundo""","Loulé",28/08/08,"Monte das Escanxinas - Cultura e 
Turismo, Lda.","ALG-01-0403-FEDER-002769","360.762,35","555.019,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2009-03    
Cod: SI: 12/SI/2009","CRIAÇÃO DE EMPRESA DE VALORIZAÇÃO DE 
RESIDUOS DE CONSTRUÇÃO E DEMOLIÇÃO","Lagoa",03/09/09,"REFLEXO DO PROGRESSO 
RESÍDUOS, LDA","ALG-01-0403-FEDER-006853","756.363,35","1.008.484,47"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2009-03    
Cod: SI: 12/SI/2009","CRIAÇÃO DE HEALTH CLUB-WELLNESS CENTER (SPA)","Faro",03/09/09,"SINGULAR CONCEITO, LDA","ALG-01-0403-FEDER-006863","621.078,97","828.105,29"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2009-03    
Cod: SI: 12/SI/2009","CLEARWINDS - DESENVOLVIMENTO DE 
EQUIPAMENTOS DE CONTROLO DE POLUIÇÃO DO AR","Lagos",03/09/09,"CLEARWINDS-SYSTEMS, SA","ALG-01-0403-FEDER-006867","138.978,68","252.688,51"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2009-03    
Cod: SI: 12/SI/2009","TERTÚLIA ALGARVIA","Faro",03/09/09,"GOOD MOMENTS - INDÚSTRIA 
CRIATIVA DE CULTURA E 
ALIMENTAÇÃO TRADICIONAL","ALG-01-0403-FEDER-006875","256.638,85","394.829,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Empreendedoris mo","Cod. PO: ALG-03-2009-08    
Cod: SI: 12/SI/2009","REFORÇO DA CAPACIDADE DE DISTRIBUIÇÃO E 
ABERTURA DE LOJA","Portimão",22/03/10,"BIO DESAFIOS, LDA","ALG-01-0403-FEDER-012040","106.203,44","141.604,58"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Inovação","SI Inovação - Regime Especial","-","Construção de um complexo de turismo desportivo 
(Autódromo Internacional do Algarve)","Portimão",23/11/09,"Parkalgar Parques Tecnológicos e 
Desportivos, S.A.","ALG-01-0403-FEDER-001639","2.000.000,00","34.424.321,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2007-01   
Cod. SI: 01/SI/2007","Reforço das capacidades de desenvolvimento e 
comercialização com vista à internacionalização","São Brás de 
Alportel",04/04/08,"CESA CORREIA LIMITADA","ALG-01-0401-FEDER-000361","21.739,09","62.111,68"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2007-01   
Cod. SI: 01/SI/2007","Melhoria do sistema de controlo de gestão e de logística, 
certificação de serviços e internacionalização","Olhão",04/04/08,"Verdesul - Técnicas Agrícolas, Lda.","ALG-01-0401-FEDER-000437","125.888,40","279.752,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2007-01   
Cod. SI: 01/SI/2007","Certificação Sistema Gestão Qualidade pela Norma ISO 
9001:2000, modernização e reforço do recurso a TIC na 
Organização e Gestão, inserção activa na Economia 
Digital, promoção internacional","Lagos",04/04/08,"Ecossistemasol - Construção de 
Espaços Verdes, Lda","ALG-01-0401-FEDER-000590","33.805,35","75.123,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2007-01   
Cod. SI: 01/SI/2007","Projecto de investimento na qualificação e promoção 
turística","Loulé",04/04/08,"Monte da Quinta Club, Actividades 
Hoteleiras, S.A.","ALG-01-0401-FEDER-000704","173.274,37","495.069,63"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2007-01   
Cod. SI: 01/SI/2007","Vocacionar a empresa para o modelo de negócio do futuro","Loulé",04/04/08,"Turismo Motivatours Lda","ALG-01-0401-FEDER-000915","72.691,90","161.537,55"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-01   
Cod. SI: 02/SI/2008","Investimentos em TIC, economia digital e 
comercialização/marketing, para reforço da posição de 
líder regional do sector","Albufeira",18/07/08,"GARRAFEIRA SOARES - Comércio 
de Bebidas, SA","ALG-01-0401-FEDER-001998","119.579,42","256.782,91"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-01   
Cod. SI: 02/SI/2008","ECOSALT - Rotulagem ecológica do sal marinho 
tradicional e da flor de sal, para promover uma ética de 
consumo","Olhão",18/07/08,"Necton - Companhia Portuguesa de 
Culturas Marinhas, S.A.","ALG-01-0201-FEDER-002038","43.789,01","97.308,92"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-01   
Cod. SI: 02/SI/2008","Divulgação/implementação dos produtos e serviços no 
mercado Argentino (Algardata Hotelaria e Algardata 
Aurorasoft)","Loulé",18/07/08,"Algardata - Sistemas Informáticos, 
S.A.","ALG-01-0401-FEDER-002039","27.540,00","72.900,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-01   
Cod. SI: 02/SI/2008","Gestão de qualidade e internacionalização","Olhão",18/07/08,"Hubel Industria da Água, Ambiente e 
Obras Públicas, S.A.","ALG-01-0401-FEDER-002256","78.498,90","174.442,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-04   
Cod. SI: 14/SI/2008","Ideia Critica Lda","Faro",02/03/09,"Ideia Critica Lda","ALG-01-0201-FEDER-004009","15.812,46","35.138,80"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-04   
Cod. SI: 14/SI/2008","Vinalda - Companhia Comercial de Bebidas, S.A.","Loulé",02/03/09,"Vinalda - Companhia Comercial de 
Bebidas, S.A.","ALG-01-0401-FEDER-004026","34.902,61","77.561,35"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2008-04   
Cod. SI: 14/SI/2008","Apolonia Supermercados, S.A.","Multi concelhos",02/03/09,"Apolonia Supermercados, S.A.","ALG-01-0401-FEDER-004072","93.265,32","266.472,33"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","ECOSOLAR-Valorização ecológica para um turismo 
sustentável","Faro",30/07/09,"SUNQUAYS Lda","ALG-01-0401-FEDER-005895","111.348,74","247.441,64"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Informação para Gestão e Economia Digital","Faro",30/07/09,"IMPRUV - Design & Web Information 
Technology, Lda","ALG-01-0401-FEDER-006009","91.728,00","203.840,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Competitividade e Sustentabilidade rumo à Excelência","Albufeira",30/07/09,"Mundo Aquático - Parques 
Oceanográficos de Entretenimento 
Educativo, SA","ALG-01-0401-FEDER-006118","75.084,00","187.710,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Internacionalização e Competitividade","Portimão",30/07/09,"Sienave - Sienitos do Algarve, Lda.","ALG-01-0401-FEDER-006237","212.321,80","471.826,22"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Reorganização, Expansão e Internacionalização do Joro, 
Lda","Multi concelhos",30/07/09,"JORO Importação Comercialização 
Distribuição Equipamentos e 
Assistência Técnica, Lda","ALG-01-0401-FEDER-006341","119.738,25","266.085,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Central de Projectos","Loulé",30/07/09,"All Domotics S.A.","ALG-01-0401-FEDER-006674","42.018,69","76.790,18"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Gestão de reservas, call centre e TIC","Loulé",30/07/09,"Algarve T - Cooperativa de 
Automóveis de Turismo do Algarve 
CRL","ALG-01-0401-FEDER-006702","42.999,99","95.555,54"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-01  
Cod. SI: 03/SI/2009","Internacionalização","Tavira",30/07/09,"RUI FRANCISCO NEVES DIAS","ALG-01-0401-FEDER-006739","26.430,48","58.734,40"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","ACTIVIDADES DE PLANTAÇÃO E MANUTENÇÃO DE 
JARDINS","Silves",22/03/10,"DOMINGOS MANUEL PÁSCOA 
DOS REIS SILVA","ALG-01-0201-FEDER-012280","17.401,13","38.669,18"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","QUALIFICAÇÃO DA VISUALFORMA","Faro",22/03/10,"VISUALFORMA - FORMAÇÃO E 
PROGRAMAÇÃO EM NOVAS 
TECNOLOGIAS, LDA","ALG-01-0401-FEDER-012325","325.983,08","724.406,84"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","INTERNACIONALIZAÇÃO; REFORÇO DAS TIC NA 
GESTÃO; CERTIFICAÇÃO ISO 9001; ECONOMIA 
DIGITAL; REFORÇO DA ÁREA DE SEGURANÇA NO 
TRABALHO; REFORÇO DOS EQUIPAMENTOS VISANDO 
A PROTECÇÃO AMBIENTAL; APOSTA NA EFICIÊNCIA 
ENERGÉTICA","Lagos",22/03/10,"ODEXLAR - PRODUTOS DE 
HIGIENE E LIMPEZA DOMESTICA, 
LDA","ALG-01-0201-FEDER-012359","86.361,04","191.913,43"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","QUALIFICAÇÃO TURALVOR","Portimão",22/03/10,"TURALVOR - EXPLORAÇÃO 
APARTAMENTOS TURISTICOS, 
LDA","ALG-01-0401-FEDER-012432","34.792,56","77.316,81"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","EXPLORAÇÃO TURÍSTICA DO EMPREENDIMENTO 
EDEN RESORT","Albufeira",22/03/10,"DUARTE & FILHOS VI, 
UNIPESSOAL, LDA","ALG-01-0401-FEDER-012468","23.365,60","58.414,00"
"EP1 - Competitividade, Inovação e Conhecimento","Apoio à Competitividade e Inovação das Empresas","Incentivos à Qualificação e Internacionalização de PME","SI Qualificação PME - Individuais","Cod. PO: ALG-01-2009-10  
Cod. SI: 29/SI/2009","MARREIROS GLOBALENQUADRAMENTO NAS 
TIPOLOGIAS  1)DESENVOLVIMENTO E ENGENHARIA 
DE PRODUTOS, SERVI?OS E PROCESSOS IREMOS 
ADOPTAR UM NOVO SISTEMA DE GEST?O TOTAL, 
NOMEADAMENTE AO N?VEL DE LOG?STICA QUE 
PERMITIR? EFECTIVOS GANHOS DE 
COMPETITIVIDADE PR? VIA DA","Faro",22/03/10,"MARREIROS, LDA","ALG-01-0401-FEDER-012593","12.105,45","26.901,00"
