FITA,MITC,Maltese Text to Speech Synthesis (Ref. No. 114),2008,"€ 447,443",85%
Ministry for Gozo***,Ministry for Gozo,Upgrading of Zewwieqa Waterfront,2009,"€ 5,173,092",85%
Fondazzjoni Belt Victoria***,NGO,The Making of a People- A Cultural and Historical Eco- Museum,2009,"€ 1,078,825",72.25%
San Lawrenz Parish Church***,NGO,Restoration of San Lawrenz Church to Enhance Cultural Tourism,2009,"€ 442,515",72.25%
Fondazzjoni Wirt Artna***,NGO,RE.VI.VE - Renewed Visitor Venues,2009,"€ 2,324,800",72.25%
Foundation Melitensis***,NGO,Reviving Cospicua's Architectural Soul through a series of Museum Spaces,2009,"€ 1,283,691",72.25%
Malta Aviation***,NGO,Construction of Main Exhibition Hangar and Run Off Water Reservoir,2009,"€ 443,517",72.25%
Malta Environment***,OPM,Developing National Environment Monitoring Infrastructure and Capacity,2010,"€ 4,729,718",85%
Grand Harbour Regeneration***,MITC,Vertical Connection: Better accessibility through innovative and cleaner transport,2010,"€ 1,913,558",85%
*** All figures are indicative as the grant agreements are in the process of being finalised.,,,,,

















,"€ 569,715",n/a,85%
