country,region,uri,google_translate_uri
Bulgaria,Human Resources Development OP - Cross-cultural projects,http://ef.mlsp.government.bg/gf.php?id=1932,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://ef.mlsp.government.bg/gf.php?id=1932
Bulgaria,Human Resources Development OP - Post-graduates and students,http://ef.mlsp.government.bg/gf.php?id=1933,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://ef.mlsp.government.bg/gf.php?id=1933
Bulgaria,Human Resources Development OP - Social care,http://www.eufunds.bg/docs/Copy of Information_odobreni beneficienti.pdf,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://www.eufunds.bg/docs/Copy of Information_odobreni beneficienti.pdf
Bulgaria,Human Resources Development OP - Training and skills,http://ef.mlsp.government.bg/gf.php?id=1930,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://ef.mlsp.government.bg/gf.php?id=1930
Cyprus,,http://www.structuralfunds.org.cy/default.aspx?articleID=17565,http://translate.google.com/translate?hl=en&sl=el&tl=en&u=http://www.structuralfunds.org.cy/default.aspx?articleID=17565
Czech Republic,,http://www.esfcr.cz/modules/projects/index.php,http://translate.google.com/translate?hl=en&sl=cs&tl=en&u=http://www.esfcr.cz/modules/projects/index.php
Denmark,,http://www.ebst.dk/eustrukturfonde.dk,http://translate.google.com/translate?hl=en&sl=da&tl=en&u=http://www.ebst.dk/eustrukturfonde.dk
Estonia,,http://www.struktuurifondid.ee/?searchtype=1&id=13841&search_criteria=0&search_string=esf&toetuse_saaja=&registrikood=&projekti_nimi=&maakond=&programmiperiood=&meede=&toetuse_suurus_eek_alates=&toetuse_suurus_eek_kuni=&fond=&kestvus=&kestvus_k,http://translate.google.com/translate?hl=en&sl=et&tl=en&u=http://www.struktuurifondid.ee/?searchtype=1&id=13841&search_criteria=0&search_string=esf&toetuse_saaja=&registrikood=&projekti_nimi=&maakond=&programmiperiood=&meede=&toetuse_suurus_eek_alates=&toetuse_suurus_eek_kuni=&fond=&kestvus=&kestvus_k
Finland,,https://www.eura2007.fi/rrtiepa/,http://translate.google.com/translate?hl=en&sl=fi&tl=en&u=https://www.eura2007.fi/rrtiepa/
France,,http://www.fse.gouv.fr/presentation-des-projets-fse/cartographie-des-beneficiaires/,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.fse.gouv.fr/presentation-des-projets-fse/cartographie-des-beneficiaires/
Germany,,http://www.esf.de/portal/generator/1294/verzeichnis__der__beguenstigten.html,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.esf.de/portal/generator/1294/verzeichnis__der__beguenstigten.html
Greece,,http://www.esfhellas.gr/articleDetails.aspx?iden=148,http://translate.google.com/translate?hl=en&sl=el&tl=en&u=http://www.esfhellas.gr/articleDetails.aspx?iden=148
Hungary,,http://www.nfu.hu/content/58,http://translate.google.com/translate?hl=en&sl=hu&tl=en&u=http://www.nfu.hu/content/58
Ireland,,http://www.esf.ie/en/hci-overview.aspx,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://www.esf.ie/en/hci-overview.aspx
Italy,National,http://www.lavoro.gov.it/Lavoro/Europalavoro/SezioneOperatori/ProgrammazioneFSE20072013/ComunicazioneTrasparenza/ElencoBeneficiari.htm,http://translate.google.com/translate?hl=en&sl=it&tl=en&u=http://www.lavoro.gov.it/Lavoro/Europalavoro/SezioneOperatori/ProgrammazioneFSE20072013/ComunicazioneTrasparenza/ElencoBeneficiari.htm
Italy,Regional,http://www.lavoro.gov.it/Lavoro/Europalavoro/SezioneOperatori/ProgrammazioneFSE20072013/ComunicazioneTrasparenza/Linkelenchi+beneficiari,http://translate.google.com/translate?hl=en&sl=it&tl=en&u=http://www.lavoro.gov.it/Lavoro/Europalavoro/SezioneOperatori/ProgrammazioneFSE20072013/ComunicazioneTrasparenza/Linkelenchi+beneficiari
Latvia,Better university education,http://ec.europa.eu/employment_social/esf/docs/list_3_LV.xls,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://ec.europa.eu/employment_social/esf/docs/list_3_LV.xls
Latvia,Supporting school teachers,http://ec.europa.eu/employment_social/esf/docs/list_2_LV.xls,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://ec.europa.eu/employment_social/esf/docs/list_2_LV.xls
Latvia,Work and social inclusion,http://www.nva.lv/esf/index.php?cid=3&mid=29,http://translate.google.com/translate?hl=en&sl=lv&tl=en&u=http://www.nva.lv/esf/index.php?cid=3&mid=29
Lithuania,,http://www.esparama.lt/lt/bpd/zemelapis/zemelapis/?s=1&f_date_from=2004-01-01&f_date_to=2008-12-31&f_fund=esf,http://translate.google.com/translate?hl=en&sl=lt&tl=en&u=http://www.esparama.lt/lt/bpd/zemelapis/zemelapis/?s=1&f_date_from=2004-01-01&f_date_to=2008-12-31&f_fund=esf
Luxembourg,,http://www.fse.public.lu/projets/periode20072013/2007_2010/index.html,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.fse.public.lu/projets/periode20072013/2007_2010/index.html
Malta,,http://www.ppcd.gov.mt/file.aspx?f=366,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://www.ppcd.gov.mt/file.aspx?f=366
Poland,,http://www.efs.gov.pl/Strony/lista_beneficjentow_POKL.aspx,http://translate.google.com/translate?hl=en&sl=pl&tl=en&u=http://www.efs.gov.pl/Strony/lista_beneficjentow_POKL.aspx
Portugal,,http://www.igfse.pt/content.asp?startAt=2&categoryID=296,http://translate.google.com/translate?hl=en&sl=pt&tl=en&u=http://www.igfse.pt/content.asp?startAt=2&categoryID=296
Romania,Human Resources Development OP,http://www.fseromania.ro/images/downdocs/beneficiari_posdru.pdf,http://translate.google.com/translate?hl=en&sl=ro&tl=en&u=http://www.fseromania.ro/images/downdocs/beneficiari_posdru.pdf
Slovakia,,http://www.esf.gov.sk/new/index.php?SMC=1&id=64,http://translate.google.com/translate?hl=en&sl=sk&tl=en&u=http://www.esf.gov.sk/new/index.php?SMC=1&id=64
Slovenia,,http://www.euskladi.si/razpisi/default.aspx,http://translate.google.com/translate?hl=en&sl=sl&tl=en&u=http://www.euskladi.si/razpisi/default.aspx
Spain,,http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf,http://translate.google.com/translate?hl=en&sl=es&tl=en&u=http://ec.europa.eu/employment_social/esf/docs/beneficiarios_2007-_fse-espana1.pdf
Sweden,Mellersta Norrland,http://www.esf.se/sv/Min-region/Mellersta-Norrland/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Mellersta-Norrland/
Sweden,Norra Mellansverige,http://www.esf.se/sv/Min-region/Norra-Mellansverige/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Norra-Mellansverige/
Sweden,Småland & Öarna,http://www.esf.se/sv/Min-region/Smaland--Oarna/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Smaland--Oarna/
Sweden,Stockholm,http://www.esf.se/sv/Min-region/Stockholm/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Stockholm/
Sweden,Sydsverige,http://www.esf.se/sv/Min-region/Sydsverige/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Sydsverige/
Sweden,Västsverige,http://www.esf.se/sv/Min-region/Vastsverige/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Vastsverige/
Sweden,Östra Mellansverige,http://www.esf.se/sv/Min-region/Ostra-Mellansverige/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Ostra-Mellansverige/
Sweden,Övre Norrland,http://www.esf.se/sv/Min-region/Ovre-Norrland/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.esf.se/sv/Min-region/Ovre-Norrland/
The Netherlands,Agentschap SZW,http://agentschap.szw.nl/index.cfm?fuseaction=dsp_rubriek&rubriek_id=392188&menu_item=14389,http://translate.google.com/translate?hl=en&sl=nl&tl=en&u=http://agentschap.szw.nl/index.cfm?fuseaction=dsp_rubriek&rubriek_id=392188&menu_item=14389
The Netherlands,Europa om de hoek,http://www.europaomdehoek.nl/,http://translate.google.com/translate?hl=en&sl=nl&tl=en&u=http://www.europaomdehoek.nl/
United Kingdom,England and Gibraltar,http://www.esf.gov.uk/esf_in_action/esf_projects.asp,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://www.esf.gov.uk/esf_in_action/esf_projects.asp
United Kingdom,Scotland - Highlands and Islands programme,http://ec.europa.eu/employment_social/esf/docs/highlands_islands_programme.xls,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://ec.europa.eu/employment_social/esf/docs/highlands_islands_programme.xls
United Kingdom,Scotland - Lowlands and Uplands programme,http://ec.europa.eu/employment_social/esf/docs/lowlands_uplands_programme.doc,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://ec.europa.eu/employment_social/esf/docs/lowlands_uplands_programme.doc
United Kingdom,Northern Ireland,http://www.dfpni.gov.uk/list_of_northern_ireland_beneficiaries_of_eu_funding_2007-3.pdf,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://www.dfpni.gov.uk/list_of_northern_ireland_beneficiaries_of_eu_funding_2007-3.pdf
United Kingdom,Wales,http://www.wefo.wales.gov.uk/resource/beneficiaries5035.pdf,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://www.wefo.wales.gov.uk/resource/beneficiaries5035.pdf
