country,region,uri,google_translate_uri
LITHUANIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../lithuania/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=lt&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../lithuania/crossborder/index_en.htm
LITHUANIA,South Baltic,http://en.southbaltic.eu/index/,http://translate.google.com/translate?hl=en&sl=lt&tl=en&u=http://en.southbaltic.eu/index/
LITHUANIA,Latvija - Lietuva,http://www.latlit.eu/eng/running_projects/,http://translate.google.com/translate?hl=en&sl=lt&tl=en&u=http://www.latlit.eu/eng/running_projects/
LITHUANIA,Lietuva - Polska,http://www.lietuva-polska.eu/index.php?3922436117,http://translate.google.com/translate?hl=en&sl=lt&tl=en&u=http://www.lietuva-polska.eu/index.php?3922436117
LUXEMBOURG,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../luxembourg/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../luxembourg/crossborder/index_en.htm
LUXEMBOURG,Grande Région,http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.wbi.be/cgi/bin3/render.cgi?id=0131623_article&ln=ln1&userid=&rubr=interreg
HUNGARY,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../hungary/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=hu&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../hungary/crossborder/index_en.htm
HUNGARY,Österreich - Magyarország,http://sk-at.eu/at-hu/en/news.php,http://translate.google.com/translate?hl=en&sl=hu&tl=en&u=http://sk-at.eu/at-hu/en/news.php
MALTA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../malta/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../malta/crossborder/index_en.htm
NETHERLANDS,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../netherlands/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=nl&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../netherlands/crossborder/index_en.htm
NETHERLANDS,Euregio Maas Rhein,http://www.interregemr.eu/site_nl/news/news.php,http://translate.google.com/translate?hl=en&sl=nl&tl=en&u=http://www.interregemr.eu/site_nl/news/news.php
NETHERLANDS,Deux Mers,http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf,http://translate.google.com/translate?hl=en&sl=nl&tl=en&u=http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf
NETHERLANDS,Vlaanderen - Nederland,http://www.grensregio.eu/nieuws.aspx,http://translate.google.com/translate?hl=en&sl=nl&tl=en&u=http://www.grensregio.eu/nieuws.aspx
AUSTRIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../austria/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../austria/crossborder/index_en.htm
AUSTRIA,Alpenrhein - Bodensee - Hochrhein,http://www.interreg.org/ViewContent.php?aktsubid=1&mainlink=1&mainnavid=354&subnavid=354&targetid=186&child=1,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.interreg.org/ViewContent.php?aktsubid=1&mainlink=1&mainnavid=354&subnavid=354&targetid=186&child=1
AUSTRIA,Österreich - Česká Republika,http://www.at-cz.eu/at-cz/de/7-2_2007-2013.php,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.at-cz.eu/at-cz/de/7-2_2007-2013.php
AUSTRIA,Deutschland/Bayern - Österreich,http://www.interreg-bayaut.net/interreg_iv/pool.html,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.interreg-bayaut.net/interreg_iv/pool.html
AUSTRIA,Österreich - Magyarország,http://sk-at.eu/at-hu/en/news.php,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://sk-at.eu/at-hu/en/news.php
AUSTRIA,Slovensko - Österreich,http://www.sk-at.eu/sk-at/en/3-1_project_database.php,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://www.sk-at.eu/sk-at/en/3-1_project_database.php
POLAND,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../poland/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=pl&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../poland/crossborder/index_en.htm
POLAND,Česká Republika - Polska,http://www.cz-pl.eu/seznam-prijemcu-podpory-z-fondu-eu.html,http://translate.google.com/translate?hl=en&sl=pl&tl=en&u=http://www.cz-pl.eu/seznam-prijemcu-podpory-z-fondu-eu.html
POLAND,South Baltic,http://en.southbaltic.eu/index/,http://translate.google.com/translate?hl=en&sl=pl&tl=en&u=http://en.southbaltic.eu/index/
POLAND,Lietuva - Polska,http://www.lietuva-polska.eu/index.php?3922436117,http://translate.google.com/translate?hl=en&sl=pl&tl=en&u=http://www.lietuva-polska.eu/index.php?3922436117
POLAND,Polska - Slovensko,http://pl.plsk.eu/news/?lang_id=3&id_news=194,http://translate.google.com/translate?hl=en&sl=pl&tl=en&u=http://pl.plsk.eu/news/?lang_id=3&id_news=194
PORTUGAL,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../portugal/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=pt&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../portugal/crossborder/index_en.htm
PORTUGAL,España - Portugal,http://www.poctep.eu/,http://translate.google.com/translate?hl=en&sl=pt&tl=en&u=http://www.poctep.eu/
ROMANIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../romania/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=ro&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../romania/crossborder/index_en.htm
ROMANIA,România - Bulgaria,http://www.cbcromaniabulgaria.eu/index.php?page=HOME&language=2,http://translate.google.com/translate?hl=en&sl=ro&tl=en&u=http://www.cbcromaniabulgaria.eu/index.php?page=HOME&language=2
SLOVENIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../slovenia/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=sl&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../slovenia/crossborder/index_en.htm
SLOVAKIA,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../slovakia/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=sk&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../slovakia/crossborder/index_en.htm
SLOVAKIA,Slovensko - Österreich,http://www.sk-at.eu/sk-at/en/3-1_project_database.php,http://translate.google.com/translate?hl=en&sl=sk&tl=en&u=http://www.sk-at.eu/sk-at/en/3-1_project_database.php
SLOVAKIA,Polska - Slovensko,http://pl.plsk.eu/news/?lang_id=3&id_news=194,http://translate.google.com/translate?hl=en&sl=sk&tl=en&u=http://pl.plsk.eu/news/?lang_id=3&id_news=194
FINLAND,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../finland/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=fi&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../finland/crossborder/index_en.htm
FINLAND,Central Baltic,http://www.centralbaltic.eu/projects/project-search,http://translate.google.com/translate?hl=en&sl=fi&tl=en&u=http://www.centralbaltic.eu/projects/project-search
FINLAND,Nord,http://www.interregnord.com/sv/beviljade-projekt.aspx,http://translate.google.com/translate?hl=en&sl=fi&tl=en&u=http://www.interregnord.com/sv/beviljade-projekt.aspx
FINLAND,Botnia-Atlantica,http://www.botnia-atlantica.eu/default.asp?ML=11329,http://translate.google.com/translate?hl=en&sl=fi&tl=en&u=http://www.botnia-atlantica.eu/default.asp?ML=11329
SWEDEN,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../sweden/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../sweden/crossborder/index_en.htm
SWEDEN,Nord,http://www.interregnord.com/sv/beviljade-projekt.aspx,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.interregnord.com/sv/beviljade-projekt.aspx
SWEDEN,Botnia-Atlantica,http://www.botnia-atlantica.eu/default.asp?ML=11329,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.botnia-atlantica.eu/default.asp?ML=11329
SWEDEN,Central Baltic,http://www.centralbaltic.eu/projects/project-search,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.centralbaltic.eu/projects/project-search
SWEDEN,Öresund - Kattegatt - Skagerrak,http://www.interreg-oks.eu/se/Menu/Projekt/Godk%C3%A4nda+projekt,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://www.interreg-oks.eu/se/Menu/Projekt/Godk%C3%A4nda+projekt
SWEDEN,South Baltic,http://en.southbaltic.eu/index/,http://translate.google.com/translate?hl=en&sl=sv&tl=en&u=http://en.southbaltic.eu/index/
UK,all regions,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../uk/crossborder/index_en.htm,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://ec.europa.eu/regional_policy/country/commu/beneficiaries//../uk/crossborder/index_en.htm
UK,Deux Mers,http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf,http://translate.google.com/translate?hl=en&sl=en&tl=en&u=http://interreg4a-2mers.eu/Call01/Beneficiaries.pdf
