Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
Produforum,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.6.2009,31.12.2011,Föreningen Luckan i huvudstadsregionen rf.,95 566,0,136 049,0,412 300,0
Naisten koulu - integraatiota ja arjen taitoja maahanmuttajanaisille,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2009,31.12.2011,Oulun Seudun setlementti ry,88 213,3 924,99 474,4 425,346 700,8 349
Kansainvälinen yhteistyö hyvien käytäntöjen etsimiseksi ja levittämiseksi,Riksomfattande delen,4,Arbets- och näringsministeriet,Verksamhet pågår,16.1.2009,31.12.2013,Työ- ja elinkeinoministeriö,57 810,4 065,65 190,4 584,849 000,8 649
SIHTI,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2009,31.8.2012,"Oulun Diakonissalaitoksen Säätiö, Kuntoutuksen ja Diakonian erityispalvelut",164 777,0,185 812,0,1 056 533,0
SIHTI - TYÖVOIMAPOLIITTISET TOIMENPITEET,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2009,31.8.2012,Pohjois-Pohjanmaan TE - keskus,154 214,0,173 900,0,994 723,0
Tekemällä tulevaisuuteen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.9.2009,31.12.2012,Etelä-Pohjanmaan TE-keskus työllisyys ja yrittäjyys vastuualue,227 538,8 632,245 329,9 307,1 858 594,17 939
Elintarvikealan pk-yritysten kansainvälistymisohjelma,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.9.2009,31.12.2011,Turku Science Park Oy,35 517,0,40 237,0,143 043,0
Satakunnan maahanmuuttajien ohjausverkosto,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,1.10.2009,31.12.2010,Kokemäenjokilaakson koulutuskuntayhtymä / Huittisten aikuiskoulutuskeskus (HAKK),48 085,0,51 915,0,115 485,0
Sosiaalinen Sirkus,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.8.2009,31.10.2011,"Tampereen yliopisto, Tutkivan teatterityön keskus",167 339,0,181 283,0,633 182,0
"Länsi, sto, tiedotus",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2008,31.12.2013,Länsi-Suomen lääninhallitus,0,0,0,0,6 000,0
"Länsi, sivo, tiedotus",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.11.2007,31.12.2013,Länsi-Suomen lääninhallitus,49 200,25 200,70 800,36 263,120 000,61 463
ESR-ohjelman tekninen tuki 2007 - 2013 Kaakkois-Suomi,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.1.2007,31.12.2013,Kaakkois-Suomen TE-keskus,11 520,0,16 480,0,98 000,0
RECEPTOR: Kansainväliseen sijoittumis- ja tutkimuskysyntään vastaaminen huippuosaamisalojen yritysyhteistyön toimintatapoja kehittämällä,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.8.2009,31.12.2011,Finn-Medi Tutkimus Oy,141 350,0,159 018,0,590 250,0
ALMA - alueellisen maahanmuuton kehittämishanke,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.11.2009,31.10.2012,Tampereen kaupunki,93 788,0,89 302,0,609 870,0
"To Care, To Dare, To Share - Syrjäytymisen ehkäiseminen ammattikorkeakouluopinnoissa (CDS)",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2009,30.8.2011,Diakonia-ammattikorkeakoulu Oy (Diak Länsi),440 185,0,378 282,0,1 639 092,0
"Tekninen tuki, Hallinto",Riksomfattande delen,5,Österbottens förbund,Verksamhet pågår,1.1.2009,31.12.2013,Pohjanmaan liitto,4 200,0,6 300,0,52 500,0
Terveyttä talviuinnista,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.9.2009,31.8.2012,Suomen Latu ry.,98 251,0,106 439,0,323 080,0
Työhyvinvoinnilla tulosta,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.1.2010,30.9.2012,"Seinäjoen koulutuskuntayhtymä, Sedu Aikuiskoulutus, liikelaitos",60 900,0,63 350,0,152 250,0
Teknologiayritysten henkilökunnan yritys-/alakohtainen kouluttautuminen (TeknoBoost),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2010,31.12.2012,Hämeen ammatillisen korkeakoulutuksen kuntayhtymä,176 970,0,251 296,0,642 400,0
"LOIMU - Laatua, oppia, intoa ja muutoksen hallintaa yrityslähtöisellä koulutuksella",Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2010,30.6.2012,Lapin TE-keskus,54 775,0,54 775,0,274 875,0
AKTIIVI -tukihanke,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2010,31.10.2011,Kemi-Tornion ammattikorkeakoulu,51 318,0,12 829,0,74 320,0
EKA Opin Ovi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.12.2009,31.12.2011,Etelä-Karjalan koulutuskuntayhtymä / Etelä-Karjalan aikuisopisto,80 288,0,92 562,0,367 622,0
Pedagoginen asiantuntijuus liikkeessä. Opettajatarpeen ja opettajien osaamisvaatimusten ennakointi,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.1.2010,31.12.2012,Jyväskylän yliopisto,103 487,0,90 551,0,616 728,0
HAAVI - Henkilökohtaisen aktivointipalvelun kehittämishanke (HAAVI - projekti),Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.5.2009,31.12.2012,Etelä-Pohjanmaan sosiaalipsykiatrinen yhdistys ry.,179 510,0,269 265,0,528 450,0
Osaamisen ennakointi meriteollisuudessa,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.10.2009,30.9.2011,Koneteknologiakeskus Turku Oy,77 600,0,88 280,0,300 000,0
Digitala vägen,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.9.2009,31.8.2012,Svenska Österbottens förbund för utbildning och kultur skn/Yrkesakademin i Österbotten,59 412,0,68 618,0,333 560,0
KIELIVAKKA - kielikoulutusmateriaalia maahanmuuttajille.,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.9.2009,31.8.2012,Turun ammatti-instituutti,26 603,0,29 634,0,159 342,0
ESR tekninen tuki,Riksomfattande delen,5,Päijänne-Tavastlands förbund,Verksamhet pågår,1.1.2008,31.12.2013,"Päijät-Hämeen liito, Etelä-Suomen maakuntien EU-yksikkö",16 500,0,23 000,0,39 500,0
Energia- ja nanoteknologiaa sekä toiminnallisia materiaaleja kehittävän avoimen innovaatioympäristön rakentaminen - ENNA,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.11.2009,30.6.2012,Hermia Oy,19 950,0,13 377,0,741 200,0
Nainen johtajaksi,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2009,31.12.2011,Itä-Suomen Yliopistoseura ry,103 000,7 504,112 000,8 160,258 000,16 164
Uusi Silta Yrittäjyyteen,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.1.2010,31.12.2012,Lahden alueen uusyrityskeskus ry,187 872,0,117 420,0,587 100,0
Alkavien yrittäjien neuvonta ja sen kehittäminen Kanta-Hämeessä,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2009,31.8.2012,Hämeen ammatillisen korkeakoulutuksen kuntayhtymä,185 718,0,181 075,0,714 300,0
"Matkailijan ja matkailualan työntekijän suojautuminen ja turvallisuus, MatkaSuTu",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.5.2009,30.4.2012,"Työterveyslaitos, TY-osaamiskeskus",84 070,0,94 579,0,376 474,0
Kiravo - kirjasto avoimena oppimisympäristönä / Biblär - biblioteket som ett öppet lärcentra,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.9.2009,31.8.2012,Helsingin kaupunki / Helsingin kaupunginkirjasto,316 049,0,311 526,0,1 012 768,0
VERKKO HALTUUN! NÄTET I BESITTNING!,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.9.2009,31.8.2011,Seinäjoen ammattikorkeakoulu Kulttuurialan yksikkö Kirjasto-ja tietopalvelun koulutusohjelma,172 343,0,180 174,0,612 900,0
MONNI - Monikulttuurisempi koulu,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,"Helsingin yliopisto, Koulutus- ja kehittämiskeskus Palmenia Kotka",133 291,0,149 952,0,524 040,0
"Tervetuloa kotiin, Suupohjaan! työvoimapoliittiset toimenpiteet",Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,15.10.2008,14.10.2011,"Etelä-Pohjanmaan TE-keskus, työllisyys ja yrittäjyys vastuualue",26 253,0,39 379,0,65 632,0
Messi - meriteollisuuden sisustusvarustelun verkostokehitys,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.5.2009,31.12.2011,Prizztech Oy,68 887,0,94 030,0,273 820,0
D2B - Uusiutuvan energian kansainvälisten liiketoimintamahdollisuuksien tunnistaminen ja hyödyntäminen energiateknologia-alan yrityksissä,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.8.2009,31.12.2011,Hermia Oy,130 547,0,169 359,0,532 851,0
Osaamiskeskusten kansainvälisyysvalmiuksien kehittäminen ja vetovoimaisuuden hyödyntäminen,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.8.2009,31.12.2009,TEKEL Oy,68 322,2 774,102 483,4 162,170 805,6 936
Pk-yritysten kansallinen kasvuohjelma,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.8.2009,31.12.2011,TEKEL Oy,254 600,0,381 900,0,1 101 500,0
NEO-SEUTU,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.5.2009,31.12.2011,Helsingin kaupunki,283 830,0,319 309,0,1 119 833,0
Pohjois-Pohjanmaan ProtekTuki -projektin työvoimapoliittiset toimenpiteet,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.7.2009,30.6.2011,Pohjois-Pohjanmaan TE-keskus,354 000,0,346 000,0,700 000,0
AgroInka -Agroteknologian innovaatio- ja kasvuohjelma,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.8.2009,31.12.2011,Seinäjoen Teknologiakeskus Oy,48 060,0,64 590,0,190 200,0
Nanotech Finland,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.6.2009,31.12.2010,Jyväskylä Innovation Oy,52 614,0,63 488,0,427 442,0
BALTIC SEA INTEGRATION -hanke,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.10.2009,31.12.2011,HSE Pienyrityskeskus,102 938,0,122 458,0,461 145,0
Työtä ja tekijöitä,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.7.2009,31.12.2011,Kaakkois-Suomen TE-keskus,1 601 000,15 471,1 815 000,17 539,3 559 000,33 010
Välityömarkkinoiden kehittäminen -TYÖVOIMAPOLIITTISET TOIMENPITEET,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2009,31.12.2010,Pohjois-Pohjanmaan TE-keskus,491 480,42 752,482 520,39 463,1 274 000,132 972
Työtä ja osaamista Hämeeseen,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2009,31.12.2011,Hämeen TE-keskus,433 480,5 056,650 220,8 986,1 128 700,14 042
Työtä ja osaamista välityömarkkinoille,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2009,31.12.2011,Hämeen TE-keskus,823 520,35 117,1 172 780,58 585,2 060 000,98 622
Avara museo - kehittyvä oppimisympäristö aikuisille,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2010,31.12.2012,Suomen museoliitto - Finlands museiförbund ry,232 034,0,273 240,0,880 057,0
Korkeakouluopiskelijan syrjäytymisen ehkäiseminen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2009,31.7.2012,"Tampreen yliopisto, Opettajankoulutuslaitos",327 389,0,337 125,0,1 719 772,0
"Rovapolut - monikulttuuriset mahdollisuudet osaamisen kehittämiseen ja työllistymiseen Rovaseudulla,työvoimapoliittiset toimenpiteet",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.11.2008,31.10.2011,Lapin TE- keskus,23 150,0,23 150,0,138 900,0
TAIVEX - vientivalmennus,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.4.2009,31.12.2011,Teatterin tiedotuskeskus ry,137 289,0,158 934,0,533 500,0
Kumppanit työssä,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.3.2009,31.12.2011,Kiipulasäätiö,147 996,0,172 737,0,607 632,0
Opin Ovi -Etelä-Pohjanmaa,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.5.2009,28.2.2012,"Seinäjoen koulutuskuntayhtymä, Sedu Aikuiskoulutus, liikelaitos",77 310,0,77 175,0,331 400,0
Metsäalan innovaatio- ja osaamisverkosto,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.3.2009,31.7.2012,Tampereen ammattikorkeakoulu,191 646,3 083,215 245,3 463,965 000,7 162
Kokeellinen tuotekehityslaboratorio - Experimental Design LAB - EDEL,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.3.2009,31.12.2011,Seinäjoen Koulutuskuntayhtymä/ Seinäjoen Ammattikorkeakoulu Kulttuurialanyksikkö,115 244,3 735,99 996,3 241,412 500,6 976
Kulttuurin ketju - kulttuurin matkailullinen tuotteistaminen,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,24.2.2009,31.12.2011,Turun kaupunki/Turku Touring,205 200,0,226 800,0,769 500,0
PROTEK Etelä-Pohjanmaa,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.3.2009,30.6.2011,Etelä-Pohjanmaan TE-keskus,131 820,12 790,177 002,16 862,459 100,29 652
Kakkosvaihde,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.6.2009,30.5.2012,Keski-Pohjanmaan Uusyrityskeskus ry,21 659,0,24 425,0,284 400,0
Muutosturvaa ja huomisen osaajia,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.6.2009,31.12.2010,Pirkanmaan TE-keskus,1 157 020,49 819,1 735 530,74 728,3 147 550,124 547
Viljaklusterin osaaminen 2025,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.4.2009,31.3.2012,"Päijät-Hämeen koulutuskonserni -kuntayhtymä, Lahden ammattikorkeakoulu, Innovaatiokeskus",149 478,21 104,165 217,0,657 999,22 713
Pätkät pitkiksi ManSetti työvalmennuspalvelut,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,18.5.2009,31.12.2011,Tampereen Aikuiskoulutussäätiö/Tampereen aikuiskoulutuskeskus,159 696,4 291,197 416,5 305,666 090,9 596
Opin Ovi Keski-Pohjanmaalla,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.7.2009,30.6.2012,Keski-Pohjanmaan koulutusyhtymä / Keski-Pohjanmaan aikuisopisto,93 560,0,101 340,0,470 000,0
Art Hub - luovien alojen osaamisyhteisö,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.6.2009,31.5.2011,Tampereen Seudun Uusyrityskeskus ry,132 391,0,148 940,0,439 553,0
ESR-tiedotus Varsinais-Suomi,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.1.2009,31.12.2013,Varsinais-Suomen TE-keskus,6 600,1 835,4 400,854,61 000,2 689
"OKSA -projekti, Välityömarkkinoiden kehittämishanke Itä-Hämeessä",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.6.2009,31.5.2012,"Heinolan kaupunki, sosiaali- ja terveystoimi",415 004,0,415 004,0,1 239 160,0
Mielen hyvinvointi,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.3.2009,31.12.2011,"ORTON Invalidisäätiö, Keskuspuiston ammattiopisto",124 395,0,139 945,0,502 435,0
Steg för steg,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.1.2009,31.12.2011,Svenska Österbottens Förbund för utbildning och kultur/Yrkesakademin i Österbotten,85 130,0,95 770,0,321 412,0
LUKI-materiaalin tuottaminen verkkoon,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2009,31.3.2012,Adulta,49 300,0,55 462,0,189 000,0
Mun reitti - Toiminta- ja työkykyvalmennuksen kehittäminen ammatillisessa erityisopetuksessa,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.3.2009,28.2.2012,Hengitysliitto Heli ry./ Ammattiopisto Luovi,168 551,6 418,188 696,0,716 456,6 418
Palvelualan suomea maahanmuuttajille,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.3.2009,31.8.2011,Kemi-Torniolaakson koulutuskuntayhtymä Lappia,40 759,0,45 855,0,141 522,0
AHOT korkeakouluissa,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.3.2009,31.12.2011,Turun yliopisto,231 501,14 043,265 859,16 127,933 000,30 170
VALOA,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.3.2009,28.2.2012,Helsingin yliopisto,435 785,23 060,471 921,24 972,1 786 322,54 020
Kolme askelmaa yhteisölliseen työelämäkumppanuuteen - STEPIT,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.8.2008,31.5.2012,Keski-Pohjanmaan ammattikorkeakouluosakeyhtiö,207 714,50 326,249 967,60 564,1 601 358,125 469
TE-ERKKERI,Riksomfattande delen,3,Arbets- och näringsministeriet,Verksamhet pågår,1.1.2009,31.12.2011,Työvoimaopisto,66 364,44 427,80 846,54 122,510 500,128 131
OTE - Opintojen tukeminen ja opetusjärjestelyjen kehittäminen opiskelupolun eri vaiheissa,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.10.2008,30.6.2011,"Teknillinen korkeakoulu, Täydennyskoulutuskeskus Dipoli",380 220,72 232,452 889,86 037,2 014 998,161 667
VERSOT - Verkkosuomea maahanmuuttajille,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.5.2009,30.4.2012,AIKE International Oy,318 587,0,358 409,0,1 419 911,0
ERKKERI,Riksomfattande delen,3,Arbets- och näringsministeriet,Verksamhet pågår,1.9.2008,31.12.2011,Jyväskylän ammattikorkeakoulu,241 520,127 635,306 280,161 859,1 790 350,337 177
Tuottaja 2020,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.8.2009,31.7.2012,Metropolia Ammattikorkeakoulu Oy,74 635,0,83 238,0,343 310,0
Työperusteisen maahanmuuton tukihanke,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.5.2009,31.12.2010,Uudenmaan TE-keskus,46 880,0,70 320,0,294 850,0
OSAAJAVERKOSTO - koulutuksen ja työelämän yhteistyö valmistumisen tukena,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.3.2009,29.2.2012,"Tampereen teknillinen yliopisto, Porin yksikkö, Edupoint",111 920,0,117 280,0,468 940,0
Balanssi - Balans,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.9.2008,31.8.2011,Vaasan aikuiskoulutuskeskus,56 507,0,63 593,0,412 220,0
PROTEK - Toimenpiteet,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.10.2008,30.6.2011,Pohjanmaan TE-keskus,188 200,0,211 800,0,898 000,0
"Lapin Letka, työvoimapoliittiset toimenpiteet",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.3.2008,31.12.2013,Lapin TE-keskus,69 477,0,78 348,0,542 025,0
OpinTori,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.3.2009,28.2.2011,"Oulun seudun koulutuskuntayhtymä, Oulun seudun ammattikorkeakoulu, Täydennyskoulutus",90 780,0,100 920,0,581 500,0
Yritysten sukupolvenvaihdos ja siihen liittyvät teemat,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.2.2009,31.12.2011,Hämeen TE-keskus,27 440,6 838,41 160,10 257,203 600,17 095
Seudullisen yrittäjyyden edistäminen Keski-Suomessa (valtak.osio),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.8.2008,31.12.2010,Keski-Suomen TE-keskus,172 000,0,58 000,0,450 000,0
Sosiaalityön koulutuksen työelämälähtöisyys,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.12.2008,31.12.2011,Lapin yliopisto (Sosnetin koordinaatioyliopistona),181 297,15 945,204 803,18 012,454 500,33 957
"Polut, portaat ja pitkospuut työelämään",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,16.3.2009,31.5.2012,Manna ry,164 021,51 061,246 031,76 592,737 787,127 653
Balanssi - Balans - Toimenpiteet,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.9.2008,31.8.2011,Pohjanmaan TE-keskus,311 934,48 624,371 146,54 722,929 140,103 982
