Goedgekeurde EFRO-projecten Doelstelling 2 ‘Regionaal Concurrentievermogen en Werkgelegenheid’ 2007-2013,,,,,,,
Projectnaam,Promotor,,EFRO,Totale kost,EFRO-%,Startdatum,Einddatum
SCHERP: strategisch ICT-beleid en ERP in de KMO,Economische Raad voor Oost-Vlaanderen,"De ICT-infrastructuur bij Vlaamse KMO's is vaak organisch gegroeid en voor verbetering vatbaar. Voor een performant bedrijfsbeheer is het nochtans cruciaal om te beschikken over: een vlotte, geïntegreerde en uniforme toegang tot data; goede, op elkaar afgestemde processen; een hoge efficiëntie in het bedrijf, zowel in processen als in de communicatie. Entreprise Resource Planning (ERP) vormt hiervoor een oplossing. SCHERP wil de drempels om tot de implementatie van een geïntegreerd ICT-systeem over te gaan verlagen door sensibilisering en ondersteuning bij de bedrijfsleiding van de KMO's. Via een informatiecampagne en een vormings- en begeleidingstraject wordt hieraan invulling gegeven.","86,989.09","217,472.73",40.00%,12/16/08,12/15/10
Betonic@,Wetenschappelijk en Technische Centrum voor het Bouwbedrijf,"Betonic@ beoogt de inrichting van een informatiecentrum dat zich toelegt op het verzamelen en digitaal beschikbaar stellen van betoninformatie. Via samenwerking en inzet van digitale hulpmiddelen wordt een optimale doorstroming van informatie naar de betonsector beoogd, met de ondersteuning en stimulering van advies- en begeleidingsacties en vormingsinitiatieven als finaal einddoel. Het samenwerkingsverband omvat alle partijen die aan bod komen in de betonsector: de sectorfederaties via Infobeton.be en Fortea, overheden, onderwijs, technische instellingen en beroepsverenigingen via de BBG en aannemers en bouwprofessionelen via het WTCB. Zo staat het samenwerkingsverband garant voor een brede onderbouw, de nodige geloofwaardigheid en objectiviteit.","467,607.00","1,169,017.50",40.00%,4/1/09,3/31/11
VLARIPgebruiker,Federatie van de Chemische Industrie van België,"VLARIPgebruikers is 1 v/d REACH Implementatieprojecten van Essenscia Vlaanderen waarbij de chemie-industrie 60 Vlaamse ondernemingen (met focus op KMO’s) die chemicaliën in hun productieproces gebruiken , begeleidt bij hun implementatie van REACH en productveiligheid (PV) in deze bedrijven wil introduceren en verankeren. VLARIPgebruikers bouwt verder op het succes van VLARIP, een peterschapsproject gesteund door de Vlaamse overheid, waarbij Essenscia Vlaanderen 120 Vlaamse producenten en verdelers van chemicaliën helpt. Er wordt een identiek concept gevolgd waarbij de deelnemers minstens 2-maandelijks samenkomen in groepen per industriesector onder peterschap van zowel een ervaren bedrijf uit de sector als een ervaren bedrijf uit de overeenkomstige chemiesector.","63,390.00","158,475.00",40.00%,12/1/08,12/1/10
T+M Midden Vlaanderen,VOKA - Kamer van Koophandel Arrondissement Leuven,Het sensibiliseren en ondersteunen van KMO’s in het vermarkten van hun innovatieve projecten om de succesgraad ervan te verhogen en het vergroten van hun concurrentieslag-slagkracht door het gebruik van technologiemarketing. Hiertoe kunnen de deelnemers intekenen op een 'lerend netwerk' technologiemarketing.,"55,286.00","138,215.00",40.00%,1/1/09,12/31/10
Haalbaarheid kenniscentrum duurzaam wonen en bouwen,Centrum voor duurzaam bouwen,"Duurzaam wonen en bouwen staat in Vlaanderen en ook daarbuiten, hoog op de maatschappelijke agenda. Er blijkt dan ook een nood aan een kenniscentrum, dat de kennis centraliseert, uitbouwt en ter beschikking stelt en tracht kruisbestuiving te bewerkstelligen: transsectorieel tussen bedrijven, die bij de bouw betrokken zijn maar ook interdisciplinair. Deze haalbaarheidsstudie moet zowel de financiële haalbaarheid als het noodzakelijke draagvlak voor dergelijk kenniscentrum onderzoeken.","58,105.00","145,261.00",40.00%,6/1/08,12/31/09
Duurzame vraag? Dito aanbod!,Stad Gent,Dit project wil gelijktijdig de vraag naar en het aanbod van duurzaam bouwen opdrijven door een bundel van elkaar versterkende acties.,"113,470.00","283,675.00",40.00%,11/1/08,10/30/10
BIM,Clusta,"Door vernieuwend strategisch denken kunnen Vlaamse metaalverwerkende KMO's een antwoord bieden op de druk uit het verre oosten. Inzetten op moderne technologische mogelijkheden, is een weg die al door heel wat bedrijven is ingeslagen. Om echt succes te boeken, moeten bedrijven hun strategie ook toespitsen op domeinen die nog niet sterk verspreid zijn: beter ontwerp, mooier design, duurzame producten, producten die ecologische oplossingen bieden, ... Clustra treedt in het project BIM op als facilitator, coördinator en klankbord bij het binnenhalen van extra kennis in de metaalsector. Dit is zowel mondelinge steun als steun via een nieuwe webapplicatie (portaalsite) Clusta organiseert ook seminaries of workshops zodat bedrijfsleiders vertrouwd raken met die thema''s en begeleidt bedrijven op individuele basis bij het uitwerken van innovatietrajecten.","115,452.00","288,630.00",40.00%,12/1/08,11/30/10
Prodem_,Vlaamse Instelling voor Technologisch Onderzoek,"De verwevenheid tussen ecologie en economie verplicht alle bedrijven bewust om te springen met de primaire bronnen en uit te kijken naar milieu- en energievriendelijkere processen en producten. KMO's missen echter een goede gids bij het doen van gerichte ecologische investeringen en het verduurzamen van de bedrijfsvoering. PRODEM_ stelt zich tot doel om de Vlaamse KMO''s actief te informeren over het potentieel en vertrouwd te maken met het gebruik en de economische voordelen van milieu- en energievriendelijke technologie en bedrijfsvoering. PRODEM_ bouwt daarbij verder op eerstelijnsbegeleiding die KMO''s verwerven via intermediairen als VLAO, haar lokale contactpunten en de Innovatiecentra. De projectacties focussen op het concreet vormgeven van haalbare scenario's voor milieu- en energievriendelijkere bedrijfsvoering op maat van de KMO. Het project bereikt daarmee een zeer directe en snellere absorptie door deze KMO's van bestaande kennis en verlaagt bij de KMO de barrière tot duurzame investeringen.","417,314.80","1,043,287.00",40.00%,10/1/08,9/30/10
Commerciële innovatie,KORTRIJKS ONDERNEMERSCENTRUM,"Kleine ondernemingen in kleinhandel, distributie en ambachtelijke activiteiten hebben (net als industriële KMO's) een grote nood om creativiteit en innovatie binnen te brengen in hun bedrijf. Concrete coaching op dit gebied is voor deze doelgroep zo goed als onbestaande. Creativiteit en innovatie zijn noodzakelijk én mogelijk, dit zowel op het gebied van bedrijfsvoering, waardepropositie naar klanten en partners en strategisch gebruik van technologie (bvb. e-commerce, printing-on-demand, diefstalpreventie …). Coaching bij creativiteit en innovatie levert resultaten op, zoals bleek uit het bekroonde pilootproject dat in de periode 2006-2008 meer dan 60 zaken begeleidde in Kortrijk. Binnen dit pilootproject werd een methodiek ontwikkeld waarbij een onderneming gecoacht wordt bij het opstellen van een creatief innovatie(business)plan. Binnen dit project wordt de methodiek toegepast op 400 ondernemingen in West-Vlaanderen. Het Innovatiecentrum staat in voor de individuele begeleiding, en voor het organiseren van een reeks collectieve sessies. Het Ondernemerscentrum Kortrijk staat in voor de rekrutering en contacten met de lokale overheden en bouwt een online documentatiecentrum uit, zodat de ontwikkelde methodiek en kennis ter beschikking staat van heel Vlaanderen.","294,577.66","736,441.72",40.00%,10/1/08,9/30/10
Commercieel gerichte innovatie in de sociale economie in West-Vlaanderen,POM West-Vlaanderen,"De projectdoelstelling is het verhogen van de vaardigheid bij beschutte werkplaatsen, sociale werkplaatsen en startcentra om projecten voor vernieuwing te screenen op hun marktmogelijkheden.","79,392.67","198,481.67",40.00%,3/1/09,2/28/11
Tot uw dienst,Innovatiecentrum Vlaams-Brabant,Ontwikkeling van een toolbox rond diensteninnovatie.,"307,670.93","769,177.33",40.00%,12/1/08,11/30/10
BIG: Begeleiding van Innovatieve Groeibedrijven,Leuven.Inc,"Leuven.Inc detecteert vanuit het veld de concrete vraag naar ondersteuning en begeleiding in het kader van aangeboden Leuven.Inc themasessies en reguliere activiteiten met kennisoverdracht als hoofddoel. Om tegemoet te komen aan deze reële behoefte stellen zij een begeleidingstraject voor dat bestaat uit een voortraject, waarbij deelnemers op éénzelfde niveau worden gebracht, en aansluitend een natraject, waarbij er gericht wordt gekeken naar de aan te vullen kennistekorten van elke deelnemer/bedrijf. Hierbij kunnen ze het praktisch vertalen van de overgedragen kennis optimaliseren en de implementatie in de concrete bedrijfscases verder te ondersteunen. Zo willen ze door begeleidingstrajecten kennisoverdracht naar een volgend niveau brengen.","93,038.00","232,595.00",40.00%,11/3/08,11/2/10
Double-in-2,Spin-Off Kwadraat,Vlaanderen beschikt over alle troeven om een bloeiende kenniseconomie op te zetten. Toch lopen we achter op bloeiende Europese regio's en is er sprake van een valorisatiekloof. Vlaanderen heeft nood aan nieuwe mechanismen om kenniswerkers aan te zetten tot ondernemen en de overvloedig beschikbare kennis te valoriseren. Dit project heeft als doel de valorisatiekloof te dichten door het aantal high-tech spin-off's in Vlaanderen significant te verhogen door valoriseerbare kennis te identificeren bij de kenniscentra; de startende ondernemer te sensibiliseren en het ondernemerschap aan te moedigen en gratis intensieve begeleiding van de starter door ervaren ondernemers.,"196,600.00","501,240.00",39.22%,12/1/08,11/30/10
LifeTechLimburg@work,Universiteit Hasselt - Instituut BIOMED,Life sciences wordt internationaal als sleutelgebied van innovatie gezien en neemt snel in economische betekenis toe. De nood van de provincie Limburg aan een organisatie die zich specifiek toespitst op de versterking van de life sciences industrie in Limburg leidde recent tot de oprichting van LifeTechLimburg.be. De doelstelling van dit project is een actieve ondersteuning en begeleiding te leveren aan life sciences actoren in Limburg om een verhoging in kennispotentieel en innovatievermogen te realiseren. Voorziene activiteiten omhelzen de organisatie van netwerkevenementen en technologiecafé's binnen 4 vastgelegde subdomeinen in de life sciences. Het projectteam levert ook begeleding en ondersteuning bij het uitwerken van de resulterende projectideeën met als einddoel een concrete samenwerking tussen de actoren te kunnen opstarten.,"152,513.80","381,284.50",40.00%,12/15/08,12/14/10
Digibouw,Confederatie Bouw Oost-Vlaanderen,Confederatie Bouw Oost-Vlaanderen (CBO) wil met Digibouw kmo-zaakvoerders sensibiliseren en begeleiden bij de automatisering van processen. Via een lerend netwerk kunnen de kmo's ervaringen uitwisselen en van elkaar leren op een praktijkgerichte manier. Via opleidingen wil CBO bouw kmo’s blijvend bewust maken van de nood aan verdere automatisering.,"261,522.85","653,807.12",40.00%,11/1/09,10/31/12
Op weg naar de Digitale Fabriek,SIRRIS LEUVEN,SIRRIS Leuven stimuleert met het project Op weg naar de Digitale Fabriek KMO’s uit de technologische industrie tot permanente procesverbetering op basis van de mogelijkheden van state-of-the-art ICT technologie.,"224,992.73","562,481.83",40.00%,1/1/10,12/31/11
Experimenten met innovatieve business modellen met cleantech inspireren een duurzame productie,SIRRIS LEUVEN,"SIRRIS Leuven wil enkele nieuwe innovatieve business modellen met bedenken en in de praktijk omzetten. Eperimenten met dergelijke modelllen met cleantech inspireren een duurzame productie. Het project wordt in 3 stukken aangepakt:(1) netwerking en communicatie (VITO), (2) bedenken en uitvoeren van democases of business modellen (Sirris met Melotte, Materialise en Layerwise) en (3) effectmeting van de gekozen busines modellen (KULeuven).","252,481.06","631,202.64",40.00%,10/1/09,9/30/11
SUSPRO,"Fedustria - Belgische federatie van de ondernemingen van de hout-, meubel en textielindustrie","Om de inspanningen met betrekking tot duurzaamheid voor de THM-bedrijven op te drijven en de bedrijven te begeleiden op weg naar duurzaam ondernemen, willen FEDUSTRIA, CENTEXBEL en het TECHNISCH CENTRUM HOUTNIJVERHEID de krachten bundelen in het project SUSPRO en een aantal collectieve en individuele begeleidende acties opzetten gericht op de brede doelgroep van textiel-, hout- en meubelbedrijven. Het is de ambitie om tegen 2015 de sector op het vlak van duurzaam ondernemen te laten groeien tot een toonaangevende industriële sector, die op internationaal niveau duurzame ontwikkeling als competitief voordeel ziet.","523,615.84","1,309,039.61",40.00%,1/1/10,12/31/11
Energiebewust Boeren,"Proefcentrum voor Innovatie, Verbreding en Advies voor Landbouw en veehouderij","Proefcentrum voor innovatie, verbreding en advies voor landbouw en veehouderij wil met het project Energiebewust boeren een gezamenlijke strategie ontwikkelen om de volledige doelgroep in Vlaanderen te sensibiliseren en te begeleiden inzake energiebesparing en inzet van alternatieve energie. Bedoeling is binnen het project een gezamenlijke strategie te ontwikkelen en toe te passen. Hierbij brengt elke partner zijn expertise in die hij in de afgelopen jaren heeft ontwikkeld en is het aspect  ‘leren van elkaar’ binnen het partnerschap dus zeer belangrijk","396,711.57","991,778.92",40.00%,1/1/10,12/31/11
SaaS BI bij KMO's - Software as a Service Business Intelligence,Katholieke Hogeschool Mechelen,Met het project SaaS bij kmo’s zal de Katholieke Hogeschool Mechelen KMO’s begeleiden bij de implementatie van een SaaS-platform (Software-as-a-Service) voor Business Intelligence om op die manier efficienter managementinformatie te analyseren waardoor strategische beleidsbeslissingen beter gedefinieerd of bijgestuurd kunnen worden (Performance Management). ,"215,622.00","539,055.00",40.00%,1/4/10,1/2/12
ICT coach,Unie van Zelfstandige Ondernemers,Unizo richt zich met ICT-Coach op het detecteren van ICTnoden en het aanreiken van haalbare oplossingen zodat de eigen bedrijfsprocessen door ICT kunnen ondersteund en geoptimaliseerd worden. Het project voorziet begeleiding voor de sectoren die betrokken zijn in de voedingsketen en ondersteunende diensten. ,"712,320.00","1,780,800.00",40.00%,1/1/10,12/31/11
Competentiecentrum interactieve 3D,Hogeschool West-Vlaanderen,"Met het project Competentiecentrum Interactieve 3D beoogt de Hogeschool West-Vlaanderen de uitbouw van een uniek expertisecentrum in de sector van de gaming en interactieve 3D technologie op Vlaams niveau. Concreet wil dit project doeltreffende oplossingen bieden voor de specifieke, haast onoverbrugbare hindernissen waarmee starters en KMO's op dit terrein worden geconfronteerd door de zeer hoge investerings- en begeleidingskosten die deze risicovolle bedrijvigheid kenmerken.","375,515.56","938,788.86",40.00%,4/15/10,4/14/12
ABC-ICT,CSTC - WTCB,WTCB wil met ABC-ICT begeleiding aanbieden bij de implementatie van ICT-middelen bij KMO-bouwbedrijven.  Doel is het opzetten van een samenwerkingsverband met de overheden om de slaagkansen te vergroten door. ,"872,839.15","2,182,097.92",40.00%,1/1/10,12/31/12
Innovatiewerken Duurzaam Wonen en Bouwen Limburg,Provincie Limburg,"Het Innovatienetwerk is een initiatief van de provincie Limburg in samenwerking met de Bond Beter Leefmilieu en het Centrum Duurzaam Bouwen. Het project beoogt een zeer duidelijke versterking van de Limburgse én Vlaamse kenniseconomie inzake duurzaam wonen en bouwen (eco-innovatie) door een gestructureerde kennistransfer en kennisvalorisatie binnen een ruim samenwerkingsverband (Innovatienetwerk). Om deze doelstelling te halen worden 8 hefboomprojecten uitgewerkt. Deze zijn de strategische ingrepen, nodig om de veranderingen op het vlak van duurzaam wonen en bouwen te realiseren via samenwerking en eco-innovatie. De 6 geplande voorbeeldprojecten ondersteunen telkens één of meerdere hefboomprojecten.","450,550.00","1,126,375.00",40.00%,4/1/08,3/31/10
"Centra voor Onafhankelijk Leven, Expertiesecentrum voor Cliëntondersteuning",Fokus op Emancipatie,"Het PGBdecreet is gestemd in 2001, maar zal pas via een voorlopersproject in werking treden in september 2008. De reden van deze trage uitvoering ligt in de enorme complexiteit van de omschakeling van de huidige aanbodgestuurde naar een vraaggestuurde zorg. Wil men niet aan de doelstellingen van het decreet voorbijgaan (een autonomer, kwaliteitsvoller leven, meer inclusie van personen met een handicap), dan moet men de zorgsector in Vlaanderen voorbereiden. Er moet speciale aandacht gaan naar personen met een verstandelijke handicap. Zij moeten niet enkel begeleid worden in het beheer van hun PGB, ook moet bepaald worden wat de persoon wil in zijn leven. Het uitklaren van de vraag noemt men cliëntondersteuning. Momenteel wordt dit aangeboden door verschillende organisaties, echter niet onafhankelijk, onvoldoende methodologisch onderbouwt en er bestaat geen regelgeving over. Daarom beoogt dit project de oprichting van een Expertisecentrum voor cliëntondersteuning die de huidige versnipperde kennis bundelt, documenteert en uitbreidt; een coherent beleid uitwerkt dat de contouren van cliëntondersteuning vastlegt samen met de verschillende betrokken actoren en cliëntondersteuning als dienst aanbiedt.","72,300.00","180,741.39",40.00%,1/20/09,1/19/11
Flanders Smart Hub,VOKA - Kamer van Koophandel Halle-Vilvoorde,"Oprichting van een sturend platform dat de innovatieuitdaging voor Vlaams-Brabant moet aangaan. Concreet zal dit sturende orgaan het potentieel van de toekomst-clusters van de VRWB en de horizontale initiatieven rond innovatie en ondernemerschap (onder meer door Voka en Leuven.Inc) nagaan voor Vlaams-Brabant. Dit vormt de basis om bestaande verticale platformen en horizontale netwerken te ondersteunen, nieuwe platformen op te richten waar er nood aan is en convergentie tussen die platformen te ondersteunen. Hierbij is het van belang dat enerzijds voldoende netwerkmogelijkheden en instrumenten worden gecreëerd. Een doorgedreven marketing en communicatiebeleid is hier een essentieel onderdeel van.","382,188.00","1,100,924.00",34.72%,12/1/08,11/30/10
Social profit meets profit,Economische Raad voor Oost-Vlaanderen,"De Vlaamse social profitsector levert een grote toegevoegde waarde aan de Vlaamse economie. Niet enkel qua werkgelegenheid, maar ook als creator van economische vooruitgang en verstrekker van de zorg die onze welvaart vorm geeft. Dit project wil de social profitsector ondersteunen en de mogelijkheden die de sector bezit ten volle ontplooien. 'Samenwerking, interactie en netwerking' staan centraal. De social profitsector zal samenwerken met de profitsector, relevante kenniscentra en de academische wereld. Dit zorgt ervoor dat de sector zich verder kan professionaliseren via kennisoverdracht en managementbegeleiding met experten uit de profitsector. Creativiteit, innovatie en sociaal ondernemerschap wordt gestimuleerd. Bovendien gaan social profitorganisaties proactief inspelen op de uitdagingen van de toekomst; zoals ICT, eco-efficiëntie en strategisch HRM. Om dit te bereiken worden twee kennisplatformen opgericht (rond innovatie en rond eco-efficiëntie); een vormings- en begeleidingsprogramma ingericht voor directie- en kaderleden uit de social profitsector dat zorgt voor kennisoverdracht tussen profit en social profit en een mentorshipprogramma opgestart waarbij ondernemers uit de bedrijfswereld samenwerken met directie- of kaderleden uit de social profitsector m.b.t. de win-win die 'social profit meets profit' inhoudt.","63,251.61","158,129.03",40.00%,4/1/09,3/31/11
Geriatric Telemedicine Technologies,Katholieke Universiteit Leuven,"De oprichting van een platform ‘Gezondheid en Technologie’ met als opdracht toepassingen definiëren, vanuit de gezondheidszorg (de ziekenhuizen) in afstemming met het technologische aanbod van de bedrijven en kennistransfer realiseren in een netwerk van leden van de gezondheidszorg, de onderzoekscentra en de bedrijfswereld. Een eerste toepassing is: de telegeneeskundige geriatrische preventie en behandeling van patiënten in RVT's en ROB's, waarvoor eerst technologische (i.s.m. de K.U.Leuven Campus Kortrijk), organisatorische (transmuraal overleg) en juridische knelpunten dienen te worden opgelost.","140,000.00","350,000.00",40.00%,11/1/08,4/30/10
Design Platform Limburg,Provincie Limburg,"In Limburg zijn er verschillende partijen die zich vanuit culturele, economische, creatieve, onderzoeksgerichte en educatieve invalshoeken met design bezighouden. Dit zijn oa. De individuele ontwerpers, ondernemers, bedrijven, bedrijfsorganisaties, hogescholen, onderzoeksinstituten, kunst- en cultuurinstellingen. Een gestructureerde samenwerking tussen deze partijen kan slechts plaatsvinden mits bemiddeling van een coördinator. Design Platform Limburg wil daarom fungeren als netwerkorganisatie die deze verschillende partijen samenbrengt. Design Platform Limburg zal acties rond design binnen de regio op elkaar afstemmen, lacunes detecteren en bijkomende acties ontwikkelen.","160,000.00","400,000.00",40.00%,12/1/08,11/30/10
VLARIPtextiel,Federatie van de Chemische Industrie van België,"VLARIPtextiel is 1 v/d REACH Implementatieprojecten van essenscia vlaanderen waarbij de Vlaamse textiel- en chemie-industrie samenwerken om de REACH-wetgeving in de textielsector effectief en efficiënt te implementeren, industriële gebruikers en consumenten effectief te informeren over productrisico’s en een toekomststrategie voor kritische chemicaliën uit te werken. Deze gecombineerde effectiviteits-, strategie- en communicatie-oefening heeft o.m. de volgende activiteiten: opmaken van een gebruiksinventaris van textiel-chemicaliën, uitwerken van realistische risicobeheersmaatregelen (industrieel gebruiker, consument en milieu), geven van effectieve productinformatie, opstellen van blootstellingsscenario’s, initiëren van risicoanalyses, definiëren van monitoring- en innovatieprojecten om zorgwekkende stoffen te vervangen, opmaken van een REACH-implementatie handleiding voor de textielindustrie, enz … Dit project is een pilootproject voor gelijkaardige projecten in de toekomst in andere Vlaamse industrie-sectoren die chemicaliën gebruiken en een mogelijk toekomstig Vlaams REACH-competentiecentrum in de schoot van essenscia vlaanderen.","124,037.00","310,092.50",40.00%,9/1/08,9/1/10
Oprichting Expertisecentrum Waterkwaliteit West-Vlaanderen,Hogeschool West-Vlaanderen,De oprichting van een onafhankelijk opererend expertisecentrum dat de West-Vlaamse kenniscentra in staat stelt onderzoek te verrichten op vraag van de industrie.,"200,000.00","500,000.00",40.00%,10/1/08,9/30/10
"Power-Link, Energiekennisplatform",Universiteit Gent,Dit project ondersteunt kennisopbouw in de provinciale hogescholen en gaat tal van samenwerkingsprojecten aan met regionale actoren op vlak van duurzame en hernieuwbare energie. Power-link is gevestigd in de greenbridge incubator op het Oostendse wetenschapspark van de Universiteit Gent.,"171,420.00","428,550.00",40.00%,9/1/08,8/31/10
Samenwerking SE-RE,BEDRIJVENCENTRUM DE PUNT,"Sociale economiebedrijven (SE) en gewone KMO’s kampen met dezelfde bedreigingen en kansen: de ingrijpende veranderingen volgen elkaar snel op, maar bieden ook heel wat mogelijkheden. Elk bedrijf speelt anders in op deze evoluties en haalt daardoor een kleiner of groter deel van de koek","62,230.43","155,576.07",40.00%,9/1/09,8/31/11
Associëren om te innoveren,Federatie voor vrije en intellectuele beroepen,"Een platform als kenniscentrum van de organisaties van vrije beroepen en intellectuele dienstverleners met het doel meer en betere samenwerking tot stand te brengen in de sector, om zo tot een betere benutting en valorisatie van beschikbare kennis te komen met het oog op innovatie in processen en diensten. Het project situeert zich op twee niveaus: enerzijds samenwerking faciliteren tussen organisaties van vrije beroepen over de verspreiding van de kennis van nieuwe managementtechnieken in de betrokken sectoren, met de nadruk op associatievorming en anderzijds samenwerking, vnl. door associatievorming, tot stand brengen en verbeteren op het niveau van de zelfstandige ondernemers in de sector. Dergelijke innovatieve organisatievorm is een voorwaarde voor de diffusie van kennis en de benutting ervan in innovatie van processen en diensten op niveau van de ondernemingen.","251,724.33","629,310.82",40.00%,9/1/08,8/31/10
Gent BC,Gent BC,"Gent BC is een real-life en online netwerk dat technologische ondernemers, R&D medewerkers, wetenschappers en alle actoren die belang hebben bij innovatief ondernemerschap met elkaar in contact wil brengen en laten samenwerken. Bijzondere aandacht gaat naar het stimuleren van interdisciplinaire samenwerking. Gent BC wordt ondersteund door een Raad der Wijzen (samengesteld uit tenoren uit de academische wereld, de creatieve sector en het bedrijfsleven, uit verschillende sectoren) die deels als reflectieorgaan, deels als ‘ambassadeur’ van Gent BC fungeren. Een adviesraad, samengesteld uit de onderzoekers van het IOF, medewerkers van kennisinstellingen, vertegenwoordigers van het bedrijfsleven en de overheid stelt de agenda samen.","176,050.20","440,125.50",40.00%,5/30/08,5/29/10
Cleantech: Duurzame oplossingen voor meer welvaart,Universiteit Hasselt - Instituut CMK,Stimuleren en valoriseren van kennistransfers in propere technologieën,"240,000.00","600,000.00",40.00%,10/1/08,9/30/10
Vlaams Netwerk Toegankelijk Bouwen,Wetenschappelijk en Technische Centrum voor het Bouwbedrijf,"Overlegplatform tussen de verschillende actoren die werken rond het thema toegankelijkheid van publieke gebouwen en Universal Design, elk vanuit hun eigen invalshoek: regelgeving, sensibilisering, beleidsondersteuning, productontwikkeling en onderzoek.","103,071.63","257,679.07",40.00%,5/1/09,10/31/10
