Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
"""ART FACE"" Gabinet Medycyny Estetycznej Aneta Murawiejska-Ptak",Rozszerzenie działalności ART FACE Gabinet Medycyny Estetycznej i Dermatologii Aneta Murawiejska-Ptak poprzez wprowadzenie nowych usług z zakresu medycyny estetycznej.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"185,000.00","110,667.12",2008,2010
"""ARTBORO"" R. Łacna, P. Kaliński - Spółka Cywilna",Utworzenie publicznej sieci punktów dostępu do internetu dzięki wykorzystaniu web-kiosków,Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsiębiorczości,1.1.2 Inwestycje w mikroprzedsiębiorstwach,"545,193.60","238,879.21",2009,2010
"""Astar ABR"" Aleksander Jędrzejowski, Robert Dziendziel Spółka Jawna",Rozwój działalności eksportowej firmy Astar ABR dzięki uczestnictwu w Międzynarodowych Targach Medycznych MEDICA 2009 w Dusseldorfie w charakterze wystawcy,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"65,000.00","28,121.22",2008,2010
"""ASTRA-TECHNOLOGIA BETONU"" SP. Z O.O.","Rozwoj firmy ""ASTRA-Technologia Betonu"" Sp. z o.o. w Straszynie poprzez wprowadzenie do oferty nowego produktu CemoKrzem Por.",Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, małe i średnie przedsiębiorstwa",1.1.1. Mikroprzedsiębiorstwa,"292,800.00","101,350.00",2008,2009
"""AT LARGO ADRIAN CZACZKOWSKI, TOMASZ CHALIMONIUK"" SPÓŁKA JAWNA",Wzrost konkurencyjności firmy poprzez zakup profesjonalnej myjni samochodowej bezdotykowej,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowstałych mikroprzedsiebiorstw,,"620,081.21","253,566.50",2008,2009
"""AT LARGO ADRIAN CZACZKOWSKI, TOMASZ CHALIMONIUK"" SPÓŁKA JAWNA","Rozszerzenie działalności gospodarczej poprzez zakup profesjonalnej myjni samoobsługowej bezdotykowej, sześciostanowiskowej.",Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowstałych mikroprzedsiebiorstw,,"905,015.02","340,221.91",2009,2010
"""A-TECH.PL"" spółka cywilna Dariusz Krzeszowiec, Maciej Nawrocki",Rozwój firmy A-TECH.PL poprzez doradztwo w zakresie wykorzystania zaawansowanych technologii informatycznych,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat II: Specjalistyczne projekty doradcze,"354,410.00","142,750.00",2009,2010
"""A-TECH.PL"" spółka cywilna Dariusz Krzeszowiec, Maciej Nawrocki","Wzrost konkurencyjności firmy ""A-TECH.PL"" poprzez doradztwo w zakresie  zastosowania innowacyjnych technologii informatycznych
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat II: Specjalistyczne projekty doradcze,"209,840.00","80,000.00",2008,2009
"""ATM GRAND"" Tomasz Sawicki","Podniesienie konkurencyjności ""ATM GRAND"" w oparciu o nowoczesne rozwiązania",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.1 Mikroprzedsiębiorstwa,"651,541.00","267,025.00",2008,2010
"""Autos"" Szkoła Kierowców S.C. Rak Robert, Rak - Zamyślewska Izabela",Aktywizator - program aktywizacji osób pozostających bez ztrudnienia,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"243,570.00","223,891.62",2008,2009
"""AWIDENT"" IWONA GOŁAWSKA-WOLNY I ANNA ROGOWSKA-LEKARSKA SPÓŁKA PARTNERSKA-LEKARZE STOMATOLODZY",Uruchomienie nowej przychodni stomatologicznej zwiększającej dostępność do usług stomatologicznych w Lubartowie ,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowstałych mikroprzedsiebiorstw,,"156,580.34","90,015.49",2008,2010
"""BARDREW"" Norbert Bryś Jan Bardosz Spółka Jawna","Zakup urządzeń do produkcji drewnianych schodów, ogrodzeń oraz mebli ogrodowych",Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsiębiorczości,1.1.2 Inwestycje w mikroprzedsiębiorstwach,"1,034,994.83","640,296.68",2009,2010
"""BAZA ZAPLECZA TECHNICZNEGO OLSZTYNEK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Zakup nowoczesnych urządzeń wspomagających proces projektowania i wykonania konstrukcji stalowych oraz serwisowania maszyn i urządzeń.,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsiębiorstw i sektora MŚP w zakresie innowacji i nowych technologii,"882,767.60","360,285.00",2008,2010
"""BERKWIAT"" Kwiatkowski Tadeusz Marian","Rozwój i podniesienie konkurencyjności firmy ""BERKWIAT"" poprzez udział w międzynarodowych targach w Gdańsku, Krakowie i Warszawie",Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, małe i średnie przedsiębiorstwa",1.1.1. Mikroprzedsiębiorstwa,"29,032.39","9,913.70",2008,2010
"""BIASONA"" Marek Bruzgo","Podniesienie konkurencyjności oraz innowacyjności firmy ""Biasona"" poprzez inwestycje w nowe technologie produkcji",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.2 Małe i średnie przedsiębiorstwa,"490,219.18","197,500.00",2008,2010
"""BIN"" Spółka z ograniczoną odpowiedzialnością w Aleksandrowie Kujawskim",Prowadzenie działalności gospodarczej za pomocą sieci oraz realizacja powierzonych zadań pracowniczych za pomocą telepracy wyznacznikiem nowoczesnego sposobu zarządzania „BIN” Sp.zo.o. – markowej firmy z województwa Kujawsko-Pomorskiego.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,4.3. Rozwój komercyjnych e-usług,,"92,348.00","37,847.54",2009,2010
"""BIN"" Spółka z ograniczoną odpowiedzialnością w Aleksandrowie Kujawskim",Promocja eksportu wyrobów „BIN” Sp. z o.o. poprzez udział w XV Międzynarodowych Targach Techniki Rolniczej „AGROTECH” w dniach 13-15.03.2009 w Kielcach oraz promocja marki BIN jako produktu regionalnego.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"82,841.83","34,372.48",2008,2009
"""Biuro Termografii""","Rozwój konkurencyjności firmy ""Biuro Termografii"" w Skwierzynie poprzez zakup innowacyjnej kamery termowizyjnej.",Regionalny Program Operacyjny Województwa Lubuskiego,2.1 Mikroprzedsiębiorstwa.,,"259,860.00","106,000.00",2008,2009
"""Biuro-Serwis"" Sylewster Pawłow",Zastosowanie innowacyjnych technologii w procesie produkcji oraz informatyzacja sprzedaży w firmie Biuro Serwis.,Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.2 Małe i średnie przedsiębiorstwa,"684,267.58","272,517.54",2008,2010
"""BRATBUD"" S.C. JACEK TUREK ANDRZEJ TUREK","Zakup nowoczesnych koparko-ładowarek, koparki i samochodu ciężarowego typu wywrotka oraz maszyn i urządzeń do świadczenia usług remontowo-budowlanych",Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsiębiorstw,,"1,716,980.51","985,152.74",2008,2009
"""BUD-REM"" Sp. Jawna - Roman Błaszczyk, Piotr Pawlaczyk","Wzrost konkurencyjności i pozycji rynkowej w spółce jawnej BUD-REM, poprzez realizację planu inwestycyjnego",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"652,496.26","314,100.00",2008,2009
"""Bujalski"" Spółka z ograniczona odpowiedzialnoscia","Wdrozenie innowacji procesowej i produktowej obróbki blach w przedsiębiorstwie ""BUJALSKI"" Sp. z o.o.",Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsiębiorstw i sektora MŚP w zakresie innowacji i nowych technologii,"1,176,731.97","432,537.14",2008,2010
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Uprawa roślin na cele energetyczne w powiecie siedleckim,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"46,340.00","44,513.95",2008,2010
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Nowe metody zwiększania dochodowości powiatu kozienickiego,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"46,340.00","44,670.07",2008,2010
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Biomasa - szansa dla powiatu wyszkowskiego,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"46,340.00","44,950.85",2008,2010
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Wykorzystanie biomasy w powiecie mińskim,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"46,340.00","44,668.05",2008,2010
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Biomasa - alternatywne źródło dochodu rolniczego,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"44,740.00","42,850.26",2008,2009
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Zwiększenie dochodowości mieszkańców obszarów wiejskich w powiecie płockim,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"44,740.00","42,698.49",2008,2009
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Alternatywne źródła dochodu w powiecie ostrołęckim,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"44,740.00","43,332.85",2008,2009
"""CASE-DORADCY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Alternatywne źródła energii - biomasa przyszłością powiatu płońskiego ,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"44,740.00","43,201.00",2008,2009
"""CEG-TOR"" K.SZUBIERAJSKI I SPÓŁKA SPÓŁKA JAWNA","Uruchomienie innowacyjnego wielokolorowego systemu mieszania betonu licowego Colormix, CEG-TOR Toruń.",Program Operacyjny Innowacyjna Gospodarka,4.4. Nowe inwestycje o wysokim potencjale innowacyjnym,,"33,479,356.75","12,243,886.29",2008,2009
"""Centrum Budowlane Mragowo"" Spółka z ograniczona odpowiedzialnoscia",Centrum logistyczne wyrobów stalowych w Mragowie.,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.9. Inne inwestycje w przedsiębiorstwa,"1,439,600.00","588,500.00",2008,2010
"""CENTRUM DORADZTWA FINANSOWEGO"" Urszula Bancerz",Podniesienie kwalifikacji mieszkańców Gminy Krzywda,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,519.12","49,258.79",2009,2010
"""CENTRUM DORADZTWA FINANSOWEGO"" Urszula Bancerz",Usługi doradcze drogą do certyfikacji systemu jakości w Centrum Finansowym,Regionalny Program Operacyjny Województwa Lubelskiego,1.7. Wzrost konkurencyjności przedsiębiorstw przez doradztwo,,"27,450.00","11,250.00",2008,2009
"""Centrum Edukacji"" Sp. z o.o.",Europracownik szansą rozwoju zawodowego,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"470,795.00","470,791.44",2008,2010
"""Centrum"" spółka z ograniczoną odpowiedzialnością",Pracuj sprawnie.pl,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"567,415.00","558,330.99",2008,2010
"""CITOVET"" GABINET WETERYNARYJNY Andrzej Mastalerz",Wzrost konkurencyjności mikroprzedsiębiorstwa poprzez wprowadzenie nowych innowacyjnych usług weterynaryjnych,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsiębiorczości,,"93,574.00","46,000.81",2008,2010
"""CLIMBEX"" Kaczmarek, Kantorski Spółka Jawna",Innowacyjny system wysokociśnieniowego czyszczenia przemysłowego z zastosowaniem technologii separacji faz.,Regionalny Program Operacyjny Województwa Opolskiego,"1.3 Innowacje, badania, rozwój technologiczny",1.3.2 Inwestycje w innowacje w przedsiębiorstwach,"3,586,800.00","1,381,799.85",2008,2009
"""CON-GRAPH POLSKA"" Sp. z o.o.","Stworzenie nowoczesnego systemu zarządzania produkcją w spółce Con-Graph Polska poprzez zakup innowacyjnych maszyn 
i technologii.
",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.2. Wsparcie inwestycji przedsiębiorstw,"6,545,300.00","2,679,922.50",2008,2010
"""COSMO"" Spółka z ograniczoną odpowiedzialnością",Udział jako wystawca w Międzynarodowych Targach PLMAS World of Private Label Holandia/Amsterdam 2009,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"50,000.00","19,774.90",2009,2010
"""CUBINA"" Marek Ludzia, Czesław Ścisłowicz s. j.",Rozwój i podniesienie konkurencyjności przedsiębiorstwa CUBINA dzięki inwestycji w nowoczesne urządzenia,Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"316,712.00","116,820.00",2008,2009
"""D&D"" Spółka z ograniczoną odpowiedzialnością",Zmiana procesu produkcyjnego druku offsetowego przez wdrożenie innowacyjnej technologii ANICOLOR w D&D Sp. z o.o. w Gliwicach,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.3. Innowacje w mikroprzedsiębiorstwach i MŚP,"3,082,940.00","586,247.78",2009,2010
"""D&D"" Spółka z ograniczoną odpowiedzialnością","Stworzenie unikalnej na rynku polskim oferty nadruków na małych przedmiotach przez wdrożenie w D&D Sp. z o.o. innowacyjnej technologii druku o wysokiej rozdzielczości, utrwalanego promieniami UV",Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.3. Innowacje w mikroprzedsiębiorstwach i MŚP,"383,324.00","187,846.08",2009,2010
"""Dara"" Danuta Rajewska",Rozwój przedsiębiorstwa  DARA Danuta Rajewska poprzez eksport.,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2010
"""Darex"" Czelej Dariusz",Wzrost konkurencyjności firmy poprzez wdrożenie innowacyjnych technologii przygotowania produkcji koszul,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla małych i średnich przedsiębiorstw,,"802,638.00","394,740.00",2008,2009
"""DEHAG Extra"" s.c  Krystyna Tomulewicz, Dorota Tomulewicz - Mikołajuk",Wzrost konkurencyjności firmy poprzez wprowadzenie metody leczenia żylaków laserem,Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.1 Mikroprzedsiębiorstwa,"720,555.55","471,391.48",2008,2010
"""Delissa"" Karol Rogowski","Wzrost konkurencyjności mikroprzedsiębiorstwa ""Delissa"" poprzez dywersyfikacje działalności. ",Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.9. Inne inwestycje w przedsiębiorstwa,"1,098,000.00","449,750.00",2009,2010
"""DELTIM"" Machura Machura  Spółka jawna","Udział firmy ""DELTIM"" Machura Machura Sp.j. w międzynarodowych targach dziecięcych w Kolonii w 2009 r.",Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"164,822.00","67,550.00",2008,2010
"""Diagnostic Test"" s.c. Aleksander Wroński, Adam Wroński, Adam Andrzejewicz","Zakup innowacyjnych urządzeń do prowadzenia badań diagnostycznych 
",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.1 Mikroprzedsiębiorstwa,"157,405.96","62,616.82",2008,2010
"""Dobkowski Paliwa"" Tomasz Dobkowski",Unowocześnienie dystrybucji paliw w firmie Dobkowski Paliwa poprzez zakup autocysterny i odmierzaczy.,Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.2 Małe i średnie przedsiębiorstwa,"1,326,115.02","543,489.76",2008,2010
"""DOM-BRUK"" Paweł Domagała",Wzrost zdolności produkcyjnych firmy DOM-BRUK Paweł Domagała poprzez budowę wiaty produkcyjnej i zakup środków trwałych.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.1. Wsparcie inwestycji mikroprzedsiębiorstw,"601,460.00","271,150.00",2008,2010
"""DREWMARK"" Marek Woliński",Dywersyfikacja produkcji zakładu poprzez wprowadzenie nowych produktów,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla małych i średnich przedsiębiorstw,,"526,728.25","201,500.97",2008,2009
"""Drukarnia Beltrani"" S.C. Jacek Beltrani, Agnieszka Kurzydło, Leszek Mańkowski","” Wzrost konkurencyjności przedsiębiorstwa ""Drukarnia Beltrani"" poprzez zakup nowoczesnej linii introligatorskiej ” ",Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"610,000.00","200,000.00",2008,2009
"""Drukarnia Dimograf"" spółka z ograniczoną odpowiedzialnością",Rozwój działalności eksportowej Drukarni DIMOGRAF poprzez uczestnictwo w Międzynarodowych Targach Książki we Frankfurcie nad Menem w Niemczech w charakterze wystawcy.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"61,793.00","20,382.30",2009,2009
"""Dwór Czarneckiego"" Zdzisław Czarnecki",Utworzenie ośrodka SPA i odnowy biologicznej w Dworze Czarneckiego.,Regionalny Program Operacyjny Województwa Podlaskiego,3.2 Wsparcie inwestycyjne przedsiębiorstw z branży turystycznej,3.2.2 Małe i średnie przedsiębiorstwa,"877,770.38","357,685.74",2008,2009
"""Dwór Elizy"" Spółka z ograniczoną odpowiedzialnością",Dywersyfikacja usług w ofercie Dworu Elizy poprzez stworzenie centrum odnowy bilogicznej,Regionalny Program Operacyjny Województwa Dolnośląskiego,1.1. Inwestycje dla przedsiębiorstw,,"891,477.80","479,992.44",2008,2010
"""E.A. Krupiński"" Elżbieta Krupińska",Wdrożenie nowoczesnej technologii toczenia sterowanego numerycznie do produkcji nowych agregatów pompowych szansą rozwoju firmy E.A. Krupiński,Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"341,600.00","112,000.00",2008,2009
"""EGO"" Centrum Edukacji i Doradztwa - Adam Sikora",Wyższy poziom bezpieczeństwa - szkolenia i doradztwo z zakresu bezpieczeństwa pracy dla osób pracujących.,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"871,520.00","771,787.40",2008,2010
"""EGO"" Izabella Moskwa-Baranowska",Psychoterapia dla osób z zaburzeniami psychicznymi z Gdynia - szansą na powrót do aktywności zawodowej i społecznej,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"124,671.00","124,652.72",2008,2010
"""EKO-BIOMASA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Zwiększenie możliwości przetwarzania produktów z biomasy na cele energetyczne,Regionalny Program Operacyjny Województwa Świętokrzyskiego,"1.1. Bezpośrednie wsparcie sektora mikro, małych i średnich przedsiębiorstw",,"2,579,690.00","1,268,700.00",2008,2009
