Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
,II. Rozwój zasobów ludzkich i potencja_u adaptacyjnego przedsi_biorstw oraz poprawa stanu zdrowia osób pracuj_cych,2.1. Rozwój kadr nowoczesnej gospodarki,Abplanalp Consulting Sp. z o.o.,"""Szko_a CNC""",20-Dec-12,19-Dec-13,20-Dec-12,2019310
,,,Accord Finance Spó_ka Akcyjna,Progres ? kompleksowy program rozwoju kadr Accord Finance S.A.,2-Jan-13,1-Nov-14,23-Dec-12,1665254
,,,Action S.A.,Nowa jako__ kadr ACTION S.A.,2-Jan-13,1-Jul-14,31-Dec-12,1087840
,,,Aelia Polska Sp. z o.o.,Kompleksowy program rozwoju kadr Aelia Polska Sp. z o.o.,16-Oct-13,15-Dec-14,16-Oct-13,546531.2
,,,Agencja  - Centrum Kszta_cenia i Doskonalenia Kujawscy Sp. z o.o.,Ksi_gowy na wag_ z_ota,27-Jan-13,26-Jan-15,27-Jan-13,3057880
,,,Agencja Rozwoju Lokalnego AGROTUR S. A.,Nowoczesne narzedzia zarz_dzania w biznesie,17-Oct-13,16-Oct-15,16-Oct-13,675797.12
,,,,Indywidualny rozwój pracowników Viessmann ? czynnikiem wzrostu konkurencyjno_ci firmy,2-Nov-13,1-Sep-15,28-Oct-13,1203501.12
,,,Agencja Rozwoju Lokalnego AGROTUR S.A.,Bezpieczna dzia_alno__ po_rednictwa finansowego,2-Jan-13,1-Jan-15,31-Dec-12,2992017.24
,,,Agencja Rozwoju Przemys_u S.A.,Wsparcie dla pracowników sektora budownictwa okr_towego dotkni_tych negatywnymi skutkami restrukturyzacji,7-Jan-13,1-Oct-14,30-Oct-13,50000000
,,,Agencja Rozwoju Regionalnego S.A. w Koninie,"Od kompetencji do przewagi konkurencyjnej - rozwój potencja_u pracowników Grupy Ko_o w aspekcie kompetencji mened_erskich, zawodowych i spo_ecznych",2-Jan-13,1-Jan-15,17-Dec-12,1472091.51
,,,Agrainvest Sp. z.o.o.,Nowe Pola Rozwoju,16-Oct-13,15-Jun-15,16-Oct-13,3289163.88
,,,Akademia Górniczo-Hutnicza im. St. Staszica w Krakowie,Studia Podyplomowe z zakresu in_ynierii _rodowiska,2-Oct-13,1-Oct-16,1-Oct-13,1749188.47
,,,,Studia podyplomowe z zakresu wytwarzania oprogramowania oraz zarz_dzania projektami w firmach informatycznych,2-Oct-13,1-Oct-16,1-Oct-13,2452892.82
,,,Akademia Leona Ko_mi_skiego,Systemy klasy ERPII w zarz_dzaniu przedsi_biorstwem,2-Oct-13,1-Dec-15,1-Oct-13,1701878.82
,,,,Inwestycja w talent - nowoczesny HR,2-Oct-13,1-Jan-16,1-Oct-13,1754463.48
,,,,Akademia Zarz_dzania dla Kadry Medycznej,2-Oct-13,1-Jan-16,1-Oct-13,1410180.42
,,,Alcatel-Lucent Polska sp. z o. o.,"""Development ALL 2011""",16-Oct-13,15-Jul-15,16-Oct-13,3812887.5
,,,ALSEN SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_,Ku_nia Liderów Sieci Alsen,3-Nov-13,31-Oct-14,28-Oct-13,2276781.96
,,,ALSTOM Power Sp. z o.o.,Rozwój i doskonalenie kwalifikacji instrumentem kreowania profesjonalnej i skutecznej kadry menad_erskiej w firmie ALSTOM  Power Sp. z o.o.,2-Jan-13,1-Jan-15,25-Dec-12,4526386
,,,Altkom Akademia S.A.,"""Wspó_dzia_anie w biznesie"" - CAPGEMINI _wiatowym liderem us_ug wsparcia informatycznego",2-Dec-13,29-Oct-15,2-Dec-13,2157488.3
,,,"""Animal Pharma Pomorze-T. Kruszy_ski i Wspólnicy"" spó_ka jawna",Akademia Animal Pharmy: cykl szkole_ podnosz_cych kompetencje zawodowe lekarzy weterynarii,3-Feb-14,1-Sep-15,9-Feb-14,544826
,,,ArchiDoc,Kompleksowy program rozwoju kompetencji pracowników ArchiDoc,2-Oct-13,1-Oct-15,2-Oct-13,2419355
,,,ASM Centrum Bada_ i Analiz Rynku,AKADEMIA BUDOWNICTWA - AUDYTOR ENERGETYCZNY,16-Oct-13,15-Oct-15,16-Oct-13,3147512.71
,,,AXEL SPRINGER POLSKA  Sp.  z o.o.,Look@future - rozwój kapita_u ludzkiego wydawnictwa AXEL SPRINGER POLSKA,2-Jan-13,1-Jan-15,31-Dec-12,3438002
,,,Bahlsen Sp. z o.o.,Bahlsen 2011 - samodoskonal_ca si_ organizacja oparta na wiedzy,2-Nov-13,31-Oct-15,2-Dec-13,3184399.12
,,,Baker Tilly Poland Spó_ka z ograniczon_ odpowiedzialno_ci_,Akademia Grupy Kapita_owej. Budowa przewagi konkurencyjnej poprzez rozwój kadr.,2-Apr-13,31-Jul-14,28-Mar-13,2473487.46
,,,Bank Spó_dzielczy we Wschowie,Profesjonalna Akademia Bankowa - program rozwoju kwalifikacji zawodowych pracowników Banku Spó_dzielczego we Wschowie,2-Jan-13,1-Jan-15,17-Mar-13,2252467
,,,Bankowy Fundusz Leasingowy Spó_ka Akcyjna,Wzrost efektywno_ci funkcjonowania sieci sprzeda_y Bankowego Funduszu Leasingowego S.A. poprzez rozwój kompetencji mi_kkich kadr,2-Jan-14,1-Apr-15,31-Dec-13,938734.54
,,,Bankowy O_rodek Doradztwa i Edukacji Sp. z o.o.,"Doradca Bankowy - nowe kwalifikacje, nowe mo_liwo_ci -  II edycja",2-Oct-13,1-Dec-15,2-Oct-13,773640
,,,,Akademia profesjonalnej sprzeda_y produktów bankowych,2-Jan-14,1-Jan-16,26-Jan-14,3026344
,,,,Studium mened_erskie dla pracowników banków spó_dzielczych,2-Oct-13,1-Oct-15,2-Oct-13,802430
,,,Bankowy O_rodek Doradztwa i Edukacji Sp. zo.o.,"Doradca Bankowy - nowe kwalifikacje, nowe mo_liwo_ci",2-Jan-13,1-May-14,31-Dec-12,466175
,,,BASF Coatings Services Sp. z o.o.,Rozwój kadr i podniesienie konkurencyjno_ci bran_y blacharsko - lakierniczej,2-Jan-13,1-Jan-15,31-Dec-12,4411176.64
,,,"BBA OFFICE SYSTEM Bart_omiej Sujkowski, Barnaba Kujszczyk Spó_ka Jawna",E-podpis - rewolucja w obiegu dokumentów w polskiej gospodarce,2-Jan-13,1-Jan-14,31-Dec-12,1041200
,,,BCS POLSKA SP. Z O.O.,Podnoszenie kompetencji pracowników firmy BCS Polska Sp.z o.o.,6-Jan-13,27-Feb-14,31-Dec-12,1176420
,,,BERNDSON Sp. z o.o.,"ZARZ_DZANIE, OBS_UGA KLIENTA, SPRZEDA_ ? szkolenia dla pracowników sektora MSP",2-Oct-13,16-Jan-15,2-Oct-13,1768249.4
,,,Betacom S.A.,Wzrost konkurencyjno_ci firmy Betacom poprzez rozwój kluczowych kompetencji,2-Nov-13,1-Jan-15,28-Oct-13,691555.72
,,,Bielska Wy_sza Szko_a im. Józefa Tyszkiewicza,Rozwój kompetencji zarz_dczych i informatycznych kadr bran_y turystycznej,2-Jan-13,1-Jan-15,31-Dec-12,946632
,,,BIMs PLUS Spó_ka z ograniczon_ odpowiedzilano_ci_ spó_ka komandytowa,Akademia umiej_tno_ci grupy kapita_owej BIMs PLUS - szkolenia i coaching dla kadry kierowniczej i pracowników,3-Nov-13,1-Nov-15,28-Oct-13,6707856
,,,BLStream Sp. z o.o.,Rozwój kwalifikacji zawodowych pracowników BLStream Sp. z o.o.,2-Feb-13,1-Oct-14,30-Dec-12,1490845.84
,,,"BMK TERAPUA FUNKCJONALNA Michalak A.,Kucza A. s.c.",Akademia McKenzie - rozwój sztuki fizjoterapii inwestycj_ w kapita_ ludzki,2-Feb-13,1-Feb-15,31-Jan-13,3872382
,,,,Polska Akademia Fizjoterapii,2-Feb-13,1-Feb-15,31-Jan-13,8057999.78
,,,Borowski Witold Firma KONSTAT,AutoCad w praktyce - Edycja II.,2-Feb-13,1-Jan-15,31-Jan-13,3229650
,,,BSH Sprz_t Gospodarstwa Domowego,Lider innowacji - rozwój kompetencji pracowników BSH,16-Oct-13,15-Oct-15,16-Oct-13,4110595.66
,,,Business Centre Club  Zwi_zek Pracodawców,CSR - jako narz_dzie budowania pozytywnego wizerunku przedsi_biorstwa.,16-Dec-12,31-Jan-14,16-Dec-12,973806
,,,Business Centre Club Zwi_zek Pracodawców,Odpowiedzialny lobbing - skuteczne narz_dzie zarz_dzania zmian_ gospodarcz_,3-Feb-13,27-Apr-14,17-Jan-13,858930
,,,CADExpert Sp. z o.o.,aCADemia 3D,3-Nov-13,1-Jul-15,28-Oct-13,2356621.5
,,,Carlsberg Polska Sp. z o.o.,Kompleksowy program wzmocnienia potencja_u adaptacyjnego oraz konkurencyjno_ci Grupy Carlsberg Polska,2-Jan-13,1-Aug-14,30-Dec-12,7641371.8
,,,"""CARREFOUR POLSKA"" SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_",Program rozwoju kadr Carrefour Polska wsparciem wzrostu przedsi_biorstwa bran_y du_ej dystrybucji realizuj_cego polityk_ biznesu odpowiedzialnego spo_ecznie,2-Oct-12,1-Apr-14,31-Dec-12,4190118.36
,,,CATMAN POLSKA SP.z o.o.,AKADEMIA DORADZTWA MERCHANDISINGOWEGO MASPEX,16-Oct-13,16-May-15,16-Oct-13,1318291.15
,,,"CEDOZ - Centrum Doskonalenia Zarz_dzania s.c. Stanis_aw Gire_, Maria Gire_-Navarro","Polsko-Niemieckie Studium ""Nowoczesne Zarz_dzanie Zasobami Ludzkimi""",2-Nov-13,1-Nov-15,27-Oct-13,991444.56
,,,"Centralny O_rodek Ch_odnictwa ""COCH"" w Krakowie spó_ka z ograniczon_ odpowiedzialno_ci_",Projekt szkoleniowy dla pracowników z bran_y ch_odnictwa,2-Jan-13,1-Jan-15,31-Dec-12,1606683.81
,,,Centrum Doskonalenia Zarz_dzania MERITUM Sp. z o.o.,Bezpieczna firma - szkolenia dla kadr sektora MSP,2-Oct-13,27-Sep-15,2-Oct-13,896049.7
,,,Centrum Edukacji Logistycznej Sp. z o.o.,Szkolenia logistyczne szans_ na dynamiczny rozwój przedsi_biorstw,6-Jan-13,1-Jan-15,31-Dec-12,1985271.12
,,,,Kompleksowy rozwój pracowników drog_ rozwoju firmy Ponetex Logistics Sp. z o.o.,20-Dec-12,19-Mar-14,19-Dec-12,591554.75
,,,,"Rozwój kadr, szans_ dostosowania firmy Panopa Logistik Polska Sp. z o.o. do rosn_cych wymogów bran_y TSL",2-Oct-12,1-Oct-13,20-Dec-12,562123.34
,,,Centrum Edukacji Mened_erskiej Promotor - Tadeusz Gryglewicz,Diagfuture - kwalifikacje i akredytcja dla nowoczesnych medycznych laboratoriów diagnostycznych,16-Dec-13,15-Jun-15,16-Dec-13,1111443.45
,,,Centrum Edukacji Sp. z o.o.,Zarz_dzanie i marketing kluczem do poprawy konkurencyjno_ci przedsi_biorstw,3-Feb-13,1-Sep-14,29-Jan-13,3724350
,,,,Ogólnopolskie szkolenia zawodowe dla barmanów szans_ na profesjonalizacj_ i integracj_ _rodowiska zawodowego,2-Feb-13,1-Feb-15,29-Jan-13,2931944
,,,,Odkryj barwy mocy-rozwój kwalifikacji pracowników bran_y lakierniczej,16-Oct-13,15-Oct-15,16-Oct-13,2419524.48
,,,Centrum Kszta_cenia Specjalistycznego Polskiej Korporacji Biznesu POLBI Sp. z o. o.,Profesjonalny dzia_ kadr i ksi_gowo_ci,2-Oct-13,1-Oct-14,2-Oct-13,453260
,,,Centrum Rozwoju Szkó_ Wy_szych TEB Akademia spó_ka z o. o.,Niezb_dnik profesjonalnego Menad_era,2-Sep-13,1-Sep-16,1-Oct-13,7574160
,,,Centrum Zarz_dzania Jako_ci_ Infox Sp. z o.o.,Bezpiecze_stwo Twojej firmy - w r_kach Twoich pracowników,2-Oct-13,1-Aug-14,2-Oct-13,687734
,,,CERSANIT S.A.,Akademia kompetencji Grupy Cersanit,3-Nov-13,1-Mar-15,3-Nov-13,2791400
,,,Ciech SA,Akademia Mentoringu Korporacyjnego,2-Nov-13,1-Aug-15,28-Oct-13,1488552.32
,,,Clar System S.A.,Wysokie kwalifikacje i umiej_tno_ci pracowników Konsorcjum Clar System,2-Jan-13,1-Jan-15,31-Dec-12,7577520
,,,,Wysokie kwalifikacje i umiej_tno_ci pracowników Konsorcjum Clar System II,2-Nov-13,1-Nov-15,28-Oct-13,6366550
,,,CLICO Sp. z o.o.,„Szkolenia certyfikowane dofinansowane z funduszy Unii Europejskiej - szans_ na zapewnienie bezpiecze_stwa danych i systemów Twojej firmy”,2-Jan-13,1-Oct-14,31-Dec-12,1938501.89
,,,ClientDirect Sp. z o.o.,ODKRYJ W SOBIE SPRZEDAWC_,16-Oct-13,15-Sep-15,16-Oct-13,2621150
,,,Coface Poland Credit Management Services Sp. z o.o.,Akademia Coface,2-Oct-13,1-Oct-15,2-Oct-13,2301156
,,,ComArch S.A,ICT Comarch Education Framework - kompleksowy program rozwoju kadr przedsi_biorstwa,2-Jan-13,1-Oct-14,31-Dec-12,3172617.6
,,,Comarch SA,Soft Skills Comarch Education Framework - kompleksowy program rozwoju kadr przedsi_biorstwa,2-Nov-13,1-Nov-15,28-Oct-13,4086293.2
,,,,Akademia ICT - kompleksowy program rozwoju kadr polskich przedsi_biorstw,2-Oct-13,1-Oct-15,28-Oct-13,2854523
,,,ComArch S.A.,"Program kompleksowego rozwoju kompetencji pracowników mikro, ma_ych i _rednich firm informatycznych",2-Jan-13,1-Jan-15,31-Dec-12,3841640
