t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
Municipality of Zografou,∆ήµος Ζωγράφου,Green lives in,Πράσινη ζωή στη,2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Zografou,Green lives in,ERDF
City Psychico,∆ήµος Ψυχικού,Improving functionality upgrade the urban environment accessibility and mobility,Βελτίωση της λειτουργικότητας αναβάθµιση του αστικού περιβάλ προσβασιµότητας και της κινητι,2009,"1.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Psychico,Improving functionality upgrade the urban environment accessibility and mobility,ERDF
Municipality of Ilion,∆ήµος Ιλίου,Green City life,Πράσινη ζωή στην πόλη,2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Ilion,Green City life,ERDF
Municipality of Maroussi,∆ήµος Αµαρουσίου,Walks of life - life ENVI,∆ιαδροµές ζωής - πνοή Περιβά,2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Maroussi,Walks of life - life ENVI,ERDF
City Heliopolis,∆ήµος Ηλιούπολης,Project Green life rom,"Σχέδιο ""Πράσινη ζωή στην πό",2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Heliopolis,Project Green life rom,ERDF
Municipality of Kifissia,∆ηµος Κηφισιάς,Green Kifissia,Πράσινη Κηφισιά,2009,"2.500.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Kifissia,Green Kifissia,ERDF
Filothei,∆ηµος Φιλοθέης,Regeneration of the shared space Pr Kapodistriou Colonel Kri Sarantaporou and Luke Akritas,"Ανάπλαση του κοινόχρηστου χώρου πρ Καποδιστρίου, Συνταγµατάρχου Κρι Σαρανταπόρου και Λουκή Ακρίτα",2009,"1.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Filothei,Regeneration of the shared space Pr Kapodistriou Colonel Kri Sarantaporou and Luke Akritas,ERDF
Municipality of Peristeri,∆ήµος Περιστερίου,Green lives in the city,Πράσινη ζωή στην πόλη το,2009,"2.500.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Peristeri,Green lives in the city,ERDF
Daphne municipality,∆ηµος ∆άφνης,"Urban restructuring in the streets on St. Barbara, Papanas Arkadi","Πολεοδοµική αναδιάρθρωση στις περι τις οδούς Αγ. Βαρβάρας, Παπανασ Αρκαδίου",2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Daphne municipality,"Urban restructuring in the streets on St. Barbara, Papanas Arkadi",ERDF
Municipality of Voula,∆ήµος Βούλας,Construction of bicycle paths in D. green,Κατασκευή ποδηλατοδρόµων στο ∆. πρασίνου,2009,"1.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Voula,Construction of bicycle paths in D. green,ERDF
Municipality of Glyfada,∆ήµος Γλυφάδας,Construction of infrastructure in the very environmental pollutants exomal Facility,"Κατασκευή υποδοµής στην πόλ περιβαλλοντικών ρύπων, εξοµάλ διευκόλυνση",2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Glyfada,Construction of infrastructure in the very environmental pollutants exomal Facility,ERDF
Municipality Vrilissia,∆ηµος Βριλησσίων,Environmental regeneration Central,Περιβαλλοντική ανάπλαση κεντρικού,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality Vrilissia,Environmental regeneration Central,ERDF
City of New Psychico,∆ήµος Νέου Ψυχικού,Increase - improve accessibility of public pay and upgrade the psychic (near St.,Αύξηση - βελτίωση κοινοχρήστων προσβασιµότητας και αναβάθµιση το Ψυχικού (περιοχή Αγ,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City of New Psychico,Increase - improve accessibility of public pay and upgrade the psychic (near St.,ERDF
City Korydallos,∆ήµος Κορυδαλλού,Green life in the city municipality,Πράσινη Ζωη στην πόλη ∆ή,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Korydallos,Green life in the city municipality,ERDF
Agia Varvara,∆ήµος Αγίας Βαρβάρας,Green lives in the city municipality,Πράσινη ζωή στην πόλη ∆ήµο,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Agia Varvara,Green lives in the city municipality,ERDF
Municipality of Vouliagmeni,∆ήµος Βουλιαγµένης,Additional construction and remodeling Kavourio,∆ιάφορες κατασκευές και αναπλάσει Καβουριο,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Vouliagmeni,Additional construction and remodeling Kavourio,ERDF
Agioi Anargyroi,∆ήµος Αγίων Αναργύρων,Renovation and development of enhanced spaces and squares cycle path,Ανάπλαση και διαµόρφωση µε ενίσχυ χώρων πλατειών και ποδηλατοδρόµων διαδροµή,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Agioi Anargyroi,Renovation and development of enhanced spaces and squares cycle path,ERDF
City Galatsiou,∆ήµος Γαλατσίου,Restoration of network construction and flat in podilatodormon,Ανάπλαση κατασκευή δικτύου πλατει και ποδηλατόδορµων στον,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Galatsiou,Restoration of network construction and flat in podilatodormon,ERDF
Faliro,∆ήµος Παλαιού Φαλήρου,Emergence - central regeneration practice center Old,Ανάδειξη - ανάπλαση κεντρικής πρά κέντρου Παλαιού,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Faliro,Emergence - central regeneration practice center Old,ERDF
Spring City,∆ήµος Ανοιξης,Green Life,Πράσινη Ζωη στην,2009,1.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Spring City,Green Life,ERDF
Nea Eritrea,∆ήµος Νέας Ερυθραίας,Extended Network podilatodormon streets of New C,Επέκταση δικτύου ποδηλατόδορµων οδούς της Νέας Ε,2009,1.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Nea Eritrea,Extended Network podilatodormon streets of New C,ERDF
Pine City,∆ήµος Πεύκης,Restorations regions D,Αναπλάσεις περιοχών ∆,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Pine City,Restorations regions D,ERDF
City Varis,∆ήµος Βάρης,Regeneration - Green-O,Ανάπλαση - Πράσινο- Π,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Varis,Regeneration - Green-O,ERDF
City Argyroupolis,∆ήµος Αργυρούπολης,Regeneration GUIDE,Ανάπλαση οδ,2009,1.900.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Argyroupolis,Regeneration GUIDE,ERDF
City Dew,∆ήµος ∆ροσιάς,Improving functionality Ms. ipro sites,Βελτίωση λειτουργικότητας κα ιπρο χώρων,2009,1.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Dew,Improving functionality Ms. ipro sites,ERDF
City Holargos,∆ήµος Χολαργού,Fane Street Regeneration,Ανάπλαση οδού Φανε,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Holargos,Fane Street Regeneration,ERDF
Agios Stefanos,∆ήµος Αγίου Στεφάνου,Construction reform p,Κατασκευή αναµόρφωση ιστ,2009,1.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Agios Stefanos,Construction reform p,ERDF
City Geraka,∆ήµος Γέρακα,Study on Construction of communal unification x,Μελέτη Κατασκευή για την ενοποίη κοινόχρηστων χ,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Geraka,Study on Construction of communal unification x,ERDF
Attica Region - Public Works,Περιφέρεια Αττικής - ∆ιεύθυνση ∆ηµοσίων Εργων,Upgrading from civil Kryonerio,Αναβάθµιση µέρους του αστικού Κρυονερίο,2009,1.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Attica Region - Public Works,Upgrading from civil Kryonerio,ERDF
Municipality of Ano Liosia,∆ήµος Ανω Λιοσίων,Life in Green,Πράσινη Ζωή στη,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Ano Liosia,Life in Green,ERDF
Nea Ionia,∆ήµος Νέας Ιωνίας,Green lives in,Πράσινη ζωή στη,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Nea Ionia,Green lives in,ERDF
City Moschato,∆ήµος Μοσχάτου,Upgrading and improving green pezodormon road Lond,Αναβάθµιση και βελτίωση πράσινου πεζόδορµων οδόυ Θεσσ,2009,1.500.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Moschato,Upgrading and improving green pezodormon road Lond,ERDF
City Halandriou,∆ήµος Χαλανδρίου,Life in Green,Πράσινη Ζωή στη,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Halandriou,Life in Green,ERDF
Municipality of Heraklion,∆ήµος Ηρακλείου,Regenerating areas of green sports facilities in Ms,Αναζωογόνηση περιοχών πράσινου κα αθλητικών εγκαταστάσεων στο,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Heraklion,Regenerating areas of green sports facilities in Ms,ERDF
Municipality of Haidari,∆ήµος Χαιδαρίου,Redevelopment projects to anazoogons Athens Going Green,Εργα ανάπλασης για την αναζωογόνσ ∆ήµου Χαιδαρ,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Haidari,Redevelopment projects to anazoogons Athens Going Green,ERDF
Agia Paraskevi,∆ήµος Αγίας Παρασκευής,Bioclimatic reconstruction and aid,Βιοκλιµατική ανάπλαση και ενί,2009,2.000.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Agia Paraskevi,Bioclimatic reconstruction and aid,ERDF
Attica Region - Planning and Development,Περιφέρεια Αττικής - ∆ιεύθυνση Σχεδιασµού και ανάπτυξης,Actions to strengthen social quality of life of older AT and assistance,Ενέργειες Ενίσχυσης της κοινωνική ποιότητας ζωής ηλικιωµένων και ατ βοήθειας,2008,14.700.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Attica Region - Planning and Development,Actions to strengthen social quality of life of older AT and assistance,ERDF
Pine City,∆ήµος Πεύκης,Construction of rain water,Κατασκευή αγωγών οµβρ,2009,2.490.000,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Pine City,Construction of rain water,ERDF
Municipal Enterprise for Water Supply - Sewage Lavrion,∆ηµοτική Επιχείρηση Υδρευσης - Αποχέτευσης Λαυρίου,Complete intranet,Ολοκλήρωση εσωτερικού δικτύου,2009,3.772.835,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipal Enterprise for Water Supply - Sewage Lavrion,Complete intranet,ERDF
