t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Consultant to support management of construction projects Region Thessalo start implementing the projects of finance OP The Gd-ST.E,Σύµβουλος υποστήριξης διεύθυνσης ε κατασκευής έργων Περιφέρειας Θεσσα έναρξη υλοποίησης έργων που χρηµατ το Ε.Π. Θ-Η-ΣΤ.Ε,2009,"150.400,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Consultant to support management of construction projects Region Thessalo start implementing the projects of finance OP The Gd-ST.E,ERDF
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Consultant N / ing the design into implementation projects Chr OP The Gd-ST.E,Σύµβουλος υποστήριξης ∆/σης σχεδιασ την έναρξη υλοποίησης έργων που χρ Ε.Π. Θ-Η-ΣΤ.Ε,2009,"144.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Consultant N / ing the design into implementation projects Chr OP The Gd-ST.E,ERDF
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Officer SEA monitoring,Σύµβουλος παρακολούθησης ΣΜΠΕ,2009,"72.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Officer SEA monitoring,ERDF
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Support a legal adviser to ECN,Υποστήριξη από νοµικό σύµβουλο για Ε∆Α,2009,"64.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Support a legal adviser to ECN,ERDF
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Consultant to support EDA by activation of the axes of the Operational Program I,Σύµβουλος υποστήριξης Ε∆Α στις δια ενεργοποίησης των αξόνων του Ε.Π Θ,2009,"96.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Consultant to support EDA by activation of the axes of the Operational Program I,ERDF
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Communication Consultant,Σύµβουλος επικοινωνίας,2009,"72.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Communication Consultant,ERDF
Region of Thessaly - Department of Public Works,Περιφέρεια Θεσσαλίας - ∆/νση ∆ηµοσίων Έργων,Complete provincial road Larissa,Ολοκλήρωση επαρχιακής οδού Λάρισας,2008,"27.620.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Region of Thessaly - Department of Public Works,Complete provincial road Larissa,ERDF
Region of Thessaly - Department of Planning and Development,Περιφέρεια Θεσσαλίας - ∆/νση Σχεδιασµού και Ανάπτυξης,Actions to strengthen social quality of life elderly and home help in the Region,Ενέργειες ενίσχυσης της κοινωνικής της ποιότητας ζωής ηλικιωµένων και κατ΄οίκον βοηθείας στην Περιφέρεια,2008,"14.760.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Region of Thessaly - Department of Planning and Development,Actions to strengthen social quality of life elderly and home help in the Region,ERDF
Directorate of Planning and Development Region of Central Greece,∆ιεύθυνση Προγραµµατισµού και Ανάπτυξης Περιφέρειας Στερεάς Ελλάδας,Actions to strengthen social quality of life of older AT and home assistance for regional,Ενέργειες ενίσχυσης της κοινωνικής ποιότητας ζωής ηλικιωµένων και ατ οίκον βοήθειας στην Περιφέρει,2008,"11.100.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Directorate of Planning and Development Region of Central Greece,Actions to strengthen social quality of life of older AT and home assistance for regional,ERDF
Unit D-eyed Central Greece,Μονάδα ∆' ΕΥΕ∆Α Στερεάς Ελλάδας,Study identification and axilologisis pollution problems eg salinization and operational plans,Μελέτη εντοπισµού και αξιλολόγησης αντιµετωπίζουν πρόβληµα ρύπανσης π υφαλµύρωσης και επιχειρησιακό σχέδ παρεµβάσεων,2009,"60.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Unit D-eyed Central Greece,Study identification and axilologisis pollution problems eg salinization and operational plans,ERDF
