t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""",&quot;Study and research on investigating the satisfaction of the citizens of the country&#39;s public services and proposals to improve training and communication in connection with the aspirations of citizens&#39; ...,"«Μελέτη και διεξαγωγή έρευνας µε θέµα τη διερεύνηση του βαθµού ικανοποίησης των πολιτών από τις δηµόσιες υπηρεσίες της χώρας και κατάρτιση προτάσεων βελτίωσης και επικοινωνίας σε σχέση µε τις προσδοκίες των πολιτών» στον Άξονα Προτεραιότητας 10,11,12 Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"154.000,00",,"",http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,&quot;Study and research on investigating the satisfaction of the citizens of the country&#39;s public services and proposals to improve training and communication in connection with the aspirations of citizens&#39; ...,
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Codification and simplification of laws and regulations in the field of gender equality,&quot; Overall Objective III &quot;ENDYNAM SI N OF GENDER POLICIES IN ALL THE RANGE OF PUBLIC ACTION, AXIS before ...","«Κωδικοποιήσεις και απλουστεύσεις των νοµοθετικών και κανονιστικών ρυθµίσεων στον τοµέα της ισότητας των φύλων», Γενικός Στόχος ΙΙΙ «ΕΝ∆ΥΝΑΜ ΣΗ Τ Ν ΠΟΛΙΤΙΚ Ν ΙΣΟΤΗΤΑΣ ΣΕ ΟΛΟ ΤΟ ΕΥΡΟΣ ΤΗΣ ∆ΗΜΟΣΙΑΣ ∆ΡΑΣΗΣ», ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ 07,08, 09",2009,"799.279,95",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Codification and simplification of laws and regulations in the field of gender equality,&quot; Overall Objective III &quot;ENDYNAM SI N OF GENDER POLICIES IN ALL THE RANGE OF PUBLIC ACTION, AXIS before ...",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Beneficiaries of the Special Education Service Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«Εκπαίδευση ∆ικαιούχων της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Beneficiaries of the Special Education Service Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"Education Personnel ESA / EDA / EFD in Special Service Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Εκπαίδευση Προσωπικού ΕΥ∆/Ε∆Α/ΕΦ∆ της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"Education Personnel ESA / EDA / EFD in Special Service Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"Procurement of Software Implementation of the Special Service of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","Προµήθεια Λογισµικού της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"Procurement of Software Implementation of the Special Service of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Cost of Publications - Notice of Special Service Implementation of the General Secretariat for Equality&quot; Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Έξοδα ∆ηµοσιεύσεων – Ανακοινώσεων της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Cost of Publications - Notice of Special Service Implementation of the General Secretariat for Equality&quot; Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Organization of events - meetings - Special meetings of the Agency Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«Οργάνωση εκδηλώσεων – συνεδριάσεων – συσκέψεων της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"45.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Organization of events - meetings - Special meetings of the Agency Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Participation in Meetings - Meetings of the Special Service Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«Συµµετοχή σε Ηµερίδες – Συνέδρια της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"17.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Participation in Meetings - Meetings of the Special Service Implementation of the General Secretariat for Equality, Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Study for the creation of 13 regional administrations equality and their linkages with the GSE and the Center for Gender Equality to be established within the General Goal III, Ye ...","«Μελέτη οργάνωσης για την δηµιουργία των 13 περιφερειακών διοικητικών υπηρεσιών ισότητας και της διασύνδεσής τους µε τη ΓΓΙ και το Παρατηρητήριο Ισότητας το οποίο θα δηµιουργηθεί στο πλαίσιο του Γενικού Στόχου ΙΙΙ», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"40.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Study for the creation of 13 regional administrations equality and their linkages with the GSE and the Center for Gender Equality to be established within the General Goal III, Ye ...",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Study for the creation of an Information System - a database of 13 Regional Committees for Gender Equality&quot; for the priority axis 10,11,12 Overall Objective IV &quot;Technical Assistance&quot;","«Μελέτη για την δηµιουργία Πληροφοριακού Συστήµατος – βάσης δεδοµένων για τις 13 Περιφερειακές Επιτροπές Ισότητας», για τον Άξονα Προτεραιότητας 10,11,12 Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"45.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Study for the creation of an Information System - a database of 13 Regional Committees for Gender Equality&quot; for the priority axis 10,11,12 Overall Objective IV &quot;Technical Assistance&quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Developing and implementing communication action plan&quot; for the priority axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Εκπόνηση και εφαρµογή επικοινωνιακού σχεδίου δράσης», για τον Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"100.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Developing and implementing communication action plan&quot; for the priority axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
SECRETARIAT GENDER (GSE),ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"&quot;Consultants - Experts in the Priority Axis 10, 11, 12, General Objective IV&quot; Technical Assistance &quot;","«Σύµβουλοι – Εµπειρογνώµονες για τον Άξονα Προτεραιότητας 10, 11, 12», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"100.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,SECRETARIAT GENDER (GSE),"&quot;Consultants - Experts in the Priority Axis 10, 11, 12, General Objective IV&quot; Technical Assistance &quot;",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"Education Personnel of the OP EFSSSEP &quot;Administrative Reform 2007-2013&quot; of the Special Office of Strategic Planning, Monitoring &amp; Implementation of the General Secretariat for Public Administration and Electronic Life ...","«Εκπαίδευση του Προσωπικού της ΕΥΣΣΣΕΠ του Ε.Π. «∆ιοικητική Μεταρρύθµιση 2007-2013» της Ειδικής Υπηρεσίας Στρατηγικού Σχεδιασµού, Συντονισµού & Εφαρµογής της Γενικής Γραµµατείας ∆ηµόσιας ∆ιοίκησης και Ηλεκτρονικής ∆ιακυβέρνησης», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"3.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"Education Personnel of the OP EFSSSEP &quot;Administrative Reform 2007-2013&quot; of the Special Office of Strategic Planning, Monitoring &amp; Implementation of the General Secretariat for Public Administration and Electronic Life ...",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"Education Personnel Beneficiaries OP &quot;Administrative Reform 2007-2013&quot; of the Special Office of Strategic Planning, Monitoring &amp; Implementation of the General Secretariat for Public Administration and Electronic ...","«Εκπαίδευση του Προσωπικού των ∆ικαιούχων του Ε.Π. «∆ιοικητική Μεταρρύθµιση 2007-2013» της Ειδικής Υπηρεσίας Στρατηγικού Σχεδιασµού, Συντονισµού & Εφαρµογής της Γενικής Γραµµατείας ∆ηµόσιας ∆ιοίκησης και Ηλεκτρονικής ∆ιακυβέρνησης»,του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"26.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"Education Personnel Beneficiaries OP &quot;Administrative Reform 2007-2013&quot; of the Special Office of Strategic Planning, Monitoring &amp; Implementation of the General Secretariat for Public Administration and Electronic ...",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Supply Software Special Service Strategic Planning, Monitoring &amp; Implementation of the General Secretariat for Public Administration and Electronic Government&quot; Priority Axis 10,11,12, general purpose ...","«Προµήθεια Λογισµικού της Ειδικής Υπηρεσίας Στρατηγικού Σχεδιασµού, Συντονισµού & Εφαρµογής της Γενικής Γραµµατείας ∆ηµόσιας ∆ιοίκησης και Ηλεκτρονικής ∆ιακυβέρνησης» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"8.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Supply Software Special Service Strategic Planning, Monitoring &amp; Implementation of the General Secretariat for Public Administration and Electronic Government&quot; Priority Axis 10,11,12, general purpose ...",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Study and application redesign processes to reduce administrative burdens and administrative costs&quot; in the Priority Axis 1,2,3, General purpose I &quot;Upgrading of public policies through eksy ...","«Μελέτη και εφαρµογή ανασχεδιασµού διαδικασιών για τη µείωση των διοικητικών επιβαρύνσεων και του διοικητικού κόστους» στον Άξονα Προτεραιότητας 1,2,3, Γενικός Στόχος Ι «Αναβάθµιση των ∆ηµόσιων Πολιτικών µέσω του εκσυγχρονισµού του ρυθµιστικού πλαισίου και των δοµών της ∆ηµόσιας ∆ιοίκησης»",2009,"1.200.000,00",,"",http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Study and application redesign processes to reduce administrative burdens and administrative costs&quot; in the Priority Axis 1,2,3, General purpose I &quot;Upgrading of public policies through eksy ...",
NGDD &amp; SD,ΓΓ∆∆&Η∆,"Action Plan for strengthening administrative and organizational environment and the institutional consolidation of the Electronic Patient Folder (I.F.A) for the Priority Axis 10,11,12, General Objective IV technical support ...","«Σχέδιο δράσης για την ενίσχυση του διοικητικού και οργανωτικού περιβάλλοντος και τη θεσµική κατοχύρωση του Ηλεκτρονικού Φακέλου Aσθενούς (Η.Φ.Α) για τον Άξονα Προτεραιότητας 10,11,12», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"71.400,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"Action Plan for strengthening administrative and organizational environment and the institutional consolidation of the Electronic Patient Folder (I.F.A) for the Priority Axis 10,11,12, General Objective IV technical support ...",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Advisor Training Operational Plan of the Ministry of Development for administrative reform actions of the OP: Administrative Reform, 2007-2013&quot; in the Axis 10,11,12, General Objective IV &quot;Application Support ...","«Σύµβουλος Κατάρτισης του Επιχειρησιακού Σχεδίου του Υπουργείου Ανάπτυξης για δράσεις διοικητικής µεταρρύθµισης του ΕΠ: ∆ΙΟΙΚΗΤΙΚΗ ΜΕΤΑΡΡΥΘΜΙΣΗ, 2007-2013»στον Άξονα 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"138.159,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Advisor Training Operational Plan of the Ministry of Development for administrative reform actions of the OP: Administrative Reform, 2007-2013&quot; in the Axis 10,11,12, General Objective IV &quot;Application Support ...",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Participation in workshops and conferences for executives EFSSEP the 3 regions phasing in Priority Axis 10,11,12&quot; Overall Objective IV &quot;Technical Assistance&quot;","«Συµµετοχή σε ηµερίδες και συνέδρια στελεχών της ΕΥΣΣΕΠ για τις 3 Περιφέρειες Σταδιακής Εξόδου στον Άξονα Προτεραιότητας 10,11,12», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"3.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Participation in workshops and conferences for executives EFSSEP the 3 regions phasing in Priority Axis 10,11,12&quot; Overall Objective IV &quot;Technical Assistance&quot;",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"&quot;Studying organizational change on the operational capability of intermediaries Management Program&quot; in the Priority Axis 11,12,13, General Objective IV &quot;Technical Assistance&quot;","«Μελέτη οργανωτικών αλλαγών για την επιχειρησιακή ετοιµότητα των Ενδιάµεσων Φορέων ∆ιαχείρισης του Προγράµµατος» στον Άξονα Προτεραιότητας 11,12,13, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"80.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"&quot;Studying organizational change on the operational capability of intermediaries Management Program&quot; in the Priority Axis 11,12,13, General Objective IV &quot;Technical Assistance&quot;",EKT
NGDD &amp; SD,ΓΓ∆∆&Η∆,"Planning and Methodology to reorganize the Department in the administrative functions, systems and human resource development &quot;of the OP: Administrative Reform, 2007 - 2013&quot; in Axos ...","«Σχεδιασµός και Μεθοδολογία αναδιοργάνωσης του Υπουργείου Εξωτερικών σε επίπεδο διοικητικών λειτουργιών, συστηµάτων πληροφορικής και ανάπτυξης ανθρώπινου δυναµικού» του ΕΠ: ∆ΙΟΙΚΗΤΙΚΗ ΜΕΤΑΡΡΥΘΜΙΣΗ, 2007- 2013» στον Άξονα 10,11,12 Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"130.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,NGDD &amp; SD,"Planning and Methodology to reorganize the Department in the administrative functions, systems and human resource development &quot;of the OP: Administrative Reform, 2007 - 2013&quot; in Axos ...",EKT
