"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
11,"Stopiņu novada dome","Institūta iela 1A, Ulbroka, Stopiņu novads, LV-2130",,"Stopiņu novada  izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros 2 Stopiņu novada skolas tiks apgādātas ar 21 stacionāro un 4 portatīvajiem datoriem, iegādāti 2 multimediju tehnikas komplekti (2 interaktīvās tāfeles un 2 projektori), kā arī attīstīti 2 lokālie datortīkli. Līdz ar to Ulbrokas vidusskola un Stopiņu pamatskola  tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālie tīkli tiks savienots ar skolās jau esošajiem lokālajiem tīkliem.
",23601.05,20060.89,3540.16,18
12,"Skrīveru novada dome","Daugavas iels 59 Skrīveri, Skrīveru novads, LV-5125",,"Andreja Upīša Skrīveru vidusskolas informatizācija","Zemgale, ",14/10/2009,"Projektā plānots Skrīveru pagastā Andreja Upīša Skrīveru vidusskolā iekārtot 1 datortīklu un piegādāt 36 personālos datorus, kas ievērojami uzlabos skolas infrastruktūru un ļaus plašāk un efektīvāk mācību procesā izmantot informācijas un komunikāciju tehnoloģijas un kas veicinās izglītojamo mācīšanās efektivitāti un paaugstinās izglītības kvalitāti. Projekta ietvaros iegādātie stacionārie datori tiks pievienoti esošajam  lokālajam tīklam un vienā telpā tiks izveidots jauns lokālais tīkls. Projekta ietvaros izveidotais lokālais tīkls  tiks  savienots ar skolā jau esošo lokālo tīklu. ",25408.85,21597.51,3811.34,18
13,"Sējas novada dome","""Jēņi"", Loja, Sējas novads, LV-2142",,"Sējas novada izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros Sējas novada skolas  tiks apgādātas ar 2  stacionārajiem un 4  portatīvajiem datoriem , iegādāti 2 multimediju tehnikas komplekti (Sējas pamatskolai 2 stacionārie un 2 portatīvie datori, 1 interaktīvā tāfele, 1 projektors un 1 lokālais datortīkls,Pabažu pamatskolai 2 portatīvie datori, 1 interaktīvā tāfele un 1 projektors)  Līdz ar to, Pabažu pamatskola un Sējas pamatskola tiks nodrošinātas ar  atbilstošu infrastruktūru, kas veicinās  plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",10190.83,8662.2,1528.63,18
14,"Saulkrastu novada pašvaldība","Raiņa iela 8, Saulkrasti, Saulkrastu novads, LV-2160",,"Saulkrastu pilsētas ar lauku teritoriju vidējās izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros 2 Saulkrastu pilsētas ar lauku teritoriju skolas tiks apgādātas ar 26 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), kā arī attīstīti 2 lokālie datortīkli. Līdz ar to, Saulkrastu un Zvejniekciema vidusskolas tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku informācijas komunikāciju tehnoloģiju izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā esošu lokālo tīklu.",22740.43,19329.36,3411.07,15
15,"Salaspils novada dome","Līvzemes iela 8, Salaspils, Salaspils novads, LV-2169",,"Salaspils novada izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros 3 Salaspils novada skolas  tiks apgādātas ar 52  stacionāriem un  1 portatīvo datoru ,tiks  iegādāts 1 multimediju tehnikas komplekts ( 1 interaktīvā tāfele un 1 projektors) , kā arī attīstīti 3 lokālie datortīkli. Līdz ar to Salaspils 1. vidusskola,Salaspils 2.vidusskola un Salaspils sākumskola tiks nodrošināta ar  atbilstošu infrastruktūru, kas veicinās  plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

",40110,34093.5,6016.5,18
16,"Salacgrīvas novada dome","Smilšu iela 9, Salacgrīva, Salacgrīvas novads, LV-4033",,"Ainažu pilsētas izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros Ainažu pilsētas izglītības iestādei – Kr. Valdemāra Ainažu pamatskolai - tiks iegādāti 2 portatīvie datori, 10 stacionārie datori, 1 multimediju tehnikas komplekts, kā arī tiks attīstīts 1 lokālais datortīkls. Līdz ar to Kr. Valdemāra Ainažu pamatskola būs nodrošināta ar atbilstošu infrastruktūru. Iegādātā aparatūra ļaus nodrošināt augsti efektīvu un kvalitatīvu mācību procesu, jo tiks plaši un lietderīgi veicināta IKT izmantošana izglītības iestādē. 
Realizējot projektu, tiks attīstīts lokālais datortīkls, kurā tiks savienoti visi šī projekta ietvaros iegādātie stacionārie datori. Jaunizveidotais datortīkls tiks savienots ar skolā jau iepriekš funkcionējošo datortīklu.
",11447.62,9730.47,1717.15,18
17,"Rugāju novada dome","Kurmenes ielā 48 , Rugāju pagasts, Rugāju novads, LV-4570",,"Lazdukalna pagasta Eglaines pamatskolas informatizācija","Latgale, ",14/10/2009,"Projekta ietvaros Eglaines pamatskola tiks apgādāta ar 8 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju komplekts (1 interaktīvā tāfele un 1 multimediju projektors), kā arī attīstīts un izveidots 1 lokālais datortīkls. Līdz ar to Eglaines pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti. Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.",10036.02,8530.61,1505.41,21
18,"Ropažu novada pašvaldība","Sporta iela 1, Ropaži, Ropažu novads, LV-2135",,"Ropažu novada izglītības iestāžu informatizācija","Rīgas reģions, ",14/10/2009,"Projekta ietvaros 2 Ropažu novada domes skolas  tiks apgādātas ar 14  stacionārajiem un  4 portatīvajiem datoriem , iegādāti 2 multimediju tehnikas komplekti ( 2 interaktīvās tāfeles un 2 projektori) , kā arī attīstīti 2 lokālie  datortīkli. Līdz ar to, Ropažu  vidusskola un Zaķumuižas pamatskola tiks nodrošināta ar  atbilstošu infrastruktūru, kas veicinās  plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā.
Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",18660.44,15861.36,2799.08,18
19,"Rojas novada Dome","Zvejnieku iela 3, Rojas pagasts, Rojas novads, LV-3264",,"Rojas novada domes izglītības iestāžu informatizācija","Kurzeme, ",14/10/2009,"Projekta ietvaros 2 Rojas novada domes skolas tiks apgādātas ar 25 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (1 interaktīvā tāfele un 1 projektors), kā arī attīstīti 2 lokālie tīkli. Līdz ar to, Rojas vidusskola un Mērsraga vidusskola tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti.Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",22034.64,18729.44,3305.2,18
20,"Riebiņu novada dome","Saules iela 8, Riebiņi, Riebiņu novads, LV-5326",,"Riebiņu novada izglītības iestāžu informatizācija","Latgale, ",26/11/2009,"Projekta pieteicējs ir Riebiņu novada dome. Projekta īstenošanas vietas ir Galēnu pamatskola, Sīļukalna pamatskola, Gailīšu pamatskola, Rušonas pamatskola, Silajāņu pamatskola un Dravnieku pamatskola. Projekts tiks īstenots 18 mēnešos, t.i., laika periodā no 07.2009. līdz 12.2010.
Projekta mērķis ir Riebiņu novada izglītības iestāžu nodrošināšana ar atbilstošu informācijas un komunikāciju tehnoloģiju infrastruktūru, lai izglītības iestādēs un izglītības procesā plašāk un efektīvāk izmantotu informācijas un komunikāciju tehnoloģijas, līdz ar to uzlabojot izglītības kvalitāti un efektivitāti.
Projekta mērķauditorija ir vispārējās izglītības iestādes, izglītojamie un pedagogi.
Projekta ietvaros paredzēts nodrošināt 6 Riebiņu novada skolas ar atbilstošu informācijas un komunikācijas tehnoloģiju. Projektā plānots iegādāties:
1. 12 portatīvos datorus;
2. 29 stacionāros datorus;
3. 6 multimediju tehnikas komplektus;
4. Attīstīt 4 lokālos datortīklus.
 Līdz ar to Galēnu pamatskola, Sīļukalna pamatskola, Silajāņu pamatskola, Dravnieku pamatskola, Rušonas pamatskola un Gailīšu pamatskola tiks nodrošinātas ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādejādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. 
Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
Projekta kopējās izmaksas sastāda – 46805,90 LVL, no tā, ERAF finansējums – 39785,00 LVL, valsts budžeta finansējums – 7020,90 LVL.
",46805.9,39785,7020.9,18
21,"Raunas novada dome","Vidzemes iela 2, Raunas pagasts, Raunas novads, LV-4131",,"Drustu pamatskolas informatizācija","Vidzeme, ",14/10/2009,"Projekta ietvaros Drustu pamatskola tiks apgādāta ar 7 stacionārajiem un 2 portatīvajiem datoriem, iegādāts 1 multimediju tehnikas komplekts (projektors un interaktīvā tāfele), kā arī attīstīts 1 lokālais datortīkls. Līdz ar to Drustu pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā. Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.

",9330.22,7930.68,1399.54,18
22,"Pļaviņu novada dome","Dzelzceļa iela 11, Pļaviņas, Pļaviņu novads, LV-5120",,"Vietalvas pagasta Odzienas pamatskolas informatizācija","Zemgale, ",14/10/2009,"Projekta ietvaros Odzienas pamatskola tiks apgādāta ar 2 portatīvajiem datoriem, kā arī ar 1 multimediju tehnikas komplektu - interaktīvo tāfeli, 1 projektoru. Līdz ar to Odzienas pamatskola ar atbilstošu infrastruktūru, veicinās plašāku un efektīvāku IKT izmantošanu skolā, tādejādi uzlabojot izglītības kvalitāti un efektivitāti. ",4389.61,3730.61,659,15
23,"Olaines novada pašvaldība","Zemgales iela 33, Olaine, Olaines novads, LV-2114",,"Izglītības kvalitātes un efektivitātes uzlabošana, veicot informatizāciju Olaines 1.vidusskolā un Olaines 2.vidusskolā","Rīgas reģions, ",14/10/2009,"Pašreizējā sabiedrības attīstības fāzē, ko dēvē par informācijas sabiedrību, būtisku valsts ekonomiskās izaugsmes un konkurētspējas kāpumu un tālāku virzību uz zināšanām ietilpīgu ekonomiku ir iespējams panākt tikai balstoties uz plašu informāciju un komunikāciju tehnoloģiju izmantošanu publiskajā pārvaldē, komercdarbībā un mājsaimniecībā. Tāpēc, lai jaunā sabiedrība būtu konkurētspējīga, ir nepieciešams veikt izglītības iestāžu informatizāciju, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Šī projekta ietvaros tiks iegādāti 36 stacionārie datorkomplekti, kas sastāvēs no sistēmbloka ar tajā uzstādīto programmatūru, monitora, tastatūras un peles, 11 komplekti tiks iegādāti Olaines 1.vidusskolai un 25 komplekti - Olaines 2.vidusskolai. 
Turklāt katrā vidusskolā tiks izveidots lokālais tīkls, kurā tiks savienoti jaunie datori, un tas savukārt tiks savienots ar skolās jau esošo lokālo tīklu.",25408.85,21597.52,3811.33,12
24,"Nīcas novada dome","Bārtas iela 6, Nīcas pagasts, Nīcas novads, LV-3473",,"Rudes pamatskolas informatizācija","Kurzeme, ",14/10/2009,"Projekta ietvaros Rudes pamatskola tiks apgādāta ar 7 stacionārajiem un 2 portatīvajiem datoriem, iegādāts viens multimediju tehnikas komplekts ( 1 interaktīvā tāfele un 1 projektors), kā arī attīstīts jau esošais lokālais datortīkls. Līdz ar to Rudes pamatskola tiks nodrošināta ar atbilstošu infrastruktūru, kas veicinās plašāku un efektīvāku IKT izmantošanu izglītības iestādē, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā.
Projekta ietvaros attīstītais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu
",9330.22,7930.68,1399.54,12
25,"Naukšēnu novada pašvaldība","""Pagasta nams""
, Naukšēnu pagasts, Naukšēnu novads, LV-4247",,"Ķoņu pamatskolas informatizācija","Vidzeme, ",14/10/2009,"Projekta ""Ķoņu pamatskolas informatizācija"" ietvaros Ķoņu pamatskola tiks nodrošināta ar 8 stacionārajiem datoriem un 2 portatīviem datoriem, tiks iegādāts 1 multimediju tehnikas komplekts un attīstīts 1 lokālais datortīkls. Projekta realizācijas rezultātā Ķoņu pamatskola tiks  nodrošināta ar atbilstošu infrastruktūru,kas veicinās  plašāku un efektīvāku IKT izmantošanu izglītības iestādēs, tādējādi uzlabojot izglītības kvalitāti un efektivitāti.
   Projekta ietvaros iegādātie stacionārie datori tiks savienoti projekta rezultātā izveidotajā lokālajā tīklā.
   Projekta ietvaros izveidotais lokālais tīkls tiks savienots ar skolā jau esošo lokālo tīklu.
",10036.02,8530.61,1505.41,18
