"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
11,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586",,"Kapacitātes stiprināšana starpnozaru pētījumos biodrošībā","Rīga, ",27/10/2009,"Biodrošība (angl. biosafety) ir pasākumu kopums, kas vērsts uz risku  novēršanu vai mazināšanu saistībā ar moderno biotehnoloģiju un tās produktiem.
 Projekta mērķis ir izveidot jaunu, starpdisciplināru pētnieku grupu, piesaistīt un sagatavot cilvēkresursus starpnozaru pētījumiem biodrošībā, biotehnoloģiju pārvaldībā un stiprināt biodrošības jomas kapacitāti LU un Latvijā.
 Projekta gaitā izveidotā pētnieciskā grupa veiks starpnozaru pētījumu bioloģijas, medicīnas, socioloģijas un tiesību zinātnēs.
 Galvenais projekta realizācijas rezultāts ir jauna, starpdisciplināra LU pētnieku grupa (20 darba vietas (15 PLE), kuras tiks nodrošinātas arī pēc projekta beigām) un paaugstināta  kapacitāte biodrošības jomā LU un Latvijā. Projekta realizācijas gaitā paredzēts iegūt sekojošas auditējamas vērtības: starpdisciplinārs biodrošības ekspertu panelis, semināri, konference, datu bāze, interneta mājas lapa, publikācijas, tehnoloģijas un pētījumu metodikas, promocijas, maģistra un bakalaura darbi, biodrošības politikas rekomendācijas.
 Projektu īstenos LU Bioloģijas fakultātes Bioanalītisko metožu laboratorijā un LU Bioētikas un biodrošības centrā. 
 Projekta norises laiks un vieta: Rīga, 2009. 09. – 2012. 09.
 ",1134098,963983,170115,36
12,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586"," Latvijas Lauksaimniecības universitāte, ","Starpnozaru zinātnieku grupas un modeļu sistēmas izveide pazemes ūdeņu pētījumiem","Rīga, Zemgale, ",21/10/2009,"Projekta mērķis ir attīstīt zinātnes cilvēkresursu kapacitāti fundamentālu un praktisku zinātnisku problēmu risināšanai Latvijā zemes dzīļu resursu, īpaši pazemes ūdeņu un ar tiem saistīto resursu pētījumos. Projekta īstenošanā tiks iesaistīti ģeoloģijas, ķīmijas, fizikas un vides zinātnes zinātnieki, ārzemju zinātnieks, jaunie zinātnieki, doktoranti un maģistranti. 
 Projekta ietvaros tiks izveidota Baltijas artēziskā baseina Latvijas teritorijas hidroģeoloģisko modeļu sistēma. Balstoties uz modeļu sistēmu, tiks veikti kompleksi pazemes ūdeņu, kā vienotas sistēmas, kas atrodas nepārtrauktā mijiedarbībā ar atmosfēru un virszemes ūdeņiem, pētījumi. Projekta rezultātā tiks padziļinātas zināšanas par Latvijas pazemes ūdeņiem, to veidošanos un apriti, kā arī identificēti iespējamie apdraudējumi to kvalitātei un ilgtspējīgai izmantošanai. 
 Projektu īstenos Latvijas Universitāte sadarbībā ar Latvijas Lauksaimniecības Universitāti. Projekts tiks realizēts Rīgā un Jelgavā, kā arī visā Latvijas teritorijā, kur tiks veikti lauka pētījumi.
 ",1370400,1164840,205560,36
13,"Rīgas Stradiņa universitāte","Dzirciema iela 16, Rīga, LV-1007",,"Jaunas starpdisciplināras zinātniskās grupas izveide krūts vēža izpētei, terapijas efektivitātes un pacientu dzīves kvalitātes uzlabošanai","Rīga, ",21/10/2009,"Projekta mērķis ir izveidot jaunu starpdisciplināru zinātnisku grupu, iesaistot tajā jaunos zinātniekus, ārvalstu zinātnieku, doktorantus, rezidentus, maģistrus un maģistrantus, lai ar daudzdisciplināru pieeju veiktu krūts vēža klīnisko, morfoloģisko un molekulāro īpatnību korelāciju izpēti terapijas efektivitātes un pacientu dzīves kvalitātes uzlabošanai. Projekta realizēšanā tiks iesaistīti medicīnas, bioloģijas un socioloģijas speciālisti, kopā piesaistot 14 pilna laika ekvivalentam atbilstošu zinātnieku skaitu. Pēc projekta pabeigšanas tiks saglabātas darba vietas zinātniekiem, kas atbildīs 10  pilna laika ekvivalentiem. Galvenās aktivitātes tiks vērstas uz jaunu darbvietu radīšanu jauniem zinātniekiem, to profesionālās izaugsmes veicināšanai, praktiski piedaloties sekojošo projekta zinātnisko uzdevumu izpildē: izstrādāt uzlabotas shēmas pārmantotu un sporādisko krūts audzēju identifikācijai un efektīvākai terapijai, balstoties uz saistību starp ģenētiskiem faktoriem, audzēju morfoloģiju un pacientu dzīves ieradumiem. Projekta galvenais zinātniskais rezultāts būs efektīvākās krūts audzēju pacientu ārstēšanas shēmas. Projekta iesniedzējs ir Rīgas Stradiņa universitāte un tas tiks realizēts laika posmā no 2009. gada 1. septembra līdz 2012. gada 31. augustam. 
 ",1335700,1135344,200356,36
14,"Rēzeknes Augstskola","Atbrīvošanas aleja 90, Rēzekne, LV-4601",,"Teritoriālās identitātes lingvokulturoloģiskie un sociālekonomiskie aspekti Latgales reģiona attīstībā","Latgale, ",21/10/2009,"Projekta mērķis:
 veicināt papildu cilvēkresursu piesaisti zinātnei, veidojot RA jaunu zinātnisko grupu (topošos un jaunos zinātniekus), kas, izstrādājot integrētu pētījumu par Latgales teritoriālās identitātes lingvokulturoloģiskajiem un sociālekonomiskajiem aspektiem, sekmēs Latgales reģiona teritoriālā potenciāla izmantošanu reģiona konkurētspējas paaugstināšanā.
 Tas paredz humanitāro (valodniecības, literatūrzinātnes, kultūras vēstures, folkloristikas) un sociālo zinātņu (ekonomikas, ģeogrāfijas) nozaru informācijas, datu, metodoloģijas instrumentu un pieeju integrētu izmantošanu, kā rezultātā tiks izveidota Baltijas reģionā pirmā lingvoteritoriālā vārdnīca, veikta Latgales reģiona pilsētu lingvistiskās ainavas datu salīdzināšana ar citām Baltijas valstu pilsētām, izstrādāts Latgales reģiona tautsaimniecības un pilsētu piesaistes spēju izvērtējums, kā arī  sagatavoti priekšlikumi pašvaldību un tautsaimniecības speciālistu darba efektivitātes paaugstināšanai.
 Projekta īstenošanas laiks – 36 mēneši, realizācijas vieta – Latgales reģions, Rēzekne.",1182468,1005097,177371,36
15,"Rīgas Stradiņa universitāte","Dzirciema iela 16, Rīga, LV-1007",,"Jaunas starpnozaru zinātniskās grupas izveide uz nanotehnoloģijām bāzētu pieeju izstrādei šūnu bioloģijā ar pielietojumu medicīnā","Rīga, ",21/10/2009,"Projekta mērķis ir izveidot jaunu, zinātnes telpā konkurēt spējīgu pētniecisku grupu, piesaistot jaunos zinātniekus un speciālistus darbam un tālākām studijām zināšanu un pieredzes ietilpīgās pētnieciskās izstrādēs. Pētījumu veikšanai tiek izmantota starpdisciplināra pieeja, piesaistot jaunus speciālistus no dažādām zinātnes nozarēm – medicīnas, bioloģijas un fizikas. Projekta pētniecība ir vērsta uz nanotehnoloģijām bāzētu pieeju izstrādi, mērķētai iedarbībai uz šūnām. Aktivitātīšu mērķi ir: 1) attīstīt tehnoloģijas magnētisko nanodaļiņu, kas varētu nest terapeitiskos līdzekļus (RNS-aptamērus), ievadīšanai cilvēka šūnās, 2) izstrādāt tehnisko projektu un eksperimentālo aparātu - “magnētisko pinceti”, ar kuras palīdzību varētu virzīt un noteikt magnētisko nanodaļiņu lokalizāciju šūnā, 3) radīt specifiskus RNS aptamērus, kurus varētu lietot kā diagnostikas un terapijas līdzekļus B-šūnu limfomu gadījumā, 4) izstrādāt metodi magnētisko nanodaļiņu saturošo šūnu orientētai adsorbēšanai uz biokompozīto materiālu, lai izveidotu sirds-asinsvadu sistēmas elementu aizvietotājus. 
 Projekts ir bāzēts uz pēdējiem biotehnoloģijas sasniegumiem ar nolūku izmantot magnētiskās nanodaļiņas gan jaunu substanču – „ķīmisko antivielu” mērķētai iedarbībai, kas ļautu uzlabot onkoloģisko slimību diagnostiku un terapiju, gan nanostrukturētas sirds un asinsvadu sistēmas elementu aizvietotāju iegūšanai. 
 Projekta realizācijas vieta ir Rīgas Stradiņa universitātes A.Kirhenšteina Mikrobioloģijas un virusoloģijas institūts, realizācijas laiks - 2009. gada septembris - 2012. gada augusts.",1066260,906319,159941,36
16,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586"," Daugavpils Universitāte , ","Biofotonikas pētījumu grupa","Latgale, Rīga, ",21/10/2009,"Projekta mērķis - veicināt papildu cilvēkresursu piesaisti zinātnei, veidojot starpdisciplināru biofotonikas pētījumu grupu, kura izstrādās un aprobēs jaunas metodes un ierīces aktuālu veselības problēmu risinājumam. Grupas kodolu veidos pētnieki no Latvijas Universitātes, Daugavpils Universitātes un Viļņas Universitātes, t.sk., 3 jauni zinātņu doktori, 4 doktora grāda pretendenti, 3 doktoranti, 4 maģistranti/rezidenti, 6 maģistri un 5 bakalaura programmu studenti. No 30 projekta izpildītājiem (PLE = 23) vairums ir vecumā līdz 35 g. No ārvalstīm tiks piesaistīti 3 pieredzējuši zinātnieki, arī Nobela laureāta laboratorijā strādājošs Latvijas fiziķis. Norises vietas – Rīga un Daugavpils, izpildes laiks 28 mēneši (09.2009.-12.2011.). Pētījumi ietvers trīs zinātnes nozares - fiziku (13.7, 13.8, 13.17), medicīnu (30.8, 30.9, 30.14) un bioloģiju (3.2, 3.7). Pētījumu pamatvirzieni - ādas optiskā diagnostika un sirdsdarbības un asinsrites optiskais monitorings. Projekta rezultātā tiks izstrādātas un sadarbībā ar komersantiem ieviestas 8 jaunas metodikas un 9 ierīces veselības stāvokļa neinvazīvam novērtējumam un ilgstošai uzraudzībai.",1331450,1131732,199718,28
17,"Latvijas Hidroekoloģijas institūts","Daugavgrīvas iela 8, Rīga, LV-1048"," Latvijas Universitāte, ","Inovatīvu ekotoksikoloģijas metožu ieviešana dabiskas un antropogēnas izcelsmes piesārņojuma ietekmes identificēšanai Latvijas teritoriālajos ūdeņos","Rīga, ",21/10/2009,"""Projekta mērķis ir izveidot jaunu zinātnisko grupu, kas pētīs dabiskas un antropogēnas izcelsmes piesārņojuma ietekmi Latvijas teritoriālajos ūdeņos. Tiks veikti starpdisciplināri pētījumi bioloģijā un vides ķīmijā, strādājot ar specifiskām, jūtīgām biotestēšanas un biomarķēšanas metodēm. Balstoties uz organismu atbildes reakciju uz dažāda veida piesārņojumu, tiks veikta jūtīgāko un Latvijas apstākļiem piemērotāko testu izvēle un aprobācija Latvijas teritoriālajiem ūdeņiem. Pamatojoties uz “bioloģisko efektu” datu salīdzināšanu ar bīstamo vielu ķīmiskajām analīzēm, tiks noskaidroti specifiskākie biomarķeri. Tiks izveidota Latvijas apstākļiem atbilstošu testobjektu kultūru kolekcija, kas izmantojama turpmākajiem ekotoksikoloģiskajiem pētījumiem. Pielietojot aprobētās metodes tiks noteikta ūdeņu piesārņojuma pakāpe, ķīmiskā piesārņojuma gradienti, galvenie piesārņojuma avoti un būtiskākie piesārņotāju veidi atsevišķās izvēlētās vietās Latvijas teritoriālajos ūdeņos. Projektu veiks Latvijas Hidroekoloģijas institūts, sadarbības partneris- Latvijas Universitāte ""
 ",664000,564400,99600,36
18,"Rīgas Tehniskās universitātes Neorganiskās ķīmijas institūts","Miera iela 34, Salaspils, Salaspils novads, LV-2169"," Rīgas Tehniskā universitāte, ","„Jaunu grūti kūstošu savienojumu nanopulveru iegūšanas paņēmienu un nanostrukturētu kompozītmateriālu izstrāde”","Rīga, Rīgas reģions, ",21/10/2009,"""Projekta galvenais mērķis ir veicināt jaunu cilvēkresursu piesaisti zinātnei veidojot jaunu zinātnieku darba grupu, kas strādās pie starpdisciplināras pētījumu tēmas „Jaunu grūti kūstošu savienojumu nanopulveru iegūšanas paņēmienu un nanostrukturētu kompozītmateriālu izstrāde” izpildes. Izmantojot projektā iesaistīto zinātnisko institūciju uzkrāto pieredzi tiks sekmēta jaunas zinātnieku paaudzes izaugsme un esošās pieredzes nepārtraukta pārnese ķīmijas, ķīmijas tehnoloģijas un materiālzinātņu nozarēs un nodrošināta nanotehnoloģiju attīstība Latvijā un dots ieguldījums šajās zinātņu nozarēs pasaulē. Projekta zinātniskais mērķis ir jaunu speciālas nozīmes nanodaļiņu (oksīdu, karbīdu, karbonitrīdu, ferītu) sintēze un to iegūšanas tehnoloģiju izstrāde, izmantojot ķīmiskās un plazmoķīmiskās metodes, jaunu kompaktēšanas procesu pielietojuma iespēju izpēte nanostrukturētu materiālu izveidē, kā arī sintezētās nanodaļiņas saturošu polimēru kompozītmateriālu ieguve, to pārstrādes un modificēšanas tehnoloģiju izstrāde. ""
 ",720000,612000,108000,36
19,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586"," Daugavpils Universitāte, ","Savs kaktiņš, savs stūrītis zemes – Latvijas  lauku iedzīvotāju attīstības stratēģijas un kultūrvides pārmaiņas","Latgale, Rīga, ",21/10/2009,"Starpdisciplinārā projekta mērķis ir veicināt cilvēkresursu piesaisti zinātnei un Latvijas ilgtspējīgu attīstību. Tas pievēršas Latvijas lauku iedzīvotāju attīstības stratēģijām kultūrvides pārmaiņu kontekstā. 
 Projekts apvieno 5 nozares – antropoloģiju, politoloģiju, valodniecību un literatūrzinātni, vides zinātni. 
 Pētniecības virzieni: attīstības un kultūru dažādības vadība pašvaldībās un ar to saistītās pilsoniskās iniciatīvas; valsts un sabiedrības mijiedarbe vides attīstībā un kultūras menedžmentā; saimniekošanas veidi un mobilitātes izpratne un prakses laukos; vides kultūrvēsturiskā izpratne un iedzīvotāju identitāte daudzvalodības apstākļos; ētikas priekšstati un prakse; miermīlīgu sadzīvi veicinoši faktori. 
 Projekts sekmēs cilvēkresursu piesaisti zinātnei, vispusīgi analizēs attīstību veicinošos un bremzējošos faktorus un sniegs ieteikumus valsts ilgtspējīgas attīstības politikas veidošanai. 
 Projektu īstenos pie Latvijas Universitātes veidota zinātniska grupa sadarbībā ar Daugavpils Universitāti. Pētnieciskais darbs tiks veikts no 2009.-2012. g. Rīgā un Latvijas reģionos.
 ",729000,619650,109350,36
20,"Daugavpils Universitāte","Vienības iela 13, Daugavpils, LV-5400"," Latvijas Universitāte, ","Starpdisciplināras zinātniskās grupas izveidošana Latvijas lašveidīgo zivju ezeru ilgtspējības nodrošināšanai","Latgale, ",21/10/2009,"Projekta nosaukums: Starpdisciplināras zinātniskās grupas izveidošana Latvijas lašveidīgo zivju ezeru ilgtspējības nodrošināšanai.
 Projekta mērķis: Veicināt papildu cilvēkresursu piesaisti Latvijas lašveidīgo zivju ezeru ilgtspējības nodrošināšanai, veidojot starpdisciplināru zinātnisko grupu, piesaistot LU zinātniekus un ārvalstu zinātniekus, kā arī veicināt jauno zinātnieku iesaistīšanos projektā.
 Projekta mērķa grupa ir zinātnieki, ārvalstu zinātnieki, jaunie zinātnieki, doktoranti, maģistri, maģistranti, kā arī valsts zinātniskās institūcijas.
 Projekta zinātnes nozares: vides zinātne, bioloģija, fizika un matemātika.
 Projekta galvenās aktivitātes: 1) Fizikālās metodes un modelēšana, 2) hidroķīmiskie procesi; 3) hidrobioloģiskie procesi; 4) ekoloģiskā ģenētika, kas nodrošina kompleksu starpdisciplināru lašveidīgo zivju ezeru pētījumu. 
 Projekta galvenie rezultāti: Izstrādāts jauns tehnoloģiskais risinājums ezeru ūdeņu analīzei izmantojot optiskās metodes un izstrādāta hidroakustisko pētījumu metode zivju resursu izvērtēšanai; Izstrādāts zivju resursu attīstības prognozes matemātiskais modelis; Izvērtēti faktori, kas nosaka virszemes ūdeņu ķīmiskā sastāva veidošanos un vielu plūsmas ezeru sateces baseinos un veikta biogēno elementu plūsmu novērtēšana, izmantojot modelēšanas metodes; Pamatojoties uz planktofāgo zivju un zooplanktona mijiedarbības analīzi ezeru pelaģiālē, izstrādāta jauna zivju barības bāzes izvērtēšanas metode; Izstrādāts un nopublicēts Baltijas reģiona saldūdeņu zooplanktona sugu noteicējs; Izstrādāta ģenētiskā monitoringa metode; Par pētījumu tēmu sagatavotas 14 publikācijas recenzējamos zinātniskos izdevumos, sniegti ziņojumi 18 starptautiskās konferencēs, aizstāvētas 3 doktora disertācijas.
 Projekta iesniedzējs: Daugavpils Universitāte.
 Projekta sadarbības partneris: Latvijas Universitāte.
 Projekta norises vieta: Daugavpilī, Latgalē.
 Projekta norises laiks: 2009.gada septembris līdz 2012.gada augusts, jeb 36 mēneši.
 ",720335,612284,108051,36
21,"Rīgas Tehniskā universitāte","Kaļķu iela 1, Rīga, LV-1658"," Latvijas Organiskās sintēzes institūts,  Daugavpils Universitāte,  Latvijas Universitātes Cietvielu fizikas institūts,  Rīgas Stradiņa universitāte, ","Jauno zinātnieku grupas multidisciplinārs pētījums biomateriālu tehnoloģiju izstrādei","Rīga, ",21/10/2009,"""Projekta „Jauno zinātnieku grupas multidisciplinārs pētījums biomateriālu tehnoloģiju izstrādei” virsmērķis ir  ar zināšanām un praksi apveltītas jaunas zinātniskās grupas izveide multidisciplināram pētījumam bio- un ekomateriālu tehnoloģiju izstrādei.  Pamatmateriālu sintēzei un īpašību izpētei veltītas aktivitātes -  (Nr.3,4,5,6,7), šo materiālu modificēšanas tehnoloģiju izstrādei- (Nr.8, 9, 10), kam seko pamat - un modificēto materiālu kompleksa fizikāli ķīmisko un bioloģisko īpašību izpēte iedarbībā ar mikroorganismiem, šūnām un dzīviem bioloģiskiem audiem iegūstot informāciju par pamatmateriālu modificēšanas optimāliem parametriem – (Nr.11,12,13,14,15,16,17,18). Realizējot aktivitātes 19,20,21,22 balstoties uz iepriekšējās aktivitātēs izstrādātām tehnoloģijām tiks iegūti jaunu biomateriālu produktu prototipi. Projekta realizācijas gaitā tiks izstrādāti 8 jauni produkti: 4 veidu medikamentozi biokeramiskie implantmateriāli, 2 veidu medikamentozi ādas plāksteri, keramiskās sorbcijas granulas biotehnoloģisku un pārtikas produktu attīrīšanai, kā arī speciāli elektrodi elektrolīzes šūnu veidošanai ūdens bakteriālā piesārņojuma novēršanai, izstrādāti šo produktu prototipi un pielietojuma apraksti.  Starpdisciplinārais pētījums tiks veikts šādās zinātnes nozarēs: farmācija,  fizika, ķīmijas inženierzinātne, materiālzinātne, medicīna, vides zinātne. Pētījumu īstenos Rīgas Tehniskā universitāte, veicot zinātnisko sadarbību ar Latvijas Universitātes Cietvielu fizikas institūtu (LU CFI), Latvijas Organiskās sintēzes institūtu (LOSI), Rīgas Stradiņa universitāti (RSU) un Daugavpils universitāti (DU).  Projekts tiks realizēts 36 mēnešu laikā, no 2009. gada septembra līdz 2012. gada augustam par pamatdarbības vietu  paredzot RTU Rīgas Biomateriālu inovāciju un attīstības centru, kurā ir koncentrētas vairums tehnoloģisko iekārtu projekta īstenošanai. Projekta kopējās izmaksas ir LVL 1 405 048. ""
 ",1405048,1194290,210758,36
22,"Valsts Priekuļu laukaugu selekcijas institūts","Zinātnes iela 1a, Priekuļu pagasts, Cēsu rajons, LV-4126"," Latvijas Universitāte,  APP Valsts Stendes graudaugu selekcijas institūts, ","Videi draudzīgu un ilgtspējīgu laukaugu šķirņu selekcijas tehnoloģiju izstrāde, pilnveidošana un ieviešana praksē","Kurzeme, Vidzeme, Rīga, ",21/10/2009,"""Projekta mērķis ir izveidot zinātnisko grupu, kas veiks jaunu laukaugu selekcijas procesa tehnoloģiju izstrādi un ieviešanu videi draudzīgai un ilgtspējīgai lauksaimniecībai piemērotu šķirņu veidošanai, iesaistot jaunos zinātniekus, doktorantus, maģistrantus un ārzemju zinātnieku.  Projekta aktivitātes ietvers projekta vadību, zinātniskās grupas izveidi, pētījuma veikšanu un sabiedrības informēšanu. Projekts paredz lauksaimniecības, bioloģijas un medicīnas zinātņu pārstāvju savstarpēju sadarbību, veicot pētījumu par selekcijas metodiku un shēmu izstrādi laukaugu šķirņu veidošanai, bioloģiski aktīvu vielu noteikšanas metodēm, nozīmīgas augu pazīmes nosakošu gēnu molekulāro kartēšanu un marķieru izveidi. Projekta rezultāts būs jauna zinātnieku grupa, kā arī selekcijā pielietojamas tehnoloģijas šķirņu veidošanai videi draudzīgai un ilgtspējīgai lauksaimniecībai. Projekta iesniedzējs ir Valsts Priekuļu laukaugu selekcijas institūts, sadarbības partneri - Valsts Stendes Graudaugu selekcijas institūts un Latvijas Universitāte. Projekts tiks realizēts Priekuļos, Stendē un Rīgā no 2009.10. līdz 2012.10. ""
 ",1211160,1029486,181674,36
23,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586",,"„Smago metālu piesārņojuma noteikšana ar spektroskopiskām metodēm.”","Rīga, ",21/10/2009,"Projekta mērķis ir piesaistīt jaunos zinātniekus vides piesārņojuma aktuālu problēmu risināšanai, veidojot starpdisciplināru grupu. Tajā tiks izgatavoti starojuma avoti (augstfrekvences bezelektrodu lampas) atomu absorbcijas spektrometriem; veikti šo lampu spektroskpiskie mērījumi un teorētiskie aprēķini; veikti dzīvsudraba (Hg) koncentrācijas mērījumi gaisā un ūdenī. Projekts saistīts ar optikas, teorētiskās fizikas, tehniskās fizikas, vides ķīmijas un ekotoksikoloģijas zinātnes apakšnozarēm. Projekta iesniedzēja ir Latvijas Universitāte, galvenie pētījumi tiks veikti LU Atomfizikas un spektroskopijas institūtā, bet piesārņojuma avotus būs iespējams apsekot visur Latvijā. Projektu plānots veikt trijos gados no 2009. gada septembra līdz 2012. gada septembrim. Grupā, kuru vadīs jaunā zinātniece, tiks iesaistīti maģistranti, doktoranti, grāda pretendenti, jaunie zinātnieki, pieredzējušie zinātnieki un pieredzējusi ārzemju zinātniece (8 PLE), radot 6 jaunas darba vietas.",636600,541110,95490,36
24,"Rīgas Tehniskā universitāte","Kaļķu iela 1, Rīga, LV-1658",,"Mehānisku elementu virsmas un to iekšējās struktūras nanotehnoloģiskie pētījumi mašīnbūvē","Kurzeme, Latgale, Rīga, ",21/10/2009,"
 Projekta mērķis ir veikt nanotehnoloģiskus, materiālzinātnes un mehāniskus pētījumus mašīnbūvē, piesaistot jaunus cilvēku resursus zinātnei. Plānotie pētījumi ir starpdisciplināri, jo atbilst Mašīnzinātnes un Mehānikas zinātnes nozarēm.
 Galvenās aktivitātes:
 1.	Jaunas zinātniskās grupas izveide;
 2.	Jaunu darba vietu izveide zinātniskā grupā;
 3.	Zinātniskie pētījumi Mašīnzinātnes un Mehānikas zinātnes nozarēs nanotehnoloģijas līmenī;
 4.	Sadarbības pasākumi ar LZA institūtiem un LR Metroloģijas centru;
 5.	Sadarbības pasākumi ar komersantiem;
 6.	Informācijas un publicitātes pasākumi;
 7.	Projekta vadība.
 Galvenie sagaidāmie rezultāti:
 	jaunas zinātniskās grupas izveide;
 	lētāki nanopārklājumi ar jaunām īpašībām, kas izmantojami aparātu būvē un mašīnbūvē;
 	jaunu nanopārklājumu uznešanas tehnoloģijas pilnveidošana uz veikto pētījumu un aprēķinu pamata;
 	jauni elastomēru, kompozīto un nanokompozīto materiālu mašīnu elementi, kas izmantojami mašīnbūvē.
 Projekta iesniedzējs ir RTU. Projekts tiks īstenots LR, Rīgā, RTU Mašīnbūves tehnoloģijas institūtā (MTI) un Mehānikas institūtā (MI) no 01.09.2009.g. līdz 31.08.2012.g.
 ",940000,799000,141000,36
25,"LU aģentūra Latvijas Universitātes Polimēru mehānikas institūts","Aizkraukles iela 23, Rīga, LV-1006",,"Cilvēkresursu piesaiste moderno kompozītmateriālu kompleksiem pētījumiem","Rīga, ",21/10/2009,"Projekta nosaukums: Cilvēkresursu piesaiste moderno kompozītmateriālu kompleksiem pētījumiem.
 Projekta mērķis: Piesaistīt cilvēkresursus LU Polimēru mehānikas institūta (PMI) moderno kompozītmateriālu kompleksu pētījumu veikšanai, radot moderno kompozītmateriālu projektēšanas, izgatavošanas un pielietošanas zinātnisko pamatu, kas sekmēs uz inovācijām balstītu Latvijas tautsaimniecības attīstību.
 Projekta zinātnes nozares saistītas ar materiālzinātni, materiālu fiziku, polimēru un šķiedrmateriālu tehnoloģiju, mehāniku un matemātisko modelēšanu.
 Projekta galvenās aktivitātes: 1) ar kompozītmateriāliem pastiprinātu celtniecības konstrukciju izpēte, 2) celulozes šķiedru un to kompozītmateriālu izpēte, 3) dispersi pildīto polimēru kompozītmateriālu īpašību izpēte, 4) projekta informācijas un publicitātes pasākumi, 5) projekta vadīšana.
 Sagaidāmie projekta galvenie rezultāti: izstrādāta laboratorijas metodika ar kompozītmateriāliem pastiprinātu būvkonstrukciju monitoringam; izstrādāts ar kompozītmateriāliem pastiprināto būvkonstrukciju plaisu rašanās un attīstības modelis; izveidots ar kompozītmateriāliem pastiprinātā betona modelis; sistematizēta datu kopa par celulozes šķiedru un to kompozītmateriālu mehāniskajām īpašībām; izstrādāti modeļi celulozes šķiedru un to kompozītu mehānisko īpašību aprakstam, prognozēšanai un optimizēšanai; sistematizēta datu kopa par dispersi pildīto polimēru kompozītmateriālu mehāniskajam un fizikālajām īpašībām.
 Projekta iesniedzējs: Latvijas Universitātes aģentūra „Latvijas Universitātes Polimēru mehānikas institūts”.
 Projekta norises vieta: Rīga, Aizkraukles iela 23, LV-1006.
 Projekta norises laiks: 2009.gada septembris līdz 2012.gada augusts, jeb 36 mēneši.
 ",1396800,1187280,209520,36
26,"Latvijas Lauksaimniecības universitāte","Lielā iela 2, Jelgava, LV-3001",,"Pārtikas nozares zinātniski pētnieciskās grupas izveide","Zemgale, ",21/10/2009,"""Mērķis: veicināt cilvēkresursu piesaisti zinātnei, izveidojot starpdisciplināru zinātniski pētniecisko grupu pārtikas sistēmas integrētai izpētei, lai iegūtu inovatīvus, drošus un kvalitatīvus pārtikas produktus. Grupā apvienosies zinātnieki no pārtikas, lauksaimniecības, bioloģijas, ekonomikas un informācijas tehnoloģiju nozarēm., viņu vidū 11 jaunie zinātnieki, 5 doktoranti, 1 maģistrants, 3 maģistri un 4 pieredzējuši doktori-zinātnieki. Pētījumi paredzēti četros virzienos: izejvielu atlase un izvērtējums; pārtikas produktu ražošanas tehnoloģiskā attīstība; pārtikas produktu kvalitātes izvērtējums; tirgus stratēģijas izstrāde. Paredzēts piedalīties 40 konferencēs, sagatavot 31 manuskriptu un 2 patentu pieteikumus. Projektam noslēdzoties, plānots dibināt Pārtikas zinātnes institūtu, kurā tiks iekļauta projektā izveidotā grupa, turpinot iesāktos pētījumus un nodrošinot vismaz 5 jauno darba vietu saglabāšanu. Projektu īstenos Latvijas Lauksaimniecības universitāte 01.09.2009.–31.08.2012. ""
 ",1123321,954822,168499,36
27,"Latvijas Lauksaimniecības universitāte","Lielā iela 2, Jelgava, LV-3001"," Latvijas Universitāte,  Rīgas Tehniskā universitāte, ","Latvijas starpaugstskolu zinātniskās grupas izveide sistēmbioloģijā","Rīga, Zemgale, ",21/10/2009,"Projekta mērķis – piesaistīt cilvēkresursus zinātnei veidojot starpdisciplināru grupu sistēmbioloģijā, kurā sadarbosies datormodelētāji ar eksperimentātoriem. 
 Pētījuma virziens: dinamisku, kvantitatīvu datormodeļu izveide, optimizācija un pielietojums raugu un baktēriju metaboliskajā inženierijā, biotehnoloģisko procesu projektēšanā un to vadības izstrādē. Eksperimenti tiks balstīti nevis uz aprakstošiem priekšstatiem par mikroorganismu metabolismu, bet gan uz detalizētiem metabolisma datormodeļiem.
 
 Izstrādātajai metodoloģijai būs plašs pielietojums biotehnoloģijā, biomedicīnā, pārtikas rūpniecībā un biodegvielas ražošanā. Projekts attiecas uz zinātņu apakšnozarēm: „informācijas tehnoloģija” un „mikrobioloģija un biotehnoloģija”.
 
 Sagaidāmie rezultāti – jauns zinātnes virziens Latvijā, kurš nodrošinās darbavietas uz zināšanām balstītā bioekonomikā; rekombinantie mikroorganismu celmi, datormodeļi un algoritmi, publikācijas un semināri sistēmbioloģijā. Projekta iesniedzējs – LLU, sadarbības partneri – LU un RTU. Projekts tiks realizēts no 2009. līdz 2012. gadam Jelgavā un Rīgā.",1380000,1172999,207001,36
