"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
11,"Ventspils pilsētas dome","Jūras iela 36, Ventspils, LV-3601",,"Ventspils 6.vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Kurzeme, ",01/04/2009,"Projekta vispārējais mērķis ir vispārējās vidējās izglītības iestādes pieejamības nodrošināšana izglītojamiem ar kustību traucējumiem Ventspils pilsētā. 

Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar kustību traucējumiem, projekta ietvaros plānots īstenot Ventspils 6.vidusskolas infrastruktūras pielāgošanu personām ar funkcionāliem traucējumiem. Projektā tiks veikta izglītības iestādes sanitārā mezgla pielāgošana, mācību kabinetu gaiteņu grīdu un durvju rekonstrukcija, kā arī lifta izbūve, nodrošinot arī atsevišķas informatīvas norādes vājredzīgajiem. 

Tā rezultātā tiks radīti priekšnosacījumi kvalitatīvu izglītības pakalpojumu un vienlīdzīgu iespēju nodrošināšanā Ventspils pilsētā.

Projekta mērķa grupa ir vispārējās izglītības iestādes izglītojamie un pedagogi ar funkcionālajiem traucējumiem. Netiešā mērķa grupa ir arī izglītojamo vecāki un izglītības iestādes tehniskais personāls.

Projekta īstenošanas laiks ir 10 mēneši (1.06.2009.-31.03.2010.), un plānotais kopējais finansējums - 98 392 LVL.
",98392,83633,0,10
12,"Salas novada pašvaldība","Susējas iela 11, Salas pagasts, Jēkabpils rajons, LV-5230",,"Salas vidusskolas infrastruktūras pielāgošana izglītojamiem ar kustību traucējumiem","Zemgale, ",09/04/2009,"     Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Jēkabpils rajonā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Jēkabpils rajona Salas pagasta Salas vidusskolā.
        Projekta ietvaros tiks īstenota šāda aktivitāte - Vispārējās izglītības iestādes infrastruktūras pielāgošana personām ar kustību traucējumiem.
        Projekta īstenošanas vieta - Jēkabpils rajona Salas pagasta Salas vidusskola, LV – 5230.
       Plānotais kopējais projekta īstenošanas ilgums: 9 mēneši.
       Projekta plānotās attiecināmās izmaksas Ls 98 392.
       Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros projektā ietvertajā izglītības iestādē-Salas vidusskolā plānots veikt šādas darbības:
1. Būvdarbu tehniskās dokumentācijas izstrāde.
2. Ieejas mezgla rekonstrukcija un invalīdu uzbrauktuves izbūve.
3. Iekšējo kāpņu pārbūve 1. stāvā.
4. Sanitārā mezgla izbūve 1. stāvā.
5. Durvju bloku nomaiņa.
6. Lifta konstrukcijas izbūve. ",98392,83633,0,9
13,"Liepājas pilsētas pašvaldība","Rožu iela 6, Liepāja, LV-3401",,"Liepājas 8.vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Kurzeme, ",01/04/2009,"          Liepājas pilsētas Attīstības stratēģijas 2008. – 2014.gadam plānā (LD Lēmums Nr. 563, 25.10.2007.) tiek izvirzīts mērķis – izveidot efektīvu vispārējās izglītības iestāžu tīklu, kas ļautu iegūt darba tirgus prasībām atbilstošu vispārējo izglītību. 
Lai veicinātu ilgtspējīgu attīstību un nodrošinātu vienlīdzīgas iespējas kvalitatīvas vispārējās vidējās izglītības iegūšanai Liepājā un vides pieejamību izglītojamiem ar funkcionāliem traucējumiem,  projekta ”Liepājas 8.vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem” ietvaros ir plānots veikt:
1. Telpu pielāgošanu:
- paredzot grīdas segumu nomaiņu skolas koridoros;
- grīdas seguma remontu aktu zālē;
- jaunu durvju bloku montāžu.
Kā arī tiks nodrošināta:
2. Projekta vadība.
3. Projekta publicitāte.
Projekta īstenošanas vieta –Liepājas 8. vidusskola, Dunikas iela 9/11, Liepāja, 
LV – 3407.
Tiešie ieguvēji: 40 skolēnu ar īpašām vajadzībām, tai skaitā 1 skolēns ar funkcionāliem traucējumiem, 1 pedagogs ar kustību traucējumiem.
Plānotās projekta kopējās izmaksas Ls 102 859, kur paredzēts piesaistīt ERAF finansējumu Ls 83 633 jeb (81,3%) un Liepājas pilsētas pašvaldības līdzfinansējums Ls 19 226 jeb (18,7%), tai skaitā plānotā valsts budžeta dotācija Ls 5 904 jeb (5,7%).  
",98392,83633,0,6
14,"Jelgavas pilsētas dome","Lielā iela 11, Jelgava, LV-3001",,"Jelgavas 4. vidusskolas piemērošana izglītojamiem ar funkcionāliem traucējumiem","Zemgale, ",09/04/2009,"Projekta „Jelgavas 4. vidusskolas piemērošana izglītojamiem ar funkcionāliem traucējumiem” vispārējais mērķis ir uzlabot vispārējās izglītības iestādes pieejamību personām ar funkcionāliem traucējumiem. Projekts tiks īstenots Jelgavas 4. vidusskolā, Akmeņu ielā 1, Jelgavā.
Projekta ietvaros tiks īstenota sekojoša aktivitāte - vispārējās izglītības iestādes piemērošana personām ar kustību traucējumiem. 
Šī aktivitāte ietver 4 pandusu izbūvi, 1 slīpveida pacēlāja ar platformu ratiņkrēslam ierīkošanu un 3 specializēti aprīkotu tualešu izbūvi. 
Lai nodrošinātu kvalitatīvu projekta īstenošanu tiks veikta būvuzraudzība, nepieciešamie projekta administrēšanas, kā arī publicitātes pasākumi.
Projekta tiešā mērķa grupa ir Jelgavas 4. vidusskolas izglītojamie ar funkcionāliem traucējumiem un šīs iestādes pedagogi, kā arī potenciālie šīs skolas audzēkņi. Projekta netiešā mērķa grupa ir visi pilsētas iedzīvotāji. 
Projekta rezultātā tiks nodrošināta personu ar kustību traucējumiem brīva pārvietošanās vispārējās izglītības iestādes ēkā.
Projekta plānotais īstenošanas ilgums: 15 mēneši.
Projekta plānotās kopējās attiecināmās izmaksas – LVL 98 392,00. 
",98392,83633,0,15
15,"Madonas novada pašvaldība","Saieta laukums 1, Madona, Madonas novads, LV-4801",,"Madonas pilsētas 1.vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Vidzeme, ",24/04/2009,"        Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros plānots veikt attiecīgos būvdarbus Madonas pilsētas 1.vidusskolā.
        Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Madonas rajonā, kā arī nākotnē potenciālajā Madonas novadā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Madonas pilsētas 1.vidusskolā.
        Projekta ietvaros tiks īstenota šāda aktivitāte - Vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem.
        Projekta īstenošanas vieta - Valdemāra bulvāris 6, Madona, LV- 4801.
       Plānotais kopējais projekta īstenošanas ilgums: 18 mēneši.
       Projekta plānotās attiecināmās izmaksas 98 392 lati.
",98392,83633,0,18
16,"Daugavpils pilsētas dome","Kr. Valdemāra iela 1, Daugavpils, LV-5401",,"Daugavpils 12.vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Latgale, ",01/04/2009," Projekta vispārīgais mērķis ir  vispārējās vidējās izglītības iestādes   pieejamības nodrošināšana izglītojamiem ar kustību traucējumiem Daugavpilī. 
Projekta specifiskais mērķis ir  Daugavpils 12.vidusskolas infrastruktūras pielāgošana izglītojamiem ar kustību traucējumiem.
Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar kustību traucējumiem, projekta ietvaros plānots īstenot aktivitāti –  Daugavpils 12.vidusskolas infrastruktūras pielāgošana personām ar kustību traucējumiem. 
Aktivitātes ietvaros tiks veikta izglītības iestādes ieejas mezgla un sanitārtehniskas telpas renovācija, vairāku mācību kabinetu durvju aiļu paplašināšana, kā arī lifta izbūve un pacēlāja ierīkošana.
Projekta īstenošanas vieta –  Daugavpils 12.vidusskola, Kauņas iela 8, Daugavpilī, LV-5404.
Plānotais kopējais projekta īstenošanas ilgums: 15 mēneši.
Projekta plānotās attiecināmās izmaksas ir 98 392 lati.
",98392,83633,0,15
17,"Valmieras pilsētas pašvaldība","Lāčplēša iela 2 ,Valmiera, Valmieras novads, LV-4201",,"Valmieras Pārgaujas ģimnāzijas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Vidzeme, ",01/04/2009,"   Lai nodrošinātu projekta mērķi – vispārējās vidējās izglītības iestādes pieejamības nodrošināšana izglītojamiem ar kustību traucējumiem Valmieras rajonā, kura mērķa grupa ir vispārējās izglītības iestādes izglītojamie ar funkcionāliem traucējumiem un vispārējās izglītības iestādes pedagogi, projekta ietvaros Vidzemes plānošanas reģiona Valmieras pilsētas pašvaldības (turpmāk tekstā – Pašvaldība) dibinātajā vispārējās vidējās izglītības iestādē: Valmieras Pārgaujas ģimnāzijā, adrese Zvaigžņu iela 4, Valmiera, LV - 4201, plānots veikt šādas aktivitātes: vispārceltnieciskos darbus, tajā skaitā lifta šahtas izbūvi, ieejas mezgla rekonstrukciju, tualešu rekonstrukcija, pielāgojot personām ar funkcionāliem traucējumiem; tehnoloģiskās iekārtas - lifta montāžu un tehnoloģiskās iekārtas - diagonālās invalīdu pacelšanas iekārtas montāža (augstums 1.5m), kā arī tehniskā projekta izstrādi, autoruzraudzību, būvuzraudzību un publicitātes pasākumus.
     Projekta kopējais attiecināmās izmaksas ir LVL 98 392,- (tajā skaitā ERAF finansējums LVL 83 633,- (85 % no kopējām izmaksām). Pašvaldības līdzfinansējums (15% no projekta attiecināmajām izmaksām)- LVL 14759,- (t.sk. valsts budžeta dotācija LVL 2952,-). Pašvaldības projekta līdzfinansējuma 15% no projekta kopējām attiecināmajām izmaksām apliecina Valmieras pilsētas pašvaldības domes 15.01.2009. lēmums Nr.16 (protokols Nr.1, #17) „Par atbalstu projektam „Valmieras Pārgaujas ģimnāzijas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem” darbības programmas „Infrastruktūra un pakalpojumi” papildinājuma 3.1.3.3.2.apakšaktivitāti „Vispārējās izglītības iestāžu infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem” (Skat. 1.Pielikumu)
    Plānotais projekta īstenošanas ilgums – 16 mēneši.
",98392,83633,0,16
18,"Jūrmalas pilsētas dome","Jomas iela 1/5, Jūrmala, LV-2015",,"Jūrmalas Valsts ģimnāzijas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Rīgas reģions, ",09/04/2009,"Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionālajiem traucējumiem Jūrmalas pilsētā.
Projekta īstenošanas vieta - Jūrmalas Valsts ģimnāzija, Raiņa 55, Jūrmala, LV 2011.
Lai nodrošinātu vispārējās vidējās izglītības iestādes pieejamību izglītojamiem un pedagogiem ar kustību traucējumiem, projekta ietvaros plānots īstenot šādu aktivitāti: 
Jūrmalas Valsts ģimnāzijas infrastruktūras pielāgošana personām ar kustību traucējumiem
Plānotais kopējais projekta īstenošanas ilgums 18 mēneši laika periodā no 2009.gada 1.jūlija līdz 2010.gada 31.decembrim.
Projekta plānotās attiecināmās izmaksas Ls 98 392.
",98392,83633,0,18
19,"Kuldīgas novada Dome","Baznīcas iela 1,, Kuldīga, Kuldīgas novads, LV-3301",,"Kuldīgas Centra vidusskolas infrastruktūras pielāgošana izglītojamiem ar kustību un redzes traucējumiem","Kurzeme, ",01/04/2009," Projekta vispārīgais mērķis ir nodrošināt vispārējās izglītības iestāžu pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem Kuldīgas rajonā. 
Projekta specifiskais mērķis ir pielāgot Kuldīgas Centra vidusskolas ēku un teritoriju, lai nodrošinātu izglītības iegūšanas iespējas un infrastruktūras pieejamību izglītojamiem  un citām personām ar kustību un redzes traucējumiem.
Projekta ietvaros paredzēts īstenot šādas aktivitātes:
- Kuldīgas Centra vidusskolas infrastruktūras pielāgošana personām ar kustību un redzes traucējumiem;
- Publicitātes aktivitātes.
Projekta īstenošanas vieta Kuldīgas Centra vidusskola, Mucenieku iela 6, Kuldīga.
Kopējais projekta īstenošanas laiks 13 mēneši.
Projekta kopējās attiecināmās izmaksas ir Ls 98 392.
",98392,83633,0,13
20,"Ozolnieku novada dome","Stadiona iela 10, Ozolnieku pagasts, Ozolnieku novads, LV-3018",,"Ozolnieku vidusskolas telpu piemērošana izglītojamiem ar funkcionāliem traucējumiem","Zemgale, ",09/04/2009,"Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar kustību traucējumiem Jelgavas rajonā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar kustību traucējumiem Jelgavas rajona Ozolnieku novada Ozolnieku vidusskolā.
        Projekta ietvaros tiks īstenota aktivitāte - vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem. Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar kustību traucējumiem, t.sk. ratiņkrēslos, projekta ietvaros infrastruktūras pielāgošanai Ozolnieku vidusskolā plānots veikt  sekojošas aktivitātes:
1. Būvdarbi:
• skolas 1. un 2. stāva mācību kabinetu un palīgtelpu (tualešu, medicīnas kabineta) durvju nomaiņu, lai šajās telpās patstāvīgi varētu iekļūt personas ar kustību traucējumiem; 
• durvju nomaiņu skolas 1. un 2. stāva koridoros un koridoru remonts;
• tualešu remontu  ar speciālo invalīdu tualešu izbūvi skolas 1. un 2. stāvā;
• medicīnas kabineta remontu, lai tas būtu pieejams arī personām ar kustību traucējumiem;
•  skolas Bērnu attīstības un izglītības centra telpas remontu.
2. Pacēlāja konstrukcijas izbūve:
• pacēlāja izbūvi uz ēkas otro stāvu,  
• piebraucamā celiņa, pandusa (uzbrauktuves), un ieejas mezgla izbūvi pie vispārējās izglītības iestādes, lai nodrošinātu iekļūšanu liftā, kā arī ērtu iekļūšanu un izkļūšanu no ēkas.

       Projekta īstenošanas vieta – Jelgavas rajona Ozolnieku novada Ozolnieku vidusskola.
       Plānotais kopējais projekta īstenošanas ilgums: 15 mēneši.
       Projekta plānotās attiecināmās izmaksas Ls 98392
",98392,83633,0,15
21,"Balvu novada pašvaldība","Bērzpils iela 1a, Balvi, Balvu novads, LV-4501",,"Infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem Balvu Amatniecības vidusskolā","Latgale, ",08/06/2009,"Lai nodrošinātu vispārējās vidējās izglītības iestādes pieejamību izglītojamiem un pedagogiem ar kustību traucējumiem, projekta ietvaros plānots īstenot šādu aktivitāti:
Balvu Amatniecības vidusskolas infrastruktūras pielāgošana personām ar kustību traucējumiem.
    Projekta vispārīgais mērķis ir nodrošināt izglītības iestāžu pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem.
    Projekta specifiskais mērķis ir Balvu Amatniecības vidusskolas infrastruktūras pielāgošana izglītojamiem un citām personām ar funkcionāliem traucējumiem, veicot renovācijas un rekonstrukcijas darbus. 
     Projekta mērķauditorija ir Balvu pilsētas, rajona un 7 blakus rajonu skolu skolēni, pedagogi un citas personas ar funkcionāliem traucējumiem.
Projekta rezultāti:
• Izbūvētas uzbrauktuves;
• Ierīkotas pašatveramās durvis;
• Lifta konstrukciju izbūve;
• Pacēlāja konstrukciju izbūve;
• Sanitāro mezglu rekonstrukcija;
• Ēdamzāles grīdas klājuma ierīkošana;
• Iekštelpu apdares darbi;
• Iekšpagalma labiekārtošana cilvēkiem ar funkcionāliem traucējumiem;
• Uzstādītas norādes zīmes cilvēkiem ar funkcionāliem traucējumiem.",98392,83633,0,18
22,"Rēzeknes pilsētas dome","Atbrīvošanas aleja 93, Rēzekne, LV-4601",,"Rēzeknes 1. vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Latgale, ",22/05/2009,"        Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros projektā ietvertajā izglītības iestādē plānots veikt attiecīgos būvdarbus.
        Projekta vispārīgais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Rēzeknes pilsētā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestāžu pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Rēzeknes 1. vidusskolā.
        Projekta ietvaros tiks īstenota šāda aktivitāte - Vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem.
        Projekta īstenošanas vieta – Rēzeknes 1. vidusskola, Rēzekne, Dzirnavu 3a  LV – 4601.
       Plānotais kopējais projekta īstenošanas ilgums: 12 mēneši.
       Projekta plānotās attiecināmās izmaksas Ls 98 390.
",98392,83633,0,16
23,"Rēzeknes novada pašvaldības Maltas pagasta pārvalde","Skolas iela 24, Malta, Maltas pagasts, Rēzeknes novads, LV-4630",,"Maltas 2. vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem","Latgale, ",22/05/2009,"Projekta ""Maltas 2. vidusskolas infrastruktūras uzlabošana izglītojamiem ar funkcionāliem traucējumiem"" pieteicējs Rēzeknes rajona Maltas pagasta padome. 
         Projektu paredzēts realizēt Maltas pagasta pašvaldības vispārizglītojošā iestādē - Maltas 2. vidusskolā. Skola piedāvā apgūt gan vispārizglītojošo izglītību, gan interešu izglītību. Mācību iestāde realizē 8 akreditētas izglītības programmas, tajā skaitā četras speciālās izglītības programmas izglītojamiem ar funkcionāliem traucējumiem, kuri ir integrēti vispārējā izglītības iestādē. 
         Skolā 51 izglītojamiem ir dažādi funkcionāli attīstības traucējumi, divi izglītojamie pārvietojas invalīdu krēslos. Šiem izglītojamiem ar kustību traucējumiem, kas mācās Maltas 2. vidusskolā faktiski ir apgrūtināta iespēja brīvi pārvietoties pa mācību telpām, interešu izglītības, sporta nodarbību telpām, apmeklēt ēdnīcu un sanitāri - higiēniskās telpas. 
         Skolēni mācās gan no Maltas pagasta, gan no apkārtējām administratīvajām teritorijām. Vispārizglītojošas mācību iestādes, kura būtu pielāgota izglītojamiem ar kustību traucējumiem tuvumā nav. 
         Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar kustību traucējumiem, projekta ietvaros Maltas 2. vidusskolā plānots veikt sekojošus būvdarbus: 
1. Pandusa (uzbrauktuves) izbūvi pie skolas ieejas, lai nodrošinātu personām ar kustību traucējumiem iekļūšanu un izkļūšanu no ēkas.
2. Divu liftu - pacēlāju izbūvi uz ēkās otro, trešo un ceturto stāvu, tā kā skolā divu korpusu augšējos stāvos var nokļūt tikai pa kāpnēm.
3. Ratiņkrēsla pacēlāja ierīkošanu pārejā starp 1. un 2. mācību korpusu.
4. Pandusa (uzbrauktuves) ierīkošanu iekštelpā starp 1. un 2. korpusu.
5. Speciālās invalīdu tualetes iekārtšanu ēkas otrajā un trešajā stāvā.
6. Mācību un administrācijas kabinetu, sporta zāles, ēdnīcas un garderobju durvju nomaiņu.
7. Durvju aiļu pārbūvi.
8. Stacionāro atbalsta margu nomaiņu.
9. Elektrības slēdžu nomaiņu.
10. Četru gaiteņu kosmētisko remontu.
        Projekta vispārīgais mērķis ir vispārējās izglītības iestādes pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Rēzeknes rajonā. 
        Projekta specifiskais mērķis ir vispārējās izglītības iestādes pieejamības nodrošināšana izglītojamiem un citām personām ar funkcionāliem traucējumiem Rēzeknes rajona Maltas pagasta Maltas 2. vidusskolā.
        Projekta ietvaros tiks īstenota šāda aktivitāte - Vispārējās izglītības iestādes pielāgošana personām ar kustību traucējumiem.
        Projekta īstenošanas vieta - Rēzeknes rajona Maltas 2. vidusskola (adrese: Sporta iela 5, Malta, Rēzeknes rajons, Latvija, LV-4630). 
       Plānotais kopējais projekta īstenošanas ilgums: 14 mēneši.
       Projekta plānotās attiecināmās izmaksas LVL 98 392.
",98392,83633,0,14
24,"Aizputes novada dome","Atmodas iela 22, Aizpute, Aizputes novads, LV-3456",,"Infrastruktūras uzlabošana izglītojamiem ar funkcionālajiem traucējumiem Aizputes vidusskolā","Kurzeme, ",09/04/2009,"         Projekta vispārīgais mērķis: vispārējās vidējās izglītības iestādes pieejamības veicināšana izglītojamiem ar funkcionāliem traucējumiem Liepājas rajonā.
         Projekta specifiskais mērķis: infrastruktūras uzlabošana Aizputes pašvaldības Aizputes vidusskolā, nodrošinot prioritāti ""vienādas iespējas"" pedagogiem un izglītojamiem ar funkcionāliem traucējumiem.
         Lai efektīvi sasniegtu projekta specifisko mērķi, projekta iesniedzējs projekta ietvaros ir paredzējis sekojošu aktivitāti: ""Aizputes vidusskolas infrastruktūras pielāgošana personām ar funkcionāliem traucējumiem.""
         Aktivitātes ietvaros plānots veikt šādas darbības: iekšējo durvju nomaiņa, mācību un koplietošanas telpu pielāgošana personām ar funkcionāliem traucējumiem, pacēlāja ierīkošana.
         Projekta ietvaros veicamās darbības ir vērstas uz sekojošām personām:
1.  Personām ar redzes traucējumiem;
2.  Personām ar dzirdes traucējumiem;
3.  Personām ar kustību traucējumiem;
4.  Personām ar garīga rakstura traucējumiem.
         Projekta īstenošanas vieta - Aizputes vidusskola, Ziedu iela 7, Aizpute, LV-3456.
         Plānotais kopējais projekta īstenošanas ilgums: 12 mēneši.
         Projekta plānotās attiecināmās izmaksas ir 98 392 LVL.",98392,83633,0,12
25,"Līvānu novada pašvaldība","Rīgas iela 77, Līvāni, Līvānu novads, LV-5316",,"Līvānu 1. vidusskolas infrastruktūras pielāgošana personām ar funkcionāliem traucējumiem","Latgale, ",09/04/2009,"  Projekta vispārīgais mērķis – vispārējās vidējās izglītības iestādes pieejamības nodrošināšana izglītojamajiem ar funkcionāliem traucējumiem Līvānu novadā.
Projekta specifiskais mērķis – Līvānu 1. vidusskolas infrastruktūras pielāgošana personām ar funkcionāliem traucējumiem.
Lai nodrošinātu izglītības iestādes pieejamību izglītojamajiem, pedagogiem un citām personām, kurām ir funkcionāli traucējumi, 3.1.3.3.2. apakšaktivitātes ietvaros plānots īstenot projektu „Līvānu 1. vidusskolas infrastruktūras pielāgošana personām ar funkcionāliem traucējumiem”. 
Projekta ietvaros tiks veikta izglītības iestādes renovācija, ierīkojot pacēlājus un pielāgojot telpas un ēkas apkārtējo teritoriju personām ar funkcionāliem traucējumiem. Projektā paredzētās darbības:
1) invalīdu uzbrauktuves ierīkošana 2 ieejām un uzbrauktuvju laukumu savienošana;
2) betona bruģa celiņu ierīkošana;
3) 1. stāva klases remonts; 
4) zāles, priekštelpas un koridora remonts; 
5) ēdamtelpas remonts;
6) pagrabstāva vingrošanas zāles remonts; 
7) tualešu remonts, piemērojot tās invalīdu vajadzībām; 
8) ventilācijas sistēmas izbūve;
9) stacionāro pacēlāju iegāde un montāža.
Projekta īstenošanas vieta – Preiļu rajons, Līvānu novads, Līvāni, Zaļā iela 43, LV – 5316.
Plānotais projekta īstenošanas ilgums: 18 mēneši. 
Plānotās projekta kopējās attiecināmās izmaksas 98 392 lati.
",98392,83633,0,18
26,"Krāslavas novada dome","Rīgas iela 51, Krāslava, Krāslavas novads, Krāslavas rajons, LV-5601",,"Krāslavas Varavīksnes vidusskolas infrastruktūras pielāgošana izglītojamajiem ar funkcionāliem traucējumiem","Latgale, ",11/05/2009,"Projekta vispārīgais mērķis ir vispārējās vidējās izglītības iestādes pieejamības nodrošināšana izglītojamiem ar kustību traucējumiem Krāslavas rajona Krāslavas novadā. 
Projekta specifiskais mērķis ir Krāslavas Varavīksnes vidusskolas infrastruktūras pielāgošana izglītojamiem ar kustību traucējumiem.
Lai nodrošinātu vispārējās izglītības iestādes pieejamību izglītojamiem un citām personām ar kustību traucējumiem, projekta ietvaros plānots īstenot aktivitāti – Krāslavas Varavīksnes vidusskolas infrastruktūras pielāgošana personām ar kustību traucējumiem.  
 Aktivitātes ietvaros tiks veikta izglītības iestādes centrālās ieejas pārbūve, lifta izbūve no pirmā līdz trešajam stāvam, pacēlāja izbūve uz sporta zāli un citu telpu pārbūve, kas atvieglos cilvēku ar funkcionāliem traucējumiem iekļūšanu, pārvietošanos un uzturēšanos skolā.
Projekta īstenošanas vieta – Krāslavas Varavīksnes vidusskola, N.Rancāna iela 4, Krāslava, Krāslavas rajons, LV – 5601.
Plānotais kopējais projekta īstenošanas ilgums: 13 mēneši.
Projekta plānotās attiecināmās izmaksas ir 98 392 lati.
",98392,83633,0,13
27,"Alūksnes novada pašvaldība","Dārza iela 11, Alūksne, Alūksnes novads, LV-4301",,"Alūksnes vidusskolas infrastruktūras pielāgošana izglītojamiem ar funkcionāliem traucējumiem","Vidzeme, ",11/05/2009,"Alūksnes vidusskolas ēka uzcelta 1939. gadā, kapitālais remonts tajā nav veikts. Lai spētu nodrošināt izglītības iestādes pieejamību izglītojamiem, kā arī citām personām ar funkcionāliem traucējumiem, ir plānots izglītības iestādē veikt attiecīgos būvdarbus projekta ietvaros.
Projekta vispārīgais mērķis ir radīt vienlīdzīgas izglītības iegūšanas iespējas izglītojamiem un citām personām ar funkcionāliem traucējumiem Alūksnes pilsētā. 
Projekta specifiskais mērķis ir infrastruktūras pielāgošana izglītojamiem un citām personām ar funkcionāliem traucējumiem Alūksnes vidusskolā.
Projekta ietvaros tiks īstenota šāda aktivitāte – Alūksnes vidusskolas pielāgošana personām ar kustību traucējumiem (lifta izbūve, savienojošais koridors starp diviem korpusiem, izbūvēta speciāla invalīdu tualete).
Projekts tiks īstenots Alūksnes vidusskolā, Kanaviņu ielā 14, LV- 4301. Projekta īstenošanas ilgums ir 15 mēneši.
",98392,83633,0,12
28,"Ogres novada pašvaldība","Brīvības iela 48, Ogre, Ogres novads, Ogres rajons, LV-5001",,"Jaunogres vidusskolas infrastruktūras pielāgošana izglītojamajiem ar funkcionāliem traucējumiem","Rīgas reģions, ",11/02/2010,"Lai nodrošinātu izglītības iestādes pieejamību izglītojamiem un citām personām ar funkcionāliem traucējumiem, projekta ietvaros Jaunogres vidusskolā plānots veikt būvdarbus, kas nodrošinātu izglītības iestādes pieejamību audzēkņiem ar dažādiem funkcionāliem traucējumiem no visa Ogres novada.
Projekta ietvaros tiks veiktas sekojošas aktivitātes: rekonstrukcijas darbi - klašu telpu un sabiedrisko telpu durvju nomaiņa, griestu, sienu, grīdu apdares darbi, sanitārā mezgla ierīkošana personām ar funkcionāliem traucējumiem un elektromontāžas darbi; infrastruktūras uzlabošana- lifta montāža, kā arī informatīvie pasākumi personām ar funkcionāliem traucējumiem - trafarēti pakāpieni, lielizmēra piktogrammu norādes, spilgtas krāsas kontrastains krāsojums bīstamākās vietās, iezīmētas līmeņu maiņas, vizuālie signāli liftā, gaiteņos, vizuālā informācija.
Plānotais kopējais projekta īstenošanas ilgums- 9 mēneši.
Projekta plānotās attiecināmās izmaksas Ls 98 392,-.  
",98392,83633,0,14
