"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
11,"Rīgas 3.speciālā pamatskola","Telts iela 2a, Rīga, LV-1004"," Rīgas 5.speciālā internātpamatskola,  Rīgas speciālā pamatskola – attīstības centrs,  Rudbāržu sanatorijas internātpamatskola,  Rīgas domes Izglītības, jaunatnes un sporta departaments, ","Atbalsta pasākumu īstenošana Rīgas 3.speciālās pamatskolas bērnu un jauniešu sociālās atstumtības riska grupu integrācijai izglītībā","Rīga, ",09/11/2009,"Projekta mērķis – Nodrošināt Rīgas 3.speciālā pamatskolā mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības piedāvājumu bērniem un jauniešiem, kuri nav ieguvuši izglītību obligātā izglītības vecumā ar zemām pamatprasmēm un jauniešiem ar funkcionāliem traucējumiem.
Projekta mērķa grupa - Projekta „Atbalsta pasākumu īstenošana Rīgas 3.speciālās pamatskolas bērnu un jauniešu sociālās atstumtības riska grupu integrācijai izglītībā” mērķa grupa ir 95 bērni un jaunieši no sociālās atstumtības riska grupām, no maznodrošinātām un trūcīgām ģimenēm un ar speciālām vajadzībām vai funkcionāliem traucējumiem.
Projekta attiecināmās izmaksas – 197363  LVL, t.sk., ESF finansējuma apmērs ir 167758 LVL, jeb 85% no projekta attiecināmajām izmaksām.   
Projekta īstenotājs – Rīgas 3.speciālā pamatskola
Projektā iesaistītie sadarbības partneri – Rīgas 5. speciālā internātpamatskola, Rīgas speciālā pamatskola - Attīstības centrs, Rudbāržu sanatorijas internātpamatskola un Rīgas Domes Izglītības, jaunatnes un sporta departaments.
Projekta īstenošanas vieta –   Telts iela 2a, Rīga, LV-1004
Projekta īstenošanas ilgums un laiks – 24 mēneši
Projekta galvenās aktivitātes – Sociālo prasmju veidošanas un saskarsmes prasmju attīstības pulciņu izveidošana un darbība, Skolotāja palīga amatu ieviešana un darbība, Darba un sadzīves prasmju apguves veicināšana, Pagarināto dienas grupu izveide un darbība, Piemērotu pedagoģiskās korekcijas un arodizglītības programmu izvēles un apgūšanas iespēju nodrošināšana, Atbalsta pasākumu nodrošināšana bērniem un jauniešiem no maznodrošinātām ģimenēm.
Projekta iznākuma rādītāji – projektā plānotajās aktivitātēs piedalīsies un pakalpojumus saņems 95 bērni un jaunieši (izglītojamie) no Rīgas reģiona.
",197363,167758,0,24
12,"Dzirciema speciālā internātpamatskola","„Lamiņi” , Pūres pagasts, Tukuma novads, LV-3124"," Tukuma pilsētas Dome,  Pūres pagasta padome,  Engures vidusskola,  Bērzupes speciālā internātpamatskola,  Rubas speciālā internātpamatskola ,  Nīgrandes pamatskola ,  Pelču speciālā internātpamatskola - attīstības centrs, ","Kvalitatīva mācību atbalsta nodrošināšana Dzirciema speciālajā internātpamatskolā bērniem ar garīgās attīstības traucējumiem","Rīga, Visa Latvija, ",09/11/2009,"Lai nodrošinātu mācību atbalstu jauniešiem ar mācīšanās problēmām un veicinātu piemērotu izglītības un tālākizglītības ceļu piedāvājumu jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm, jauniešiem sociālās korekcijas iestādēs un jauniešiem ar funkcionāliem traucējumiem, projekta ietvaros projekta ietvertajā izglītības iestādē plānots veikt attiecīgās aktivitātes. 
Projekta vispārīgais mērķis ir nodrošināt kvalitatīvu mācību atbalstu jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības un tālākizglītības ceļu piedāvājumu jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm, jauniešiem ar funkcionāliem traucējumiem Tukuma rajonā. 
Projekta specifiskais mērķis ir nodrošināt kvalitatīvu mācību atbalstu jauniešiem ar mācīšanās problēmām un veicinātu piemērotu izglītības un tālākizglītības ceļu piedāvājumu jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm, jauniešiem ar funkcionāliem traucējumiem Tukuma rajona Pūres pagasta Dzirciema speciālajā internātpamatskolā. 
Projekta ietvaros tiks īstenota šāda aktivitāte – Atbalsta pasākumu īstenošana jauniešu sociālās atstumtības riska mazināšanai un jauniešu ar funkcionāliem traucējumiem integrācijai izglītībā. 
Projektā iesaistīti sekojoši sadarbības partneri – Tukuma pilsētas dome, Pūres pagasta padome, Engures vidusskola, Bērzupes speciālā internātpamatskola, Rubas speciālā internātpamatskola, Nīgrandes pamatskola, Pelču speciālā internātpamatskola – attīstības centrs. 
Projekta īstenošanas vieta – Tukuma rajona Pūres pagasta Dzirciema speciālā internātpamatskola, LV-3124.
Plānotais kopējais projekta īstenošanas ilgums: 24 mēneši.
Projekta plānotās attiecināmās izmaksas Ls 70580,-.
",70580,59993,0,24
13,"Tukuma E.Birznieka-Upīša 1.pamatskola","Lielā iela 9, Tukums, Tukuma novads, LV-3101"," Tukuma Speciālā internātpamatskola,  Tukuma 3. vidusskola,  Tukuma pilsētas Dome, ","Atbalsta pasākumu īstenošana Tukuma E.Birznieka- Upīša 1. pamatskolas bērnu un jauniešu ar zemām pamatprasmēm un funkcionāliem traucējumiem integrācijai izglītībā","Kurzeme, Visa Latvija, ",09/11/2009,"Projekta mērķis - Nodrošināt Tukuma E.Birznieka - Upīša 1.pamatskolā mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības piedāvājumu bērniem un jauniešiem obligātā izglītības vecumā ar zemām pamatprasmēm un jauniešiem ar funkcionāliem traucējumiem.
Projekta mērķa grupa - projekta „Atbalsta pasākumu īstenošana Tukuma E.Birznieka -Upīša 1 .pamatskolas bērnu un jauniešu ar zemām pamatprasmēm un funkcionāliem traucējumiem integrācijai izglītībā"" mērķa grupa ir 73 bērni un jaunieši no sociālās atstumtības riska grupām, no maznodrošinātām ģimenēm un ar speciālām vajadzībām vai funkcionāliem traucējumiem.
Projekta attiecināmās izmaksas - 35 140 LVL, t.sk., ESF finansējuma apmērs ir 29 869 LVL jeb 85% no projekta attiecināmajām izmaksām.
Projekta īstenotājs - Tukuma E.Birznieka - Upīša 1 .pamatskola.
Projektā iesaistītie sadarbības partneri - Tukuma speciālā internātpamatskola, Tukuma 3.vidusskola un Tukuma pilsētas Dome.
Projekta īstenošanas vieta - Lielā iela 9, Tukums, LV-3101.
Projekta īstenošanas ilgums un laiks - 24 mēneši.
Projekta galvenās aktivitātes — sociālo prasmju veidošanas un saskarsmes prasmju attīstības pasākumu izveidošana un darbība, skolotāja palīga amatu un nepieciešamā atbalsta personāla nodrošināšana, darba un sadzīves prasmju apguves veicināšana, nepieciešamo papildu apmācību nodrošināšana mācību priekšmetos un pagarināto dienas grupu darbība.
Projekta iznākuma rādītāji - projektā plānotajās aktivitātēs piedalīsies un pakalpojumus saņems 73 bērni un jaunieši (izglītojamie) no Kurzemes reģiona. 
",35140,29869,0,24
14,"Rēzeknes Augstskola","Atbrīvošanas aleja 90, Rēzekne, LV-4601"," Rēzeknes pilsētas izglītības pārvalde,  Rēzeknes 5.vidusskola,  Rēzeknes 1. vidusskola,  Rēzeknes 2.vidusskola,  Rēzeknes 6.vidusskola, ","Darba un sadzīves prasmju pilnveide Rēzeknes jauniešiem ar mācīšanās grūtībām un zemām pamatprasmēm nākotnes karjeras attīstīšanai","Latgale, ",09/11/2009,"Projektu realizē Rēzeknes Augstskola sadarbībā ar Rēzeknes pilsētas Izglītības pārvaldi un četrām skolām. Projekta tiešais mērķis ir nodrošināt mācību atbalstu jauniešiem ar mācīšanās grūtībām, jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm un jauniešiem no sociālā riska, maznodrošinātām ģimenēm, veicinot viņu darba un sadzīves prasmju apguvi un Latgales reģiona specifikai piemērotu izglītības un tālākizglītības ceļu piedāvājumu. Projekta ietvaros realizētājās Mācību darbnīcās „Būšu amatnieks”, „Būšu dizaines”, „Būšu uzņēmējs”, ieviešot labo pieredzi un izmantojot datortehnoloģijas, tiks realizēti atbalsta pasākumi un pilnveidotas darba un sadzīves prasmes 270 Rēzeknes pilsētas četru vispārizglītojošo skolu 8.-9 .klašu jauniešiem, mazinot viņu sociālo atstumtību, veicinot jauniešu motivāciju un gatavību iesaistīties darba meklējumos vai paaugstināt savu izglītības līmeni, lai spētu konkurēt darba tirgū. Projekta realizācijas ilgums ir 24 mēneši. Projekta kopējais finansējums ir LVL 91410",91410,77698,0,24
15,"Grobiņas novada dome","Lielā iela 76, Grobiņa, Grobiņas novads, LV-3430"," Dunalkas pagasta padome,  Vecpils pagasta padome,  Gaviezes pagasta padome,  Bārtas pagasta padome,  Durbes novada dome,  Grobiņas novada dome,  Medzes pagasta padome, ","Sociālās atstumtības riska mazināšana Grobiņas un Durbes novada izglītības iestādēs","Kurzeme, ",09/11/2009,"Projekta mērķis ir izveidot piemērotu mācību vidi, kura nodrošinātu 346 bērniem un jauniešiem no sociālās atstumtības riska grupas kvalitatīvu un uz individuālu pieeju orientētu obligātās izglītības apguvi, iekļaujošas izglītības attīstību un tālākās izglītības ceļu Grobiņas un Durbes novada izglītības iestādēs. 
Projekta galvenās aktivitātes: 
- Pedagoģiskā un atbalsta personāla nodrošināšana (izglītības psihologi, sociālie pedagogi, skolotāji logopēdi, speciālie pedagogi, koriģējošās vingrošanas skolotāji, skolotāju palīgi, interešu izglītības pedagogi, pagarinātās dienas grupas skolotāji, svešvalodu pedagogi, pedagogi, kas strādā klasēs, kur integrēta speciālās izglītības programma);
- Pagarinātās dienas grupas izveide un darbības nodrošināšana;
- Mācību ekskursijas;
- Pieredzes apmaiņas brauciens;
- Projekta vadības nodrošināšana, t.sk. projekta informācijas un publicitātes pasākumi, projekta rezultātu novērtēšana.
Projekta rezultāts ir sekmju līmeņa paaugstināšanās projektā iesaistītajiem izglītojamajiem, samazinātas uzvedības traucējumu radītās problēmas,  nodrošināta saturīga brīvā laika pavadīšana, paplašināts izglītojamo redzes loks,  attīstītas sadzīves prasmes mērķgrupas bērniem un jauniešiem.
Projekta iesniedzējs – Grobiņas pilsētas dome, sadarbības partneri: topošo Grobiņas un Durbes novadu izglītības iestādes - Grobiņas un A.Kronvalda Durbes vidusskolas, Grobiņas pagasta sākumskola, Bārtas, Kapsēdes, Gaviezes, Rāvas, A.Spāģa Dunalkas un Vecpils pamatskolas. Projekta īstenošanas vieta – visas augstāk minētās izglītības iestādes. Projekta īstenošanai nepieciešamais finansējums – 245610 Ls. Projekta īstenošanas laiks 2010.gada janvāris - 2011.gada decembris.
",245610,208768,0,24
16,"Saldus novada pašvaldība","Striķu iela 3, Saldus, Saldus novads, LV-3801"," Saldus pilsētas 2. vidusskola,  Cieceres internātpamatskola,  Rubas speciālā internātpamatskola ,  Zaņas pamatskola,  Kurzemītes pamatskola,  Druvas vidusskola,  Ezeres vidusskola,  Kursīšu pamatskola,  Vadakstes pamatskola,  Nīgrandes pamatskola ,  Sātiņu pamatskola,  Lutriņu pamatskola,  Zirņu pamatskola,  Rubas pamatskola, ","Darba un sadzīves prasmju apguves veicināšana sociālā riska grupu jauniešiem
Saldus novadā
","Kurzeme, ",09/11/2009,"Speciālo izglītības vajadzību nodrošināšana iekļaujošā vidē ir viens no izglītības politikas prioritārajiem virzieniem, kas konkrētu uzdevumu veidā iekļauts Izglītības politikas pamatnostādnēs 2007.-2013. gadam. Viens no minētajiem uzdevumiem – veicināt darba un sadzīves prasmju apguvi jauniešiem ar speciālām vajadzībām. Saldus rajona Izglītības pārvalde sadarbībā ar 14 novada skolām, kas realizē vispārējās pamatizglītības pedagoģiskās korekcijas, speciālās  vai integratīvās izglītības programmas, plāno īstenot projektu „Darba un sadzīves prasmju apguves veicināšana sociālā riska grupu jauniešiem Saldus novadā”. 
Projekta vispārīgais mērķis:
Paaugstināt sociālajam atstumtības riskam pakļauto jauniešu iekļaušanos kopējā izglītības sistēmā, attīstot un pilnveidojot darba un sadzīves prasmes un iemaņas, tā veicinot nodarbinātību un cilvēkresursu kvalitāti reģionā.
Projekta specifiskais mērķis:
Īstenot atbalsta pasākumu kompleksu darba un sadzīves prasmju apguves veicināšanai  sociālā riska grupu jauniešiem 14 Saldus novada skolās.
Projekta mērķa grupa ir 300 dažādu sociālo riska grupu jaunieši no 14 novada skolām (7.-9.klase). Projektā plānots:
• Izstrādāt metodiskā materiāla komplektu „Labo ideju mape” darba un sadzīves prasmju apguves veicināšanas nodarbībām;
• Organizēt pasākumus sociālās atstumtības riska mazināšanai: praktiskas nodarbības skolēnu darba un sociālo prasmju attīstīšanai; pagarinātās dienas grupas nodarbības ar stresu mazinošām aktivitātēm; kultūrizglītojošus pasākumus - ekskursijas un nometni. Veicināt skolēnu veselību, nodrošinot launagu.
Projekta rezultātā skolēni apgūs dzīvē noderīgas prasmes un iemaņas, kas paaugstinās viņu dzīves kvalitāti, nodrošinot iespēju aktīvi piedalīties sabiedrības ekonomiskajā, politiskajā un kultūras dzīvē. 
Projektu plānots īstenot no 2010. gada jūnija līdz 2011. gada jūlijam. Projekta kopējās izmaksas – 197 100 LVL.
",197000,167450,0,14
17,"Ogres novada pašvaldība","Brīvības iela 48, Ogre, Ogres novads, LV-5001"," Krapes pamatskola,  Ķeipenes pamatskola,  Lauberes pamatskola,  Madlienas vidusskola,  Mazozolu pamatskola,  Meņģeles pamatskola,  Suntažu vidusskola,  Taurupes vidusskola,  Salaspils 2.vidusskola ,  Latvijas sociālo pedagogu asociācija, ","Atbalsta pasākumi sociālam riskam pakļauto bērnu un jauniešu integrācijai izglītībā Ogres novada* skolās","Rīga, ",03/12/2009,"Projekta tiešais mērķis ir nodrošināt skolēnus ar atbalsta personālu (sociālo pedagogu, psihologu, logopēdu, koriģējošās vingrošanas pedagogu, skolotāja palīgu), pagarinātās dienas grupas darbību, saturīgu laika pavadīšanu vasaras brīvlaiku nometnēs skolēniem ar mācību un uzvedības grūtībām Ogres novada* skolās, kā arī īstenot atbalsta pasākumus skolēniem ar funkcionāliem traucējumiem un viņu pedagogiem Jaunogres vidusskolā.
Projekta mērķa grupa ir Ogres novada* skolu skolēni no sociālās atstumtības riska grupām-  skolēni no nabadzīgām ģimenēm, bērni vai jaunieši, kam vecāki atrodas ārzemēs, kā arī 
Skolu audzķņi ar funkcionāliem traucējumiem un speciālām vajadzībām.
Galvenās projekta aktivitātes ir atbalsta personāla piesaiste darbam Ogres novada* skolās un apmācība, materiāls atbalsts nabadzīgo ģimeņu bērniem mācību materiālu iegādei un transporta kompensācijām, atbalsta pasākumi skolēniem ar funkcionāliem traucējumiem un pieredzes apmaiņa pedagogiem,vasaras nometnes mērķa grupas bērniem un jauniešiem.
Īstenoto pasākumu rezultātā būs iespējama profesionāla, savlaicīga psiholoģiskā un sociālā palīdzība, atbalsts, palīdzība katram skolēnam katrā Ogres novada* skolā, pedagogi apgūs paņēmienus darbā ar skolēniem, kam ir mācīšanās traucējumi u.c.jautājumus. Vasaras brīvlaika nometnes kalpos gan mērķa grupas socializācijai, integrācijai, mācību un sabiedrisko aktivitāšu motivācijai, tādējādi nodrošinot saturīgu brīvā laika pavadīšanu, dažādu prasmju uzlabošanu, uzvedības korekciju, personības pilnveidi.",262370,223014,0,24
18,"Rīgas domes Izglītības, jaunatnes un sporta departaments","Hanzas iela 7, Rīga, LV-1045"," Liepājas pilsētas izglītības pārvalde,  Valsts bērnu tiesību aizsardzības inspekcija,  Rīgas pašvaldības policija,  Rīgas domes Administratīvā komisija,  Liepājas pilsētas Domes Sociālais dienests,  Rīgas Būvamatniecības vidusskola,  Cīravas arodvidusskola,  Rīgas domes Labklājības departaments,  Liepājas internātpamatskola,  Rīgas 7.internātpamatskola,  Rīgas 20.vidusskola,  Rīgas 41. vidusskola,  Rīgas Tūrisma un tirdzniecības skola,  LR IeM Valsts policija ,  Liepaja Būvamatniecības vidusskola, ","Inovatīvi risinājumi sociālās atstumtības mazināšanai sociālā riska grupas jauniešiem","Kurzeme, Rīga, ",09/11/2009,"Situācija
-Administratīvi sodīto jauniešu skaita pieaugums. 
-Jauniešu ar uzvedības novirzēm skaita pieaugums.
- Izglītības darbinieku kompetences trūkums darbā ar jauniešiem, kam ir uzvedības novirzes. 
-Daudzos jauniešos nesodāmības un visatļautības sajūtas veidošanās. 
-Skolām pietrūkst visa veida resursi, lai izstrādātu un realizētu kādā no klašu grupām nepieciešamo sociālas korekcijas pamatizglītības programmu.
 -Sociālās korekcijas klases atvērtas tikai slēgta tipa iestādēs, bet atbilstoši Izglītības likuma 60.pantam tas pieļaujams jebkurā izglītības iestādē, kurā izglītojamajiem nepieciešama sociālā vai pedagoģiskā korekcija. 
-Pedagoģiskās korekcijas klasēs ir 2 (divas) mērķgrupas. Izglītojamie, kuriem nepieciešama pedagoģiskā korekcija un izglītojamie , kuriem dominē nepieciešamība veikt sociālo (uzvedības ) korekciju, lai viņi sekmīgi iekļautos izglītības procesā. Abām mērķgrupām atrodoties pedagoģiskas korekcijas klasē netiek respektētas katras mērķgrupas vajadzības.  
- Pārrunu rezultātā ar izglītības darbiniekiem un pašvaldību iestāžu darbiniekiem iegūtā informācija liecina, ka uzvedības novirzes visvairāk tiek konstatētas 8 klašu skolēniem. 
-Konkrētā situācija norāda uz nepieciešamību meklēt inovatīvus risinājumus sociālās atstumtības mazināšanai jauniešiem ar uzvedības novirzēm.
-Projektā kā inovatīvu risinājumu piedāvā obligātā izglītības vecuma jauniešiem ar uzvedības novirzēm veikt agrīno sociālo korekciju. Tas nozīmē atvērt sociālās korekcijas klases 2 (divās) vispārizglītojošās un 2 (divās) internātpamatskolās, kurās realizētu metodiski un organizatoriski pielāgotu pamatizglītības programmu 8.klašu grupā jauniešiem ar uzvedības novirzēm atbilstoši Izglītības likuma 1.pantam.
Projekta mērķis.
Izstrādāt un realizēt inovatīvu pieeju sociālās atstumtības riska mazināšanai nepilngadīgajiem jauniešiem ar sociālās uzvedības novirzēm t.i.;
• Izstrādāt un realizēt sociālā riska grupas jauniešiem ar uzvedības novirzēm piemērotas sociālās korekcijas pamatizglītības programmas 8.un 9.klasē vispārizglītojošās skolās.
Aktivitātes
• Projekta administrēšana.
• Atbalsta pasākumi inovatīva risinājuma ieviešanai:
- izstrādāt mācību un metodiskos materiālus;
- pašvaldību iestāžu sadarbības modeļa izstrāde un aprobācija
- izstrādāt un licencēt sociālās korekcijas pamatizglītības programmas 8.un 9.klasei.
•  Starta nometne. 
• Atvērt sociālās korekcijas klases un realizēt sociālās korekcijas pamatizglītības programmas 8.un 9.klasē. 
• Publicitāte.
Sadarbības partneri
Viena valsts pārvaldes iestāde, astoņas pašvaldību iestādes Rīgā un četras pašvaldību iestādes Liepājā.
Rezultāti
• 4. izglītības iestādes saņēmušas atbalstu, lai īstenotu sociālās korekcijas pamatizglītības programmas 8.un 9.klasēs;
• 120. sociālās atstumtības riska grupu izglītojamie, saņēmuši ESF atbalstu , lai iekļautos pamatizglītībā, aroda apguvē; 
• izstrādātas 10.mācību priekšmetu programmas un mācību, metodiskie materiālu komplekti;
• izstrādāti un aprobēti pašvaldības iestāžu sadarbības modeļi un reglamentējošie dokumenti, lai īstenotu agrīnās sociālās korekcijas darbu valstī;
• izstrādāts agrīnās sociālās korekcijas koncepcijas projekts un apspriests astoņās Latvijas lielākajās pilsētās.
Laiks un vieta .
2010. gada februāris – 2011.gada decembris Rīgā un Liepājā. 
-No Rīgas pašvaldības budžeta Ls 207 905Ls , Liepājas pilsētas pašvaldības budžeta 29 943 Ls 

",188719,160411,0,23
19,"Smiltenes novada dome","Dārza iela 3, Smiltene, Smiltenes novads, LV-4729"," Blomes pagasta padome,  Invalīdu un viņu draugu apvienība ''APEIRONS'',  Biedrība ATBALSTS cilvēkiem ar īpašām vajadzībām,  Smiltenes Centra vidusskola,  Smiltenes Trīs pakalnu pamatskola,  Bilskas pagasta padome,  Palsmanes pagasta padome,  Launkalnes pagasta padome,  Variņu pagasta padome,  Grundzāles pagasta  padome,  Smiltenes ģimnāzija, ","Atbalsta pasākumu īstenošana Smiltenes novadā jauniešu sociālās atstumtības riska mazināšanai un jauniešu ar funkcionālajiem traucējumiem integrācijai izglītībā","Vidzeme, ",09/11/2009,"Projekta mērķis ir nodrošināt Smiltenes novadā mācību atbalstu jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības piedāvājumu jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm, speciālām vajadzībām un jauniešiem ar funkcionāliem traucējumiem.
Projekta mērķa grupa ir bērni un jaunieši sociālās atstumtības riska grupās, tai skaitā bērni un jaunieši, kuru vecāki ir devušies peļņā uz ārzemēm, bērni un jaunieši ar speciālām vajadzībām un funkcionāliem traucējumiem. 
Projekta ietvaros tiks īstenotas šādas galvenās aktivitātes: izglītības iestādēs darbosies pagarinātās dienas grupas, sociālās korekcijas klases, savus pakalpojumus izglītojamajiem sniegs pedagoģiskā atbalsta personāls – 5 psihologi, 3 sociālie pedagogi, 5 skolotāja palīgi, 12 pagarinātās dienas grupas pedagogi un 4 logopēdi.
Sagaidām, ka projekta īstenošanas rezultātā Smiltenes novadā būs 250 mērķa grupā minētie bērni un jaunieši to skaitā 5 bērni ar funkcionāliem traucējumiem. 
Projektu iesniedzējs Smiltenes pilsētas pašvaldība, sadarbības partneri- 7 pagastu pašvaldības, 3 Smiltenes pilsētas izglītības iestādes un 2 nevalstiskās organizācijas.
Kopumā projekta aktivitātes paredzēts realizēt 12 Smiltenes novada izglītības iestādēs.
Projekta īstenošanas vieta Smiltenes novada teritorija– Smiltenes pilsēta un Bilskas, Brantu, Grundzāles, Launkalnes, Palsmanes, Variņu, Blomes pagasti.
Plānotais kopējais projekta īstenošanas ilgums: 12 mēneši.
Projekta plānotās attiecināmās izmaksas ir 188852 Ls.
",188852,160524,0,12
20,"Rīgas Pedagoģijas un izglītības vadības augstskola","Imantas 7. līnija 1, Rīga, LV-1083"," Rīgas Stradiņa universitāte,  Latvijas Sporta pedagoģijas akadēmija,  Latvijas bērnu neirologu biedrība,  Biedrība „Latvijas logopēdu asociācija”,  Biedrība „Latvijas mūžizglītības atbalsta centrs”,  Alūksnes rajona padome,  Bauskas pilsētas dome,  Iecavas novada Dome,  Kuldīgas rajona izglītības pārvalde,  Rēzeknes pilsētas izglītības pārvalde,  Alūksnes vidusskola,  Alūksnes vakara (maiņu) un neklātienes vidusskola ,  Alsviķu profesionālā skola,  Bauskas pilsētas 2. vidusskola ,  Iecavas internātpamatskola,  Gaujienas speciālā  internātpamatskola,  Kuldīgas Centra vidusskola,  Limbažu 1.vidusskola,  Limbažu Profesionālā vidusskola ,  Palsmanes speciālā internātpamatskola,  Pelču speciālā internātpamatskola - attīstības centrs,  Rēzeknes 1. vidusskola,  Rēzeknes Logopēdiskā internātpamatskola,  Andreja Pumpura Rīgas 11. pamatskola,  Rīgas 16. vidusskola,  Rīgas Juglas vidusskola,  Rīgas 93. vidusskola,  Umurgas pamatskola,  Saulaines Profesionālā vidusskola, ","Integratīvas mācību metodikas izstrāde un ieviešana adaptācijai sociālajā vidē skolēniem un jauniešiem ar mācīšanās, kognitīvo funkciju un kustību traucējumiem","Kurzeme, Latgale, Vidzeme, Rīga, Zemgale, Rīgas reģions, Visa Latvija, ",09/11/2009,"Projekta „Integratīvas mācību metodikas izstrāde un ieviešana adaptācijai sociālajā vidē skolēniem un jauniešiem ar mācīšanās, kognitīvo funkciju un kustību traucējumiem” ietvaros, pamatojoties uz jaunākajiem sasniegumiem starpnozaru disciplīnās (pedagoģijā, psiholoģijā, logopēdijā, psihofizioloģijā, socioloģijā, bērnu neiroloģijā un psihiatrijā, rehabilitaloģijā) tiks izstrādāta un ieviesta integratīva mācību metodika vispārizglītojošas skolās, speciālās un profesionālās izglītības iestādēs. Skolēnu spēju pilnveidošanu katrā konkrētajā izglītības iestādē, pamatojoties uz speciālistu rekomendācijām, veiks atbilstoši sagatavoti pedagoģiskie darbinieki, atbilstoši metodikas realizācijas mērķiem labiekārtotas mācību telpās. Ievērojot pēctecības un līdztiesības principu kā gala mērķis tiek izvirzīts jauniešu ar kognitīviem un funkcionāliem traucējumiem integrācija profesionālās izglītības sistēmā, semināros izglītotu profesionālo skolu pedagogu vadībā. Sadarbībā ar pašvaldībām tiks organizēti informatīvi semināri citu skolu pedagogiem, lai nodrošinātu metodikas popularizāciju, atpazīstamību un ilgspēju.",216800,184280,0,24
