"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
11,"Smiltenes novada dome","Dārza iela 3, Smiltene, Smiltenes novads, LV-4729",,"Mājturības un tehnoloģiju, dabaszinātņu kabinetu renovācija un skolas jumta nomaiņa Palsmanes speciālā internātpamatskolā","Vidzeme, ",30/11/2009,"Projekta vispārējais mērķis ir uzlabot mācību vidi un veicināt darba un sadzīves prasmju attīstīšanu izglītojamiem ar speciālām vajadzībām Smiltenes novadā.
Projekta specifiskais mērķis ir radīt drošus mācību apstākļus 102 skolēniem, renovējot avārijas stāvoklī esošo jumtu un nodrošināt piemērotu mācību vidi, veicot arodapmācības un dabaszinātņu kabinetu renovāciju un aprīkošanu ar iekārtām un instrumentiem Palsmanes speciālajā internātpamatskolā.

Projekta ietvaros paredzēts: 1) veikt avārijas stāvoklī esošā skolas jumta renovāciju, veikt mājturības un tehnoloģiju kabineta un dabaszinātņu kabineta renovāciju; 2) aprīkot mājturības kabinetu ar galdnieka ēvelsolu, leņķzāģi kokapstrādei, skaidu nosūcēju, elektrisko ēveli ar gropēšanu, ēvelēšanas mašīnu ar biezumēveli, koksnes virpu, ripzāģi u.c. Dabaszinātņu mācību kabinetu aprīkot ar skolotāja demonstrāciju galdu, vilkmes skapi, 3 skapīšiem, dokumentu kameru un interaktīvo tāfeli, datu projektoru.
Projekta īstenošanas vieta – Palsmanes speciālā internātpamatskola, Palsmanes pagasts, Smiltenes novads.
Projekta īstenošanas ilgums – 5 mēneši.
 Kopējais plānotais projekta finansējums ir 92797,65 Ls, tai skaitā ERAF finansējums – 78878 Ls un Smiltenes novada domes līdzfinansējums – 13919,65 Ls.
",92798,78878,0,5
12,"Valmieras pilsētas pašvaldība","Lāčplēša iela 2, Valmiera, LV-4201",,"Valmieras vājdzirdīgo bērnu internātpamatskolas – attīstības centra ēkas Valmierā L. Paegles ielā 20 rekonstrukcija un drošas vides nodrošināšana izglītojamiem ar dzirdes traucējumiem","Vidzeme, ",30/11/2009,"Valmieras pilsētas pašvaldības iesniegtā projekta- „Valmieras vājdzirdīgo bērnu internātpamatskolas – attīstības centra ēkas Valmierā L. Paegles ielā 20 rekonstrukcija un drošas vides nodrošināšana izglītojamiem ar dzirdes traucējumiem”   vispārējais mērķis ir uzlabot Valmieras vājdzirdīgo bērnu internātpamatskolas –attīstības centra skolēnu mācību vidi, veicināt darba un sadzīves prasmju attīstīšanu. Specifiskie projekta mērķi: 1.Apgūstot sociālās prasmes, veicināt vājdzirdīgo skolēnu integrēšanos sabiedrībā. 2.Pilnveidot un attīstīt izglītošanās iespējas skolēniem ar dzirdes traucējumiem drošā mācību vidē. Projekta gaitā tiks renovēts ēkas Valmierā, L. Paegles ielā 20, LV-4201 pirmais un otrais stāvs, izveidotas mācību telpas pirmskolas izglītības divām grupām, renovētas internāta telpas, izveidota sociālo prasmju apguves telpa, iegādāta sadzīves tehnika sociālo prasmju apguves telpai, kā arī mācību materiāli skolēnu valodas un personību attīstībai. Projekta realizēšanā iesaistīta Valmieras pilsētas pašvaldība un Valmieras vājdzirdīgo bērnu internātpamatskola – attīstības centrs. Plānotais realizēšanas laiks: 01.01.2010 – 30.09.2010. Kopējais projekta budžets LVL 98 392,00, no tā ERAF finansējums LVL 83 633,00 un Valmieras pilsētas pašvaldības līdzfinansējums LVL 14 759,00. ",98392,83633,0,9
13,"Dundagas novada dome","Pils iela ""Līkā muiža"" Dundaga, Dundagas pagasts, Dundagas novads, LV-3270",,"Mazirbes speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Kurzeme, ",11/12/2009,"Lai nodrošinātu Mazirbes speciālās internātskolas skolēniem ar īpašām un speciālām vajadzībām optimālus mācību un sadzīves apstākļus un radītu skolas pedagogiem atbilstošu darba vidi, kurā viņi varētu pilnvērtīgi īstenot speciālās pamatizglītības programmas izglītojamiem ar garīgās attīstības traucējumiem, nepieciešams:
1. rekonstruēt un renovēt skolā 19 mācību un sadzīves telpas.
2. nodrošināt mācību telpas ar audzēkņu augumam un speciālām vajadzībām nepieciešamām mēbelēm, mācību materiāliem un aprīkojumu.
3. pārveidot skolas ieejas kāpnes izbūvējot papildus slīpo plakni (pandusu).
Projekta mērķis ir nodrošināt bērniem ar īpašām un speciālām vajadzībām optimālus mācību un sadzīves apstākļus, kā arī radīt skolas pedagogiem atbilstošu darba vidi, lai viņi varētu pilnvērtīgi īstenot speciālās pamatizglītības programmas izglītojamiem ar garīgās attīstības traucējumiem.
Projektu paredzēts veikt no 2010.gada 1.aprīļa līdz 2011.gada 30.septembrim. Kopējais projekta finansējums Ls 98392. Projektu paredzēts īstenot Kurzemes reģiona Dundagas novada Kolkas pagasta Mazirbes ciema Mazirbes pamatskolā.
",98392,83633,0,18
14,"Jelgavas novada dome","Pasta iela 37, Jelgava, LV-3001",,"Lielplatones speciālās internātpamatskolas infrastruktūras un mācību aprīkojuma uzlabošana","Zemgale, ",30/11/2009,"  Projekta mērķis: Uzlabot mācību vidi Lielplatones speciālās internātpamatskolas skolēniem ar speciālām vajadzībām, kā arī veicināt darba un dzīves prasmju attīstīšanu izglītojamajiem.
Projekta mērķa grupa: 156 Lielplatones speciālās internātpamatskolas izglītojamie un 63 pedagogi.
Projekta ietvaros plānots veikt sekojošas darbības:
1. Mācību aprīkojuma iegāde;
2. Speciāli aprīkota transporta līdzekļa iegāde;
3. Telpu pieejamības nodrošināšana izglītojamajiem ar funkcionāliem traucējumiem
4. Vides pieejamības nodrošināšana.
Jelgavas novada dome projektu īstenos no 2010.gada janvāra līdz 2011.gada aprīlim par kopējo summu Ls 98392, tai skaitā Ls 83633 (85%) ERAF finansējums.",98392,83633,0,16
15,"Līvānu novada dome","Rīgas iela 77, Līvāni, Līvānu novads, LV-5316",,"Rudzātu speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Latgale, ",11/12/2009,"Projekta mērķis ir uzlabot Rudzātu speciālās internātpamatskolas infrastruktūru un aprīkojumu, lai nodrošinātu atbilstošu mācību vidi izglītojamiem ar speciālām vajadzībām.
Projektā ir plānotas šādas aktivitātes – tehniskā projekta izstrāde, sporta laukuma atjaunošana, ūdens attīrīšanas iekārtu uzstādīšana, būvuzraudzība un autoruzraudzība minētajiem objektiem, kā arī specializētā mikroautobusa iegāde. 
Projekta rezultātā tiks izstrādāts tehniskais projekts un atjaunots Rudzātu speciālās internātpamatskolas sporta laukums, kā arī uzstādīta jauna ūdens attīrīšanas iekārta. Rudzātu speciālajā internātpamatskola tiks iegādāts arī specializētais mikroautobuss skolēnu ar kustību traucējumiem pārvadāšanai.
Projekta iesniedzējs: Līvānu novada dome. Projekta īstenošanas vieta: Rudzātu speciālā internātpamatskola, Līvānu novads, Rudzātu pagasts, „Lūzenieki”.
Projekta īstenošanas laiks: 12 mēneši - 2010.gada janvāris līdz 2010.gada decembris.
Plānotais projekta finansējums: 98 262 LVL, tajā skaitā ERAF līdzfinansējums 85% apmērā 83 522 LVL un attiecināmais pašvaldības budžeta līdzfinansējums 15% apmērā 14 740 LVL.
",98262,83522,0,12
16,"Ogres novada pašvaldība","Brīvības iela 33, Ogre, Ogres novads, LV-5001",,"Suntažu sanatorijas internātpamatskolas renovācija","Rīgas reģions, ",11/12/2009,"Projekta mērķis ir Suntažu sanatorijas internātpamatskolas infrastruktūras uzlabošana, lai nodrošinātu izglītojamo ar speciālām vajadzībām uzturēšanos izglītības iestādē. Projekts tiks īstenots Suntažu sanatorijas internātpamatskolā, Suntažos, Ogres novadā.
Projekts tiks īstenots 12 mēnešu laikā, 2010.gadā. Projekta kopējais apjoms ir LVL 98 392. ERAF līdzfinansējums ir 85% jeb 83 633 LVL. Pārējo finansējumu 15% apmērā sastāda projekta iesniedzēja finansējums.
",98392,83633,0,12
17,"Bauskas novada dome","Uzvaras iela 1, Bauska, Bauskas novads, LV-3901",,"Drošas un pieejamas mācību vides izveidošana izglītojamajiem ar speciālajām vajadzībām Bauskas novada Pamūšas speciālajā internātpamatskolā","Zemgale, ",30/11/2009,"Lai nodrošinātu drošas un pieejamas mācību vides izveidošanu izglītojamiem ar speciālajām vajadzībām Bauskas novada Pamūšas speciālajā internātpamatskolā, projekta ietvaros plānotā aktivitāte ir skolas infrastruktūras rekonstrukcija. 
Projekta īstenošanas vieta ir Bauskas novads, Gailīšu pagasts, Pamūšas speciālā internātpamatskola. Skola ir vienīgā specializētā izglītības iestāde Bauskas novadā, kurš aptver 9 bijušās pašvaldības ar 28500 iedzīvotājiem. Skolā tiek realizētas 2 speciālās pamatizglītības programmas izglītojamajiem ar garīgās attīstības traucējumiem (A, B un C līmenis), speciālā arodizglītības programma izglītojamajiem un 2 pirmsskolas izglītības programmas. 
Projekta mērķis ir izveidot drošu un pieejamu vidi, rekonstruējot pieejas skolas ēkām, gājēju celiņus, iekšpagalmus, laukumus un norobežojot skolas teritoriju no pagasta galvenās transporta maģistrāles. kā arī veicināt izglītojamo mācību un praktisko darba iemaņu uzlabošanos.
Plānotās projekta aktivitātes ir skolas teritorijas degradējušas infrastruktūras rekonstrukcija: veco celiņu un laukumu asfaltbetona un betona laukumu demontāža, ceļu, laukumu un iekšpagalmu izbūve, ieejas lieveņu un uzbrauktuvju izbūve drošai piekļuvei (uzbrauktuves ar margām bērniem ar īpašām vajadzībām), uzbrauktuvju iezīmēšana ar kontrastējošu krāsu vai nodalīšana ar kontrastējošas krāsas bruģakmeni, ēku apzaļumošana, un teritorijas nožogošana. 
Projekta mērķa grupa ir 89 izglītojamie, 27 skolotāji un 20 izglītības iestādes tehniskie darbinieki. Projekta ieviešanas rezultātā iegūsim mūsdienu prasībām un vienlīdzīgām iespējām atbilstošu mācību vidi 89 izglītojamiem ar speciālajām vajadzībām un 47 skolas darbiniekiem. Projekta kopējās izmaksas 98 058 lati, no tiem ERAF finansējums 85% s jeb 83349 lati un attiecināmais pašvaldības budžeta finansējums 15% jeb 14709 lati. Projekta norise – 6 mēneši no 2010. gada aprīļa līdz 2010. gada septembrim.
",98058,83349,0,6
18,"Iecavas novada dome","Skolas iela 4, Iecava, Iecavas novads, LV-3913",,"Mācību vides uzlabošana izglītojamiem ar speciālām vajadzībām Iecavas novada Zālītes speciālā internātpamatskolā","Zemgale, ",07/12/2009,"Lai uzlabotu mācību vidi izglītojamiem ar speciālām vajadzībām Iecavas novada Zālītes speciālajā internātpamatskolā projekta ietvaros ir plānots veikt izglītības iestādes infrastruktūras renovāciju.
Projekta īstenošanas vieta ir Iecavas novads, Zālītes speciālā internātpamatskola (internāta ēka – „Strauta Brīviņi” un ēka Upes ielā 8, Zālīte, Iecavas novads, LV-3913). Iecavas novadā tā ir vienīgā speciālā izglītības iestāde. Skolā tiek realizētas divas speciālās pamatizglītības programmas izglītojamajiem ar garīgās attīstības traucējumiem (A, B un C līmenis), speciālā arodizglītības (darba iemaņu) programma C līmeņa izglītojamajiem un viena speciālā pirmsskolas izglītības programma 5-7 gadus veciem bērniem izglītojamajiem ar garīgās attīstības traucējumiem.
Projekta mērķis ir nodrošināt drošu un pieejamu mācību vidi, izglītojamiem ar speciālām vajadzībām Iecavas novada Zālītes speciālajā internātpamatskolā. Projekta ietvaros tiks īstenotas šādas aktivitātes: 
1. Izglītojamo mācību vides uzlabošana – internāta ēkas un ēkas Zālītē, Upes ielā 8 siltināšana, ieejas mezglu sakārtošana, dušas un tualešu telpas pielāgošana un remonts Zālītē, Upes ielā 8 
2. Drošas un attīstošas apkārtējās vides sakārtošana un labiekārtošana Zālītē, Upes ielā 8– bruģakmens celiņu un laukumu izbūve, apkārtnes labiekārtošana un žoga izbūve. 

Projekta mērķa grupa ir 99 izglītojamie, 33 pedagogi un 25 izglītības iestādes tehniskie darbinieki. Projekta kopējās izmaksas 98 392 lati, no tiem ERAF finansējums 85% jeb 83633 lati un nacionālais līdzfinansējums 15% jeb 14 759 lati .Plānotais kopējais projekta īstenošanas ilgums 12 mēneši (01/2010 – 12/2010) Pēc projekta realizācijas projekta mērķgrupa iegūs atbilstoši prasībām uzlabotu mācību vidi.
",98392,83633,0,12
19,"Kokneses novada dome","Melioratoru iela 1, Koknese, Kokneses pagasts, Kokneses novads, LV-5113",,"Kokneses novada Kokneses speciālās internātpamatskolas – attīstības centra telpu, infrastruktūras un inženierkomunikāciju renovācija","Zemgale, ",30/11/2009,"Lai uzlabotu mācību vidi Kokneses novada Kokneses speciālajā internātpamatskolā – attīstības centrā izglītojamajiem ar speciālām vajadzībām projektā plānots veikt telpu, infrastruktūras un inženierkomunikāciju renovāciju.
Projekta mērķis – sakārtot Kokneses speciālās intrnātpamatskolas – attīstības centra infrastruktūru, veicot nepieciešamos telpu renovācijas darbus, nodrošinot drošu vidi, pielāgojot telpas audzēkņu speciālajām vajadzībām, uzlabojot mācību vidi, lai veicinātu darba un sadzīves prasmju attīstīšanu izglītojamajiem ar speciālām vajadzībām.
Projekta ietvaros tiks īstenota šāda aktivitāte – izglītojamo mācību vides uzlabošana – skolas – centra telpu, infrastruktūras un inženierkomunikāciju renovācija. 
Projekta aktivitātes ietvaros paredzēts renovēt 29 skolas telpas. Kokneses speciālās internātpamatskolas – attīstības centra mācību telpu, infrastruktūras un inženierkomunikāciju renovācijas darbu rezultātā tiks uzlabota mācību vide izglītojamajiem ar speciālām vajadzībām, nodrošināta izglītojamo droša uzturēšanās skolas telpās, kā arī tiks veicināta darba un sadzīves prasmju attīstīšana, tādejādi atrisinot daudzas izglītojamo ar garīgās attīstības traucējumiem un viņu vecāku ikdienas problēmas saistībā atrašanos skolā. 
Projekta īstenošanas vieta – Kokneses speciālā internātpamatskola – attīstības centrs, Bormaņi, Kokneses pag., Kokneses novads, LV 5113 (Skolas ēka)
Plānotais kopējais projekta īstenošanas ilgums: 12 mēneši
Projekta plānotās kopējās izmaksas: Ls 110180
Projektā plānotās dalās attiecināmajās un neattiecināmajās izmaksās:
• attiecināmās izmaksas 98392 Ls, tai skaitā ERAF līdzfinansējums
• neattiecināmās izmaksas 11788 Ls 
• Kopējais Kokneses novada domes līdzfinansējums sastāda 26547 Ls – attiecināmās izmaksas 14759 Ls un neattiecināmās izmaksas 11788 Ls.
",98392,83633,0,12
20,"Stopiņu novada dome","Institūta iela 1a, Ulbroka, Stopiņu novads, LV-2130",,"Gaismas speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Rīgas reģions, ",11/12/2009,"Projekta mērķis – uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām, kā arī veicināt darba un sadzīves prasmju attīstīšanu izglītojamiem Gaismas speciālajā internātpamatskolā. 
     Projekta ietvaros paredzēts izveidot praktisko darbu apmācību telpas, kas sevī ietver speciālās izglītības iestādes ēkas, tās infrastruktūras un inženierkomunikāciju rekonstrukcijas darbus, lai nodrošinātu, izglītojamo ar funkcionālas attīstības traucējumiem piekļuvi izglītības iestādes praktisko darbu apmācību telpām, lai veicinātu praktisko darba iemaņu apguvi. 
     Galvenā aktivitāte skolas saimniecības ēkas rekonstrukcija, kā rezultātā tiek iegūtas telpas praktisko un teorētisko darba iemaņu apguvei un labiekārtota darba vide atbilstoši visām darba drošības un higiēnas prasībām.
    Sagaidāmais projekta rezultāts ir praktisko darbu apmācību telpas ar nodrošinātu piekļuvi izglītojamiem ar funkcionāliem kustību traucējumiem.
    Papildus šim projektam Gaismas speciāla internātpamatskola ir iesniegusi projektu Eiropas Sociālā fonda darbības programmas „Cilvēkresursi un nodarbinātība” apakšaktivitātes 1.2.2.4.2. „Atbalsta pasākumu īstenošana jauniešu sociālās atstumtības riska mazināšanai un jauniešu ar funkcionālajiem traucējumiem integrācijai izglītībā”.
    Projekta iesniedzējs ir Stopiņu novada dome, projekta īstenošanā iesaistīta arī LR Izglītības Ministrija.
    Projekta norises vieta un laiks: Gaismas skola, Rumbula, Stopiņu novads, Rīgas rajons, LV 2121, projekta īstenošanas laiks, 8 (astoņi) kalendārie mēneši.
   Kopējās projekta izmaksas ir 98 392 LVL, tajā skaitā piesaistītais finansējums no ERAF un līdzfinansējums no Stopiņu novada domes. 
",98392,83633,0,8
21,"Dobeles novada izglītības pārvalde","Brīvības iela 17, Dobele, Dobeles novads, LV-3701",,"Bērzupes speciālās internātpamatskolas infrastruktūras uzlabošana","Zemgale, ",07/12/2009,"Nepiemērotā mācību vide izglītojamiem ar speciālām vajadzībām Dobeles novadā, kā arī Tērvetes un Auces novados, neveicina darba un sadzīves prasmju attīstīšanu izglītojamiem ar speciālām vajadzībām.
Projekta „Bērzupes speciālās internātpamatskolas infrastruktūras uzlabošana” tiešais mērķis ir uzlabot mācību vidi un veicināt darba un sadzīves prasmju attīstīšanu izglītojamiem ar speciālām vajadzībām Bērzupes speciālajā internātpamatskolā.
Projekta mērķa grupa ir Bērzupes speciālās internātpamatskolas izglītojamie un pedagogi.
Projekta kopējais finansējums ir 97383.00 LVL, tai skaitā ERAF finansējums 85% no kopējām projekta izmaksām, kas sastāda 82775.00 LVL.
Projekta ietvaros tiks īstenota viena aktivitāte - Bērzupes speciālās internātpamatskolas internāta ēkas 1.stāva rekonstrukcija. Sasniedzot projekta mērķi tiks uzlabota mācību vide, pielāgojot telpas izglītojamajiem ar funkcionāliem traucējumiem, tiks nodrošināta vides pieejamība, kā arī tehnoloģiju un mācību aprīkojuma pieejamība.
Projekta īstenošanas rezultātā izglītojamiem ar funkcionāliem traucējumiem tiks nodrošināta iespēja piedalīties mācību procesā gan pamatizglītības, gan arī profesionālās pamatizglītības programmās. 
",97383,82775,0,12
22,"Limbažu novada dome","Rīgas iela 16, , Limbaži, Limbažu novads, LV-4001",,"Katvaru internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Rīgas reģions, ",07/12/2009,"Projekta mērķis ir uzlabot mācību vidi Katvaru speciālajā internātpamatskolā, kas dotu iespēju bērniem ar speciālām vajadzībām attīstīt darba un sadzīves prasmes un kļūt par pilnvērtīgiem sabiedrības locekļiem.  
Kopējais projekta finansējums ir Ls 98 392, no tā ERAF finansējums ir Ls 83 633.
Īstenošanas vieta – Katvaru speciālā internātpamatskola, Limbažu novads.
Īstenošanas laiks – 12 mēneši.
Projekta aktualitāte - veselības statistikas dati liecina, ka bērnu un jauniešu veselības stāvoklis valstī pēdējo desmit gadu laikā pasliktinās. Tādēļ pašlaik, izvirzot prioritāros darbības virzienus valstī, jāņem vērā, ka bērni ar īpašām vajadzībām kļūs par pieaugušajiem ar speciālām vajadzībām, un īpaši svarīgi ir nodrošināt tiem atbilstošu izglītību un aroda prasmes, lai, kļūstot par pilnvērtīgiem sabiedrības locekļiem, šie jaunieši paši spētu dzīvot pastāvīgi un nodrošināt sevi.
Projekta mērķa grupas - 139 skolas audzēkņi ar speciālām vajadzībām, kuriem, īstenojot projektā paredzētās aktivitātes, tiks dota iespēja uzlabotā skolas vidē kvalitatīvi apgūt gan vispārējās, gan aroda apmācības programmas;
12 bērni ar kustību traucējumiem un garīgās attīstības traucējumiem, kuriem būs iespēja apmeklēt speciālo skolu un sagatavoties pilnvērtīgai dzīvei turpmāk;
40 pedagogi un 20 tehniskie darbinieki, kuriem projekta rezultāti nodrošinās kvalitatīvu darba vidi un veicinās katra personīgo sasniegumu izaugsmi.
Projektā paredzētās aktivitātes ir :
1.Ierīkot skolas ēkā liftu – pacēlāju, kas dotu iespēju bērniem ar kustību traucējumiem un garīgās attīstības traucējumiem mācīties speciālā skolā, kas nav iespējams pašlaik;
2. Iegādāties speciāli aprīkotu transportu (izņemamas sēdvietas ratiņkrēslu novietošanai, pārnēsājam un saliekama rampa ratiņkrēslam, elektriski regulējams pakāpiens iekāpšanai pa sāna durvīm) bērniem ar kustību traucējumiem, kas nodrošinātu to iespējas nokļūt skolā, piedalīties mācību darbā un izziņas ekskursijās;
3. Nomainīt kāpņu plāksnes no 1. uz 3.stāvu un nomainīt starpstāvu durvju blokus;
4.Iegādāties 25 ar programmatūru aprīkotus datorus, kas ļautu skolas audzēkņiem pilnvērtīgi attīstīties un justies līdzvērtīgiem savu vienaudžu vidū;
5.Iegādāties mūsdienīgus darbagaldus un iekārtas kvalitatīvai galdniecības palīgu aroda iegūšanai;
6.Iegādāties dabai draudzīgu āra apgaismojumu, kas darbojas ar atjaunojamiem energoresursiem - saules un vēja enerģiju, kas nodrošinās audzēkņu, pedagogu un tehniskā personāla drošu pārvietošanos skolas teritorijā diennakts tumšajā laikā;
7.Ar projektā paredzētiem publicitātes pasākumiem - rakstiem avīzē, interneta mājaslapā informēt sabiedrību par skolas iespējām, kas pozicionētu iegūstamo kvalitatīvo izglītību. 
",98392,83633,0,12
23,"Tukuma novada dome","Pils iela 18, Tukums, Tukuma novads, LV-3101",,"Tukuma Speciālās internātpamatskolas un Dzirciema Speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Rīgas reģions, ",11/12/2009,"Projekta mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām, kā arī veicināt darba un sadzīves prasmju attīstīšanu izglītojamiem Tukuma Speciālajā internātpamatskolā un Dzirciema speciālajā internātpamatskolā. 
Mērķa grupa ir izglītojamie speciālās izglītības iestādēs un speciālās izglītības iestāžu pedagogi.
Projekta laikā tiks nodrošināta piekļuve izglītojamiem ar speciālām vajadzībām, tai skaitā ar funkcionāliem traucējumiem, Tukuma novada speciālajām izglītības iestādēm (turpmāk tekstā SII) un to telpām, un nodrošināta uzturēšanās tajās, veicot ēku un telpu infrastruktūras un inženierkomunikāciju renovācijas darbus, kā arī tiks uzlabotas izglītības ieguves iespējas, veicot mācību materiālu, mācību aprīkojuma un mācībām nepieciešamo mēbeļu iegādi. Tukuma Speciālajā internātpamatskolā tiks veikta ēkas renovācija, mēbeļu un aprīkojuma iegāde galdnieka profesijas apguves vajadzībām, kā arī mājturības kabinetu renovācija, mēbeļu un aprīkojuma iegāde mājkalpotāja profesijas apguvei. Dzirciema speciālajā internātpamatskolā notiks telpu infrastruktūras un inženierkomunikāciju renovācijas darbi, veicot elektroinstalācijas nomaiņu, santehnikas sistēmas renovāciju, automātiskās ugunsgrēka atklāšanas un trauksmes signalizācijas sistēmas ierīkošanu, gaisa kondicionēšanas sistēmas maiņu, kāpņu telpas renovācija un koridoru renovāciju. 
Projekta rezultātā tiks uzlabota mācību vide izglītojamiem ar speciālām vajadzībām un veicināta darba un sadzīves prasmju attīstīšana izglītojamiem SII. 
Projektu ilgums plānots 12 mēneši. Projekta attiecināmās izmaksas ir 196 760 LVL, no kurām ERAF līdzfinansējums 167 246 LVL
",196760,167246,0,12
24,"Aizputes novada dome","Atmodas iela 22, Aizpute, Aizputes novads, LV-3456",,"Lažas speciālās internātpamatskolas ēkas fasādes renovācija","Kurzeme, ",07/12/2009,"Projekta vispārējais mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām, kā arī veicināt darba un sadzīves prasmju attīstīšanu izglītojamiem speciālās izglītības iestādēs.
Projekta specifiskais mērķis: Aizputes novada Domes pakļautībā esošās Lažas speciālās internātpamatskolas infrastruktūras uzlabošana, veicot ēkas fasādes renovāciju un nodrošinot prioritāti „vienādas iespējas” pedagogiem un izglītojamajiem ar funkcionāliem traucējumiem.
Projekta mērķa grupa ir izglītojamie speciālās izglītības iestādēs un speciālās izglītības iestāžu pedagogi.
Lai mērķi sasniegtu projekta pieteicējs paredzējis veikt sekojošas darbības - speciālās izglītības iestādes ēkas fasādes renovācijas darbus kā arī uzbrauktuves ierīkošanu, lai nodrošinātu, ka izglītojamie ar funkcionāliem traucējumiem varētu piekļūt speciālās izglītības iestādei un tās telpām, kā arī uzturēties tajās.
Projekta īstenošanas vieta – Lažas speciālā internātpamatskola, Aizputes novadā, Lažas pagastā, LV 3456.
Plānotais kopējais projekta īstenošanas ilgums: 14 mēneši.
Projekta plānotās attiecināmās izmaksas ir 98 392 LVL.
",98392,83633,0,14
25,"Skrundas novada pašvaldība","Raiņa iela 11, Skrunda, Skrundas novads, LV-3326",,"Rudbāržu sanatorijas internātpamatskolas skolas ēkas renovācija","Kurzeme, ",07/12/2009,"Lai nodrošinātu vispārējās speciālās pamatizglītības iestādes izglītojamo iespējas mācīties, sevi pilnveidot mūsdienīgā skolā, projekta ietvaros plānots īstenot aktivitāti: Rudbāržu sanatorijas internātpamatskolas renovācija. Aktivitātes ietvaros paredzēts visām skolas telpām-klasēm, kabinetiem, koridoriem, palīgtelpām nomainīt logus, durvis, nomainīt skolas jumtu, sakārtot skursteņus un notekcaurules, veikt skolas fasādes apmetuma remontu un skolas fasādes krāsošanu, veikt cokola apmetuma remontu - virsmas un atbalsta sienas špaktelēšanu un atbalsta sienas krāsošanu, pandusa izveide.

Projekta vispārīgais mērķis ir uzlabot mācību vidi audzēkņiem ar psiholneiroloģiskām saslimšanām, veicināt darba un sadzīves prasmju attīstīšanu speciālajā izglītības iestādē. Projekta specifiskais mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām Rudbāržu sanatorijas internātpamatskolā.

Projekta ietvaros tiks īstenota Kuldīgas rajona Rudbāržu sanatorijas internātpamatskolas infrastruktūras uzlabošana izglītojamiem ar garīgās veselības traucējumiem.

Projekta īstenošanas vieta - Skrundas novads, Rudbāržu pagasts, Rudbāržu sanatorijas internātpamatskola, LV-3324.

Kopējais projekta īstenošanas ilgums 18 mēneši.

Kopīgās attiecināmās finanses Ls 98392,- (deviņdesmit astoņi tūkstoši trīs simti deviņdesmit divi lati), tanī skaitā ERAF finansējums 85 %, tas ir Ls 83633,- (astoņdesmit trīs tūkstoši seši simti trīsdesmit trīs lati).

Līdzfinansējums no Skrundas novada pašvaldības 15%, tas ir Ls 14759,- (četrpadsmit tūkstoši septiņi simti piecdesmit deviņi lati).
",98392,83633,0,18
26,"Saldus novada pašvaldība","Striķu iela 3, Saldus, Saldus novads, LV-3801",,"Rubas speciālās internātpamatskolas mācību, darba un sadzīves vides uzlabošana","Kurzeme, ",07/12/2009,"Speciālās izglītības iestādes rada iespējas un apstākļus izglītojamajiem ar speciālām vajadzībām iegūt savam veselības stāvoklim, spējām un attīstības līmenim atbilstošu izglītību, vienlaikus nodrošinot izglītojamā pedagoģiski psiholoģisko un medicīnisko korekciju, sagatavotību darbam un dzīvei sabiedrībā. Skola spēj kvalitatīvi pildīt savas funkcijas, ja vide ir droša, atbilstoša skolēnu vajadzībām un piemērota mācībām. 
  Projekta mērķis ir uzlabot Rubas speciālās internātpamatskolas infrastruktūru, nodrošinot izglītojamiem piemērotu mācību, darba un sadzīves vidi. Lai uzlabotu mācību vidi un nodrošinātu izglītības iestādes pieejamību cilvēkiem ar kustību traucējumiem, projekta ietvaros plānots renovēt ūdensvada un kanalizācijas sistēmu, 1. stāva tualetes pielāgot cilvēkiem ar kustību traucējumiem, renovēt apkures sistēmu, izbūvēt centrālo ieeju un uzbrauktuvi cilvēkiem ar kustību traucējumiem, renovēt grīdu 1. stāva gaitenī, uzstādīt automātiskās ugunsdzēsības signalizācijas sistēmu. Prasmju un iemaņu attīstīšanai izglītojamiem ar speciālām vajadzībām, plānots iegādāties 2 datorus. 
Plānotais projekta īstenošanas ilgums – 7 mēneši.
Projekta kopējās izmaksas - 98 392 lati, no tiem 83633 lati (85 %) ERAF finansējums.
Projekta īstenošanas vieta –.” Internātskola” Rubas pag. Saldus novads LV 3894
",98392,83633,0,7
