"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
11,"Dricānu pagasta pārvalde","Dricāni, Dricānu pagasts, Rēzeknes novads, LV-4615",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana 
 Dricānu vidusskolā
 ","Latgale, ",21/01/2009,"          Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu grupu – dabaszinības (ķīmija, bioloģija, fizika) un matemātika (turpmāk – prioritārās izglītības programmas) – īstenošanu un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 1.	Telpu renovācija:
 1.1.	ķīmijas kabineta renovācija;
 1.2.	fizikas kabineta renovācija;
 1.3.	bioloģijas kabineta renovācija;
 1.4.	matemātikas kabineta renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1. materiāli tehniskās bāzes izveide:
 2.1.1. datortehnikas, elektroniskās apmācības materiālu, programmatūras un datortehnikas pārvietošanas ierīču iegāde;
 2.1.2. ierīču, aparatūras uzstādīšana un tehniskā apmācība;
 2.1.3. materiālu un piederumu – trauku, vielu iegāde;
 2.2. 25 darbavietu darbam ar datoru izveide;
 2.3. mēbeļu iegāde.
 
       3.  Bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,20
12,"Bauskas pilsētas pārvalde","Uzvaras iela 6, Bauska, Bauskas novads, LV-3901",,"Vispārējās vidējās izglītības kvalitātes paaugstināšana prioritārajos mācību priekšmetos Bauskas pilsētas 2. vidusskolā","Zemgale, ",21/01/2009,"    Projekta iesnieguma sagatavošanas fāzē tika izveidota speciālistu darba grupa, kura veica skolas mācību kabinetu aprīkojuma un tehniskā stāvokļa novērtēšanu. Pamatojoties uz apsekošanas datiem, tika konstatēts, ka skolas esošais matemātikas,  fizikas, ķīmijas un bioloģijas kabinetu aprīkojums ir neatbilstošs  ES izvirzītajiem mērķiem un nosacījumiem kvalitatīvai dabas zinātņu izglītības programmu īstenošanai. Lai celtu izglītojamo kompetences līmeni, radītu interesi par dabaszinātnēm un saistītām ar to karjeras iespējām, nodrošinot kvalitatīvu izglītības programmu dabaszinātnēs īstenošanu, projekta ietvaros tiks modernizēta dabaszinātņu kabinetu materiāli tehniskā bāze. Detalizētāks nepieciešamo dabaszinātņu kabinetu mācību  piederumu uzskaitījums dots 3. pielikumā. 
    Projekta ietvaros tiks aprīkoti un modernizēti dabaszinātņu un matemātikas kabineti ar valsts mērķdotāciju un Bauskas pilsētas Domes līdzfinansējumu 15 % apmērā. 
 Lai turpmāk nodrošinātu kvalitatīvas dabaszinātņu ķīmija, bioloģija, fizika un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 1.	Projekta vadīšanas un administrēšanas pasākumi;
 2.	Iepirkuma procedūras organizēšana,(4 un 5. pielikums);
 3.	Telpu renovācija fizikas, ķīmijas, bioloģijas un matemātikas kabinetos (sagatavots tehniskais projekts) pievienots projekta pielikumā;
 3.1..automātiskās ugunsaizsardzības signalizācijas ierīkošana;
 3.2.kondicionieru un boileru uzstādīšana;
 3.3.telekomunikāciju ierīkošanu;
 3.4.vēdināšanas sistēmu uzstādīšana.
 Pamatojums: skolas ēka būvēta 1963.gadā. Esošā elektroapgādes, ugunsdrošības, vēdināšanas un telekomunikāciju sistēma ir novecojusi un neatbilst mūsdienīgām prasībām. Tāpēc šīs aktivitātes ir izvirzītas par prioritārām, kosmētiskais remonts un san tehniskie darbi tiks veikti par pašvaldības budžeta līdzekļiem.
 4.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana;
 4.1.izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos 2.pielikums;
 4.2.izglītības programmas ķīmijā īstenošanai;
 4.3. izglītības programmas fizikā īstenošanai;
 4.4.izglītības programmas bioloģijā īstenošanai;
 5.5.izglītības programmas matemātikā īstenošanai.
 Pamatojums: Dabaszinātņu un matemātikas kabinetu mācību aprīkojuma sarakstā un mēbeļu tehniskās specifikācijas orientējošo izmaksu sarakstā, aprīkojuma un mēbeļu skaits aprēķināti 32 skolēniem klasē. Esošā skolas telpu plānā ir paredzēti ķīmijas un fizikas mācību kabineti ar skolotāju sagatavotavu un skolēnu laboratorijas atsevišķām blakus telpām. Bauskas pilsētas 2.vidusskola ir iekļaujoša uz izaugsmi tendēta skola, ar lielām perspektīvām
 5.	Mācību materiālu un mācību programmatūras iegāde;
 6.	Projekta īstenošanas kontrole, rezultātu izvērtēšana un publiskošana.
 Īstenojot projektu, Bauska pilsētas 2.vidusskolā tiks modernizēta un pilnveidota  skolas materiāli tehniskā bāze, nodrošinot kvalitatīvu vidējās izglītības programmu dabaszinātnēs un matemātikā apguvi.
 ",98392,83633,0,22
13,"Viesīte novada pašvaldība","Smilšu iela 2 , Viesīte, Viesītes novads, LV-5237",,"Kvalitatīvai dabaszinātņu un matemātikas apguvei atbilstošas materiālās bāzes nodrošināšana Viesītes vidusskolā","Zemgale, ",10/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie mācību priekšmeti) apguves iespējas, motivētu audzēkņus lielāku uzmanību pievērst šiem mācību priekšmetiem gan skolā, gan arī izvēloties studiju programmas, un līdz ar to radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Viesītes vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Četru prioritāro mācību priekšmetu kabinetu telpu renovācija.
 1.1.	ķīmijas kabineta (ar sagatavotavu) renovācija;
 1.2.	fizikas kabineta renovācija;
 1.3.	bioloģijas kabineta (ar sagatavotavu) renovācija;
 1.4.	matemātikas kabineta renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izveidot un nodrošināt ar Interneta pieslēgumu 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2.	izglītības programmas ķīmijā īstenošanai;
 2.3.	izglītības programmas fizikā īstenošanai;
 2.4.	izglītības programmas bioloģijā īstenošanai;
 2.5.	izglītības programmas matemātikā īstenošanai.
 2.6.	nodrošināt mācību priekšmetu kabinetus ar nepieciešamajām mēbelēm.
 
 3.	Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēkas, mācību video un multimediju materiālu fondu pilnveide.
 
    Īstenojot projekta aktivitātes paaugstināsies skolēnu interese par prioritāro mācību priekšmetu apguvi, uzlabosies mācību stundu un praktisko nodarbību norises apstākļi, paaugstināsies atbilstošo studiju programmu izvēles motivācija, samazināsies ikdienas līdzekļu patēriņš.
 ",98392,83633,0,20
14,"Kokneses novada dome","Melioratoru iela 1, Kokneses pagasts, Kokneses novads, LV-5113",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana I. Gaiša Kokneses vidusskolā","Zemgale, ",13/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk–prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros I.Gaiša Kokneses vidusskolā plānots veikt šādas aktivitātes:
 1.	Telpu renovācija (būs pabeigta 2008.g.augustā)
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1.	Materiāli tehniskās bāzes izveide (centralizēts iepirkums)
 2.2.	Mēbeļu iegāde
 3.	Bibliotēkas fondu pilnveide
 ",98392,83633,0,22
15,"Rēzeknes novada pašvaldības Verēmu pagasta pārvalde","J.Zvīdra iela 1, Sondori, Vērēmu pagasts, Rēzeknes novads, LV-4647",,"Kvalitatīvai dabaszinātņu apguve Makašānu amatu vidusskolā","Latgale, ",13/01/2009,"Jaunākie starptautiskie pētījumi, kā arī centralizēto eksāmenu rezultāti parāda, ka skolēnu zināšanu līmenis dabaszinātnēs un matemātikā joprojām ir zems. Kā pierādījums tam ir liels studējošo atbirums augstskolu pirmajos kursos nepietiekmas sekmības dēļ. Savukārt, TIMSS 2003.gada rezultāti Latvijā liecina,  ka skolēnu sasniegumi šajā priekšmetu grupā ir labāki Rīgas un citu Latvijas lielo pilsētu skolu skolēniem. Tādēļ, lai nodrošinātu vienlīdzīgas iespējas izglītības turpināšanai visiem jauniešiem, svarīgi ir būtiski palielināt ieguldījumus lauku un mazo pilsētu skolās gan kabinetu aprīkojumā, gan skolotāju tālākizglītībā.
 Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu grupu - dabaszinātņu (ķīmija, bioloģija, fizika) un matemātika īstenošanu, radītu priekšnosacījumus valsts attīstībai iznātņu un tehnoloģiju ietilpīgajās nozarēs, kā arī nodrošinātu līdzsvarotu reģionu attīstību, sagatavojot kvalitatīvi izglītotus un konkurētspējīgus jauniešus, Rēzeknes rajona Verēmu pagasta 
 Makašānu amatu vidusskolā šī projekta ietvaros plānots veikt šādas galvenās aktivitātes:
 
 1. Izveidot kvalificētu projekta ieviešanas darba grupu.
 2. Veikt telpu renovāciju un pielāgošanu kvalītatīvai dabaszinību un   
     matemātikas izglītības programmu apguvei.
    3. Veikt iekārtu, piederumu, aprīkojuma, tehnoloģiju iegādi un uzstādīšanu:
 3.1.  25 darba vietas darbam ar datoru dabaszinātņu priekšmetos   
         un matemātikā;
 3.2. aprīkojums izglītības programmas ķīmijā  īstenošanai;
 3.3. aprīkojums izglītības programmas fizikā  īstenošanai;
 3.4. aprīkojums izglītības programmas bioloģijā  īstenošanai;
 3.5. aprīkojums izglītības programmas matemātikā  īstenošanai.
 4. Pilnveidot bibliotēkas fondu – iegādāties mācību video materiālus dabaszinātnēs un  matemātikā, mācību programmatūru, nodrošināt pedagogu apmācību darbā ar jaunajām iekārtām,
           5.Iegādāties un uzstādīt dabaszinātņu un matemātikas kabinetiem atbilstošas   
              mēbeles.
 6.	Organizēt īstenojamā projekta popularizēšanas pasākumus.",98392,83633,0,24
16,"Īslīces pagasta pārvalde","""Rītausma"", Bauskas novads, LV-3901",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Īslīces vidusskolā","Zemgale, ",10/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Īslīces vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izveidot 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2.	izglītības programmas ķīmijā īstenošanai;
 2.3.	izglītības programmas fizikā īstenošanai;
 2.4.	izglītības programmas bioloģijā īstenošanai;
 2.5.	izglītības programmas matemātikā īstenošanai.
 
 3.	Mācību materiālu un mācību programmatūras iegāde.
 4.	Bibliotēkas un mācību video fondu pilnveide.",98392,83633,0,17
17,"Ķekavas novada dome","Gaismas iela 19, k.9, Ķekavas novads, LV-2123",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Ķekavas vidusskolā","Rīgas reģions, ",10/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Ķekavas vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2.	izglītības programmas ķīmijā īstenošanai;
 2.3.	izglītības programmas fizikā īstenošanai;
 2.4.	izglītības programmas bioloģijā īstenošanai;
 2.5.	izglītības programmas matemātikā īstenošanai;
 2.6.	mēbeļu iegāde un uzstādīšana.",98392,83633,0,12
18,"Tukuma novada Dome","Pils iela 18, Tukums, Tukuma novads, LV-3101",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Tukuma vakara un neklātienes vidusskolā un Tukuma 2.vidusskolā","Rīgas reģions, ",10/01/2009,"Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu grupu - dabaszinības (ķīmija, bioloģija, fizika) un matemātika (turpmāk – prioritārās izglītības programmas) – īstenošanu un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros projektā iesaistītajām skolām – Tukuma vakara un neklātienes vidusskolā un Tukuma 2.vidusskolā - plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1.	materiāli tehniskās bāzes izveide (centralizētais iepirkums);
 2.2.	mēbeļu iegāde.
 
 Projekta ietvaros tiks atbalstīta Tukuma 2.vidusskolas un Tukuma vakara un neklātienes vidusskolas dabaszinātņu kabinetu aprīkošana ar nepieciešamajām tehnoloģijām un mācību aprīkojumu, kā arī tiks veikti nepieciešamie kabinetu piemērošanas būvdarbi tehnoloģiju un mācību aprīkojuma uzstādīšanai.
 Skolu izaugsme ir noteikta Tukuma pilsētas attīstības programmā, kura paredz izglītības iestāžu tehniskā stāvokļa uzlabošanu.
 Izvērtējot faktisko situāciju, noskaidrots, ka Tukuma vakara un neklātienes vidusskolā un Tukuma 2.vidusskolā esošais matemātikas, fizikas, ķīmijas un bioloģijas kabinetu aprīkojums ir neatbilstošs kvalitatīvai dabas izglītības programmu īstenošanai. Lai celtu izglītojamo kompetences līmeni, radītu interesi par dabaszinātnēm un nodrošinātu kvalitatīvu izglītības programmu dabaszinātnēs īstenošanu, projekta ietvaros tiks modernizēta dabaszinātņu kabinetu materiāli tehniskā bāze. 
 ",196784,167266,0,20
19,"Krimuldas novada dome","Parka iela 1, Krimuldas pagasts, Rīgas rajons, LV-2144",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Krimuldas vidusskolā","Rīgas reģions, ",10/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai
 2.1.	Materiāli tehniskās bāzes izveide (centralizētais iepirkums);
 2.2.	Mēbeļu iegāde un papildus aprīkojuma un inventāru iegāde (pašvaldības organizēts iepirkums).
 ",98392,83633,0,22
20,"Mārupes novada dome","Daugavas iela 29, Mārupes pagasts, Rīgas rajons, LV-2167",,"Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Rīgas rajona Mārupes vidusskolā","Rīgas reģions, ",15/01/2009,"Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu grupu – dabas zinības (ķīmija, bioloģija, fizika) un matemātika (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots Mārupes vidusskolā veikt šādas aktivitātes:
 1.	Telpu remonts
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1.	Materiāli tehniskās bāzes izveide (centralizētais iepirkums);
 2.2.	Mēbeļu iegāde;
 3.	Bibliotēkas fonda pilnveide",98392,83633,0,20
21,"Tukuma rajona Jaunpils pagasta padome","""""Ērģelnieki"", Jaunpils pagasts, Tukuma rajons, LV-3145",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Jaunpils vidusskolā","Rīgas reģions, ",15/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Jaunpils vidusskolā plānots veikt šādas aktivitātes:
  
 1.	Telpu renovācija. 
 Projekta sagatavošanas fāzē ir veikta  skolas tehniskā apsekošana, t.i.tehnisko risinājumu izvēle telpu pielāgošanai noteiktajām prasībām, lai varētu ekspluatēt iepirkto mācību priekšmetu kabinetu aprīkojumu. 
 
 Tiks veikti kabinetu renovācijas darbi: ventilācijas sistēmas, elektropievadu izveide, ūdensvada un kanalizācijas sistēmas izveidošana un remonti, ugunsdrošības sistēmas sakārtošana pēc remonta.
 Tiks renovētas sekojošas telpas: ķīmijas kabinets – telpa teorētiskām nodarbībām un demonstrējumiem(41,1m2), sagatavotava un reaģentu glabātava ķīmijai (25,6 m2),  ķīmijas-bioloģijas laboratorija (37,4 m2), bioloģijas kabinets- telpa teorētiskām nodarbībām un demonstrējumiem (51 m2), fizikas kabinets-laboratorija (48,4 m2 ), fizikas sagatavotava (35 m2), matemātikas kabinets (61,8 m2) un palīgtelpa matemātikas mācību materiālu uzglabāšanai (14,5 m2).
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 Tiks nodrošināti 4 mācību kabineti  ar aprīkojumu:
 
 2.1.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 2.2.	izglītības programmas ķīmijā īstenošanai;
 2.3.	izglītības programmas fizikā īstenošanai;
 2.4.	izglītības programmas bioloģijā īstenošanai;
 2.5.	izglītības programmas matemātikā īstenošanai.
 
 3.	Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēku un mācību video fondu pilnveide.
  
 ",98392,83633,0,25
22,"Olaines novada pašvaldība","Zemgales iela 33, Olaine, Rīgas rajons, LV-2114",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Olaines 1.vidusskolā un Olaines 2.vidusskolā","Rīgas reģions, ",10/01/2009,"    Izglītībai jārada prieks mācīties, jāiemāca bērniem strādāt savu mērķu izvēlei un sasniegšanai. Izglītībai jāmāca izkopt savus talantus un gūt pieredzi. Pašreizējās izglītības pieejamā kvalitāte nesniedz pietiekamo zināšanu un prasmju klāstu, lai izglītojamais veiksmīgi varētu turpināt izglītību dabaszinātņu jomā un esošais aprīkojums, nepietiekami un novecojuši mācību līdzekļi nespēj ieinteresēt mūsdienu skolēnus šīs jomas apguvē. 
 Lai uzlabotu situāciju cilvēkkapitāla attīstības jomā un stimulētu zinātņietilpīgās ekonomikas attīstību dabaszinātņu jomā ir nepieciešams nodrošināt kvalitatīvas dabaszinātņu un matemātikas apguves iespējas jau sākotnējā izglītības līmeni. Tāpēs Olaines pilsētā ar Eiropas Reģionālās attīstības fonda finansējuma palīdzību šī projekta ietvaros tiks veikti šādi pasākumi:
 Olaines 1.vidusskolā tiks modernizēti trīs dabaszinātņu kabineti (fizikas, ķīmijas un bioloģijas) un matemātikas kabinets. Olaines 2.vidusskolā tiks modernizēti arī trīs dabaszinātņu kabineti (fizikas, ķīmijas un bioloģijas) un matemātikas kabinets. 
 Abās vidusskolās tiks izveidota dabaszinātņu laboratorija, kurā iekārtos 21 darba vietas darbam ar datoriem dabaszinātņu pētījumu un analīžu veikšanai. Turklāt dabaszinātņu un matemātikas pasniedzējiem abās vidusskolās tiks nodrošinātas darba vietas ar datoriem un uzskates materiāliem. Projekta ietvaros plānots iegādāties praktisko pētījumu un laboratorijas darbu veikšanai nepieciešamo aprīkojumu un inventāru abu vidusskolu dabaszinātņu un matemātikas kvalitatīvākai apguves nodrošināšanai.
 Pasākumu ieviešanai tiks veiktas sekojošas aktivitātes (sīkāk skatīt iesnieguma 2.7.punktu):
 1. Publicitātes pasākumi:
 2. Telpu renovācija:
  3. Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 3.1. Darbavietu darbam ar datoru izveide.
 3.2. Kvalitatīvas ķīmijas apguvei nepieciešamās materiālās bāzes nodrošināšana.
 3.3. Kvalitatīvas bioloģijas apguvei nepieciešamās materiālās bāzes nodrošināšana.
 3.4. Kvalitatīvas fizikas apguvei nepieciešamās materiālās bāzes nodrošināšana.
 3.5. Kvalitatīvas matemātikas apguvei nepieciešamās materiālās bāzes nodrošināšana.
 4. Mēbeļu iegāde un uzstādīšana optimālai darba organizācijai dabaszinātņu apguves procesā.
 ",196293,166849,0,20
23,"Kandavas novada dome","Dārza iela 6,Kandava, Tukuma rajons, LV-3120",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Kandavas Kārļa Mīlenbaha vidusskolā un Kandavas internātvidusskolā","Rīgas reģions, ",10/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Kandavas internātvidusskolā un Kandavas Kārļa Mīlenbaha vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 2.	Telpu iekārtošana ar mēbelēm
 3.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 3.1.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 3.2.	izglītības programmas ķīmijā īstenošanai;
 3.3.	izglītības programmas fizikā īstenošanai;
 3.4.	izglītības programmas bioloģijā īstenošanai;
 3.5.	izglītības programmas matemātikā īstenošanai.
 ",148364,126109,0,22
24,"Rēzeknes novada pašvaldības Nautrēnu pagasta pārvalde","Rogovkas ciems, Nautrēnu pagasts, Rēzeknes novads, LV-4652",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Nautrēnu vidusskolā","Latgale, ",15/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu - ķīmijas, bioloģijas, fizikas un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Nautrēnu vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija: fizikas, bioloģijas, ķīmijas un matemātikas kabinetos.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	izveidotas 25 darbavietas darbam ar datoru dabaszinību priekšmetos un matemātikā;
 2.2.	izglītības programmas ķīmijā īstenošanai;
 2.3.	izglītības programmas fizikā īstenošanai;
 2.4.	izglītības programmas bioloģijā īstenošanai;
 2.5.	izglītības programmas matemātikā īstenošanai.
 
       3.	Mācību materiālu un mācību programmatūras iegāde.
       4.        Bibliotēkas un mācību video fonda pilnveide.
 ",98392,83633,0,21
25,"Bauskas novada administrācija","Bauskas ielā 1, Bauska, Bauskas novads, LV-3901",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Uzvaras vidusskolā (Bauskas rajonā)","Zemgale, ",13/01/2009,"Lai nodrošinātu kvalitatīvu un uzskatāmu dabaszinību mācību priekšmetu apguvi Uzvaras vidusskolā, nepieciešams modernizēt un pilnveidot mācību materiāli tehnisko bāzi kā rezultātā skolēni gūtu dziļāku interesi par matemātiku, bioloģiju, fiziku un ķīmiju. Tas liktu skolēniem nopietnāk pievērsties šīm sfērām arī turpmāk profesionālajā karjeras izvēlē, jo valstī ir būtisks trūkums pēc šādu jomu speciālistiem un zinātniskā personāla.
 Projekta ietvaros ir paredzēts Gailīšu pagasta Uzvaras vidusskolā no 2009.gada aprīļa līdz 2010.gada janvārim aprīkot četrus dabaszinību kabinetus ar kvalitatīvu dabaszinātņu apguvei atbilstošu materiālo bāzi.
 Tiks veikti remontdarbi fizikas un ķīmijas kabinetos un blakus esošajās sagatavošanas telpās, kā arī nelieli renovācijas darbi matemātikas un bioloģijas kabinetos. Kabinetiem un tiem blakus esošajās sagatavošanas telpās jānodrošina nepieciešamais standartaprīkojums, mikroklimats, telpu ventilāciju, ūdens kanalizācijas un elektrības tīkli un atbilstošas darba virsmas.
 Nepieciešamais dabaszinību kabinetu aprīkojums ir aprēķināts 25 skolēnu vienlaicīgai apmācībai: IT un ierīces, kuras ir savietojamas ar IT; Ierīces un piederumi pētnieciskajai darbībai bioloģijā, fizikā, ķīmijā un matemātikā skolēniem; Nodrošinājums eksperimentu sagatavošanai un demonstrēšanai bioloģijā, fizikā un ķīmijā; Laboratorijas trauku komplekti eksperimentu sagatavošanai un veikšanai bioloģijā, fizikā un ķīmijā; Vielas un materiāli eksperimentiem ķīmijā un bioloģijā; Modeļi, kolekcijas un preparātu komplekti; Demonstrējamo mikroskopisko preparātu komplekts; Mikroskopisko preparātu komplekts skolēniem un papildus aprīkojums dabaszinātņu un matemātikas mācību satura īstenošanai vidusskolā.
 Projekta administrēšanas komandai, kuras sastāvā ir Uzvaras vidusskolas personāls jau ir pieredze projektu realizēšanā un projekta veiksmīgai norisei nepieciešamās īpašības.
 ",98392,83633,0,20
26,"Jēkabpils pilsētas pašvaldība","Brīvības iela 120, Jēkabpils, LV-5201",,"Dabaszinātņu kabinetu uzlabošana Jēkabpils 2. vidusskolā un Jēkabpils 3. vidusskolā","Zemgale, ",13/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu  ( ķīmijas, bioloģijas un fizikas – turpmāk prioritārie priekšmeti) un matemātikas apguves iespējas, paaugstinātu vidusskolu beidzēju konkurētspēju un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 1.	Telpu renovācijas tehniskās dokumentācijas izstrāde.
 2.	Telpu renovācija Jēkabpils 2. vidusskolā un Jēkabpils 3. vidusskolā.
 3.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana augšminētajos mācību priekšmetos: 
 3.1.	25 skolēnu darbavietu izveidošana darbam ar datoru prioritārajos priekšmetos Jēkabpils 2. vidusskolā
 3.2.	25 skolēnu darbavietu izveidošana darbam ar datoru prioritārajos priekšmetos Jēkabpils 3. vidusskolā
 3.3.	Materiāli tehniskās bāzes nodrošināšana Jēkabpils 2. vidusskolai un Jēkabpils 3. vidusskolai pēc IZM izveidotā saraksta centralizētajam iepirkumam (pielikums Nr. 1 )
 3.4.	Mēbeļu iegāde 8 kabinetiem
 4.	Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēku un mācību video fondu pilnveide pēc IZM rekomendējošā saraksta un katras skolas vajadzībām (pielikums Nr. 2).
 5.	Projekta administrēšana un informācijas pasākumi.",194894,165659,0,23
