"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Rihards 2","SIA","Audupes iela 15/17, Rīga, LV-1030","SIA ""Rihards 2"" darbinieku kvalifikācijas celšana","Baloži ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju ienākšana tirgū, esošā konkurence uzņēmumu vidū SIA „Rihards 2” rada nepieciešamību uzlabot esošo darbinieku zināšanas. 20 darbinieku projekta ietvaros paredzēts apmācīt programmā „Darba drošība” (60 akadēmiskās stundas). Apmācības plānots veikt grupās pa 3-4 darbiniekiem katrā (pavisam 6 grupas). 3 darbiniekus projekta ietvaros paredzēts apmācīt programmā „Kvalitātes sistēmas ieviešana uzņēmumā” (60 akad.st.). 3 darbiniekus paredzēts apmācīt programmā „Darba tiesiskās attiecības” (30 akad.st.). 3 darbiniekus paredzēts apmācīt programmā „Lietvedības pamatprincipi” (30 akad.st.). 3 darbiniekus paredzēts apmācīt programmā „Darbs ar informācijas un komunikāciju tehnoloģijām” (60 akad.st.). Pasniedzēju izvēle visās programmās ir veikta pamatojoties uz apmācību sniedzēju piedāvājumiem un citu komersantu atsauksmēm.","39,600.00","29,680.20",0,3,"www.rihards2.lv/torni.php"
2,"Adam auto","SIA","Krasta iela 66, Rīga, LV-1019","SIA Adam auto darbinieku kvalifikācijas celšana","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projektā plānots apmācīt 111 darbiniekus šādās programmās:
1.Darbs ar klientu- efektīva pārdošana;
2.MS Office;
3.Laika un stresa vadīšana;
4.AutoMaster iemaņu uzlabošana.","42,163.55","27,406.30",0,5,"www.adamauto.lv"
3,"ISP Optics Latvia","SIA","Ganību dambis 24a, k.13, Rīga, LV-1005","SIA ""ISP Optics Latvia"" darbinieku apmācība aptikā un datorzinātnēs. 2. kārta","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ISP Optics Latvia” ir uzņēmums, kas darbojas jau no 1991. gada. Uzņēmums visu savu saražoto produkciju realizē ārpus Latvijas. Uzņēmumus ir izvēlējies darbinieku darba efektivitātes celšanu, kā vienu no savas attīstības veicinātājiem. Darbinieku efektivitāte tiks celta padziļinot darbinieku zināšanas par procesu.
 Projekta ietvaros paredzēts apmācīt 37 darbiniekus šādās programmās: 
1.Optisko materiālu apstrādes tehnoloģiskie pamati;
2.Darbagaldi ar ciparu – programmējamo vadību;
3.Noslīpinājuma ielikšana uz detaļām;
4.Mikrolēcu roku pulēšanas tehniskā procesu apguve no optiskajiem kristāliem;
5.Lielgabarīta detaļu izgatavošanas tehniskā procesa apguve;
6.MS Excel apmācību kurss.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","15,302.13","11,475.07",0,8,
4,"ISP Optics Latvia","SIA","Ganību dambis 24a, k.13, Rīga, LV-1005","SIA ""ISP Optics Latvia"" darbinieku apmācība optikā un datorzinātnēs. 1. kārta","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ISP Optics Latvia” ir uzņēmums, kas darbojas jau no 1991. gada. Uzņēmums visu savu saražoto produkciju realizē ārpus Latvijas. Uzņēmumus ir izvēlējies darbinieku darba efektivitātes celšanu, kā vienu no savas attīstības veicinātājiem. Darbinieku efektivitāte tiks celta padziļinot darbinieku zināšanas par procesu.
 Projekta ietvaros paredzēts apmācīt 37 darbiniekus šādās programmās:
1.Optisko detaļu parametru kontrole;
2.Optisko materiālu apstrādes tehnoloģiskie pamati;
3.Sagatavošanas operāciju tehnoloģijas pamati;
4.Lēcu izgatavošana;
5.ZnSe pulēšana ar virsmas tīrību;
6.Lēcu izgatavošanas tehniskā procesa apguve no stikla;
7.Plakano detaļu ar paaugstināto plakanumu pulēšana;
8.Dimantu slīpēšanas tehnoloģijas apguve asfērisko virsmu izgatavošanai
9.MS Excel apmācību kurss.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","39,648.32","29,732.28",0,14,
5,"Meļņi-3","SIA","Jaunatnes iela 13, Varakļāni, Madonas rajons, LV-4838","SIA ""Meļņi - 3"" darbinieku kvalifikācijas paaugstināšana un jaunu zināšanu, prasmju apgūšana","Varakļāni ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 5. Projektā paredzētās aktivitātes ir: Autoservisa vadības sistēma; Automobiļu remonta sistēmu testēšana, automobiļu remonts; Projektu vadība; Grāmatvedība; Uzņēmuma un pakalpojumu drošība.","12,035.00","9,628.00",0,4,
6,"Ventamonjaks serviss","SIA","Dzintaru iela 66, Ventspils, LV-3602","SIA ""Ventamonjaks serviss"" darbinieku apmācība jaunas informācijas tehnoloģiju stratēģijas ieviešanai","Ventspils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Mācību mērķis ir darbinieku apmācība, lai SIA ""Ventamonjaks serviss"" varētu nodrošināt savām un citu saistīto uzņēmumu vajadzībām augstas kvalitātes IT pakalpojumus, ieviešot jaunu IT attīstības statēģiju. Tas ļautu visiem saistītajiem uzņēmumiem (SIA ""VK-Tranzīts"", SIA ""VK-Ekspedīcija"" un SIA ""Ventall termināls"", SIA ""Bio-Venta"") celt to darbības kvalitāti, drošību un efektivitāti. Projektā plānots apmācīt 5 darbiniekus. Apmācību sniedzējs ir SIA ""Baltijas datoru Akadēmija"". Kopumā plānoti 12 mācību kursi (384 akadēmiskās stundas). ","11,781.87","7,069.12",0,20,"www.ventamonjaks.lv"
7,"Ltd KAROGI","SIA","Zemitānu 2b, Rīga, LV-1012","SIA ""Ltd KAROGI"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Esošā konkurence uzņēmuma vidū SIA ""Ltd Karogi"" rada nepieciešamību uzlabot esošo darbinieku zināšanas gan par mākslu pārdot klientam konkrētu pakalpojumu, gan par darba organizāciju IT. Projekta mērķis ir darbinieku kvalifikācijas celšana. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 4. Projektā paredzēto aktivitāšu nosaukumi ir MS Excel programmas izmantošana pārdošanas plānošanā un analīzē; Finanšu analīze, nodokļu optimizācija un metodes; Pārdošanas māksla.","7,540.00","5,599.96",0,3,"www.ltdkarogi.lv"
8,"Bezdelīgas-1","SIA","Daugavas iela 72, Pļaviņas, Aizkraukles rajons, LV-5120","SIA ""Bezdelīgas - 1"" strādājošo apmācība uzņēmuma konkurētspējas palielināšanai","Pļaviņas ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Konkurence tirdzniecības un sabiedriskās ēdināšanas uzņēmumu vidū šobrīd ir ļoti sīva, paaugstinājušās klientu prasības ne tikai pret produkcijas, bet arī pret apkalpošanas kvalitāti. Lai nodrošinātu uzņēmuma konkurētspēju nepietiek tikai ar modernu tehnoloģiju pielietošanu ražošanā. Aktuāls kļuvis jautājums par pietiekoši kvaloficētu, izglītotu un lojālu darbinieku piesaisti un noturēšanu, gan SIA „Bezdelīgas – 1” pamatdarbības sfērā – sabiedriskajā ēdināšanā un tirdzniecībā, gan organizatoriskā darba nodrošināšanā. Lai paaugstinātu darbinieku kvalifikāciju, kā arī veidotu kolektīvu kā motivētu un lojālu komandu, projekta ietvaros plānots apmācīt 67 darbiniekus.
Apmācības ietver: 1.pavāru, konditoru, bārmeņu/viesmīļu, pārdevēju kvalifikācijas paaugstināšanu, lai nodrošinātu teorētisko un praktisko zināšanu kompleksu pielietojumu ikdienas darbā; 2. kursus par uzņēmuma darbības organizācijas un produkcijas kvalitātes uzlabošanu.
Kopējais mācību stundu skaits ir 1935 akadēmiskās h. Lai izvēlētos apmācību sniedzēju, tiks organizēts publiskais iepirkums, atbilstoši LR normatīvo aktu prasībām.","130,577.53","102,301.72",0,14,
9,"PVC MĀRUPE","SIA","""Zirnīši"", Mārupes pagasts, Rīgas rajons, LV-2167","SIA ""PVC MĀRUPE"" darbinieku kvalifikācijas celšana","Mārupes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju ienākšana tirgū, esošā konkurence uzņēmumu vidū SIA „PVC Mārupe” rada nepieciešamību uzlabot esošo darbinieku zināšanas. drošību metāla izstrādājumu ražošanas etapos, gan administrācijas darbiniekiem par nodokļu optimizācijas metodēm un finanšu rādītāju analīzi izvērtējot ieguvumus vai zaudējumus, gan IT sistēmas pielietošanu ikdienas darbā, kā arī celt uzņēmuma darbinieku kvalifikāciju mārketingā un pārdošanā.
Projekta ietvaros paredzēts apmācīt 5 darbiniekus šādās programmās:
1.Darba drošība;
2.Darbs ar informācijas un komunikāciju tehnoloģijām;
3.Finanšu analīze, nodokļu optimizācija un metodes;
4.Mārketings- teorija un prakse;
5.Pārdot prasme.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","14,940.00","11,203.50",0,3,
10,"REMERSHOF","SIA","Meliorācijas iela 25-2, Ozolnieku pagasts, Ozolnieku novads, Jelgavas rajons, LV-3018","SIA ""REMERSHOF"" darbinieku kvalifikācijas celšana","Ozolnieku pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „REMERSHOF” pamatdarbība ir transporta pakalpojumi – kravu pārvadājumi. Darbiniekiem smags un nogurdinošs darbs, tāpēc uzņēmumam īpaši jāpievērš uzmanība darbinieku labklājībai un jārada darbiniekos vēlme strādāt uzņēmuma labā.
Esošā konkurence uzņēmumu vidū SIA „REMERSHOF” rada nepieciešamību uzlabot darbinieku zināšanas. Projekta ietvaros plānots apmācīt 6 darbiniekus šādās programmās: „Darba drošība”, „Darba drošības sistēmas organizēšana, kārtošana un uzlabošana”, „Darbs ar informācijas un komunikāciju tehnoloģijām”, „Autotransporta līdzekļu vadītāju un apkalpes locekļu darba un atpūtas organizācija”, „Darba tiesiskās attiecības”, „Finanšu analīze, nodokļu optimizācija un metodes”. ","24,630.00","18,470.04",0,3,"www.remershof.lv"
11,"SAF Tehnika","AS","Ganību dambis 24a, Rīga, LV-1005","AS ""SAF Tehnika""darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","AS „SAF Tehnika” projekts paredz tās 40 darbinieku dažādu kompetenču celšanu astoņu mēnešu ilgumā ar mērķi veicināt uzņēmuma eksportspēju pasaulē un nodrošināt jaunu prasmju apguvi inovatīvās uzņēmējdarbības jomā. 
1.Uzņēmējdarbības prasmes. Lai veicinātu uzņēmuma augstākās vadības kompetenci biznesa vadībā un eksporta veicināšanā, uzņēmums plāno nodrošināt apmācību kursus- ""Biznesa klase"" vienam darbiniekam, ""Uzņēmuma stratēģiskās attīstības plānošana"" divpadsmit darbiniekiem un ""Ražošanas plānošanas un tehniskā atbalsta nodrošināšanas vadība liela apmēra telekomunikāciju projektiem"" deviņpadsmit darbiniekiem.
2.IKT kursi. Jaunu pieredžu apgūšanai tiks organizēti divi kursi ārvalstīs- ""RF un mikroviļņu shēmas izstrāde: pielietojumi un teorija"", kā arī kursu ""RF sistēmu izstrāde un simulācija"", kuros katrā piedalīsies pa vienam darbiniekam.
3.Finanšu un valodu apmācības. Īpaša uzmanība tiek pievērsta jaunu finanšu un grāmatvedības zināšanu apguvei, kā arī valodu prasmēm, kas ‘jauj palielināt tirdzniecības apjomus ar jauniem klientiem. Šajā grupā tiks organizēti apmācību kursi- ""Starptautiskās grāmatvedības standarti"" vienam darbiniekam, ""IFRS- starptautiskie finanšu pārskatu standarti"" vienam darbiniekam un ""Biznesa angļu valoda"" četriem darbiniekiem.","37,298.60","29,046.88",0,11,"www.saftehnika.lcom"
12,"Sidrabe","AS","Krustpils iela 17, Rīga, LV-1073","AS ""Sidrabe"" darbinieku kvalifikācijas līmeņa celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 39. Projektā paredzētās aktivitātes ir SIMATIC WinCC V6; Microsoft Windows Server 2003; Datortīklu drošības pamati; Angļu valoda; Solid Works Cad On; COSMOS Works-pamatkurss; Grāmatvežu Sertifikāciju programma; Angļu valoda; Loģistikas speciālistu apmācības kurss; Materiālzinātņu fizikas pamati.","32,638.97","24,515.18",0,13,
13,"Emburga pluss","SIA","1.maija iela 4-6, Emburga, Sidrabenes pagasts, Jelgavas rajons, LV-3405","SIA ""Emburga pluss"" darbinieku kvalifikācijas celšana","Sidrabenes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Pieaugošā konkurence uzņēmumu vidū rada nepieciešamību SIA „Emburga pluss” uzlabot esošo darbinieku zināšanas gan par darba drošību saņemot norādījumus un instruktāžu darba aizsardzībā, kas attiecas uz katra darbinieka darba vietu un darba veikšanu, gan par IT sistēmu pielietošanu ikdienas darbā, gan par autovadītājiem un apkalpes locekļiem par darba un atpūtas organizāciju.
Projekta ietvaros plānots apmācīt 19 darbiniekus šādās programmās: „Darbs ar informācijas un komunikāciju tehnoloģijām”, „Darba drošība”, „Autotransporta līdzekļu vadītāju un apkalpes locekļu darba un atpūtas organizācija”, „Darba drošības sistēmas organizēšana, kārtošana un uzlabošana”. Projekta mērķis ir darbinieku kvalifikācijas celšana.","37,500.00","28,121.25",0,3,
14,"Fazer Amica","SIA","Druvas iela 2, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""Fazer Amica"" darbinieku kvalifikācijas celšana","Ogre ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Fazer Amica” sniedz ēdināšanas pakalpojumus uzņēmumu darbiniekiem lielveikalos, augstskolās, skolās un bērnudārzos, kā arī veic dažādu pasākumu ēdināšanu.
Projekta ietvaros plānots apmācīt 190 darbiniekus 26 dažādās apmācību programmās un apmācības ilgs 24 mēnešus. Projektā plānotās apmācības:
•vadītāju ABC jaunajiem vadītājiem;
•Darbinieku motivēšana;
•Pārdošana un mārketings;
•Paškontroles pamatprincipi sabiedriskās ēdināšanas uzņēmumos;
•Higiēnas prasības sabiedriskās ēdināšanas uņēmumos;
•Pārdošanas iemaņu pilnveidošana;
•Viesmīlības pamati;
•Profesionālās pilnveides programma viesmīļiem;
•Programma pavāriem (ABC) un kvalifikācija;
•Augstākā līmeņa vadītāju personīgās efektivitātes pilnveidošana;
•360 novērtēšana;
• Komunikācija (sapulču vadīšana, uzstāšanās utt.);
•Projektu vadība;
•Darbinieku materiālā un nemateriālā motivācija;
•Atlases veidi un metodes;
•Lietvedība;
•Veiksmīgas sadarbības veidošana ar klientiem;
•Komandas veidošana;
•Angļu valoda (2 apmācības);
•Microsoft Office Share Point Server 2007 ieviešana;
•Darbs ar Microsoft SQL Server 2005 datubāzi;
•Darbs ar Microsoft Office InfoPath 2007;
•Darbs ar AXAPTA;
•Microsoft Office Excel.","189,486.43","101,210.14",0,24,"www.fazeramica.lv"
15,"Grindeks","AS","Krustpils iela 53, Rīga, LV-1057","AS ""Grindeks"" darbinieku kvalifikācijas celšana - valodu apmācības, IKT un praktiskā projektu vadība","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apmācību nepieciešamība saistīta ar AS „Grindeks” attīstību un paplašināšanos pēdējo gadu laikā, kā arī pašlaik realizācijā esošajiem investīciju projektiem.
Projekta mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros tiks apmācīti 170 darbinieki šādās programmās: 
1.Veiksmīgu attiecību veidošana ar klientu;
2.Prezentācijas prasmes;
3.Angļu valoda;
4.Programma AutoCAD;
5.Padziļināta Novell tīklu pārvaldīšana;
6.SCP_TPD taktiskā perimetra aizsardzība;
7.Projektu vadība ar Microsof Office;
8.Microsoft SQL Server 2005 datubāzes administrēšana;
9.Windows Vista operētājsistēma;
10.Microsoft Office;
11.Pētniecības projektu vadīšana;
12.Zāļu blakus parādību uzraudzības projektu vadīšanas pamati;
13.Jaunu produktu izstādes projektu vadīšanas pamati","211,246.40","112,700.84",0,20,"www.grindeks.lv"
16,"Grindeks","AS","Krustpils iela 53, Rīga, LV-1057","AS ""Grindeks"" darbinieku kvalifikācijas celšana- apmācības projektu vadībā un IKT","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Apmācību nepieciešamība saistīta ar AS „Grindeks” attīstību un paplašināšanos pēdējo gadu laikā, kā arī pašlaik realizācijā esošajiem investīciju projektiem.
Projekta mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros tiks apmācīti 178 darbinieki šādās programmās:
1.Projektu vaīšana;
2.Komandas efektīva vadīšana;
3.Lieišķo pārrunu vadīšana un konfliktu risināšan;
4.Lēmumu pieņemšana;
5.Personāla vadība;
6.Microsoft Office lietojumprogramma;
7.Microsoft Project lietojumprogramma;
8.Microsoft Project Advanced.
","224,750.00","134,850.00",0,15,"www.grindeks.lv"
17,"LAC Serviss","SIA","Celtnieku 11, Talsi, Talsu rajons, LV-3201","Metālapstrādes apmācības","Talsi ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Pašreiz uzņēmums ražo dažādus metāla izstrādājumus un to izstrādē lielu lomu ieņem tieši cilvēka fiziskais darbs. Šis darbinieku apmācību projekts ir sākumposms lielākam investīciju projektam, ar kura palīdzību uzņēmums plāno modernizēt savu ražotni, galvenokārt, to automatizējot. 
Projekta mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros tiks apmācīti 6 darbinieki šādās programmās:
1.Metāla loksnes locīšana, izciršana, šķērēšana;
2.Lāzergriešana;
3.Metālu profilu locīšana;
4.Plazmas griešana;
5.Metāla zāģēšana;
6.Dažādu veidu materiālu apstrāde izmantojot ūdens strūklas abrazīvo griešanu.","36,943.50","29,554.80",0,5,"www.lacserviss.lv"
18,"Stendera Ziepju Fabrika","SIA","Tērbatas 93/95-29a, Rīga, LV-1004","SIA ""Stendera Ziepju Fabrika"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „Stendera Ziepju Fabrika” ir ražošanas uzņēmums, kas pēc senām tradīcijām vāra ziepes, gatavo dabisku, augstvērtīgu vannas kosmētiku un vannas piederumus, eksportē 53% no kopējā apgrozījuma. Projekta mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projektā plānots apmācīt 50 darbiniekus šādās programmās:
1.Ievads aromterapijā;
2.Efektīva klientu apkalpošana
3.Personāla vadības procesi un jaunākās tendences;
4.Darbinieku motivēšana un attīstība;
5. Konkurētspējas nodrošināšana ekonomiskās krīzes un piesātināta tirgus apstākļos;
6.Klientu un produktu vadības stratēģija;
7.Organizācijas struktūras un procedūru optimizācija
8.Personāla atlase;
9.Profesionālā izdegšana, stress un emocionālā inteliģence;
10.Starp kultūru komunikācija;
11.Laika plānošana;
12.Darījumu un sarunu stratēģija un taktika;
13.Neatkarīgais angļu un krievu valodas zināšanu novērtējums;
14.Vispārējā angļu valoda;
15.Vispārējā krievu valoda.","49,740.00","37,170.00",0,22,"www.stenders.lv"
19,"VIDZEMES NAFTA","SIA","DUS ""Saulrīti"", Vaives pagasts, Cēsu rajons, LV-4136","SIA ""VIDZEMES NAFTA"" darbinieku kvalifikācijas celšana, pārkvalifikācija un jaunu zināšanu apguve","Vaives pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „VIDZEMES NAFTA” ir jānodrošina degvielas uzpildes stacijas, viesnīcas un kafejnīcas pakalpojumu kvalitāte, jāorganizē jaunus pakalpojumus auto mehāniskajās darbnīcās. Tas rada nepieciešamību paaugstināt darbinieku kvalifikāciju, dažu darbinieku pārkvalifikāciju un jaunu zināšanu, prasmju apgūšanu administratīvajiem darbiniekiem.
Projekta ietvaros paredzēts apmācīt 20 darbiniekus šādās programmās:
1.Tūrisma produktu attīstība un tūrisma pakalpojumu kvalitātes nodrošināšana;
2.Autoservisa vadības sistēmas;
3.Projektu vadība;
4.Grāmatvedība.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","24,924.00","19,939.20",0,17,"www.vidzemesnafta.lv"
20,"ZRZ","SIA","Dārza iela 25, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""ZRZ"" jaunu tehnoloģiju ieviešanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ZRZ” ir ieplānojusi ievērojami paplašināt biznesu un personāla skaitu. Attīstības periodā rodas nepieciešamība ātri un efektīvi apmācīt un pilnveidot esošo darbinieku kvalifikāciju.
Projekta mērķis ir darbinieku kvalifikācijas celšana. Projekta ietvaros tiks apmācīti 5 darbinieki šādā programmā: 
1.Bremžu ražošanas un testēšanas iekārtu uzstādīšana un apkalpošana.","10,130.00","8,104.00",0,14,"www.zrz.lv"
21,"DĪLERS","SIA","Brīvības gatve 214c, Rīga, LV-1039","SIA ""DĪLERS"" darbinieku angļu valodas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Ņemot vērā darbības paplašināšanos personāla attīstības vajadzības ikdienas darbā, uzņēmums plāno organizēt darbiniekiem angļu valodas kursus. Projakta mērķis ir darbinieku kvalifikācijas celšana. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 10. Projektā paredzētā aktivitāte ir Angļu valoda komercdarbībai.","4,426.13","2,213.06",0,3,"www.dilers.lv"
22,"DĪLERS","SIA","Brīvības gatve 214c, Rīga, LV-1039","SIA ""DĪLERS"" darbinieku cilvēkresursu vadības un problēmu risināšanas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Ņemot vērā darbības paplašināšanos personāla attīstības vajadzības ikdienas darbā, uzņēmums vēlas sniegt iespēju darbiniekiem paaugstināt kvalifikāciju cilvēkresursu vadības un problēmu risināšanas jomās.
Projekta ietvaros paredzēts apmācīt darbiniekus divās SIA „Zygon Baltic Consulting” programmās: „Cilvēkresursu vadība” (32 astronomiskās stundas) un „Problēmu risināšana” (16 astronomiskās stundas).
Katrā kursā tiks apmācīti 10 darbinieki. Abas apmācības vadīs „Zygon Baltic Consulting” pasniedzēja Žanna Jeļisejeva, kurai ir ekonomistes-matemātiķes kvalifikācija.","4,868.30","3,894.64",0,3,"www.dilers.lv"
23,"DĪLERS","SIA","Brīvības gatve 214c, Rīga, LV-1039","SIA ""DĪLERS"" darbinieku spektroskopijas apmācības ","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Ņemot vērā darbības paplašināšanos personāla attīstības vajadzības ikdienas darbā, uzņēmums apzinājis nepieciešamību apmācīt darbiniekus ar spektrometrijas iekārtām. Projekta mērķis ir darbinieku kvalifikācijas celšana. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 7. Projektā paredzētā aktivitāte ir Spektroskopija kā metāla analīzes metode. ","4,493.13","3,594.50",0,3,"www.dilers.lv"
24,"Madara Cosmetics","SIA","Rostokas iela 60-24, Rīga, LV-1029","SIA ""Madara Cosmetics"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Uzņēmums 2008.gada augustā uzsāks darbību jaunā ražotnē, tāpēc ir nepieciešams izstrādāt kvalitātes pārvaldības procedūras un apmācīt darbiniekus GMP standartu ieviešanā un pielietošanā. Projekta ietvaros plānots apmācīt 8 darbiniekus šādā apmācību kursā: „Labas ražošanas prakses (GMP) standarta ieviešana kosmētikas ražotnē”.
Projekta mērķis ir darbinieku kvalifikācijas celšana un zināšanu, prasmju un iemaņu apgūšana.","25,016.90","20,013.52",0,2,"www.madara-cosmetics.lv"
25,"Bolderaja Ltd","SIA","Guberciema 7, Rīga, LV-1016","SIA ""Bolderaja Ltd"" darbinieku kvalifikācijas celšana un jaunu prasmju apgūšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Šis apmācību projekts ir tieši saistīts ar uzņēmuma jaunas ražotnes attīstību un esošās ražotnes palielināšanu. Darbinieku efektivitāte tiks celta padziļinot darbinieku zināšanas par procesu.
 Projekta ietvaros paredzēts apmācīt 70 darbiniekus šādās programmās:
1.Angļu valoda;
2.Efektīva komunikācija;
3.Profesionāla pārdošana;
4.Aktīva klientu apkalpošana;
5.Prezentāciju prasmes;
6.Prasmīgs vadītājs;
7.Gāzmetinātāju kurss;
8.Rokas lokmetinātāja kursi;
9.Autovadītāju kursi „E” kategorija;
10.Ugunsdrošība;
11.Stopētāju kurss;
12.Atbildīgais speciālists par kravas celtņu tehnisko stāvokli un ddrošu ekspluatāciju;
13.Autoiekrāvēju kurss;
14.Grāmatvedība;
15.Nodokļi un aplikšana ar nodokļiem grāmatvedības kurss;
16.Grāmatveža sertifikācijas programma.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","40,416.00","22,114.65",0,16,"www.bolderaja.lv"
