Beneficiary,Project name,Project description,Allocated funding (EU and national co-financing),Status
"WIBAG - Wirtschaftsservice 
Burgenland AG","Beschäftigungsprojekt im 
Weitwanderweg alpannonia","Ziel des Projektes ist die schrittweise Heranführung von Langzeitarbeitslosen in den 
1. Arbeitsmarkt durch die Beschäftigung im Weitwanderweg alpannonia. Der Einsatz 
von Arbeitslosen kann nur durch einen erfahrenen Projektkoordinator erfolgen, 
welcher durch dieses Projekt finanziert werden soll. Es werden 2 Personen aus 
Vermittlungskursen (Lohnkosten bezahlt AMS) beschäftigt zur Instandsetzung der 
Themen-, Wander- und Pilgerwege; Freischneidearbeiten, Absturzsicherungen etc.","2.200,00",A
"WIBAG - Wirtschaftsservice 
Burgenland AG","Berufsorientierungs-
Aktionswoche im Bezirk 
Eisenstadt","Ziel des Projektes ist die schrittweise Heranfu_hrung von Langzeitarbeitslosen in den 1. Arbeitsmarkt durch die Bescha_ftigung im Weitwanderweg alpannonia. Der Einsatz von Arbeitslosen kann nur durch einen erfahrenen Projektkoordinator erfolgen, welcher durch dieses Projekt finanziert werden soll. Es werden 2 Personen aus Vermittlungskursen (Lohnkosten bezahlt AMS) bescha_ftigt zur Instandsetzung der Themen-, Wander- und Pilgerwege; Freischneidearbeiten, Absturzsicherungen etc.","9.968,14",A
"WIBAG - Wirtschaftsservice 
Burgenland AG","Berufsorientierung-
Aktionswoche im Bezirk 
Oberwart","In Zusammenarbeit der Hauptschulen Rechnitz und Bernstein, der Europ. Mittelschule Oberwart, einer BO Expertin von PGM Marketing Research Consult. sowie PaktpartnerInnen wird im Rahmen des Round Table Eisenstadt eine ""BO- Aktionswoche"" initiiert. Rund 120 Schu_lerInnen der 3. Klassen dieser Schulen erhalten in dieser Woche die Gelegenheit, Unternehmen versch. Branchen zu besuchen und damit vielfa_ltige Berufsbilder kennenzulernen. Ziel ist das fru_hzeitige Aufzeigen von Berufsalternativen fu_r Schu_lerInnen im Wohnraumgebiet sowie der fru_he Kontakt von Unternehmen zu potentiellen ArbeitnehmerInnen.","7.317,65",A
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","'Medien-Office' Übungsfirma 
von Frauen für Frauen","Zielgruppe sind arbeitssuchende Frauen (auch WiedereinsteigerInnen) aus allen Berufen, die eine Ho_herqualifizierung im IT-Bereich fu_r eine langfristige Integration in den Arbeitsmarkt beno_tigen. Projektinhalt: 10 Frauen sollen eine Qualifizierung in Layout und Webdesign, Marketing und Projektmanagement erhalten; Durchfu_hrung von verschiedenen praxisnahen Projektarbeiten im Rahmen der U_bungsfirma. Die Teilnehmerinnen sollen die OCG-Pru_fung absolvieren und im Zuge einer Projektarbeit einen Werbeauftritt und die dazugeho_rigen Werbemittel entwerfen.","78.618,00",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6",Lehrgänge JASG XI,"Das Ziel der verschiedenen Maßnahmen im Rahmen des 
Jugendausbildungssicherungsgesetzes ist einerseits die Vermittlung von Fertigkeiten 
und Kenntnissen von mehreren Lehrberufen im 1. 2. und 3. Lehrjahr und andererseits 
die rasche Vermittlung auf einen Arbeitsplatz oder Lehrplatz. Die Maßnahmen in 
diesem Rahmen stellen 74 Lehrgangsplätze zur Verfügung","916.722,19",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6",Praxisbüro in Güssing,"Zielgruppe sind arbeitsuchende Personen (36 Pers.), die bereits kaufma_nnisch ta_tig waren oder AbsolventInnen berufsbildender Schulen mit kaufma_nnischer Ausbildung oder AbsolventInnen diverser Vorbereitungskurse. Das Praxisbu_ro wird als U_bungsfirma gefu_hrt und ist ein Modell eines tatsa_chlich bestehenden Unternehmens, um Abla_ufe in einem realen Wirtschaftsbetrieb nachzubilden. Module: Sekretariat/Fakturierung; Buchhaltung; Personalverrechnung; Zusatzmodul (Englisch, EBCL, ECDL etc.) Die Verknu_pfung von theoretischen Inhalten mit praktischen Elementen steht bei dieser Ausbildung im Vordergrund.","401.583,00",G
"Wirtschaftsservice Burgenland 
AG","Burgenländischer 
Beschäftigungspakt","Zur Betreuung des Paktes soll wie in der vergangenen Fo_rderperiode eine Paktkoordination bereitgestellt werden, welche gewa_hrleisten soll, dass durch die Projekte und die Zusammenarbeit zw. den VertreterInnen der Paktpartner sowohl struktur-, bescha_ftigungs- als auch arbeitsmarktpol. Wirkungen in gegenseit. Abstimmung der Politiken erzielt werden. Aufgaben sind: Unterstu_tzende Ta_tigkeiten fu_r den Lenkungsausschuss und die Steuerungsgruppe, Netzwerkfunktion, Projektkoordination, O_ffentlichkeitsarbeit, ja_hrliches Berichtswesen. Es werden zwei PaktkoordinatorInnen ta_tig sein.","550.000,00",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","Integrative Ausbildung 
arbeitsuchender Mädchen","Das Projekt „Integrative Ausbildung arbeitsuchender Mädchen“ soll arbeitslosen 
jungen Frauen helfen, Fähigkeiten zu erwerben, die es ihnen ermöglichen, eine 
Arbeitsstelle zu finden. Im Vermittlungshilfekurs werden unter anderem Deutsch, 
Mathematik, EDV- Grundkenntnisse, Kommunikations- und Gruppentrainings, 
Förderung der Persönlichkeitsbildung, Eigenständigkeit und Verantwortlichkeit bis 
hin zur wirtsch. Haushaltsführung angeboten, sowie Bewerbungsmaßnahmen mit 
Schnuppertagen.","74.000,00",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6","Medizinische/r Masseur/in 
gem. MMHmG","Medizinische/r Masseur/in gem. Medizinischem Masseur und Heilmasseur Gesetz 
(MMHmG) BGBl.Nr. 169/2002 Zielsetzung ist der Erwerb der Kenntnisse und 
Fertigkeiten zur Ablegung der staatlichen Abschlussprüfung und zur 
Berufsberechtigung ""Medizinischer Masseur"".","102.539,65",G
"Wirtschaftsservice Burgenland 
AG",Mentoring für Maturantinnen,,"16.270,00",G
"Wirtschaftsservice Burgenland 
AG",Quo Vadis,"Es soll eine Erhebung und organisationsu_bergreifende Vernetzung arbeitsmarktrelevanter Dienstleister im Sozialbereich geschaffen werden. Die Bedarfserhebung soll im Bezirk Oberwart fu_r 15-24ja_hrige Arbeitsuchende mit besonderen Bedu_rfnissen durchgefu_hrt werden. Das Ziel ist ein aussagekra_ftiges Gesamtbild der aktuellen Situation in Bezug auf folgende Fragen: Welche o_ffentlichen Stellen, Organistionen sind zusta_ndig? Welche Angebote gibt es fu_r benachteiligte Jugendliche im Bezirk? Wie erfolgt die Vernetzung zwischen den zusta_ndigen o_ffentlichen Stellen, Organisationen und Personen?","23.560,00",G
"Wirtschaftsservice Burgenland 
AG",Kunst/Entwicklung/Arbeit,,"6.300,00",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6",EDV - Bildungszentrum,"Ziel der Maßnahme ist das Erlernen der Fähigkeiten und Fertigkeiten auf dem EDV 
Sektor, sowie das Ablegen von ECDL Modulprüfungen um einen 
ausbildungsadäquaten Arbeitsplatz zu erlangen. Die Maßnahme ist konzipiert für 12 
Personen jeder Altersstufe. Inhaltliche Schwerpunkte sind Grundlagen der 
Informationstechnologie, Textverarbeitung, Tabellenkalkulation, Datenbanken, 
Präsentations- und Zeichenprogramme, Internet und Outlook und 
Bewerbungstraining. Das Projekt wird vom BFI Burgenland durchgeführt.","68.362,87",G
"Amt der Burgenländischen 
Landesregierung, Abteilung 6",Office Training Center,"Ziel der Maßnahme ist das Erlernen der Fähigkeiten und Fertigkeiten auf dem EDV 
Sektor, sowie das Ablegen von ECDL Modulprüfungen um einen 
ausbildungsadäquaten Arbeitsplatz zu erlangen. Die Maßnahme ist konzipiert für 12 
Personen jeder Altersstufe. Inhaltliche Schwerpunkte sind Grundlagen der 
Informationstechnologie, Textverarbeitung, Tabellenkalkulation, Datenbanken, 
Präsentations- und Zeichenprogramme, Internet und Outlook und 
Bewerbungstraining. Das Projekt wird vom BFI Burgenland durchgeführt.","68.362,87",G
"Burgenländische 
Volkshochschulen",Regionale Learning Centers,,"763.660,00",G
"Burgenländische 
Volkshochschulen","Öffentlichkeits- und 
Sensibilisierungsarbeit zur 
Integration bildungsferner 
Gruppen ins LLL","Das Projekt ""Öffentlichkeits- und Sensibilisierungsarbeit zur Integration 
bildungsferner Gruppen ins LLL"" zielt auf die Erarbeitung und Umsetzung von 
innovativen Marketing- und Sensibilisierungsmaßnahmen im Bereich der 
bildungsfernen Gruppen. Die Aktionen sollen sowohl die Betroffenen (sog. 
Bildungsferne) als auch Multiplikatoren erreichen.","239.750,00",G
"Burgenländische 
Forschungsgesellschaft","Bildungsinformation 
Burgenland","Das Projekt Bildungsinformation Burgenland ist ein kooperatives Projekt der 
Burgenländischen Konferenz der Erwachsenenbildung (BUKEB), das in dessen 
Auftrag von der Burgenländischen Forschungsgesellschaft abgewickelt wird. Das 
Projekt hat zwei Schwerpunkte: Das Burgenländische Bildungstelefon soll als 
Anlaufstelle für Bildungssuchende eingerichtet werden. Gleichzeitig sollen Aktionen 
im Bereich Bildungsmarketing die Bedeutung von Weiterbildung und für das 
lebenslange Lernen unterstützen.","333.340,00",G
"Amt der Burgenländischen 
Landesregierung / LAD-
Frauenbüro",Förderassessment für Frauen,"Assessmentcenter fu_r Frauen sowie Unterstu_tzung bei der Verbesserung ihrer Pra_sentation in einta_gigen Fo_rderassessments; durch Ru_ckmeldungen und Tipps erhalten sie die Mo_glichkeit, sich weiterzuentwickeln. Die Fremdbeurteilung wird von den AssessorInnen schriftlich festgehalten und besprochen. Die Frauen erhalten ein Zertifikat u_ber das Assessmentcenter. Das Projekt wird von der Burgenla_ndischen Volkshochschule durchgefu_hrt.","38.869,68",A
"Amt der Burgenländischen 
Landesregierung, LAD-
Frauenbüro",Kompetenzfeststellung,"Kompetenzfeststellung nach CH-Q zur Erarbeitung eines Kompetenzprofiles unter qualifizierter Anleitung. Nach Zielarbeit in 4 Workshops steht am Ende das qualita_tsgesicherte CH-Q Zertifikat u_ber das eigene Kompetenzmanagement. Zielgruppe: erwerbssuchende/langzeitarbeitslose Frauen, Wiedereinsteigerinnen, Frauen mit Integrationsbarrieren. Das Projekt wird von der Burgenla_ndischen Volkshochschule durchgefu_hrt.","39.916,69",A
"Amt der Burgenländischen 
Landesregierung, LAD-
Frauenbüro",Bildungsbegleitung,"Durch gezielte Information und Beratung werden Frauen bei Planung u.Koordinierung von Qualifikationen unterstu_tzt. Angebot von Gruppenarbeit und Einzelcoaching. Weiters Unterstu_tzung beim (Wieder)eintritt ins Berufsleben und am Arbeitsplatz; Zielgruppe Frauen mit Mobilita_tseinschra_nkungen, Wiedereinsteigerinnen, Arbeitssuchende, berufsta_tige Frauen. Das Projekt wird vom Berufsfo_rderungsinstitut Burgenland durchgefu_hrt.","13.257,86",A
"Amt der Burgenländischen 
Landesregierung, LAD-
Frauenbüro","'Frauen in den Job' im 
McArthurGlen Designer Outlet 
Parndorf","Workshops und Coaching vorort zu für die Frauen relevanten Themen mit dem Ziel 
der Umsetzung einzelner Maßnahmen zum Abbau von Mobilitätsbarrieren bzw. zur 
Erhöhung der Arbeitsstunden oder früherer Rückkehr aus der Karenz. Das Projekt 
wird vom Berufsförderungsinstitut Burgenland durchgeführt.","96.101,10",G
"Amt der Burgenländischen 
Landesregierung, LAD-
Frauenbüro","Berufliche 
Integrationsbarrieren 
Burgenländischer Frauen","Studie bestehend aus 2 Teilen: Grundstudie auf regionaler Basis betreffend 
Erwerbshemmnisse burgenländischer Frauen sowie deren regionaler Verteilung; 
Projektevaluierung von mind. 3 ESF-Projekten - verteilt über den PO-Zeitraum. Die 
Studie wird von der Burgenländischen Forschungsgesellschaft durchgeführt.","99.300,00",G
"Amt der Burgenländischen 
Landesregierung, LAD-
Frauenbüro",'Ich kann's',"Aktivierung und Mobilisierung in Aktivgruppen zu frauenspezifischen Problemfeldern 
mit dem Ziel, eigene Lösungen für Mobilitätshürden zu entwickeln und so eine 
Integration in den Arbeitsmarkt zu erreichen. Das Projekt wird vom 
Berufsförderungsinstitut Burgenland durchgeführt.","30.006,64",A
"Amt der Burgenländischen 
Landesregierung, LAD-
Frauenbüro","Kompetenzfeststellung mit 
anschl. Förderassessment im 
nördlichen Burgenland","Kompetenzfeststellung nach CH-Q zur Erarbeitung eines Kompetenzprofiles unter qualifizierter Anleitung mit anschl. Fo_rderassessment. Nach Zielarbeit in 4 Workshops steht am Ende das qualita_tsgesicherte CH-Q Zertifikat u_ber das eigene Kompetenzmanagement. Zielgruppe: erwerbssuchende/langzeitarbeitslose Frauen, Wiedereinsteigerinnen, Frauen mit Integrationsbarrieren. Das Projekt wird von der Volkshochschule Burgenland durchgefu_hrt.","77.800,53",A
"Amt der Burgenländischen 
Landesregierung / LAD-
Frauenbüro","Frauen initiativ in Gründung 
und Dorferneuerung","In diesem Projekt werden Bescha_ftigungspotentiale fu_r Frauen im Bgld. ausgelotet u. Frauen bei der aktiven Gestaltung ihrer Bescha_ftigung unterstu_tzt. Ein besonderer Schwerpunkt liegt auf Frauen 45+ u. auf den Mo_glichkeiten, die lokale Wirtschafts- und Personenfo_rderungen zur Schaffung eigensta_ndiger Erwerbsta_tigkeit bieten. Die Frauen sollen dazu ermutigt werden, sich ein eigenes Standbein zu schaffen und lokale Initiativen, wie etwa im Rahmen der Dorferneuerung nutzen, um ihre eigenen Rahmenbedingungen so zu gestalten, dass die Vereinbarkeit von Beruf u. Familie leichter umsetzbar wird.","102.998,37",G
"Amt der Burgenländischen 
Landesregierung / LAD-
Frauenbüro","Frauenbeschäftigungspotential
en auf der Spur","Es sollen die Instrumente der Wirtschaftsfo_rderung, insbesondere auch jene zur Unterstu_tzung von Unternehmensgru_ndungen, unter dem Aspekt der Fo_rderung von Bescha_ftigungsmo_glichkeiten fu_r Frauen na_her durchleuchtet werden. Neben landesweiten Fo_rderungen werden auch bundesweite Fo_rderungen im Bereich Gru_ndung analysiert. Weiters werden ""good practice-Modelle"" im Bereich Unternehmensgru_ndung durch Frauen, Gru_ndung entlang gesellschaftlicher Bedu_rfnisse und Frauenfo_rderung im Rahmen der Wirtschaftsfo_rderung analysiert und aufbereitet. Studie wird durchgefu_hrt v. Prospect Unternehmensber. GesmbH.","41.520,00",G
"Regionalmanagment 
Burgenland GmbH","Umsetzung und Begleitung des 
OP Phasing Out ESF","Im Rahmen des Projektes werden die Durchfu_hrung der Aufgaben der Verwaltungsbeho_rde (VB) in den Bereichen Vorbereitung, Umsetzung und Begleitung des Programms unterstu_tzt. Die dabei von der VB zu erfu_llenden Aufgaben leiten sich aus den Anforderungen der Strukturfondsverordnungen ab, wobei sich die VB aufgraund beschra_nkter Personalressourcen und zur Erzielung eines optimalen Einsatzes von Know-how sowohl eigener Ressourcen (z.B. Programm- und Projektmonitoring im RMB) als auch externer Institutionen (z.B. O_ROK als Sekretariat des Begleitausschusses) bedient.","1.285.599,75",G
"Regionalmanagement 
Burgenland GmbH","Evaluieung, Information und 
Kommunikation für das OP 
Phasing Out ESF","Im Rahmen des Projektes werden die Durchfu_hrung der Aufgaben der Verwaltungsbeho_rde (VB) in den Bereichen Evaluierung, Studien, Kommunikation und Information unterstu_tzt. Die dabei von der VB zu erfu_llenden Aufgaben leiten sich aus den Anforderungen der Strukturfondsverordnungen ab, wobei sich die VB aufgrund beschra_nkter Personalressourcen und zur Erzielung eines opimalen Einsatzes von Know-how sowohl eigener Ressourcen (z.B. O_ffentlichkeitsarbeit im RMB) als auch externer Institutionen (z.B. externe Evaluatoren) bedient.","428.533,25",G
Diverse Unternehmen**,"Aus- und Weiterbildung v. 
Unternehmern, Fach- und 
Führungskräften, Teil 1","Beitrag zur Weiterbildung der ArbeitnehmerInnen und UnternehmerInnen im Hinblick 
auf die Wettbewerbsfähigkeit der Betriebe, Anpassung an den Strukturwandel der 
Wirtschaft, Stärkung der Wettbewerbsposition, Sicherung des Betriebsstandortes 
sowie Anreiz für Unternehmensgründungen bzw. Unternehmensübernahmen","104.931,56",G
Diverse Unternehmen**,"Aus- und Weiterbildung v. 
Unternehmern, Fach- und 
Führungskräften, Teil 2","Beitrag zur Weiterbildung der ArbeitnehmerInnen und UnternehmerInnen im Hinblick 
auf die Wettbewerbsfähigkeit der Betriebe, Anpassung an den Strukturwandel der 
Wirtschaft, Stärkung der Wettbewerbsposition, Sicherung des Betriebsstandortes 
sowie Anreiz für Unternehmensgründungen bzw. Unternehmensübernahmen","135.947,52",G
Diverse Unternehmen**,"Aus- und Weiterbildung v. 
Unternehmern, Fach- und 
Führungskräften, Teil 3","Beitrag zur Weiterbildung der ArbeitnehmerInnen und UnternehmerInnen im Hinblick 
auf die Wettbewerbsfähigkeit der Betriebe, Anpassung an den Strukturwandel der 
Wirtschaft, Stärkung der Wettbewerbsposition, Sicherung des Betriebsstandortes 
sowie Anreiz für Unternehmensgründungen bzw. Unternehmensübernahmen","74.749,22",G
Diverse Unternehmen**,"Aus- und Weiterbildung v. 
Unternehmern, Fach- und 
Führungskräften, Teil 4","Beitrag zur Weiterbildung von ArbeitnehmerInnen und UnternehmerInnen im Hinblick 
auf die Wettbewerbsfähigkeit der Betriebe, Anpassung an den Strukturwandel der 
Wirtschaft, Stärkung der Wettbewerbsposition, Sicherung des Betriebsstandortes 
sowie Anreiz für Unternehmensgründungen bzw. Unternehmensübernahmen","66.112,38",G
Diverse Unternehmen**,"Aus- und Weiterbildung v. 
Unternehmern, Fach- und 
Führungskräften, Teil 5","Beitrag zur Weiterbildung von ArbeitnehmerInnen und UnternehmerInnen im Hinblick 
auf die Wettbewerbsfähigkeit der Betriebe, Anpassung an den Strukturwandel der 
Wirtschaft, Stärkung der Wettbewerbsposition, Sicherung des Betriebsstandortes 
sowie Anreiz für Unternehmensgründungen bzw. Unternehmensübernahmen","65.198,15",G
Diverse Unternehmen**,"Aus- und Weiterbildung v. 
Unternehmern, Fach- und 
Führungskräften, Teil 6","Beitrag zur Weiterbildung von ArbeitnehmerInnen und UnternehmerInnen im Hinblick 
auf die Wettbewerbsfähigkeit der Betriebe, Anpassung an den Strukturwandel der 
Wirtschaft, Stärkung der Wettbewerbsposition, Sicherung des Betriebsstandortes 
sowie Anreiz für Unternehmensgründungen bzw. Unternehmensübernahmen","94.977,78",G
