List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
Loughatorick  Tooling Ltd,Capital,"7,000.00","3,000.00","10,000.00"
Rob Steede Tree Care,Capital,"10,000.00","5,000.00","15,000.00"
Thomas Cunniffe,Capital,"5,600.00","2,400.00","8,000.00"
Alarmfree,Capital,"1,400.00",600,"2,000.00"
Athenry Engineering,Capital,"7,000.00","3,000.00","10,000.00"
Walsh's Confectionery,Capital,"10,643.00","4,562.00","15,205.00"
Dell Blinds,Capital,"4,169.00","1,787.00","5,956.00"
Ladder Safety Product,Capital,"7,000.00","3,000.00","10,000.00"
O'Grady uPVC,Capital,"20,000.00","10,000.00","30,000.00"
Solaris Botanicals,Capital,"4,487.00","2,136.00","6,623.00"
Connemara Pony Co-Irl,Capital,"3,500.00","1,500.00","5,000.00"
Paul Nash,Capital,"1,030.00",900,"1,930.00"
Cut-e Consulting,Employment,"2,450.00","1,050.00","3,500.00"
Prevent A Fire,Capital,414,178,592
P&D Engineering,Capital,"7,000.00","3,000.00","10,000.00"
Austin Outdoor Living,Capital,"1,217.00",521,"1,738.00"
Ace Printers Ltd,Capital,"7,000.00","3,000.00","10,000.00"
Tom Moyles,Capital,600, ,600
Burke Door & Gate Systems Ltd,Capital,"12,250.00","6,250.00","18,500.00"
Cloonasee Organic Farm,Feasibility,"3,480.00", ,"3,480.00"
Ward Automation,Capital,"12,787.00","5,480.00","18,267.00"
Connemara View,Employment,"2,450.00","1,050.00","3,500.00"
Pat Greally,Capital,"4,900.00","2,100.00","7,000.00"
Galway Mat Supply,Capital,"2,600.00", ,"2,600.00"
Live Wev Stars,Feasibility,"6,350.00", ,"6,350.00"
Galway Tape Duplication,Capital,"7,000.00","3,000.00","10,000.00"
Electronic Media,Capital,"4,025.00","1,725.00","5,750.00"
Ard Ri,Capital,"17,500.00","12,500.00","30,000.00"
Avision,Capital,"1,900.00", ,"1,900.00"
G. Lyons,Capital,"16,700.00","7,200.00","23,900.00"
Totals, ,"224,157.00","98,734.00","322,891.00"
Laois,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Maureen Culleton,Capital,333,167,500
BW Irish Collectables,Capital,"8,024.00","3,365.00","11,389.00"
Coolanowle Organics,Capital,"1,634.00",817,"2,451.00"
Puma Security,Capital,457,228,685
Allwood Products,Capital,"50,000.00","25,000.00","75,000.00"
John Bosco Furniture Ltd.,Capital,"31,702.70","15,114.00","46,816.70"
Natural Wood Designs,Capital,"1,750.00",0,"1,750.00"
Coolanowle House,Capital,"2,000.00","1,000.00","3,000.00"
Get me a car.ie,Capital,"2,000.00","1,000.00","3,000.00"
Worrell Harvesting,Capital,400,200,600
Park Metal Forming Ltd,Capital,"50,000.00","25,000.00","75,000.00"
Digiprints,Capital,500,0,500
Joinery Plus Ltd.,Capital,"13,333.00","6,667.00","20,000.00"
TSI Flowmeters Ltd.,Capital,"4,138.00",917,"5,055.00"
Powerpoint Engineering,Capital,"2,000.00","1,000.00","3,000.00"
Equine Training Services,Capital,"1,875.00",0,"1,875.00"
Cearbhuil Bespoke Furniture,Capital,"1,209.00",0,"1,209.00"
RB Woodworking,Capital,"4,100.00","1,000.00","5,100.00"
Leinster Woodcraft,Capital,"36,667.00","18,333.00","55,000.00"
Mary Woulfe,Capital,400,200,600
G's Gourmet Jams,Capital,"10,041.00","5,020.00","15,061.00"
Feile Foods,Capital,"2,000.00","1,000.00","3,000.00"
Helena Malone Goldsmith,Capital,575,0,575
Ashgrove Auction Rooms,Employment,0,"7,500.00","7,500.00"
Edyta Szymanska,Employment,"3,750.00",0,"3,750.00"
 Wash & Go,Employment,"7,500.00",0,"7,500.00"
Mark Turner Upholstery,Employment,"3,750.00",0,"3,750.00"
Total, ,"240,138.70","113,528.00","353,666.70"
Leitrim,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Cedarwood Surfboards,Capital,367.25,197.75,565
K-Wood,Capital,"3,266.25","1,758.75","5,025.00"
The Wardrobe Man,Capital,"1,105.00",595,"1,700.00"
Hosetec,Capital,"4,578.60","2,465.40","7,044.00"
Living Architecture,Capital,199, ,199
Darren Devers,Capital,"4,624.10","2,489.90","7,114.00"
Jinny's Bakery,Capital,"3,773.25","2,031.75","5,805.00"
Soraya Ricalde,Capital,"1,360.00", ,"1,360.00"
The Beepark Resource Centre,Capital,"1,860.95","1,002.05","2,863.00"
Shuttercraft,Capital,"19,110.00","10,290.00","29,400.00"
Noel Mc Manus Engineering Ltd,Capital,"2,340.00","1,260.00","3,600.00"
Mc Morrow Harvesting,Capital,"13,650.00","7,350.00","21,000.00"
Stitchy Press,Employment,"2,275.00","1,225.00","3,500.00"
Shuttercraft,Employment,"2,275.00","1,225.00","3,500.00"
Completehome.ie,Employment,"2,275.00","1,225.00","3,500.00"
M-M Designs,Employment,"2,275.00","1,225.00","3,500.00"
Northwest Waste Removals,Employment,"4,550.00","2,450.00","7,000.00"
Angela Hope,Employment,"4,550.00","2,450.00","7,000.00"
Waterteck 2000,Employment,"2,275.00","1,225.00","3,500.00"
John Mc Gowan Oil Boiler Services,Employment,"2,275.00","1,225.00","3,500.00"
Corrosion Control Ireland,Employment,"2,275.00","1,225.00","3,500.00"
Applied Sense,Employment,"2,275.00","1,225.00","3,500.00"
Keenaghan Development,Feasibility Study,"6,350.00",0,"6,350.00"
Total, ,"89,884.40","44,140.60","134,025.00"
Longford,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Engine Spares,Capital/refundable,"10,000.00","10,000.00","20,000.00"
David Furneaux,Employment,"2,500.00", ,"2,500.00"
Hardwood Components,Capital/refundable,"9,750.00","5,250.00","15,000.00"
Brendan Keane,Capital/refundable,"1,950.00","1,050.00","3,000.00"
Kielon Clarke,Capital/refundable,"2,938.65","1,582.35","4,521.00"
Lough Ree Development Co-op,Capital/refundable,"4,383.61","2,360.39","6,744.00"
C & F Joinery,Capital/refundable,"5,000.00","5,000.00","10,000.00"
ISPCA,Capital/refundable,"5,200.00","2,800.00","8,000.00"
Finesse Medical,Capital/refundable,"6,500.00","3,500.00","10,000.00"
Smat Heat,Capital/refundable,"2,600.00","1,400.00","4,000.00"
Paul Connaughton,Employment,"2,500.00", ,"2,500.00"
NCB Book-keeping & Office Services,Employment,"1,750.00", ,"1,750.00"
Midland Frames,Capital/refundable,"9,750.00","5,250.00","15,000.00"
Enda Kinlan,Employment,"3,000.00", ,"3,000.00"
Walsh O'Brien Web Publishing,Employment,"6,000.00", ,"6,000.00"
NEA Midlands Ltd.,Capital/refundable,"2,546.70","1,371.30","3,918.00"
Granard Area Development Company,Capital/refundable,"6,500.00","3,500.00","10,000.00"
Allwood Finishing,Capital/refundable,"13,000.00","7,000.00","20,000.00"
Lomac Engineering,Feasibility,"6,000.00", ,"6,000.00"
Lomac Engineering,Capital/refundable,"13,000.00","7,000.00","20,000.00"
Paul Crossan,Capital/refundable,"6,500.00","3,500.00","10,000.00"
Carol Collins,Employment,"4,000.00", ,"4,000.00"
Kenny Refrigeration & Cathering Equipment,Capital/refundable,"13,000.00","7,000.00","20,000.00"
Hydralube,Employment,"5,000.00", ,"5,000.00"
Norman Hall,Capital/refundable,"13,000.00","7,000.00","20,000.00"
Catherine Kilgallon,Employment,"2,250.00", ,"2,250.00"
Totals, ,"158,618.96","74,564.04","233,183.00"
Louth,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Castle Horses,Capital Grant,"12,319.20", ,"12,319.20"
Castle Horses,Refundable Capital, ,"20,000.00","20,000.00"
North East Produce,Capital Grant,"20,000.00", ,"20,000.00"
North East Produce,Refundable Capital, ,"20,000.00","20,000.00"
Airen Services,Capital Grant,"3,109.98", ,"3,109.98"
Savor Foods,Capital Grant,"23,394.24", ,"23,394.24"
"Energeo Ltd.,",Employment,"15,000.00", ,"15,000.00"
Mumstown,Employment,"3,750.00", ,"3,750.00"
Omniscout,Employment,"15,000.00", ,"15,000.00"
Spoilt Child Design,Employment,"10,000.00", ,"10,000.00"
Smart Compressors Systems,Employment,"3,750.00", ,"3,750.00"
Martin Connolly,Feasibility,"6,300.00", ,"6,300.00"
Aqua Gen Systems,Feasibility,"3,993.58", ,"3,993.58"
Eimear Publications,Ordinary Shares, ,"30,000.00","30,000.00"
Mcor,Preference Shares, ,"50,000.00","50,000.00"
 , , , , 
Totals, ,"116,617.00","120,000.00","236,617.00"

Mayo,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
M.B. Quinn & Sons,Capital,"31,500.00","13,500.00","45,000.00"
Rory Brogan,Capital,"3,028.00","1,297.00","4,325.00"
Brian Campbell T/A Just Desserts,Capital,"2,712.00","1,163.00","3,875.00"
Dynamic Marketing Solutions,Employment,"2,625.00","1,125.00","3,750.00"
Ray McTigue,Capital,"3,080.00","1,320.00","4,400.00"
Erika Brunaczki,Capital,457,195.9,653
"T.J.Jordan, T/A Jordan Engineering",Capital,"1,610.00",690,"2,300.00"
Michael Harte,Capital,"6,525.00","2,796.00","9,321.00"
Stephen Brennan,Capital,"16,800.00","7,200.00","24,000.00"
John P.Garvin,Capital,"1,188.00",509,"1,697.00"
Martin Neary,Capital,"21,000.00","9,000.00","30,000.00"
MMM Family Bakery Ltd.,Capital,"18,200.00","7,800.00","26,000.00"
Brendan Ruddy,Capital,"9,348.00","4,006.00","13,354.00"
Mayo Healthcare,Employment,"2,625.00","1,125.00","3,750.00"
Jodi Coyne,Feasibility,"3,093.00",0,"3,093.00"
Sean Cannon,Capital,"6,637.00","2,845.00","9,482.00"
Lotide Fine Foods Ltd,Capital,"13,650.00","5,850.00","19,500.00"
Niall Heffernan,Capital,"28,000.00","12,000.00","40,000.00"
Plasma Precision Ltd,Capital,"52,500.00","22,500.00","75,000.00"
MW Design and Print,Capital,"3,115.00","1,335.00","4,450.00"
Connaught Signs Ltd,Employment,"2,625.00","1,125.00","3,750.00"
Kilkenny Sewing Ltd,Capital,"13,979.00","5,991.00","19,970.00"
Costello Shopfitting,Capital,"37,375.00","37,375.00","74,750.00"
Developing Ability Ltd,Redeemable Preference Shares,0,"30,000.00","30,000.00"
Claremorris Free Range Eggs Ltd,Capital,"35,000.00","15,000.00","50,000.00"
John Dempsey,Capital,"7,000.00","3,000.00","10,000.00"
Construction Mgt. Software Ltd,Employment,"5,250.00","2,250.00","7,500.00"
Malone Farm Machinery Ltd,Capital,"24,500.00","10,500.00","35,000.00"
Total, ,"353,422.00","201,497.90","554,920.00"
Monaghan,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Clevercloggs Nursery,Employment,"8,750.00","17,500.00","26,250.00"
CBM International,Employment,"3,750.00","15,000.00","18,750.00"
Gregory Sourushanov,Employment,"3,750.00", ,"3,750.00"
Kevin Duffy,Employment,"3,750.00", ,"3,750.00"
Amanda Boyland,Employment,"3,750.00", ,"3,750.00"
Castleblaney Community,Employment,"3,750.00", ,"3,750.00"
V. Southall,Feasibilities,"2,698.86", ,"2,698.86"
M. Wooda,Feasibilities,"6,350.00", ,"6,350.00"
C. Connolly,Feasibilities,"6,350.00", ,"6,350.00"
Two Trees Engineering,Capital,"20,000.00","25,000.00","45,000.00"
Venue Promotions,Capital,"6,886.00", ,"6,886.00"
K. Mc Caffery,Capital,"8,000.00", ,"8,000.00"
Ann Connolly,Capital,668.27, ,668.27
Total, ,"78,453.13","57,500.00","135,953.13"
Offaly,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Ballsheil Artisan Foods,Capital,"4,231.00","4,230.00","8,461.00"
Clara Fields Limited,Capital,"10,247.00","10,248.00","20,495.00"
Signs of the Future,Capital,"1,672.00","1,672.00","3,343.00"
Riverside Furniture Design,Capital,"12,463.00","12,462.00","24,925.00"
Bramber Studio,Capital,"2,341.00",Nil,"2,341.00"
Enviroco Management,Capital,"3,124.00","3,123.00","6,247.00"
Precise Engineering Products Ltd,Capital,"26,603.00","26,603.00","53,206.00"
Polar Ice Tech Ireland Ltd,Capital,"13,250.00","13,250.00","26,500.00"
RMM Design,Capital,522,Nil,522
Derek Nevin,Capital,"3,122.00",Nil,"3,122.00"
Good Company Productions Ltd,Capital,"7,245.00","3,567.00","10,812.00"
Hello Camera,Capital,"2,746.00","1,177.00","3,923.00"
Elaine Mullally,Capital,"25,000.00","25,000.00","50,000.00"
EPC Extrusions Cuttings Ltd,Capital,"4,575.00","4,575.00","9,150.00"
Colman Dooley,Employment,"3,125.00",N/A,"3,125.00"
Slieve Bloom Farmhouse Products Ltd,Employment,"6,250.00",N/A,"6,250.00"
Dotsor Ltd,Employment,"6,250.00",N/A,"6,250.00"
Primo Coachworks Ltd,Employment,"12,500.00",N/A,"12,500.00"
Axis Communications Ltd,Employment,"6,250.00",N/A,"6,250.00"
Maithu Ltd,Employment,"6,250.00",N/A,"6,250.00"
Jane Grace Equestrian Services,Employment,"6,250.00",N/A,"6,250.00"
Shedco Ltd,Employment,"6,250.00",N/A,"6,250.00"
Clanwood Farm,Employment,"3,125.00",N/A,"3,125.00"
John McAuley T/AAutoCAD Ltd,Employment,"6,250.00",N/A,"6,250.00"
EMSS,Employment,"6,250.00",N/A,"6,250.00"
Alan O’Brien,Employment,"2,000.00",N/A,"2,000.00"
Platinum Marketing,Employment,"3,125.00",N/A,"3,125.00"
The Music Academy,Employment,"3,125.00",N/A,"3,125.00"
AATS Services,Employment,"6,250.00",N/A,"6,250.00"
Margaret Dunne & Christine Mulhall,Employment,"12,500.00",N/A,"12,500.00"
Kieran Egan,Feasibility,"6,350.00",N/A,"6,350.00"
Sean Hoolan,Feasibility,"4,560.00",N/A,"4,560.00"
Totals, ,"223,801.00","105,907.00","329,707.00"
Roscommon,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Keith Brennan (C),Capital,"12,178.62", ,"12,178.62"
William Johns (CR),Capital,"9,800.00", ,"9,800.00"
Lawe Engineering (ER) - ,Employment,"3,750.00", ,"3,750.00"
Jasmine Bean (E) ,Employment,"3,750.00", ,"3,750.00"
Angela Lennon (FS),Feasibility,"6,350.00", ,"6,350.00"
Lisa Nugent (ER),Employment,"3,750.00", ,"3,750.00"
Xavier & Thomas Keenehan (E),Employment,"3,750.00", ,"3,750.00"
Teresa Dunleavy (CR),Capital,"8,011.29", ,"8,011.29"
Ros karting Ltd,Capital,"8,313.41", ,"8,313.41"
Simon Moran (CR),Capital,"15,000.00", ,"15,000.00"
Enda Stephens (CR),Capital,"15,000.00", ,"15,000.00"
Renew IT (ER),Employment,"7,500.00", ,"7,500.00"
Jim Beirne & Claire Grant (F),Feasibility,"2,000.00", ,"2,000.00"
Kearns Organic (ER),Employment,"3,750.00", ,"3,750.00"
Caroilin Callery - Creche (ER),Employment,"15,000.00", ,"15,000.00"
Samantha Watkinson (E),Employment,"7,500.00", ,"7,500.00"
Brian & Caroline Kearns (Capital),Capital,"7,500.00", ,"7,500.00"
Roschem Products Ltd (CR),Capital,"5,750.00", ,"5,750.00"
"Vergal Kelly, Topline Markings (CR)",Capital,"7,500.00", ,"7,500.00"
All-Star Shredding Ltd (Bergins) (CR),Capital,"25,000.00", ,"25,000.00"
Dr. Susan Mannion (FS) ,Feasibility,"5,794.00", ,"5,794.00"
Roscommon Co Co (FS) ,Feasibility,"5,010.00", ,"5,010.00"
"Peter Banahan, Boyle Glass (ER) REF A/C",Employment, ,"3,750.00","3,750.00"
Pauline McManus (ER) REF A/C,Employment, ,"3,750.00","3,750.00"
Ronan Hegarty (ER) REF A/C,Employment, ,"3,750.00","3,750.00"
Tommie McCormack (CR)  ,Capital,"12,650.00", ,"12,650.00"
Padraig Cunningham  (C) ,Capital,"1,512.60", ,"1,512.60"
Glen & Diane Charles (CR) ,Capital,"11,844.92", ,"11,844.92"
Total, ,"207,964.84","11,250.00","219,214.84"
Sligo,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Brian & Lindy O'Hara,Feasibility,"4,210.00", ,"4,210.00"
Darren Finan (DF Pharma),Capital,"1,816.00", ,"1,816.00"
Samuel Kress,Employment,"3,750.00", ,"3,750.00"
Engineering Documentation Ltd,Employment,"10,000.00","1,250.00","11,250.00"
Usher Aviation Ltd.,Employment,"4,800.00","2,200.00","7,000.00"
Liquid Gold Ltd..,Feasibility,"6,350.00", ,"6,350.00"
Usher Aviation Ltd ,Capital,"8,549.00","4,604.00","13,153.00"
Noel johnston(Computerbits),Employment,"3,750.00", ,"3,750.00"
Lynda Gault ,Employment,"2,450.00","1,050.00","3,500.00"
DBX Communications,Capital,"6,678.00","3,339.00","10,017.00"
Automation Technology services,Employment,"9,800.00","4,200.00","14,000.00"
Paul Rooney (enook Design),Feasibility,"6,350.00", ,"6,350.00"
Gail Wall(The Fairy Cake),Capital,"7,200.00","3,600.00","10,800.00"
Ronan Keys (Inland Inflatable),Employment,"9,750.00","1,500.00","11,250.00"
Firefly(Martin McGeogh),Capital,"1,591.00",857,"2,448.00"
R & M Solar Energy,Employment,"3,750.00", ,"3,750.00"
AOL Engineering,Capital,"14,000.00","14,000.00","28,000.00"
Allen McGowan(AMG Garage doors),Capital,"6,500.00", ,"6,500.00"
Liquid Gold Ltd.,Capital,"3,000.00", ,"3,000.00"
Padraig Hallinan(Easkey Precision),Capital,"9,072.00","4,885.00","13,957.00"
Michael Budd,Capital,"3,600.00", ,"3,600.00"
Dr. Heinrich Anhold,Feasibility,"5,523.00", ,"5,523.00"
Robbie Foley,Feasibility,"5,000.00", ,"5,000.00"
Phillip Duffy,Capital,"3,613.00","1,881.00","5,494.00"
Jason Ruane,Employment,"4,905.00", ,"4,905.00"
Jethro Murphy,Employment,"5,500.00", ,"5,500.00"
Alfie Higgins(Moygara),Capital,"47,250.00","27,750.00","75,000.00"
R & M Solar Energy Ireland,Employment,"3,750.00", ,"3,750.00"
Couture Hats(Denise Cassidy),Capital,734, ,734
Seatrawl Ltd(Dennis Kelly),Feasibility,"4,204.00", ,"4,204.00"
Seatrawl Ltd(Dennis Kelly),Employment,"2,500.00","1,250.00","3,750.00"
Usher Aviation Ltd.,Employment,"2,625.00","1,125.00","3,750.00"
Anna Casey(Ana Faye),Feasibility,"5,365.00", ,"5,365.00"
Verus Precision Ltd,Capital,"29,784.00","19,855.00","49,639.00"
Just Scan Ltd.,Employment,"2,625.00","1,125.00","3,750.00"
Technical Ideas.Com,Employment,"2,250.00","1,500.00","3,750.00"
Total, ,"252,594.00","95,971.00","348,565.00"
Westmeath,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Thomas Flynn                                      ,Feasibility Study,"2,525.00", ,"2,525.00"
Grainne & Karen Keegan                ,Capital,"33,264.00","17,136.00","50,400.00"
Lorainne Flanagan                               ,Employment,"4,500.00","3,000.00","7,500.00"
Robin Shortt                                        ,Employment,"9,000.00","2,000.00","11,000.00"
Clodagh Flannery,Feasibility Study,"3,600.00", ,"3,600.00"
KC Marketing                                           ,Capital,"13,000.00","7,000.00","20,000.00"
Stephen Bray                                          ,Feasibility Study,"6,180.82", ,"6,180.82"
Rory Connolly                                          ,Capital,"4,550.00","2,450.00","7,000.00"
Brian Gunning                                          ,Feasibility Study,"4,817.70", ,"4,817.70"
"Lisa O'Connell, Clean Pass Ltd",Capital,"12,629.50","6,800.50","19,430.00"
Flanagan Golf Ltd,Capital,"3,202.10","1,742.21","4,944.31"
